,UMAP_1,UMAP_2
1011,-2.5737698,0.31974912
575,-2.0285773,11.902705
2316,8.51554,6.580096
1092,-2.3750587,15.308721
19,-1.3604615,1.9301577
2198,8.441228,6.426551
1428,0.037961677,3.1073406
1386,10.5989895,3.9019327
1858,-7.269232,0.42940062
1967,14.914968,6.2992473
1147,-1.7723836,11.50166
267,13.537647,4.8875017
2243,9.130866,6.7487836
936,-0.8679603,14.841455
1528,13.727854,7.220061
1454,-7.3767304,0.5389294
1196,-2.2090538,2.4417977
419,11.39552,4.180553
1826,-3.4239454,11.097857
3202,-3.4000902,-3.7855635
2417,9.597167,7.761545
1260,-2.6612775,9.895536
2741,14.930305,7.173875
1831,-7.4338036,0.52260655
443,11.844447,3.7623527
3072,-0.4795133,-4.340504
1642,-1.5155832,11.625084
2742,15.321676,6.366128
3189,-1.2448331,14.957232
928,-0.109639674,3.2505317
698,13.644998,3.598605
137,4.849968,13.002887
610,-1.6291447,1.7749956
2357,9.597174,7.6029644
567,-0.81136596,13.764466
1575,-3.344191,-3.721508
307,-2.439501,1.8155371
185,-0.8661996,13.75597
1872,13.395165,7.4934645
3243,-7.275644,0.48226517
2048,14.257688,4.01197
3188,-1.3507558,-3.4641795
465,11.879152,3.8205788
729,-0.9740107,14.912115
695,13.437238,4.9467278
2782,14.75364,7.250292
449,11.442842,3.4162433
2828,13.926434,3.5836139
3155,-6.6577744,0.55413723
1198,-0.0071009235,3.0338001
1356,13.424928,4.8091173
2698,-0.47616848,-4.3340015
811,11.300524,3.509378
868,-2.255665,2.3805118
2237,-1.6913728,11.41623
418,11.613931,3.4840243
3173,-0.2522176,13.4464
1714,-2.0408459,-3.143196
1712,13.432993,5.2067204
1118,10.724706,4.439254
399,-2.3179169,2.4347563
3168,-1.196188,14.92193
329,13.673262,4.8523445
1781,-0.65584064,13.45269
1481,-2.4438934,15.194352
439,11.296793,3.8587947
1527,4.258813,13.246594
2995,14.672037,6.315529
411,11.4178295,3.7572076
747,-0.6671106,1.7064852
3140,-3.3545253,11.099204
2878,-2.1859963,11.874367
1079,-4.25142,-0.024484795
926,-1.0944363,15.021121
1817,-2.643283,14.949923
2401,9.594159,7.749019
3008,15.31187,6.4130697
1351,11.322152,3.889478
3264,-3.2045686,11.3209305
3283,13.382872,5.3082485
724,-0.3667857,3.7264328
1524,-0.4619948,13.444898
2071,-3.3109722,-3.6790688
451,10.886331,4.4240947
2767,13.531677,4.8516603
680,-0.26641345,3.4592927
865,-2.6469665,15.050731
2406,8.462778,6.51975
1535,5.4263654,13.732576
1482,4.822631,12.942685
72,-1.7031659,1.7036387
444,-2.4051898,0.13709486
3079,-1.1426604,-3.6186593
1868,-7.5541816,0.6783867
211,-0.40331084,3.7511497
424,11.350263,4.0856514
29,9.9994755,5.829526
540,-2.522039,9.891215
1885,-0.2610261,13.355108
1951,-1.2342955,14.867182
603,-1.7243166,2.2941656
1703,14.82612,7.125418
684,-2.369459,15.319114
771,-3.5964072,11.298544
515,11.564765,4.1861467
2538,9.453728,6.6926556
2488,9.078793,6.505204
569,-2.1944587,0.028704505
1243,-1.3467007,-3.3921158
1186,13.3443365,7.582888
780,-1.2596825,1.8043891
462,14.775511,7.071643
1324,-1.2579753,1.8016378
2476,8.560883,6.4876323
712,-2.2470193,0.03769763
2700,14.262571,4.006689
779,-6.582131,0.49446508
2076,9.262651,6.823401
693,5.552951,13.295598
337,11.358059,3.795276
1744,-2.5316133,9.799867
2500,10.307386,6.510087
2819,13.978067,5.1258154
144,-2.3761642,1.8649567
1653,-2.4874,9.769546
898,4.184894,13.45349
2376,9.874003,6.818917
1600,-2.2445295,11.844806
1429,10.595344,3.9296856
2941,14.856536,7.2371993
2033,13.890002,3.6790848
1150,-6.5952044,0.49393645
1282,-3.2912767,-3.6502895
1788,-0.6522091,-4.150252
1206,4.235959,13.591036
1172,-2.2880154,15.22634
222,-1.4603463,-3.298891
258,10.213356,5.9405656
393,13.4249325,4.767098
2119,10.34405,6.489826
53,9.663042,7.422786
960,-1.7297179,13.68942
691,-0.42508322,3.756319
2283,10.316974,6.516528
2183,-1.5506179,12.967728
2467,9.709867,6.961667
877,-0.82637,13.694996
2104,9.579127,6.446866
947,-2.1749544,12.080705
1944,-3.395108,-3.7675316
318,10.627231,4.288708
1067,-2.2999651,2.4285953
1950,13.370093,6.9620953
2899,-1.5726265,13.254308
377,13.720876,3.4558342
1675,-7.509982,0.62617457
863,-2.3008046,2.4351885
1591,4.5853157,13.952736
1471,-0.59433293,13.589197
1155,10.396882,4.9633465
89,10.360273,6.3619714
2501,9.7796335,6.9900455
1466,-7.1981115,0.444525
997,-3.805819,-0.0860077
3087,-2.25779,11.861865
1387,-4.074051,0.14493516
820,14.44844,6.546525
1115,-1.3858525,-3.3362734
879,-2.563879,0.32288224
298,10.571681,4.2463136
364,11.818838,3.756562
1998,13.78032,4.936032
488,12.454566,3.8219786
2834,13.77476,4.9771566
1691,-0.4964555,-4.331227
1458,-4.2306647,0.22892642
3174,8.959019,6.530763
1141,-0.88258445,13.757354
2714,14.878901,7.533808
1945,-2.6737318,14.913402
1971,14.574476,6.5916595
920,-2.8938076,-3.4561217
1176,-2.9685895,-3.5089664
2289,9.492467,6.7851157
1852,-2.227146,11.855707
1566,-1.5292763,13.269661
1891,-1.5742149,12.98075
1315,-2.3902688,15.286936
494,13.793235,3.5657437
3101,-2.3136914,11.909008
59,9.7376,5.9249153
1903,-3.2806156,11.250162
1531,-6.85023,0.5791063
854,-2.4195135,1.8520952
1820,-6.990515,0.645843
1650,-0.20156592,13.304722
1874,4.542019,13.944509
311,13.570026,4.859336
2730,-7.437525,0.5707034
889,-1.4364984,-3.2820857
776,-0.6771148,1.6815407
1956,15.334876,6.394373
1530,-7.5434546,0.66263086
1177,11.983866,3.9907053
1769,13.01539,7.298238
1263,-2.1835196,0.015297152
772,4.246093,13.479727
1438,-2.2268138,0.10029874
430,14.8158,6.2195992
1313,-0.9730459,1.7927723
2732,15.092322,6.274206
281,13.905886,6.8965583
2072,-2.6897542,9.97182
2382,9.811704,6.9201255
2014,15.143418,6.3484573
468,10.739565,4.1928544
3162,9.790409,6.8917756
1171,-0.4228163,3.777494
2060,13.382487,7.0692525
586,-3.629069,11.4357395
647,-1.6510218,-3.1641772
1876,5.367743,13.662691
1134,-1.4309663,-3.3039474
2027,13.799853,7.1012726
826,-2.2078266,1.7153772
1622,-1.06583,14.878557
113,9.832759,6.873948
708,4.8420854,13.0124
949,11.358192,3.531039
3217,-2.447513,9.781463
522,12.232908,4.1920652
842,-4.278918,0.011890041
2139,8.509423,6.4395046
1132,-1.9599904,14.136183
95,-2.7042067,9.938811
1343,13.238333,7.4828277
2800,-2.6343424,14.890375
2168,13.967015,3.8452466
1322,-3.2468953,10.887701
473,12.600948,3.6640182
1447,-7.5688133,0.71224034
1604,5.054052,13.264331
1336,-2.2452571,0.023338316
642,-1.3251507,-3.3733854
2712,15.113218,6.3813734
1726,-1.2002889,-3.5604656
1451,10.355028,6.402601
340,14.798774,7.270319
220,-2.614522,0.29469153
1232,-6.4556217,0.47334602
164,10.449697,5.071277
499,10.60229,4.617393
1256,-2.43353,15.365755
2059,13.778548,7.1006145
1742,-1.8203931,-3.1733027
1111,12.127738,4.317573
1073,-2.1423736,12.015557
1511,4.2942023,13.629387
1463,-0.6558268,1.6983232
2598,-2.6096032,14.920963
16,14.678582,6.2301993
1870,-0.44209394,-4.3822875
593,13.326089,7.580033
489,11.117226,3.913342
1690,-1.673576,11.3785305
1345,13.672927,3.6879308
808,-1.0434073,14.834867
2044,13.727156,4.9812145
1105,-0.0483353,3.2238126
2257,9.63957,7.735349
1300,-1.8436631,1.939806
1411,5.0385733,13.094813
1510,-6.6517243,0.5305157
1651,-1.1364313,-3.6182303
506,10.747927,4.1202636
2131,9.780172,6.852089
545,12.663592,3.6362207
1655,-0.8548648,13.452429
555,-0.33882385,3.5549846
160,-0.76431423,13.676037
1595,-1.3830658,11.997131
634,-0.0036481565,3.031036
2220,-1.7239733,11.41955
2927,14.820075,7.504606
1970,13.250877,7.4517665
613,-3.5829792,11.300176
293,13.114277,7.301465
1476,12.471771,3.8588662
1275,-2.6257243,0.2698444
1364,4.8225026,12.984616
883,-3.6799297,11.477814
263,11.943993,3.7908468
1677,-1.3025503,12.029809
1570,-6.583905,0.48947233
835,-2.3483918,1.867584
1453,13.576692,3.7020874
1334,-0.32822895,3.782168
1955,15.323558,6.4248834
3088,4.2823787,13.63088
1214,-1.8703923,11.893447
1649,-3.3823235,-3.7591054
2479,-1.4071192,11.870361
1940,-0.9441467,13.401513
361,-1.7042505,13.694011
1299,4.771319,12.972937
423,10.219976,5.140607
1912,-2.156395,-3.1696556
2332,-3.0992725,10.853899
1146,-0.8363868,-4.1329336
396,12.664949,3.6738722
1096,-3.6532652,11.436204
1077,10.543394,3.989397
1544,13.947678,5.112267
874,9.971627,5.7857223
1803,14.861011,7.3615236
2281,8.610221,6.4333315
1355,-2.155427,0.13518976
1271,9.646322,7.4487514
1902,14.866835,7.4480915
663,-0.13038018,3.2708044
1056,-3.2419565,-3.6071544
2068,-4.014057e-06,3.089819
2170,-2.6997387,14.939187
3158,14.970136,6.1861277
2753,13.599636,4.832266
3285,-1.4046971,11.943689
2444,13.039848,7.2735033
252,13.941724,5.1520677
1592,-3.257653,11.275585
1793,-7.072122,0.6306201
878,-2.3688655,1.7830857
661,5.596157,13.264715
2590,-1.8017409,11.723329
984,-7.492128,0.6520459
595,-1.9436411,2.2470193
1979,-1.5760351,13.234277
2695,15.160726,6.2551146
968,-2.9464037,-3.4966044
2167,10.388043,6.4755826
3166,-2.0106506,11.738514
1039,-2.353793,0.02719668
1242,-0.69307506,1.680431
1901,-2.6818106,14.906393
964,12.514191,3.8722644
2326,10.100697,6.494829
2345,14.655222,6.2202425
