,W3IWER4_A
1290,0
776,0
1071,1
1742,0
2284,0
1252,0
1730,1
1891,1
2518,0
1399,0
2590,1
1309,0
160,0
2823,1
326,0
385,1
762,0
122,0
1157,0
3232,0
1096,1
1579,1
2031,0
821,0
296,0
1186,1
2158,0
1534,1
511,0
3280,1
1069,0
500,0
423,0
2339,0
1410,1
3221,0
2079,1
137,0
609,0
2537,0
2015,0
1663,0
734,1
521,0
27,0
2191,0
1350,0
1553,1
1829,1
1313,0
1685,0
3018,1
204,0
1505,0
574,1
2069,0
1254,0
663,0
847,0
1459,0
1117,0
2081,0
1034,0
3157,0
2305,1
1450,0
1893,1
3022,0
509,1
2930,1
1014,1
232,0
1439,1
3238,1
1182,1
2732,0
244,0
474,1
1657,1
2245,0
1479,0
684,1
1910,0
1535,1
1609,0
958,0
2928,0
2894,0
1786,1
1871,1
2264,0
2175,0
2044,0
1298,0
548,0
1565,0
3240,0
2991,1
1875,1
1640,1
112,0
2288,0
2172,0
3137,0
480,0
1762,0
772,1
922,0
1541,0
1083,0
2343,1
54,0
2107,0
2882,1
940,0
1773,0
1847,0
3188,0
1984,1
898,0
2331,1
233,0
2848,1
211,0
1695,0
2260,1
309,0
48,0
896,0
2807,0
919,0
1622,0
2693,1
1975,0
1053,1
2424,1
533,0
690,1
1552,1
2123,0
534,1
597,0
1649,0
927,1
1746,0
770,0
446,1
951,0
2373,0
839,0
2332,0
1818,0
192,0
1088,0
307,0
1100,1
2017,0
1009,0
1788,0
376,0
2169,0
1814,0
1189,1
2428,0
1809,0
3207,1
1462,0
1058,0
275,0
1275,0
1022,0
1207,1
573,1
629,1
1305,1
535,0
513,0
237,0
1481,1
1401,0
444,0
1908,1
1610,1
2771,1
825,0
472,0
1024,0
1198,0
2887,1
2258,0
3174,0
1938,0
1606,1
870,0
2515,1
2741,0
815,0
926,1
1107,0
1755,0
962,0
850,1
1356,0
1996,0
1137,0
931,0
970,0
752,0
902,0
506,0
890,1
1103,1
1812,0
1001,1
634,0
1119,0
1382,1
268,0
3114,0
726,0
2742,0
1763,0
1741,0
1023,1
1810,0
1451,0
974,1
1218,0
1617,1
334,0
757,1
1710,1
1860,1
1219,1
1006,0
656,0
2716,0
2371,1
642,0
1627,0
979,1
1819,1
986,1
1094,0
1478,0
449,0
1311,0
1422,0
1170,0
1076,0
1404,0
639,1
3096,1
2071,1
885,0
1698,1
1912,0
2274,0
1328,0
1480,0
302,0
1234,0
1584,1
749,1
1427,1
2747,1
2138,0
1398,0
2422,0
1306,0
3007,0
2000,0
2036,0
2171,0
2872,0
532,0
1926,1
2466,1
1850,0
2101,1
2203,0
105,0
408,0
588,1
445,0
973,0
1721,1
666,0
2003,0
1623,1
1793,0
1067,0
1079,0
1987,1
1085,0
1572,0
2064,0
1307,0
2056,1
1127,0
1325,0
1259,0
1948,0
1961,1
2090,0
1662,1
3111,1
1474,0
1937,1
643,1
1935,1
1477,0
348,1
1555,0
1056,1
1075,0
3016,1
990,0
2903,0
1227,1
1357,0
2796,0
982,1
481,0
3162,1
3140,0
1011,0
1761,1
2922,0
683,0
1519,0
1055,0
321,0
801,0
404,0
320,0
696,0
425,1
3190,0
2093,0
3265,0
1873,0
1419,1
1267,0
1377,1
168,0
1700,1
125,0
1985,0
1098,0
1826,0
241,1
34,0
857,0
523,0
2871,0
1838,0
615,1
1135,0
1408,0
2475,0
2243,1
2060,0
659,0
1159,0
1520,0
869,1
2830,0
1943,0
2432,1
680,0
1020,1
58,0
1405,0
1312,0
2341,0
2746,0
1551,0
415,0
1601,0
278,1
3291,1
1727,1
645,1
1413,0
2752,0
2295,1
1808,1
2463,0
1779,0
2888,0
1216,0
529,0
1077,0
1624,0
2992,0
936,0
135,0
279,0
2392,1
3301,0
1133,0
2221,0
169,1
3143,0
3230,1
2316,0
1091,0
3214,1
1361,0
1143,1
59,0
403,1
3261,0
3215,0
150,0
1041,1
462,0
2006,0
2800,1
66,0
1795,0
1272,0
1185,0
327,0
1371,0
554,0
207,0
1705,1
3283,0
1342,0
993,1
862,0
1153,0
1220,0
2696,0
170,1
893,0
1539,0
1473,0
1494,0
853,1
451,0
1104,0
3258,1
435,0
2889,1
781,0
274,0
1314,1
2493,0
717,0
2149,1
2444,0
968,1
2322,0
900,1
2598,1
127,0
1070,0
453,0
1491,0
2703,1
2222,0
1177,0
830,1
714,0
1707,0
25,1
1530,0
1375,0
286,1
675,1
1448,0
1426,0
