,UMAP_1,UMAP_2
210,5.0987988,2.6382666
642,10.510128,2.050277
1323,9.085875,0.71432513
1247,8.073703,6.370156
1000,9.928517,2.1715696
1017,7.371429,3.1327655
932,7.121211,6.1953278
968,7.8450613,2.9076636
3234,9.29662,1.6332855
1764,7.7231402,7.8618207
2902,3.189619,2.4709396
891,8.076469,6.2700076
1635,7.5982094,6.4908786
508,3.4344375,1.4803585
1973,3.553342,2.6079428
1753,7.906825,6.289968
3168,8.664946,3.2329361
2050,3.488255,2.249319
46,8.988439,2.5102298
1040,7.8493934,6.0043745
586,9.625086,1.100891
1768,7.4934793,2.6552825
81,9.20349,3.2382212
1896,10.23492,2.3033924
1379,4.119693,4.6731415
516,3.868489,1.5634359
1552,8.306716,1.1499127
1190,7.0354195,5.4075885
391,3.796718,2.2975698
2070,7.724472,2.4519014
1969,6.279793,6.317686
892,9.307201,0.9502345
2718,3.8864858,4.768089
146,7.199494,5.744876
2813,3.6567428,4.5613737
829,9.539755,3.312381
1691,6.2864804,5.1780496
943,10.474721,2.0581555
2878,8.895522,0.7752884
2061,7.4433923,2.9104848
124,3.286077,1.9757121
94,7.4317756,7.761684
1672,4.106317,1.8349444
2243,5.878314,2.873445
3095,9.886126,1.1905644
274,7.754685,1.1275192
2753,3.8587625,4.6371307
42,8.943202,1.0301527
958,9.203004,2.2187536
565,7.791157,6.645491
531,3.5856936,1.9913174
3086,9.947279,1.2293888
947,9.951293,1.3350875
415,4.4120398,2.4509914
1262,7.370771,5.9727283
1037,7.633012,6.088868
1849,9.841006,1.3947171
2472,5.972316,4.9703226
928,8.97619,2.5514266
875,6.3672323,5.09186
1520,3.8970916,2.5834475
1411,7.4303885,3.1267571
626,6.661603,4.9130006
779,7.6853185,7.77583
2177,5.8349237,5.3649898
1112,7.490412,7.0120993
1994,4.550806,1.887708
1182,7.981937,6.41241
1035,6.169298,4.93415
658,6.6482024,5.6445336
390,4.0482106,2.2248342
2387,7.736351,7.941353
1903,10.335939,2.2216816
1386,4.2321916,1.1034614
1428,8.855925,2.2038856
326,3.842159,2.1261854
2988,7.7186255,1.8982093
1985,4.3334236,1.7691965
1834,5.544009,5.2129164
2234,5.558604,2.8634934
631,7.829522,2.1533542
1447,10.150553,2.4460907
2095,10.015221,2.4658065
1509,6.963314,3.6864831
1772,7.7379875,8.164033
1785,7.649513,3.2554195
681,5.8836975,5.8916917
998,8.1818,2.9776134
270,3.6325524,1.8980343
304,4.060966,4.435365
1395,7.8348565,3.20867
941,8.096018,1.421191
1840,3.7176676,4.6829066
1165,10.311782,1.7042592
3224,8.020964,2.0570042
1095,8.25779,2.911658
1853,7.916906,7.910329
464,3.6098146,2.0063765
574,7.5978117,8.066753
1119,8.038326,1.3771459
1153,5.6130724,5.3293266
1216,7.286613,3.2366314
1569,6.5599656,5.2245626
122,7.18036,6.866149
3150,8.5578165,3.0721593
2371,6.408057,4.84338
349,3.8811464,1.483659
1169,8.35846,2.5893378
733,7.982193,6.008874
288,3.130402,2.1188385
496,7.9744782,5.3787017
311,4.1415224,4.8762183
3279,9.85518,2.3267484
1425,10.500287,1.8111855
796,9.165974,2.7626994
1074,7.3249087,7.6222663
457,6.339064,6.6395907
1510,5.9221473,4.946843
347,3.393145,1.6439258
3164,8.9780445,0.9818984
2769,4.4481187,1.8030306
1460,4.2505946,1.538273
959,8.869423,1.2095602
553,7.540937,3.0408552
1167,9.522687,1.2786227
908,5.8942766,2.6447988
1081,7.161205,6.629497
1731,9.830321,1.1875937
1268,7.876585,6.2333117
890,8.0464945,1.1579921
1313,6.9042206,6.634011
2383,5.461936,2.750068
1708,6.404751,6.0318136
1297,7.5530334,6.0474453
2049,3.2201264,2.0181382
668,4.205791,1.4910103
3255,7.133573,3.566955
1886,9.773421,2.5772233
264,7.918214,5.6512628
1039,8.259165,2.4245253
1609,8.125637,2.2394497
685,8.971582,0.65781265
2808,3.7560701,4.7860637
1581,4.1113043,1.8450265
2508,9.486501,1.045935
885,9.404282,3.1738274
2031,4.2515087,1.9527205
702,8.616669,1.6116633
1305,7.50101,7.978945
1014,7.2705417,7.7742186
392,4.388717,4.66844
2958,3.5314102,1.7170837
1634,8.364794,0.946742
1807,6.7959704,7.201578
456,3.9863667,2.175172
1142,4.4528947,1.8550482
888,8.658385,0.9810639
953,8.315702,3.2947624
2037,8.100822,1.8069192
79,5.452583,5.493817
525,4.1274295,4.2134504
1533,8.679778,1.4086622
2215,7.292396,7.527747
485,4.0207686,5.0514092
1314,7.9591436,7.833599
755,8.354163,2.9284124
663,7.874788,3.248095
532,4.330239,4.929871
2092,3.632469,2.4300196
1705,6.574334,6.2108636
1347,9.593408,3.0880685
1384,7.3329525,7.6835256
2979,8.005826,7.8545423
2072,6.98035,4.974921
455,3.9049916,4.74543
1113,8.900486,2.804848
659,7.9361176,1.6350927
22,8.800976,1.2102051
1082,9.478762,2.8862035
1656,10.146172,2.6730077
2435,5.6286607,2.926595
839,7.310494,6.0671005
3018,10.003516,2.84988
1627,8.573119,1.6292425
1206,9.216961,3.1524198
1628,10.096057,1.5290153
2823,7.84403,8.067834
1771,10.243288,2.4046175
1389,6.76214,5.0791306
301,3.5108786,2.6556683
1097,10.377311,1.8169662
1023,7.6583395,2.4255743
556,7.9968343,2.7024803
3239,6.0547132,5.2532806
792,9.339028,0.8628994
498,3.8463721,4.37465
1889,10.340648,1.8021655
2077,7.121253,3.493264
917,9.991108,2.5806127
2017,6.5025454,6.5894246
169,5.9576554,2.7828956
386,3.5636804,1.5002937
1027,7.260025,2.0805194
1752,7.490569,6.4002914
309,4.382143,2.2254636
1350,8.703574,2.7231967
611,6.42886,6.117604
1704,9.664442,2.6115937
1763,6.307784,5.948363
2090,8.835462,2.388302
1702,6.9402623,6.058691
448,5.875974,4.8597455
472,7.950304,1.5285183
45,9.469123,1.8498276
3237,6.365708,5.199965
682,6.116512,5.2233534
517,4.2877045,5.0104675
984,9.329185,2.0579455
1534,5.8598046,5.038454
1356,4.077319,4.909311
133,7.8324046,6.3581643
632,8.755717,0.8831462
2501,5.4176426,2.6688786
