,WWWWHITE,WWWMALE,WWWSEX,W12WHITE,AGE65PLM,AGE4049M,W12EDUC3,W1FIPCOM,W12BLACK,W2TOTCL,WWWBLACK,AGE5059M,AGE3039,W2FIPCOM,WWWHOMLN,AGE1829,W1TRUAM2,EDUCAT4,W2CIVLIB,CENSDIV,W12HISP,WWWBRNUS,WWWAGEC1,WWWEDU3,WWWHISP,WWWEDU5,W1STATE,AGE6064M,W12RACE4,W2SECURE,WWWRACE4,RAC3,WWWRACE3,NEWRACE,WWWAGE,COMPLET2,IMPHISP,RACES,W12OTHET,W2MISSCL,USAWT2RC,USAWT1RV,RACWT1RV,RHWT2CC,USAWT2CC,USAWT2NC,RHWT2RC,MULT2
1011,1,-1,1,1.0,-1.0,-1.0,1.0,0.7142857142857141,-1.0,-1.0,-1,-1.0,1.0,-1.0,-1.0,-1.0,-0.19999999999999996,1.0,-1.0,-1.0,-1.0,1.0,-0.33333333333333326,1.0,-1,1.0,-0.12727272727272732,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1,-1.0,-0.6799999999999999,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8427112545876589,-0.9265405190686282,-1.0,-1.0,-1.0,-1.0,-1.0
575,1,-1,1,1.0,1.0,-1.0,0.0,0.4285714285714285,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,0.20000000000000018,0.3333333333333335,-0.09090909090909083,0.41935483870967727,-1.0,1.0,0.9999999999999998,0.0,-1,0.0,0.709090909090909,-1.0,-0.9999999999999999,0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.5733333333333337,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-0.7853859058234252,-0.7750144132041268,-0.8949236680620734,-0.9525156004203708,-0.9140940240621308,-1.0,-0.7853859058234691,-1.0
2316,-1,-1,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,0.8181818181818183,0.29032258064516125,1.0,-1.0,0.9999999999999998,-1.0,1,-1.0,-0.6000000000000001,-1.0,0.3333333333333335,-0.6363636363636362,0.3333333333333335,-1.0,-1,-1.0,0.4933333333333334,1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.9974723854038401,-0.9954271887060829,-0.995424772808337,-1.0,-1.0
1092,1,1,-1,-1.0,-1.0,-1.0,1.0,0.7142857142857141,-1.0,1.0000000000000002,-1,1.0,-1.0,0.9999999999999999,-1.0,-1.0,-0.6,1.0,0.09090909090909105,0.29032258064516125,-1.0,1.0,0.33333333333333326,1.0,-1,0.5,0.8181818181818181,-1.0,1.0,0.09090909090909105,-0.9999999999999999,1.0,-1,1.0,-0.09333333333333327,-1.0,0.1428571428571428,1.0000000000000004,1.0,-0.8181818181818181,-0.7719799892869781,-0.6388246443099759,-0.883885009982436,-0.9430523823023129,-0.8969737278146561,-1.0,-0.7719799892869713,1.0
19,1,-1,1,1.0,-1.0,-1.0,0.0,0.4285714285714285,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,0.3333333333333335,-1.0,0.9999999999999998,-1.0,1.0,0.6666666666666667,0.0,-1,0.0,-0.8181818181818182,1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1,-1.0,0.1200000000000001,1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9976004480941412,-0.9988793232662797,-1.0,-1.0,-1.0,-1.0,-1.0
2198,-1,-1,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,-0.1428571428571429,1.0,-1.0,-1.0,-0.9999999999999999,-0.2727272727272727,0.29032258064516125,1.0,-1.0,0.9999999999999998,-1.0,1,-1.0,-0.6000000000000001,-1.0,0.3333333333333335,0.4545454545454546,0.3333333333333335,-1.0,-1,-1.0,0.3333333333333335,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.9949934298807737,-0.9960968617571282,-0.9954696229441402,-1.0,-1.0
1428,1,-1,1,1.0,-1.0,1.0,-1.0,-0.1428571428571429,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,-1.0,-0.3548387096774195,-1.0,1.0,0.0,0.0,-1,-0.5,0.38181818181818183,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1,-1.0,-0.3599999999999999,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-1.0,-0.16643928922728146,-0.6106972753991875,-1.0,-1.0,-1.0,-1.0,-1.0
1386,-1,-1,1,-1.0,-1.0,1.0,-1.0,0.9999999999999999,1.0,-1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.33333333333333326,-1.0,0.9999999999999998,-1.0,1.0,0.0,0.0,-1,-0.5,-0.8181818181818182,-1.0,-0.33333333333333326,-1.0,-0.33333333333333326,0.0,0,0.0,-0.19999999999999996,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-1.0,-1.0,-0.6240360762521753,-0.624036076252134,-1.0,-1.0,-1.0,-1.0,-1.0
1858,1,-1,1,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.9999999999999999,-1.0,1.0,-1.0,0.3333333333333335,0.8181818181818183,-0.935483870967742,-1.0,1.0,-0.6666666666666666,0.0,-1,0.0,0.49090909090909074,-1.0,-0.9999999999999999,-0.6363636363636362,-0.9999999999999999,-1.0,-1,-1.0,-0.7599999999999999,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.8114579749236495,-0.6589008850727263,-0.6601212754660395,-1.0,-1.0
1967,-1,-1,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,-0.33333333333333326,-0.2727272727272727,0.29032258064516125,-1.0,1.0,0.9999999999999998,0.0,-1,-0.5,-0.1636363636363637,-1.0,1.0,0.4545454545454546,1.0,1.0,1,1.0,0.3866666666666667,-1.0,0.1428571428571428,1.0000000000000004,1.0,-0.8181818181818181,-1.0,-1.0,-1.0,-0.9890968746501265,-0.9802747084886578,-0.9813221214678945,-1.0,-1.0
