,WWWSEX,WWWWHITE,AGE4049M,W12EDUC3,WWWBLACK,AGE65PLM,W1FIPCOM,W2TOTCL,AGE5059M,W2FIPCOM,WWWHOMLN,AGE3039,W1TRUAM2,EDUCAT4,AGE1829,W2CIVLIB,WWWBRNUS,CENSDIV,WWWEDU3,WWWHISP,W12HISP,WWWAGEC1,WWWEDU5,W1STATE,W12RACE4,WWWRACE4,RAC3,WWWRACE3,AGE6064M,NEWRACE,W2SECURE,WWWAGE,COMPLET2,RACES,IMPHISP,W12OTHET,USAWT2RC,USAWT1RV,W2MISSCL,RHWT2CC,RACWT1RV,RHWT2RC,USAWT2CC,USAWT2NC,MULT2
2780,-1,-1,-1.0,1.0,1,-1.0,-1.0,1.0000000000000002,1.0,0.9999999999999999,1.0,-1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0,0.29032258064516125,1.0,-1,-1.0,0.33333333333333326,1.0,0.8181818181818181,-0.33333333333333326,-0.33333333333333326,0.0,0,-1.0,0.0,-0.8181818181818181,-0.1466666666666665,-1.0,-0.5999999999999999,0.1428571428571428,-1.0,-1.0,-1.0,-0.8181818181818181,-0.967397860607682,-1.0,-1.0,-0.9773788515598077,-0.9824715224339297,-0.9999999999999999
210,1,-1,-1.0,0.0,-1,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,1.0,-1.0,0.20000000000000018,0.3333333333333335,1.0,-1.0,1.0,0.29032258064516125,0.0,1,1.0,-1.0,0.0,-0.6000000000000001,0.3333333333333335,0.3333333333333335,-1.0,-1,-1.0,-1.0,-1.0,-0.8666666666666666,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-0.977034403043977,-1.0,-1.0,-0.988510138531515,-1.0,-1.0,-1.0,-0.9999999999999999
3218,1,1,-1.0,-1.0,-1,-1.0,-1.0,1.0000000000000002,-1.0,0.4285714285714285,-1.0,1.0,-1.0,-0.9999999999999999,-1.0,0.09090909090909105,1.0,0.29032258064516125,-1.0,-1,-1.0,-0.33333333333333326,-1.0,0.3090909090909091,-0.9999999999999999,-0.9999999999999999,-1.0,-1,-1.0,-1.0,0.09090909090909105,-0.46666666666666656,-1.0,-0.9999999999999999,0.1428571428571428,-1.0,-1.0,-1.0,-0.8181818181818181,-0.6998097820928599,-1.0,-1.0,-0.5271826493071338,-0.5264332557885368,-0.9999999999999999
1348,1,1,-1.0,1.0,-1,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,1.0,1.0,-1.0,1.0,-0.935483870967742,1.0,-1,-1.0,-1.0,0.5,0.2727272727272727,-0.9999999999999999,-0.9999999999999999,-1.0,-1,-1.0,-1.0,-1.0,-0.84,-1.0,-0.9999999999999999,0.1428571428571428,-1.0,-1.0,-0.7294712643677179,-1.0,-1.0,-0.8646524320004594,-1.0,-1.0,-1.0,-0.9999999999999999
1124,1,1,-1.0,1.0,-1,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,-1.0,1.0,0.20000000000000018,1.0,-1.0,-1.0,1.0,-0.3548387096774195,1.0,-1,-1.0,-0.33333333333333326,0.5,0.38181818181818183,-0.9999999999999999,-0.9999999999999999,-1.0,-1,-1.0,-1.0,-1.0,-0.5466666666666666,-1.0,-0.9999999999999999,0.1428571428571428,-1.0,-1.0,-0.848520173361415,-1.0,-1.0,-0.9242134995803377,-1.0,-1.0,-1.0,-0.9999999999999999
2419,1,-1,-1.0,0.0,-1,-1.0,-1.0,1.0000000000000002,-1.0,-0.1428571428571429,-1.0,1.0,-1.0,0.3333333333333335,-1.0,0.2727272727272727,-1.0,0.29032258064516125,0.0,1,1.0,-0.33333333333333326,0.0,-0.6000000000000001,0.3333333333333335,0.3333333333333335,-1.0,-1,-1.0,-1.0,-0.09090909090909083,-0.4933333333333333,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8181818181818181,-0.99604061986505,-1.0,-1.0,-0.9973126435534255,-0.9980761685857482,-0.9999999999999999
1175,-1,1,-1.0,-1.0,-1,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,-0.9999999999999999,-1.0,-1.0,1.0,-0.3548387096774195,-1.0,-1,-1.0,0.6666666666666667,-1.0,-0.38181818181818183,-0.9999999999999999,-0.9999999999999999,-1.0,-1,1.0,-1.0,-1.0,0.1200000000000001,1.0,-0.9999999999999999,0.1428571428571428,-1.0,-1.0,-0.6755016049073286,-1.0,-1.0,-0.8376510040868363,-1.0,-1.0,-1.0,-0.9999999999999999
1692,1,1,-1.0,1.0,-1,-1.0,-1.0,0.2727272727272727,-1.0,0.7142857142857141,-1.0,-1.0,-1.0,1.0,-1.0,-0.09090909090909083,1.0,-0.935483870967742,1.0,-1,-1.0,0.6666666666666667,1.0,0.2727272727272727,-0.9999999999999999,-0.9999999999999999,-1.0,-1,1.0,-1.0,-0.4545454545454545,0.20000000000000018,-1.0,-0.9999999999999999,0.1428571428571428,-1.0,-1.0,-1.0,-0.09090909090909083,-0.956419199550459,-1.0,-1.0,-0.9313576613079471,-0.931896511569838,-0.9999999999999999
1020,1,1,1.0,-1.0,-1,-1.0,0.4285714285714285,1.0000000000000002,-1.0,0.4285714285714285,-1.0,-1.0,0.20000000000000018,-0.33333333333333326,-1.0,-0.4545454545454545,1.0,-0.29032258064516125,0.0,-1,-1.0,0.0,-0.5,-0.3090909090909091,-0.9999999999999999,-0.9999999999999999,-1.0,-1,-1.0,-1.0,0.6363636363636365,-0.19999999999999996,1.0,-0.9999999999999999,0.1428571428571428,-1.0,-0.7444238235441766,-0.6055368606311565,-0.8181818181818181,-0.899837649362643,-0.8026471145319245,-0.866352204561457,-0.8422383727301351,-1.0,-0.9999999999999999
1238,-1,1,-1.0,1.0,-1,-1.0,0.4285714285714285,1.0000000000000002,1.0,-0.1428571428571429,-1.0,-1.0,-0.19999999999999996,1.0,-1.0,0.2727272727272727,1.0,-0.3548387096774195,1.0,-1,-1.0,0.33333333333333326,1.0,0.9636363636363636,-0.9999999999999999,-0.9999999999999999,-1.0,-1,-1.0,-1.0,-0.09090909090909083,-0.013333333333333197,-1.0,-0.9999999999999999,0.1428571428571428,-1.0,-0.8916278165855951,-0.8348789702114884,-0.8181818181818181,-0.9572431482176282,-0.9173887027002896,-0.9433292116618799,-0.9326554291986218,-1.0,-0.9999999999999999
833,-1,1,-1.0,-1.0,-1,-1.0,0.4285714285714285,-1.0,1.0,-1.0,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,-1.0,-1.0,1.0,-0.3548387096774195,0.0,-1,-1.0,0.33333333333333326,-0.5,0.9636363636363636,-0.9999999999999999,-0.9999999999999999,-1.0,-1,-1.0,-1.0,-1.0,-0.06666666666666665,-1.0,-0.9999999999999999,0.1428571428571428,-1.0,-1.0,-0.35100320981465727,-1.0,-1.0,-0.6753020081735062,-1.0,-1.0,-1.0,-0.9999999999999999
