,CL5R,CL1R,CT2BIN,CL7R,DEMOC,CL2R,CON,MOD,FEMALE,COLGRD,CL9R,WWWWHITE,SOMCOL,REPUB,COMHS,CL8R,INDEP,AGE65PLM,CD4A_A,PTYID3,WWWBLACK,BABS,W12EDUC3,AGE5059M,W2TOTCL,AGE4049M,VPROUD,LIB,AGE3039,FIPCOM,CD8,IDEO3,STRATA,W1TRUAM2,CT1A,COMPLET2,ADVDEG,CD7_A,CL10R,P17_A,PROUD,CL9,WWWHOMLN,INCA,EDUCAT4,FIP1,CENSDIV,W2CIVLIB,CL4A,GT2,CL7,CL2,CL5,CL6B,INCOME,X1,WWWEDU3,MEANFR,WWWAGEC1,WWWEDU5,AGE1829,W1STATE,AGE6064M,CL1,CL8,FIP2,B1,CD5A,WWWRACE3,CD6,NEWRACE,W2SECURE,WWWHISP,LOPROU,V1_B,WWWAGE,WWWRACE4,CLPROP,W12HISP,MNDOG,POLINT,IWER3,GT3,LTHS,B2,DOG2R,USAWT2RC,CL10,DOG3R,DOG5R,DOG1R,DOG6R,DOG4R,WWWBRNUS,DG3,PFR5R,DG2,RACES,PFR1R,F5
1252,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,0.0,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,0.9999999999999999,1.0000000000000004,0.0,1.0,-0.19999999999999996,0.3333333333333335,-1.0,-1.0,0.75,1.0,0.0,-1.0,0.1428571428571428,-1.0,-1.0,0.3333333333333335,-0.9999999999999999,-0.3548387096774195,0.2727272727272727,0.5,0.0,-1.0,0.1428571428571428,0.1428571428571428,0.5,0.0,-0.9387755102040817,0.0,-0.19999999999999973,-0.6666666666666666,0.0,1.0,0.38181818181818183,-1.0,-0.9999999999999999,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.1428571428571428,-1,-0.11111111111111116,-1.0,0.0,-1,-1.0,-0.75,-0.8153846153846154,-0.9999999999999999,0.6944444444444999,-1.0,-0.21739130434781928,0.3333333333333335,1.0,-0.7142857142857142,-1.0,-0.9999999999999999,-0.75,-0.43806925256671303,1.0,-0.5,-0.75,0.5,-0.25,-1.0,1.0,-0.4285714285714285,-0.33333333333333326,-0.5,-0.9999999999999999,-0.4285714285714285,0.3333333333333335
1399,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.7142857142857141,-0.9999999999999999,1.0,1.0,-0.19999999999999996,1.0,-1.0,-1.0,0.75,1.0,0.75,-1.0,0.1428571428571428,-1.0,-1.0,1.0,0.7142857142857144,0.9999999999999998,-1.0,0.5,0.0,-1.0,0.1428571428571428,0.1428571428571428,0.5,0.75,-0.9591836734693877,1.0,0.0,0.0,0.5,-1.0,-0.8181818181818182,-1.0,0.1428571428571428,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.1428571428571428,-1,-0.7777777777777778,-1.0,-1.0,-1,-1.0,-0.75,-0.16923076923076907,-0.9999999999999999,0.9722222222222503,-1.0,-0.39130434782606427,0.3333333333333335,1.0,-0.7142857142857142,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,1.0,-1.0,0.5,-1.0,-1.0,1.0,-0.9999999999999999,0.3333333333333335,-0.25,-0.9999999999999999,-0.9999999999999999,-0.33333333333333326
160,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,0.9999999999999999,-0.9999999999999999,0.0,-1.0,-0.6,1.0,-1.0,-1.0,0.75,-1.0,0.0,-1.0,-0.9999999999999999,-1.0,0.0,-0.33333333333333326,-0.9999999999999999,0.41935483870967727,-0.09090909090909083,0.5,0.0,0.33333333333333326,-0.9999999999999999,-0.9999999999999999,0.0,-0.5,-0.9591836734693877,0.0,-0.9999999999999999,0.9999999999999998,-0.5,-1.0,0.709090909090909,-1.0,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,0.1428571428571428,-1,-0.11111111111111116,-1.0,0.40000000000000013,-1,-1.0,-0.75,0.6923076923076925,-0.9999999999999999,-0.6944444444444999,-1.0,0.30434782608696787,1.0,1.0,-0.7142857142857142,-1.0,-0.9999999999999999,-0.75,-0.9350513251743124,-1.0,-0.5,0.0,0.5,0.0,-0.5,1.0,-0.4285714285714285,-0.9999999999999999,-0.5,-0.9999999999999999,-0.9999999999999999,1.0
2823,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1,1.0,1.0,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,0.9999999999999999,-0.9999999999999999,-1.0,0.0,-1.0,0.3333333333333335,-1.0,-1.0,-0.75,1.0,-0.75,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,-0.9999999999999999,-0.29032258064516125,0.09090909090909105,0.5,0.0,0.33333333333333326,-0.9999999999999999,0.1428571428571428,-1.0,0.25,-0.9387755102040817,1.0,-0.7333333333333333,0.9999999999999998,0.5,-1.0,0.018181818181818077,-1.0,-0.9999999999999999,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.1428571428571428,-1,-0.7777777777777778,-1.0,0.19999999999999996,-1,-1.0,-1.0,0.5692307692307694,-0.9999999999999999,0.0,-1.0,0.04347826086957429,1.0,1.0,-0.7142857142857142,-1.0,-0.9999999999999999,-0.75,-1.0,1.0,-0.5,-0.25,0.5,-0.25,-0.75,1.0,-0.4285714285714285,-0.9999999999999999,-0.5,-0.9999999999999999,-0.7142857142857142,1.0
326,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.1428571428571429,1.0000000000000004,0.0,0.0,-0.19999999999999996,-0.9999999999999999,1.0,-1.0,0.75,1.0,0.0,1.0,0.1428571428571428,-1.0,1.0,-0.33333333333333326,0.1428571428571428,0.29032258064516125,-1.0,0.0,-1.0,-1.0,0.1428571428571428,-0.9999999999999999,0.5,1.0,-0.9183673469387755,0.0,0.19999999999999996,-1.0,-0.5,1.0,-0.5636363636363637,-1.0,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.1428571428571428,0,-0.11111111111111116,0.0,-1.0,-1,-1.0,-0.25,-0.9384615384615385,-0.33333333333333326,0.6944444444444999,-1.0,-0.1304347826086707,0.3333333333333335,1.0,-0.4285714285714285,-1.0,-0.9999999999999999,-0.25,-1.0,1.0,-0.5,-0.75,-0.5,0.0,-1.0,1.0,-0.4285714285714285,1.0,-0.75,-0.5999999999999999,-0.1428571428571428,-0.9999999999999999
762,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,0.4285714285714285,-0.9999999999999999,0.0,1.0,-0.19999999999999996,0.3333333333333335,1.0,1.0,-0.75,1.0,0.0,-1.0,0.1428571428571428,-1.0,1.0,1.0,0.1428571428571428,-0.29032258064516125,0.2727272727272727,-1.0,-1.0,0.33333333333333326,-0.9999999999999999,0.1428571428571428,0.5,0.5,-0.9387755102040817,1.0,-0.19999999999999973,0.0,1.0,-1.0,0.09090909090909083,-1.0,-0.9999999999999999,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.1428571428571428,-1,-0.11111111111111116,-1.0,0.0,-1,-1.0,-1.0,-0.1384615384615384,-0.9999999999999999,0.13888888888899986,-1.0,0.30434782608696787,0.3333333333333335,-1.0,-0.4285714285714285,-1.0,-0.9999999999999999,-0.25,-0.2425122983604332,1.0,1.0,-0.75,1.0,-0.25,-1.0,1.0,-0.9999999999999999,-0.33333333333333326,-0.75,-0.9999999999999999,-0.4285714285714285,0.3333333333333335
122,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.9999999999999999,1.0000000000000004,-1.0,-1.0,-0.19999999999999996,0.3333333333333335,-1.0,1.0,-1.0,1.0,-0.75,-1.0,0.1428571428571428,1.0,-1.0,1.0,-0.9999999999999999,0.41935483870967727,-1.0,0.0,-1.0,0.33333333333333326,0.1428571428571428,-0.9999999999999999,-1.0,0.0,-0.9591836734693877,1.0,0.3333333333333335,0.0,1.0,-1.0,0.709090909090909,-1.0,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-1,-0.11111111111111116,-1.0,-1.0,1,-1.0,-0.75,-0.29230769230769216,0.3333333333333335,-0.13888888888899986,1.0,-0.1304347826086707,1.0,1.0,-0.7142857142857142,-1.0,-0.9999999999999999,-0.75,-1.0,1.0,-0.5,-0.75,1.0,-0.25,-1.0,-1.0,-0.4285714285714285,0.3333333333333335,-0.5,-0.9999999999999999,-0.1428571428571428,-0.33333333333333326
3232,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-1,1.0,1.0,-1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,0.9999999999999999,-0.9999999999999999,0.0,1.0,-1.0,0.3333333333333335,-1.0,-1.0,0.0,1.0,0.0,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,-0.9999999999999999,0.9999999999999998,0.6363636363636365,0.5,0.0,-1.0,0.1428571428571428,0.1428571428571428,0.5,-0.25,-0.9183673469387755,1.0,-0.7333333333333333,0.9999999999999998,0.5,-1.0,-0.8181818181818182,-1.0,0.1428571428571428,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.1428571428571428,-1,-1.0,-1.0,-0.4,-1,-1.0,-1.0,0.9692307692307693,-0.9999999999999999,0.75,-1.0,-1.0,0.3333333333333335,1.0,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.1428571428571428,-0.9999999999999999,-0.25,-0.9999999999999999,-0.7142857142857142,1.0
1096,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,0.1428571428571428,-0.9999999999999999,0.0,1.0,-0.19999999999999996,0.3333333333333335,-1.0,-1.0,0.75,1.0,0.0,-1.0,0.1428571428571428,-1.0,-1.0,-0.33333333333333326,0.1428571428571428,0.29032258064516125,0.6363636363636365,0.75,-1.0,0.33333333333333326,0.1428571428571428,0.1428571428571428,0.5,-0.25,-0.9795918367346939,0.0,0.6000000000000001,0.33333333333333326,-0.5,-1.0,0.3090909090909091,-1.0,-0.9999999999999999,0.7142857142857144,0.7142857142857144,-0.9999999999999999,0.1428571428571428,-1,-0.11111111111111116,-1.0,-0.4,-1,-1.0,-0.75,-0.07692307692307687,-0.9999999999999999,0.41666666666675,-1.0,-0.39130434782606427,0.3333333333333335,-1.0,-0.4285714285714285,-1.0,-0.9999999999999999,-1.0,-0.295665220020071,1.0,-1.0,-1.0,1.0,-0.25,-1.0,1.0,-0.1428571428571428,1.0,-0.25,-0.9999999999999999,-0.1428571428571428,-0.9999999999999999
1579,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,0.4285714285714285,-0.9999999999999999,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-0.75,1.0,-0.75,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,0.1428571428571428,-0.935483870967742,-0.2727272727272727,0.5,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,0.0,0.75,-0.9795918367346939,-1.0,-0.8666666666666666,0.0,-1.0,-1.0,0.49090909090909074,-1.0,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,0.1428571428571428,-1,-0.11111111111111116,-1.0,0.6000000000000001,-1,-1.0,-1.0,-0.3538461538461539,-0.9999999999999999,-0.5,-1.0,-0.04347826086957429,0.3333333333333335,1.0,-0.7142857142857142,1.0,-0.9999999999999999,-0.25,-1.0,1.0,-1.0,-0.25,1.0,-0.75,-1.0,1.0,-0.1428571428571428,-0.9999999999999999,-0.75,-0.9999999999999999,-0.7142857142857142,1.0
