,CL1R,CL7R,CL5R,CT2BIN,CL2R,DEMOC,MOD,FEMALE,COLGRD,CON,CL9R,WWWWHITE,SOMCOL,W12WHITE,REPUB,INDEP,CL8R,BABS,COMHS,IWER3,PTYID3,AGE65PLM,AGE4049M,CD4A_A,W12EDUC3,WWWBLACK,LIB,CD8,W2TOTCL,AGE5059M,FIPCOM,VPROUD,IDEO3,AGE3039,STRATA,DOG6R,W1TRUAM2,CT1A,DOG4R,CD7_A,SEC8,COMPLET2,ADVDEG,WWWHOMLN,SEC5,PROUD,CENSDIV,EDUCAT4,AGE1829,F2,INCA,GT2,W2CIVLIB,CL7,CL2,P17_A,CL5,INCOME,AGE6064M,CL6B,WWWAGEC1,WWWEDU3,FIP2,CL4A,CL9,CL10R,WWWEDU5,MEANFR,B1,W1STATE,CD5A,FIP1,CL1,CL8,SEC4,W2SECURE,WWWHISP,W12HISP,RAC3,WWWRACE3,W12RACE4,WWWRACE4,WWWAGE,NEWRACE,CD6,POLINT,LOPROU,B2,CLPROP,MNDOG,LTHS,IWER1,V1_B,DOG2R,USAWT2RC,P1,WWWBRNUS,DOG3R,DOG5R,CL10
210,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-1,-1.0,1.0000000000000004,-1.0,-1.0,-0.1428571428571429,-1.0,0.0,-1.0,-1.0,-0.25,0.20000000000000018,-0.33333333333333326,-0.5,0.75,-0.7142857142857142,-1.0,-1.0,1.0,1.0,1.0,0.29032258064516125,0.3333333333333335,1.0,1.0,0.0,-1.0,-1.0,-0.9999999999999999,0.1428571428571428,-0.1428571428571428,0.1428571428571428,-0.5,-1.0,0.5,-1.0,0.0,0.1428571428571428,0.0,0.1428571428571428,1.0,0.0,-0.06666666666666665,-1.0,-0.6000000000000001,-0.9999999999999999,0.1428571428571428,-0.9999999999999999,0.33333333333333326,0.3333333333333335,-1.0,1,1.0,-1.0,-1,0.3333333333333335,0.3333333333333335,-0.911764705882353,-1.0,-1.0,-0.33333333333333326,-1.0,-0.9999999999999999,0.6901408450704831,0.1666666666666501,-1.0,1.0,-0.75,-0.75,-1.0,-0.5,1.0,-0.25,0.5,0.1428571428571428
642,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1,-1.0,-0.9999999999999999,0.8181818181818183,-1.0,0.9999999999999999,1.0,-1.0,1.0,1.0,0.0,0.20000000000000018,0.3333333333333335,1.0,-0.75,-0.4285714285714285,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,-0.935483870967742,0.3333333333333335,-1.0,0.3333333333333335,-1.0,0.0,0.4545454545454546,0.1428571428571428,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.0,-1.0,0.5,-0.33333333333333326,0.0,-0.9999999999999999,0.5,0.1428571428571428,1.0,0.0,-0.33333333333333326,-1.0,0.49090909090909074,0.1428571428571428,-0.9999999999999999,0.1428571428571428,-1.0,-0.33333333333333326,-0.4545454545454545,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.5294117647058825,-1.0,-0.11111111111111116,0.3333333333333335,-1.0,-0.9999999999999999,0.12676056338040653,0.75,-1.0,1.0,-1.0,0.0,-0.35805842930582754,-1.0,1.0,-0.25,0.5,0.1428571428571428
1323,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-0.5999999999999999,-1.0,1.0,0.1428571428571428,1.0,-1.0,-1.0,1.0,-1.0,0.20000000000000018,-0.33333333333333326,0.0,0.75,-0.7142857142857142,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,0.29032258064516125,-0.33333333333333326,-1.0,0.3333333333333335,-1.0,0.0,-1.0,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,0.75,-1.0,0.5,0.33333333333333326,0.0,0.7142857142857144,0.0,-0.9999999999999999,-1.0,-0.5,0.19999999999999996,-1.0,-0.6000000000000001,0.1428571428571428,0.1428571428571428,-0.9999999999999999,0.33333333333333326,-0.9999999999999999,-1.0,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.08823529411764719,-1.0,-0.11111111111111116,1.0,-1.0,-0.9999999999999999,-0.7183098591549617,-0.1666666666666501,-1.0,1.0,-0.75,-1.0,-1.0,-1.0,1.0,0.0,-1.0,-0.9999999999999999
1247,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,0.9999999999999999,1.0,0.0,-1.0,1.0,-0.25,0.20000000000000018,-0.33333333333333326,0.5,-0.75,-0.7142857142857142,-1.0,-1.0,1.0,-0.33333333333333326,-1.0,-0.935483870967742,1.0,-1.0,0.3333333333333335,-1.0,0.0,-0.09090909090909083,0.1428571428571428,-0.9999999999999999,-0.1428571428571428,0.1428571428571428,0.5,-1.0,0.5,0.0,1.0,-0.9999999999999999,-1.0,-0.9999999999999999,1.0,0.5,0.06666666666666687,-1.0,0.19999999999999996,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,-1.0,0.3333333333333335,0.2727272727272727,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.32352941176470607,-1.0,-0.7777777777777778,0.3333333333333335,-1.0,-0.9999999999999999,-0.4366197183099234,0.5,-1.0,1.0,-1.0,0.0,-0.6055557137717151,-1.0,1.0,-0.25,-0.5,0.1428571428571428
1000,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,-1,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,1.0,-1.0,0.20000000000000018,0.3333333333333335,-1.0,-0.75,-0.7142857142857142,-1.0,-1.0,-1.0,0.3333333333333335,1.0,0.35483870967741926,0.3333333333333335,-1.0,-0.33333333333333326,-1.0,-1.0,0.09090909090909105,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,0.75,-1.0,0.0,0.0,0.0,-0.9999999999999999,-1.0,0.1428571428571428,-1.0,0.0,0.6000000000000001,-1.0,-0.0181818181818183,0.1428571428571428,-0.9999999999999999,-0.9999999999999999,0.33333333333333326,-0.9999999999999999,0.09090909090909105,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.2941176470588236,-1.0,-0.11111111111111116,0.3333333333333335,-1.0,-0.9999999999999999,-0.4366197183099234,-0.66666666666665,-1.0,1.0,-1.0,-1.0,-0.4744129212828304,-0.5,1.0,-0.25,-1.0,-0.9999999999999999
1017,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-1,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,0.4285714285714285,1.0,0.0,-1.0,1.0,-0.25,-0.6,-0.33333333333333326,-1.0,0.75,-0.9999999999999999,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-1.0,0.3333333333333335,1.0,-0.33333333333333326,-1.0,1.0,0.2727272727272727,-0.9999999999999999,0.1428571428571428,-0.1428571428571428,-0.9999999999999999,0.5,-1.0,0.5,-0.6666666666666666,0.0,-0.9999999999999999,0.5,0.1428571428571428,1.0,0.0,0.19999999999999996,-1.0,-0.12727272727272732,0.1428571428571428,0.1428571428571428,-0.9999999999999999,0.33333333333333326,-0.9999999999999999,-0.09090909090909083,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.735294117647059,-1.0,-0.7777777777777778,0.3333333333333335,-1.0,-0.9999999999999999,0.40845070422544505,-0.66666666666665,-1.0,1.0,-1.0,-1.0,-0.22137705651660644,-1.0,1.0,-1.0,-1.0,0.1428571428571428
932,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,1.0000000000000004,0.8181818181818183,-1.0,-0.1428571428571429,1.0,0.0,1.0,1.0,-0.75,-0.19999999999999996,0.3333333333333335,-1.0,-0.75,-0.7142857142857142,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,0.41935483870967727,1.0,-1.0,-0.33333333333333326,-1.0,0.0,0.09090909090909105,-0.9999999999999999,0.1428571428571428,-0.1428571428571428,0.1428571428571428,-0.25,-1.0,0.5,-0.33333333333333326,1.0,1.0,0.5,-0.9999999999999999,1.0,0.5,-0.19999999999999973,-1.0,-0.8545454545454545,0.1428571428571428,0.1428571428571428,0.1428571428571428,0.33333333333333326,-0.9999999999999999,-0.09090909090909083,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.5588235294117649,-1.0,-0.11111111111111116,0.3333333333333335,-1.0,-0.9999999999999999,0.6901408450704831,-0.3333333333333499,-1.0,1.0,1.0,-1.0,-0.8084491032974168,-1.0,1.0,0.0,-0.5,0.1428571428571428
968,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1,1.0,1.0000000000000004,1.0000000000000002,-1.0,-0.1428571428571429,1.0,1.0,1.0,1.0,0.0,0.20000000000000018,1.0,-1.0,0.75,-0.7142857142857142,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-0.935483870967742,0.3333333333333335,-1.0,-0.9999999999999999,-1.0,-1.0,0.09090909090909105,0.1428571428571428,0.1428571428571428,0.7142857142857144,-0.9999999999999999,-0.25,-1.0,-1.0,-0.33333333333333326,0.0,0.1428571428571428,0.0,-0.9999999999999999,-1.0,0.0,0.7333333333333334,-1.0,0.49090909090909074,0.1428571428571428,0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,0.09090909090909105,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.5882352941176472,-1.0,-0.33333333333333337,-0.33333333333333326,-1.0,-0.9999999999999999,-0.7183098591549617,0.5833333333333499,-1.0,1.0,-0.75,0.0,-0.1509857505367006,-1.0,1.0,0.0,0.5,-0.9999999999999999
3234,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-0.9999999999999999,1.0000000000000002,-1.0,0.4285714285714285,1.0,0.0,1.0,1.0,-0.25,-1.0,0.3333333333333335,-0.5,-0.75,-0.7142857142857142,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,0.29032258064516125,-0.33333333333333326,-1.0,1.0,-1.0,0.0,0.2727272727272727,-0.9999999999999999,-0.9999999999999999,-0.1428571428571428,-0.9999999999999999,0.5,-1.0,0.5,-0.33333333333333326,0.0,-0.9999999999999999,0.75,0.1428571428571428,1.0,-0.5,-0.19999999999999973,-1.0,0.3090909090909091,0.1428571428571428,0.1428571428571428,-0.9999999999999999,0.33333333333333326,-0.33333333333333326,-0.09090909090909083,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,-0.47058823529411775,-1.0,0.33333333333333326,0.3333333333333335,-1.0,-0.9999999999999999,0.23943661971832042,0.0,-1.0,1.0,-1.0,-0.5,-1.0,-1.0,1.0,-0.25,-1.0,0.1428571428571428
1764,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1,-1.0,-0.9999999999999999,1.0000000000000002,1.0,0.4285714285714285,1.0,-1.0,-1.0,1.0,-0.75,-1.0,1.0,0.5,-0.75,-0.7142857142857142,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,0.29032258064516125,1.0,-1.0,0.3333333333333335,-1.0,0.0,0.2727272727272727,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,-0.9999999999999999,0.75,-1.0,0.5,0.33333333333333326,1.0,-0.9999999999999999,0.5,0.1428571428571428,1.0,0.5,0.3333333333333335,-1.0,0.8181818181818181,0.1428571428571428,0.1428571428571428,-0.9999999999999999,0.33333333333333326,-0.9999999999999999,-0.09090909090909083,-1,-1.0,-1.0,-1,-0.9999999999999999,-0.9999999999999999,0.11764705882352922,-1.0,-0.7777777777777778,0.3333333333333335,-1.0,-0.9999999999999999,0.23943661971832042,0.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,0.1428571428571428
