,UMAP_1,UMAP_2
1011,9.80537,7.574635
575,7.9786644,-3.811224
2316,-0.21239497,13.407597
1092,14.991646,-5.072579
19,8.778233,4.587904
2198,-0.13446273,13.261289
1428,9.724383,5.056157
1386,-4.1809793,7.6169763
1858,12.011553,10.952534
1967,-4.0591807,4.975247
1147,8.199573,-4.0843983
267,-7.020595,5.341666
2243,-0.065081075,12.637797
936,14.44583,-4.345328
1528,-4.3136973,5.130628
1454,12.17121,10.825877
1196,7.6844835,2.8411934
419,-4.0842485,7.0672417
1826,15.083461,-3.4418821
3202,14.490295,14.182314
2417,0.17018549,12.153193
1260,15.651285,-4.012955
2741,-5.923007,4.530535
1831,12.091311,10.882493
443,-4.911478,7.102589
3072,14.1746645,14.853322
1642,8.522809,-4.175142
2742,-5.4471025,3.700379
3189,14.8155155,-4.196348
928,9.830186,5.238675
698,-7.1690006,6.4266663
137,12.438419,2.1031513
610,8.446318,4.838701
2357,-0.02274994,12.292768
567,7.8705974,-4.0054145
1575,14.452638,14.189695
307,7.9781146,3.3367214
185,7.9938207,-4.1809616
1872,-4.3535857,5.2419987
3243,12.061846,10.932406
2048,-6.555679,6.256333
3188,13.761711,14.578736
465,-4.996662,7.1131463
729,14.562599,-4.439145
695,-7.0640097,5.2773
2782,-6.021969,4.431596
449,-4.725313,6.8528337
2828,-7.0525293,6.381316
3155,11.922164,10.384516
1198,9.709161,5.0828547
1356,-6.7701087,5.2882476
2698,14.131583,14.708325
811,-4.4931774,6.9774537
868,7.6914725,2.8520317
2237,8.426996,-4.3251476
418,-3.9223423,5.037813
3173,12.93711,-3.29612
1714,13.796085,13.489264
1712,-4.1560335,5.124396
1118,-4.4327154,7.8334413
399,7.707777,2.7453675
3168,14.922138,-4.244304
329,-7.0176835,5.371072
1781,8.839567,-3.9560962
1481,15.2451935,-4.750138
439,-4.178202,6.795928
1527,12.060139,2.3348846
2995,-5.376169,3.9864185
411,-4.1466565,6.865892
747,8.641958,5.363097
3140,15.070805,-3.4635823
2878,8.706339,-3.4036367
1079,11.344868,7.9182353
926,14.820301,-4.6691008
1817,15.254282,-4.443776
2401,0.24602927,12.203505
3008,-5.4165115,3.7052698
1351,-4.167234,6.8614025
3264,14.861924,-3.42236
3283,-4.2917247,5.2798457
724,9.639457,5.6401052
1524,9.060535,-3.9183965
2071,14.421161,14.061397
451,-4.672159,7.6354184
2767,-6.997138,5.327446
680,9.834819,5.486668
865,15.337092,-4.650085
2406,-0.15645365,13.300981
1535,12.351249,2.9792185
1482,12.630021,2.0163345
72,8.425983,4.733459
444,9.939238,7.8213534
3079,14.098191,14.781982
1868,12.092535,11.010612
211,9.755644,5.643328
424,-4.1313562,7.127505
29,-0.6491441,11.987605
540,15.615096,-3.5526497
1885,9.04581,-3.807982
1951,14.896462,-4.295094
603,7.962213,3.3143992
1703,-5.998084,4.433203
684,15.02455,-4.952704
771,15.011652,-3.874631
515,-4.912166,7.068659
2538,-0.5141064,12.64495
2488,-0.7140741,13.278821
569,10.072553,7.9490013
1243,13.524702,14.150883
1186,-4.5064597,5.2051344
780,8.481138,5.023277
462,-5.9593897,4.8085265
1324,8.481319,5.0403695
2476,-0.32295445,13.385803
712,10.123277,7.9881444
2700,-6.5441117,6.287074
779,11.937725,10.326777
2076,-0.08686467,12.674455
693,12.57673,2.6100492
337,-4.2775073,6.765671
1744,15.712658,-3.6245096
2500,-1.0765378,12.702818
2819,-6.6861243,5.6166053
144,8.105927,3.048603
1653,15.670891,-3.543824
898,12.323019,1.9094167
2376,-0.42111614,12.447731
1600,8.5988865,-3.5229092
1429,-4.164004,7.563584
2941,-5.9196715,4.5360293
2033,-6.873148,6.405877
1150,12.02444,10.33374
1282,14.366288,13.984336
1788,14.272605,14.860421
1206,12.113249,2.0941293
1172,15.108214,-4.996521
222,13.455454,13.955632
258,-0.73709106,12.013245
393,-7.0417542,5.275275
2119,-1.0892112,12.422977
53,-0.100591026,12.316831
960,8.181315,-4.4830003
691,9.661975,5.6970468
2283,-1.0034825,12.364026
2183,8.760187,-4.671693
2467,-0.5305721,12.799068
877,7.899884,-4.0344534
2104,-0.5143213,12.368825
947,7.9522333,-3.6992192
1944,14.427244,14.182195
318,-4.352067,7.77377
1067,7.7221484,2.7938912
1950,-5.6773863,5.362532
2899,8.559544,-4.593375
377,-7.073812,6.523045
1675,12.03578,11.076716
