,W3IWER4_A
2780,1
210,0
3218,0
1348,0
1124,0
2419,1
1175,0
1692,1
1020,1
1238,1
833,0
642,0
1323,0
353,0
2418,0
2283,1
1247,0
797,0
1600,1
1000,1
1894,0
2021,0
1779,0
1968,0
3121,1
1017,1
344,0
1586,0
2096,0
2354,0
1932,0
932,1
968,1
3234,0
431,0
1764,1
2902,0
891,1
2055,0
2056,1
2199,0
1635,0
2961,0
1179,1
660,0
324,0
2339,0
508,1
1973,0
2032,1
868,0
1753,1
2803,0
3168,1
1677,0
1778,1
545,0
428,0
1652,0
1070,0
2050,0
1851,1
46,0
1040,0
2929,0
893,0
586,1
1768,0
1653,1
1515,0
1590,0
1815,0
81,1
1896,1
2287,0
1459,0
1379,0
1183,0
516,0
127,0
404,0
2467,0
1552,1
1190,0
1338,1
387,0
1935,1
1493,1
391,1
803,0
879,0
2070,1
734,1
1341,0
1809,0
1093,0
1362,1
1648,0
2196,0
1969,1
1729,0
161,0
892,1
2023,0
989,1
2718,0
598,0
1131,0
1330,0
146,0
1417,0
2154,0
2813,0
1121,0
829,0
3267,0
1856,0
1691,1
583,0
3157,0
943,1
1660,0
1952,1
1101,0
3217,0
2775,0
1981,0
1468,0
2878,0
2245,0
1337,1
2136,0
2850,1
2061,0
124,1
1862,1
1844,0
1435,1
59,0
728,0
1723,1
1495,0
538,0
805,1
94,0
1445,0
2189,0
1672,0
297,0
2243,1
2404,1
3095,0
543,1
274,0
1177,0
1883,1
2034,0
635,0
2753,0
1271,0
503,0
42,0
958,0
1963,0
565,1
531,0
246,0
699,0
3086,1
947,0
1943,0
1464,1
415,0
1262,0
2422,0
1037,0
1928,1
1697,0
1571,1
29,0
1404,0
1849,1
370,0
1875,1
1380,0
1573,1
2472,0
928,0
2313,1
306,0
1501,0
875,0
1931,0
1520,0
2111,0
991,0
1567,1
1923,1
1411,1
845,0
453,0
626,1
779,0
1477,0
329,1
2713,1
2177,0
1112,0
1632,0
2214,0
2976,1
1994,0
835,0
454,0
217,0
2796,0
1182,1
2260,1
1035,1
284,0
1060,1
658,1
2373,0
390,0
2387,1
2463,0
2030,0
1978,0
655,1
942,0
1614,1
2289,1
1903,0
1293,0
638,1
1386,0
3191,1
1428,0
1450,0
1140,0
2281,0
925,0
326,0
2988,0
2080,0
1659,1
1734,1
35,1
3124,0
1046,0
1681,1
1985,0
489,0
1834,0
2234,1
993,1
609,0
1892,1
1011,0
1138,1
1279,1
2083,1
114,0
631,0
1079,0
1427,1
1736,1
2288,0
1276,1
1447,0
2376,0
2095,0
1509,1
1772,1
276,0
1785,1
681,0
998,0
3207,1
2066,0
1440,1
270,0
125,0
304,0
1395,0
3233,0
1215,0
941,1
1164,0
870,0
1761,1
2170,1
2038,0
1840,0
305,0
1165,1
2732,0
1618,0
2277,0
100,0
3224,1
1514,1
1095,0
2401,1
1853,0
14,0
464,0
2872,0
