,UMAP_1,UMAP_2
210,7.7674594,7.131483
642,10.909283,9.138314
1323,11.039935,6.810138
1247,7.4386635,10.217244
1000,10.788299,8.658471
1017,8.377617,8.163097
932,7.2840323,9.613366
968,9.030718,7.7523966
3234,10.101181,7.5693693
1764,8.745464,10.930249
2902,6.458886,4.8689923
891,7.883309,10.018168
1635,7.260147,9.865925
508,7.085668,4.7924733
1973,6.7764997,5.278572
1753,7.524422,10.014463
3168,9.109633,7.8890033
2050,6.48473,5.312302
46,10.021223,8.375948
1040,7.9257774,9.843754
586,11.018116,7.207627
1768,8.900223,7.1046515
81,9.520304,8.737244
1896,11.1975,8.317867
1379,5.750633,6.95399
516,6.8243947,5.1115603
1552,9.699546,7.2385826
1190,6.902689,8.782759
391,6.0477605,5.662395
2070,9.406669,7.3527164
1969,6.2327685,8.698158
892,10.705056,7.324343
2718,5.5962806,6.4195633
146,6.4472294,8.875939
2813,5.676159,6.278316
829,9.70865,9.206011
1691,5.897455,8.204191
943,10.764027,9.101445
2878,10.889072,6.847145
2061,7.5619454,7.744989
124,6.7565703,4.8178635
94,9.094182,10.733178
1672,6.8755546,6.011543
2243,8.094754,7.1365776
3095,10.683275,8.445936
274,9.009657,6.7156305
2753,5.8903766,6.5104704
42,10.826447,7.3491
958,10.312853,8.153697
565,7.3672533,10.308217
531,6.266909,5.510997
3086,11.482942,8.146745
947,11.191979,7.8204026
415,6.329507,6.0204144
1262,7.0492687,9.543843
1037,8.185462,9.981149
1849,11.205719,8.000927
2472,6.2860193,8.056758
928,9.8329115,8.238668
875,5.772984,8.032986
1520,7.885648,5.71908
1411,8.372622,7.527916
626,7.5099306,10.4720335
779,9.019307,10.473003
2177,6.251555,8.574409
1112,8.6396885,10.738596
1994,6.92181,5.8965487
1182,7.792348,10.413429
1035,5.985338,8.136725
658,6.1790886,8.685444
390,6.1566076,5.5818505
2387,9.021881,10.708152
1903,11.201103,8.328379
1386,11.099527,7.906676
1428,9.991306,7.988167
326,6.329127,5.830499
2988,9.291481,7.0173616
1985,7.0631533,5.933916
1834,7.327416,8.1830635
2234,8.024373,6.8989134
631,9.619362,7.0533686
1447,11.130601,8.398344
2095,10.254512,9.000782
1509,6.7244377,7.896457
1772,8.518826,10.768939
1785,8.404471,8.050916
681,7.1892185,8.872033
998,8.652883,8.42589
270,6.534593,5.5122204
304,5.921509,6.1101284
1395,8.258367,8.003954
941,10.076744,6.9673324
1840,5.4038315,6.6426706
1165,11.049504,9.061885
3224,9.253011,7.3361497
1095,8.99235,8.419996
1853,9.025462,10.779463
464,6.4824953,5.382693
574,8.662643,10.675851
1119,10.071409,7.1775002
1153,6.9862876,8.193932
1216,7.974035,7.9970965
1569,5.81077,8.327074
122,7.934235,9.10153
3150,9.069333,7.865439
2371,5.8588266,8.113508
349,6.3370266,5.1719174
1169,9.082213,8.498544
733,7.9437933,10.02416
288,6.507693,4.766792
496,9.253726,9.933518
311,5.6077137,6.8609586
3279,10.499064,8.756589
1425,11.192111,8.990019
796,10.188415,9.108799
1074,8.882467,10.453208
457,6.6553335,6.484932
1510,6.529277,8.239859
347,6.164422,5.207979
3164,10.471605,7.048263
2769,6.970348,5.64064
1460,7.0533338,5.452539
959,10.8708105,6.9097996
553,8.197302,7.917312
1167,11.160231,7.407029
908,8.105465,6.8102784
1081,7.8882017,9.505496
1731,10.537134,7.8157797
1268,7.422019,9.903775
890,9.782081,6.8069477
1313,8.413295,10.344972
2383,8.089338,6.9760985
1708,6.5326056,9.281945
1297,7.29146,9.505852
2049,6.559268,4.841145
668,7.468004,5.6460156
3255,7.9046197,7.867102
1886,10.0861635,8.555527
264,7.7827544,10.180471
1039,9.6129675,7.873
1609,9.472598,8.595971
685,11.030392,7.059225
2808,5.598918,6.4360013
1581,6.857808,5.8102307
2508,10.530772,7.053374
885,9.673606,8.856318
2031,6.611618,5.66749
702,11.144685,6.9151998
1305,8.660472,10.779116
1014,8.823672,10.073988
392,5.9781737,6.9559064
2958,6.550426,5.091031
1634,10.06553,6.6616516
1807,7.7072906,8.647176
456,6.3138876,5.588912
1142,7.068828,5.774103
888,10.479385,6.8587284
953,8.892031,7.7244024
2037,9.480989,7.130987
79,7.3672347,8.036201
525,6.2369356,6.6455107
1533,10.038032,7.282755
2215,8.5520115,10.204425
485,5.5549564,6.9184456
1314,8.786126,10.832083
755,8.858171,8.169698
663,8.322729,7.749234
532,5.8029985,7.1613216
2092,7.651566,5.5026517
1705,6.6456475,9.208992
1347,9.985823,8.976072
1384,8.634476,10.165786
2979,9.160232,10.494359
2072,7.2815766,8.975004
455,5.4825077,6.5456853
1113,8.786524,8.956737
659,9.638104,7.8116875
22,10.468152,7.318767
1082,10.253968,8.63599
1656,10.742756,9.058401
2435,7.936695,6.9469547
839,6.966734,9.331513
