,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-1.725230843747992,1.9375590736499313,-1.07055956688925,-0.3959252136901927,-2.1417916077591097,-0.46545354058886,0.7382407162797167,0.21538746907439943,-0.1104835591316903,-2.009606263139791,0,0,0,0,0,0,0
575,-1.9010760315025352,0.03713050502282296,0.6649019750253181,-1.5157819796741545,0.8557571070691958,-0.8395889494803365,-0.5466306221701229,0.7262353865591307,0.22613245701300366,0.5995440897667967,1,0,1,1,1,0,0
2316,2.1794010983797887,-1.8534961131227738,4.1382775593717085,-0.8003655581371827,1.0752787057927524,0.13451648077207418,1.3940946258590414,-0.16608256059190474,0.2692128103220389,-0.3523384638458933,0,0,1,0,1,1,1
1092,0.34197005486378257,-1.2149896839961083,-2.044933228264771,0.46188542426089346,1.5013668028550613,-0.9624758842295766,0.28046486629867706,1.8494329739672848,-1.5283314177596865,0.530841932769808,1,0,1,1,1,1,1
19,-1.1919198728272546,2.254844541316197,1.4795677267760148,-0.9824002735660904,0.5834547895450435,0.7678915586620324,2.2697449238371976,-0.6234999760257017,-0.13092568972139268,0.8583419735948526,0,0,0,0,0,0,0
2198,2.1011107458201295,-1.8617172919343012,4.011716565906476,-0.08027283187228984,0.5406931583585404,-2.1612451819307057,0.11407378789134055,-0.20727195268546478,-0.04736437496036635,-0.9498509652427488,1,0,1,0,1,1,1
1428,-1.136848944013338,2.497865392521977,1.2083202172147498,-0.20330426554426395,-0.6062693688033383,-0.5163420391386021,-0.8227597153760008,-1.1831652609874501,1.1876426743970194,-0.32893753493747635,0,0,0,0,1,0,0
1386,2.9641149168901815,3.47041985243822,0.14025413949238325,-0.4801708808200335,0.0049965827513078565,-1.083574445191751,-0.7787538950311047,-0.23744909981784032,0.8709751415819946,1.8148662559397128,0,0,0,0,0,0,0
1858,-1.3729883817886144,-1.2616763335675367,-0.021521547980444214,-0.6318089505483978,-2.1799589534526445,1.0257647453272047,-1.5215322650027359,-0.7498213602058632,-0.31830456686828684,-0.46897522997458035,0,0,1,1,1,1,1
1967,2.8942438341047434,-1.045421071940784,0.8622780266966674,-1.7677064786942431,1.4183606200786159,-1.0205162913852925,-0.8080108908693419,0.6829087376893231,-0.4675497228734941,-0.34739543388073246,0,0,1,1,1,1,1
1147,-2.0737911806177625,0.6443238795261981,-0.6568253205836322,-1.707576299163314,0.57878054497147,-1.1890440449154316,0.15235654218638728,0.8083173251158409,0.2833715770802788,-0.657812970256348,0,0,1,1,1,1,1
267,2.370534605803035,-0.3507625278242959,-2.236107887626079,-1.2691412236173882,-1.5388370895203922,-0.4511241864764551,0.008939558980020076,1.5527766997525458,0.3497797262242567,-1.5988315374590567,0,0,1,1,1,1,1
2243,1.534722798835272,-1.999849201535933,2.133944315121563,-0.3263443934251397,-0.05387352477123705,-2.2831442601684695,0.87483258010285,0.017543834716246116,-0.20673563388411156,-0.7253282845112989,1,0,1,0,1,1,1
936,-1.5227198276931617,0.38635559012337695,1.1472038922690952,1.2548961932538425,2.05508602289671,0.3917013377338765,-1.947776853352931,1.2949404131295317,-0.661328747662767,1.1258263322571145,0,0,0,1,0,0,0
1528,3.1019310154207225,-1.105134966986958,-0.5344286273527056,1.1016032670971536,1.2989509150585843,-0.377825463526789,-1.1935717049569488,0.03351217860850272,0.9543401616494069,-0.4267872422306929,1,0,1,1,1,1,1
1454,-1.5623657744127577,-0.05710078218217573,-0.0154432399210832,-0.03149327958366953,-2.527454236537191,0.7279798618814892,-1.5227850814004245,0.7181084708509538,-0.16503720823530507,0.8103800280671369,1,0,1,1,1,1,1
1196,-1.4258143753957326,2.445975313333945,1.3375939280892992,-0.9765185787018822,0.8115645734588444,-0.4850985577920657,-0.7051542957480388,-0.8292408548701719,-0.07961431890386303,-1.6240418669115757,0,0,0,0,0,0,0
419,2.3262590943085595,1.9275969516059794,-1.5205546889291617,-1.6711059253905662,0.6343123917216476,-1.7381697684421127,1.173778415513755,-0.7830500535416461,-0.923029057038096,0.753214745294624,0,0,0,0,0,0,0
1826,-1.7101182554159322,-1.3537691245732608,0.57924438723374,-1.5947804176012546,0.052868910996719504,-0.2163140894150067,-0.695507261317624,-0.17815374524119748,-1.1181694658016939,0.2302967927174328,0,0,1,1,1,1,1
3202,-1.8239129639212617,-2.051261906639419,-1.6318797034782826,1.1866133033024122,-0.6702515292276927,0.278860946491953,0.31409036475197716,0.3865817556231189,0.009725176096606976,0.3944497798035252,0,0,1,1,1,1,1
2417,1.4087787755861032,-2.76814599431191,-0.0005113479281997024,2.0700448283854915,-0.1271110863667606,-2.3875266092866076,1.4151939856843883,-0.6828588734279495,0.9089534061701998,-0.08500775598131842,0,0,0,1,1,1,1
1260,-2.225292957534845,-0.7319187953987816,-0.7549223685267799,-1.5838466867089322,-0.252894902225104,-1.0340362136836778,0.36304903697169033,0.7833874844295174,-1.1203693409404938,0.8155123174799419,1,0,1,1,1,1,1
2741,2.206189207558783,-0.8184675262939344,-1.9407788641458994,-2.232451337142484,0.07868061826389472,-0.855411915982719,0.2635978430940483,-0.40717880133207257,-1.6531287860715462,0.4642452529333445,0,0,1,1,1,1,1
1831,-1.315961722175785,-1.0509397190179433,0.014072476998207982,-0.3720643329655654,-2.5855338563704904,1.0921760777479665,-1.4831420299138554,-0.7858155063258963,-0.3907068318699755,-0.5778291322096113,0,0,1,1,1,1,1
443,3.2498593683767854,2.7244663427569393,0.10227562890792026,1.5352412642333944,0.9820044809446965,2.753184945690676,0.04376006293491859,0.9097196892643069,0.3903606608158848,-0.8793543595917488,0,0,0,0,0,0,0
3072,-1.7505649401635723,-1.2286760079079424,-1.0046386805155634,-1.223311037620149,-1.8966026974183734,0.17043771206185337,-0.13382690609134462,0.3846044891095545,0.2947741919929886,-1.6898934098817986,1,0,1,1,1,1,1
1642,-1.6310259619124294,-1.525870429218709,0.2420709114762122,-2.2429489438671126,0.6651212069910007,0.8923280270766767,2.375109967174822,-0.4468774624190151,0.18254086418557608,1.2243237004555598,1,0,1,0,1,1,1
2742,2.300155101665624,-1.2228009960596766,-2.463100810287712,-0.6935991281450832,2.426725312152512,1.6254215082427956,1.5588759588278116,-0.4093289387197514,0.23718707827515867,-1.0033091897144353,0,0,1,1,1,1,1
3189,-1.8217756450316893,-1.7377878874986752,-0.4830000620864418,0.536986617335714,1.3954068431554432,0.3428073098995832,-0.8722415051797852,-0.29432416696357,-1.015320621712072,-0.40894143203463273,1,0,1,1,1,1,1
928,-1.278666389478385,2.3903399170185105,0.5772148449449253,-0.256312352674755,-0.8399536758022359,-1.0931363784628672,0.14579871020403826,-1.1641278397699149,0.9316973812439509,0.6659143137188789,0,0,0,0,1,0,0
