,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-1.4935287199147635,-2.6870857195653897,1.1575647039141594,0.23515877479954944,1.1093315450826857,0.38316078220393307,-0.16954584253007943,-0.5850224830788264,-0.5283831536938535,-1.3178571648195692,1,0,1,1,1,1,1
1428,-0.3172461581979362,-2.667384293313424,-2.225087864565891,-0.0765768534367155,-2.472345954699455,0.720451592731172,-2.0274309757456312,-0.5006899092881136,0.16068295013830053,-0.2840264480656735,0,0,1,1,1,1,1
1386,0.9284627487435089,-2.929712704001897,1.8017428453324242,2.483447031842758,0.5165330881249802,-2.605448682756435,-1.716010548231582,-1.6285330895739347,0.7729710537040789,1.7846463663323409,0,0,1,1,1,1,1
1967,5.048477986476511,-1.5663694053879604,2.462199809186045,0.06141838719746276,0.9715409461045827,0.18446041861538168,0.8109875154026517,1.9785439261555628,-0.04111546613114161,0.8989452448857941,0,0,0,0,0,0,0
2243,3.0051534223584575,0.3770335449571173,-0.2205611503725642,-0.11570549264637864,-0.8037826915756174,2.3146715837616227,2.44724224460293,1.5371526072784762,0.13977663509844948,1.4634130994337453,1,0,0,0,0,0,0
1196,0.8488945493185861,-3.409953037992207,0.8075354365206067,-0.7559976528995587,-2.9193715439096044,0.5348277127181965,-1.9603885353600838,1.3836722147850091,-0.3056933869054991,2.2170491888182364,0,0,1,0,1,0,0
419,3.0514785337496657,1.9506911138232201,2.6771188149795764,0.15556590918462018,0.25315724874721257,-2.5363890208438096,-1.568155264678302,-0.750802375530374,0.7415207022010133,1.0493303455510805,0,0,1,1,0,0,0
1826,-2.4019883014797663,-0.8931971404031557,0.19176036750847983,0.3159705519102696,1.7321039300750405,0.3527275321769051,1.8679774781811702,-0.006530039821757227,-1.052100760569067,1.0428012143857894,0,0,0,0,0,0,0
1260,-1.8606116882854697,0.9198457240865365,2.9788287427400357,-0.7073776329893176,-0.6878946100574402,1.4945906677564045,-1.963871302470207,2.117751456443226,-0.9236466254634645,2.5805785431897577,1,0,0,0,0,0,0
3072,-3.3238454305334524,0.3575808031127279,3.1509695935697093,1.7841886597405703,-0.36829382272361766,-0.695714237020891,0.3505206730031758,-0.4892183292798008,0.16244253094961,0.015258011571444277,1,0,0,0,0,0,0
1642,-1.7371007983651785,2.546730635809752,-1.6189238824918823,-1.163450210611717,1.0382605535093405,-0.3557591487511374,-1.187852091279632,2.0665429127224337,1.2981663018762677,1.4374200267905037,1,0,0,0,0,0,0
3189,-0.06995571941124192,1.6942535746041276,-0.869929372810137,-3.1748802060284933,1.849980216650575,0.3977707499316507,-0.017266309213834173,-0.6807436516601562,-1.473368588862803,0.5181193140639658,1,0,0,0,1,1,1
928,-1.388040686019162,-1.6559646473482263,-0.6358131529379838,0.3759027437249884,-2.4516208194560254,1.671054511734739,-1.0720480301237971,-1.1028073663784543,1.5977718191455355,1.0493877969431995,0,0,1,0,1,0,1
610,1.6640550663132654,-1.8351567933535269,-1.0387901081819173,-2.5673399472887195,-2.293325862077954,-0.8800632587373791,-0.49989962126159926,0.9063904943357974,-0.6542331385849884,-1.2543900749152124,0,0,1,1,1,1,1
1575,-1.2751799801445327,2.438837446484336,1.4391107662883418,-0.5638193024518013,-0.3950299879729262,-0.06903707688196316,1.467103280641523,-1.7250654629461477,0.9593210065324983,-0.0316440394587546,0,0,0,0,0,0,0
185,-1.0554293760798525,-2.102001271730427,2.603611068738534,-1.5775260955217436,0.45290509702899023,2.1156736467871684,0.19726320279496856,0.7945804027398675,0.184896657243084,-0.8154231101841835,0,0,0,0,0,0,0
2782,2.877665419253151,0.22622551080158912,0.6069698383464215,1.4249062424102346,1.392147319961607,1.8560374605126697,-1.0625052101926875,-1.5879896066825145,-1.7759214616484482,0.935794532013011,0,0,0,0,0,0,0
449,2.5636340353838314,-3.191259846477472,0.8508389700676934,0.9988035445540346,-0.14704198839950583,-2.137191109176581,0.051713986066785185,1.1736820452804846,2.5817390631769306,-0.6781985109064945,0,0,1,1,1,1,1
1198,-0.7175810778449587,-2.570990156295763,-3.266042718262022,1.8265019143885637,-1.7784139583227494,-0.7868333884683467,-0.49735390619938036,0.5765766500958093,-1.1612971430582022,-0.7927578889262308,0,0,1,1,0,1,1
1356,1.841075347969674,4.529037037761393,-0.33264311743986835,0.9749363356935914,0.7108763336550042,-0.39490810768952417,-0.74991528995566,-1.0140590936298184,-1.0087936315587802,-0.13983140442792413,0,0,0,0,1,1,1
399,1.8592349081936943,-1.759302622397521,-1.274317926599083,-2.784374048141769,-1.254673833714381,-1.391592656552807,-1.5281115335098072,0.4444791640157568,0.6177183135672557,0.2663529804082627,0,0,1,1,0,1,1
3168,-1.1057028747522801,-0.00664432377910661,-0.9740875725369343,-1.9944105476907652,0.37201489993720915,3.4345616503787157,-0.461120719430293,-0.12331219134959764,2.0061001354714207,-1.1303812773556052,1,0,0,0,0,0,0
1781,-0.08374401736202568,-0.7718294428828756,-3.0902115969406294,-2.181813941229952,1.5030786880577702,0.22142959552464353,-0.7086023335520977,1.5878923390142883,1.464471309359047,-0.6781715663364654,0,0,1,1,1,1,1
2995,3.0833569101656106,-0.9546178906451467,1.0051473306268512,-1.1849221861595407,2.779754279885853,-0.5191699233968047,-2.756521663566568,-0.39406675305137384,0.8199672743780577,-0.0975718629706077,1,0,1,1,1,1,1
411,4.052125730526883,-0.2158910230546668,-0.2745292675440127,-0.5433518494593416,0.2845509903379535,-1.1718306008358388,-0.9638444303437061,0.4460443926203835,-0.15051308241823078,-0.7995523819539613,0,0,1,1,1,1,1
2878,0.7029198986966895,-2.9358477530362896,2.8486659560262253,-1.4842299518153892,-0.032827967654622835,0.4694848994493143,-0.28494503738233345,1.3956274748353368,-1.229021562415247,0.7873627968103792,0,0,0,0,0,0,0
3264,-0.9254064364421012,-1.8114657923716033,-2.493582411116574,1.4410213340049978,0.9733927199919384,0.5158364273951004,0.1805135008718276,2.4346144464338337,-1.7980003876070458,-0.5093567458257932,0,0,1,1,1,1,1
2071,-2.1365499780797794,2.2969026076245322,0.15216678585139032,-0.7293217666342137,-0.6773876545239832,0.9148597468453794,-0.9436058307993768,-0.7655769369789,2.190562313475997,-2.0733027685463727,1,0,1,0,0,0,0
680,-0.803304651801633,0.22451633808988014,-3.644982603050006,-1.5827481889719686,-0.8048143347337623,0.492830679617943,-1.1576849177959427,-1.5574456698043504,1.054325358809156,-0.03621452658840084,0,0,1,1,1,1,1
865,-3.2549694283961768,1.4151046530708218,0.5107912954890234,0.9459166830606752,1.2462079230728207,-0.44110825551661514,-0.9765561809252633,-0.037707193745247676,-1.0670582987064816,-1.1975393016129714,0,0,1,1,1,1,1
444,0.22818171593345288,-0.04376754843763398,-1.579261538645209,-0.7108663383984408,-2.7645078720096223,0.7085330239534118,2.3731931253349408,-0.048056017314158386,1.7182336097085669,0.7916645159495121,0,0,1,1,1,0,1
