,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-4.1437683,-0.47251588,0,0,1,1,1,1,1
575,-0.6866856,10.411843,1,0,0,0,0,0,0
2316,6.1474185,4.3750024,0,0,1,1,1,1,1
1092,0.13228826,14.149627,1,0,0,0,0,0,0
19,-1.9678414,1.146979,0,0,1,1,1,1,1
2198,6.122057,4.34327,1,0,1,1,1,1,1
1428,-0.48359415,2.7796597,0,0,1,1,1,1,1
1386,9.130657,3.1257372,0,0,1,1,1,1,1
1858,-9.051782,1.0077782,0,0,1,1,1,1,1
1967,11.898401,6.210872,0,0,1,0,0,1,1
1147,-1.1202583,10.791224,0,0,0,0,0,0,0
267,11.724733,4.393591,0,0,1,1,0,1,1
2243,6.3736544,5.039953,1,0,1,1,1,1,1
936,1.218617,12.976041,0,0,0,0,0,0,0
1528,10.995122,6.3548913,1,0,1,0,1,1,1
1454,-9.123764,0.993707,1,0,1,1,1,1,1
1196,-2.2131937,2.00292,0,0,1,1,1,1,1
419,9.682624,3.659901,0,0,1,1,1,1,1
1826,-2.8735738,11.350628,0,0,0,0,0,0,0
3202,-3.410925,-4.792145,0,0,1,1,1,1,1
2417,5.890062,5.696466,0,0,1,1,1,1,1
1260,-2.7249508,10.422913,1,0,0,0,0,0,0
2741,12.669183,6.1072307,0,0,0,0,0,1,1
1831,-9.052695,0.9868567,0,0,1,1,1,1,1
443,10.093551,3.1188605,0,0,1,1,1,1,1
3072,-5.307762,-4.0877323,1,0,1,1,1,1,1
1642,-0.91835964,11.136303,1,0,0,0,0,0,0
2742,12.102956,6.603295,0,0,0,0,0,1,1
3189,1.3939599,13.235311,1,0,0,0,0,0,0
928,-0.3265772,2.5396798,0,0,1,1,1,1,1
698,12.071591,2.8268702,0,0,1,1,1,1,1
137,1.4116902,6.634176,0,0,0,1,1,1,1
610,-2.276772,1.0442694,0,0,1,1,1,1,1
2357,5.9894013,5.599921,0,0,1,1,1,1,1
567,0.5388748,12.146126,0,0,0,0,0,0,0
1575,-3.4096894,-4.7841277,0,0,1,1,1,1,1
307,-2.5870893,1.5427871,0,0,1,1,1,1,1
185,0.48809788,12.266166,0,0,0,0,0,0,0
1872,10.661299,6.9350057,0,0,1,0,1,1,1
3243,-9.113362,1.0025184,0,0,1,1,1,1,1
2048,12.412632,3.3805811,0,0,1,1,0,1,1
3188,-4.6357675,-3.4289417,0,0,1,1,1,1,1
465,10.141953,3.1649451,0,0,1,1,1,1,1
729,1.1580365,13.019502,1,0,0,0,0,0,0
695,11.714329,4.3755608,0,0,1,1,0,1,1
2782,12.693238,5.988166,0,0,0,0,0,1,1
449,9.728776,2.8360806,0,0,1,1,1,1,1
2828,12.26458,2.8144846,1,0,1,1,1,1,1
3155,-8.318807,1.3536882,1,0,1,1,1,1,1
1198,-0.49815586,2.7941337,0,0,1,1,1,1,1
1356,11.643795,4.413642,0,0,1,1,0,1,1
2698,-5.28514,-4.0720887,0,0,1,1,1,1,1
811,9.619053,2.9409788,0,0,1,1,1,1,1
868,-2.2426064,2.0593596,0,0,1,1,1,1,1
2237,-1.2312206,10.8998785,0,0,0,0,0,0,0
418,9.970228,3.1353726,0,0,1,1,1,1,1
3173,0.75564027,11.515272,0,0,0,0,0,0,0
1714,-4.3467197,-3.0730314,0,0,1,1,1,1,1
1712,11.59429,4.715879,1,0,1,1,0,1,1
1118,9.062283,3.7566838,0,0,1,1,1,1,1
399,-2.2630162,2.0703704,0,0,1,1,1,1,1
3168,1.4769486,13.207699,1,0,0,0,0,0,0
329,11.905412,4.522255,1,0,1,1,0,1,1
1781,0.34948185,11.962096,0,0,0,0,0,0,0
1481,0.113967925,14.249418,1,0,0,0,0,0,0
439,9.658923,3.2182393,0,0,1,1,1,1,1
1527,1.9342018,6.8349075,1,0,0,1,1,1,1
2995,11.870639,5.9756527,1,0,1,0,0,1,1
411,9.571862,3.3881972,0,0,1,1,1,1,1
747,-1.5059247,0.412182,0,0,1,1,1,1,1
3140,-2.8255124,11.296819,0,0,0,0,0,0,0
2878,-0.87136763,10.233847,0,0,0,0,0,0,0
1079,-5.44787,0.51804316,0,0,1,1,1,1,1
926,1.030033,13.178177,1,0,0,0,0,0,0
1817,0.49077332,14.353059,0,0,0,0,0,0,0
2401,5.825818,5.7322426,1,0,1,1,1,1,1
3008,12.084104,6.555359,1,0,0,0,0,1,1
1351,9.621142,3.3473606,0,0,1,1,1,1,1
3264,-2.9248059,11.56901,0,0,0,0,0,0,0
3283,11.532441,4.743787,0,0,1,1,0,1,1
724,-0.18091004,2.088825,0,0,1,1,1,1,1
1524,0.4654045,11.750616,0,0,0,0,0,0,0
2071,-3.3296666,-4.808958,1,0,1,1,1,1,1
451,9.108011,3.707286,0,0,1,1,1,1,1
2767,11.743713,4.3627157,0,0,1,1,0,1,1
680,-0.36029825,2.4279437,0,0,1,1,1,1,1
865,0.36620912,14.20892,0,0,0,0,0,0,0
2406,6.111196,4.352499,0,0,1,1,1,1,1
1535,1.7544817,5.8446074,1,0,0,1,1,1,1
1482,1.4222543,6.723688,0,0,0,1,1,1,1
72,-2.412601,1.0949453,0,0,1,1,1,1,1
444,-3.9279642,-0.4079261,0,0,1,1,1,1,1
3079,-4.792242,-3.6313846,1,0,1,1,1,1,1
1868,-8.963171,0.92352456,0,0,1,1,1,1,1
211,-0.1867482,2.0557919,0,0,1,1,1,1,1
424,9.620809,3.5944562,0,0,1,1,1,1,1
29,7.375932,4.9384294,0,0,1,1,1,1,1
540,-2.397904,10.311889,0,0,0,0,0,0,0
1885,0.57387626,11.60499,0,0,0,0,0,0,0
1951,1.3908627,13.19697,0,0,0,0,0,0,0
603,-2.0080264,1.5537245,0,0,1,1,1,1,1
1703,12.596929,5.9208193,0,0,0,0,0,1,1
684,0.06946692,14.140481,1,0,0,0,0,0,0
771,-3.0694833,11.533467,1,0,0,0,0,0,0
515,9.7732525,3.6758938,0,0,1,1,1,1,1
2538,6.6031947,5.2983556,0,0,1,1,1,1,1
2488,6.325088,4.9509883,1,0,1,1,1,1,1
569,-3.8040276,-0.01188548,0,0,1,1,1,1,1
1243,-4.9298997,-3.1762488,0,0,1,1,1,1,1
1186,10.519905,6.7649045,1,0,1,0,1,1,1
780,-1.9724534,0.8933744,0,0,1,1,1,1,1
462,12.57904,6.0218163,0,0,0,0,0,1,1
1324,-1.9107671,0.84369737,0,0,1,1,1,1,1
2476,6.0582104,4.3055043,1,0,1,1,1,1,1
712,-3.7328742,0.048916604,0,0,1,1,1,1,1
2700,12.431561,3.3873758,0,0,1,1,0,1,1
779,-8.281617,1.3316449,0,0,1,1,1,1,1
2076,6.1899886,5.1744165,1,0,1,1,1,1,1
693,1.3495044,5.8868175,1,0,0,1,1,1,1
337,9.630656,3.2823474,0,0,1,1,1,1,1
1744,-2.4357157,10.332906,1,0,0,0,0,0,0
2500,7.3091173,5.802777,0,0,1,1,1,1,1
2819,12.112273,4.795625,1,0,1,1,0,1,1
144,-2.6084042,1.6128333,0,0,1,1,1,1,1
1653,-2.376932,10.273093,1,0,0,0,0,0,0
898,2.1130056,6.9329157,0,0,0,1,1,1,1
2376,6.6429067,5.5630684,0,0,1,1,1,1,1
1600,-0.9051516,10.262371,1,0,0,0,0,0,0
1429,9.050352,3.2457366,0,0,1,1,1,1,1
2941,12.729024,6.0488005,0,0,0,0,0,1,1
2033,12.206319,3.022926,0,0,1,1,1,1,1
1150,-8.269195,1.3228408,1,0,1,1,1,1,1
1282,-3.3725102,-4.8501425,0,0,1,1,1,1,1
1788,-5.474533,-3.8542657,0,0,1,1,1,1,1
1206,2.311823,6.828621,1,0,0,1,1,1,1
1172,0.07815,14.171615,1,0,0,0,0,0,0
222,-4.8494086,-3.16995,0,0,1,1,1,1,1
258,7.473091,5.214565,0,0,1,1,1,1,1
393,11.807009,4.301595,1,0,1,1,0,1,1
2119,7.158905,5.9206257,0,0,1,1,1,1,1
53,6.220316,5.7955317,1,0,1,1,1,1,1
960,-0.21115476,12.962621,0,0,0,0,0,0,0
691,-0.20195535,2.0270994,0,0,1,1,1,1,1
