,UMAP_1,UMAP_2,W3IWER4_A
356,13.196744,19.692188,0
490,-1.1582769,8.852617,0
32,13.941049,0.27529222,0
160,22.656624,3.5730214,0
264,0.26709864,16.555756,0
143,10.346923,6.096974,0
83,8.636286,14.599883,0
302,18.254124,12.204347,0
93,7.476881,7.343276,0
432,13.958409,0.33915105,0
116,5.6215334,7.762339,0
312,13.456728,1.2136788,0
389,8.541471,14.551196,0
514,15.449999,20.303768,0
13,7.3718147,7.2158318,0
357,19.409096,4.189814,0
158,8.730923,12.711872,0
198,7.914841,14.802303,0
30,6.5769105,14.107165,0
183,-1.6184173,2.849019,0
194,9.991505,7.156804,0
313,-1.1252552,8.867959,0
21,14.766239,20.247152,0
97,8.534707,12.669444,0
167,0.30082142,16.21065,0
53,12.842627,20.404545,0
95,22.652712,3.6310277,0
248,10.3520355,7.4282646,0
369,7.7886147,14.877836,0
155,0.25420102,16.31347,0
154,8.669368,14.643393,0
384,7.895392,12.42892,0
42,14.864447,15.126391,0
338,18.282463,12.175817,0
483,5.6203966,-4.194971,0
202,14.617753,20.174805,0
98,13.684783,14.586086,0
441,15.351616,20.943151,0
314,-0.22056423,16.2741,0
85,7.300996,7.2182245,0
329,7.9766765,14.553994,0
16,5.7854524,7.767008,0
318,9.205137,6.1511292,0
33,8.867265,14.837553,0
527,19.373367,4.2224107,0
190,15.035561,20.47181,0
478,6.2265024,13.681732,0
89,21.830133,3.625729,0
18,13.728912,14.630135,0
137,6.5787907,14.185808,0
311,13.721369,19.939644,0
134,22.615124,3.5766273,0
427,5.5209503,-4.2200036,0
239,-0.41068733,16.90867,0
35,19.827864,3.8058174,0
325,6.6022196,14.173132,0
368,18.288227,12.170881,0
327,5.3586373,11.318002,0
278,13.188281,0.4696424,0
459,0.1830194,16.642412,0
436,9.458859,7.1756473,0
561,22.652716,3.611643,0
550,-0.15770248,16.254307,0
0,15.486677,20.548185,0
295,6.528519,11.564942,0
533,6.531778,14.124078,0
140,7.8883033,14.5855465,0
55,5.550404,7.7168155,0
310,6.5561895,11.582175,0
251,8.567482,-8.593702,0
232,7.4504957,11.894936,0
414,12.120543,19.652515,0
549,18.1655,12.294143,0
175,-0.45238826,16.886,0
330,19.807833,3.8250356,0
3,6.769779,14.093672,0
107,22.648912,3.6153367,0
274,10.180213,7.245243,0
80,5.5411706,11.197313,0
268,6.5875697,11.614768,0
410,5.443281,11.310478,0
506,11.2228365,9.5745735,0
225,14.96836,20.264442,0
267,7.2906213,11.783324,0
542,13.50859,1.2695011,0
534,9.5018015,7.14765,0
476,10.404876,7.534014,0
536,0.31774083,16.557295,0
517,5.3849173,-4.1902823,0
425,13.698556,14.5989,0
374,18.2827,12.175971,0
247,7.214,11.65278,0
174,5.21027,11.057869,0
252,13.322458,1.0679612,0
156,0.5919794,1.5033382,0
480,18.255964,12.203325,0
465,6.6310306,13.830955,0
303,13.74741,14.647491,0
50,6.6063914,11.63945,0
209,7.969521,14.836592,0
106,-1.3976744,8.937928,0
558,8.792747,14.772219,0
38,21.841541,3.5886238,0
418,15.128541,14.96687,0
189,18.23204,12.227584,0
173,15.444829,20.577726,0
316,-1.9137671,3.1037683,0
548,8.2735195,12.779288,0
276,5.6228695,7.7599645,0
287,6.3580523,13.741689,0
426,12.771368,20.525068,0
283,15.373792,20.938797,0
54,7.3524985,11.646289,0
213,14.901966,15.103903,0
532,5.377614,11.732117,0
226,18.26505,12.193925,0
186,9.686033,9.260113,0
221,13.6625,19.770199,0
512,9.1581545,6.62447,0
47,3.4558167,-4.0360885,0
515,9.697718,9.283012,0
519,15.349548,20.978031,0
416,13.926671,0.2697865,0
408,7.891682,12.417743,0
224,13.146041,20.539543,0
298,7.8789134,14.615007,0
400,15.518607,20.276304,0
385,12.650125,19.475843,0
161,0.86730325,-1.6843657,0
164,21.921076,3.5646474,0
397,8.652405,14.599978,0
350,5.2840405,11.141697,0
491,5.3095684,11.155748,0
537,6.225921,13.657554,0
241,11.176972,6.7067637,0
104,-1.3231008,8.95827,0
447,12.039371,19.574697,0
406,12.866086,19.339396,0
266,14.789684,20.404627,0
187,9.052691,6.84919,0
228,0.26510158,16.503117,0
151,6.491939,14.145714,0
19,15.478969,20.34163,0
123,11.283072,9.543941,0
285,11.417601,9.46532,0
309,5.4520063,11.779323,0
43,12.132644,19.656105,0
367,15.37724,20.95052,0
205,7.6988964,14.969268,0
34,4.3557854,-4.2935863,0
463,8.581559,14.433263,0
454,6.412145,11.47954,0
10,15.022375,15.076341,0
263,14.9045315,15.087245,0
300,15.378546,20.934835,0
409,7.2815385,11.659697,0
17,13.70439,14.603874,0
59,13.714138,19.901445,0
49,5.2933054,11.856396,0
553,-1.9488218,8.584099,0
513,-0.3457763,16.56919,0
75,12.848088,20.452068,0
304,7.2957053,7.147052,0
344,7.251128,7.0990157,0
450,15.037259,15.077262,0
434,11.436329,9.439032,0
429,19.737885,3.8917696,0
179,13.069445,20.54433,0
87,15.583244,20.263409,0
486,-1.3583459,4.027873,0
81,21.781416,3.5485756,0
503,6.5451536,14.116079,0
462,-1.4086621,4.0187955,0
471,5.3795824,11.3780775,0
296,8.342904,12.772688,0
494,10.227488,6.715052,0
145,9.421042,7.1619744,0
191,-0.42463288,16.89253,0
540,15.422359,20.571056,0
319,14.066331,14.876592,0
230,14.760789,15.206751,0
488,0.59001666,1.4982238,0
69,13.7129345,19.778988,0
169,14.897333,20.966002,0
96,13.684825,19.92522,0
551,14.842788,15.099295,0
562,-2.920086,1.4703498,0
153,7.8022738,14.892587,0
40,13.311242,19.40117,0
138,15.049967,15.149787,0
115,5.434242,11.306762,0
376,9.587807,9.183837,0
178,12.873238,19.323744,0
258,5.6401854,7.7746716,0
14,6.407028,11.487557,0
381,13.479031,1.2247488,0
130,15.504622,20.3709,0
498,16.526352,-5.749046,0
528,22.582022,3.5485568,0
193,14.823499,20.253088,0
37,14.838501,15.145979,0
386,15.0352955,15.028993,0
256,13.737169,14.6373825,0
133,8.877616,14.851217,0
547,6.6044617,14.133783,0
439,8.677319,12.889295,0
131,7.914017,12.447488,0
379,-2.1104968,8.595058,0
119,12.955885,19.330553,0
452,13.0569935,20.497612,0
291,11.583112,9.308226,0
380,-1.1504459,9.0423,0
324,7.558669,-8.288186,0
195,10.043127,6.7291355,0
233,13.70819,19.91512,0
64,5.6732416,7.806347,0
271,19.754051,3.8754165,0
317,8.664349,14.493292,0
412,14.84058,20.96189,0
166,8.656421,12.90231,0
435,6.5694466,11.583396,0
39,8.542869,12.8806715,0
560,7.295567,11.832676,0
24,6.68475,13.645907,0
430,6.6699805,14.088991,0
355,12.765813,20.514242,0
472,5.5392485,11.441084,0
139,5.6103063,7.753909,0
499,0.21213856,16.60795,0
223,5.4974833,7.669704,0
8,13.083216,20.510952,0
294,14.831346,20.92301,0
170,13.274335,0.5495568,0
415,8.295509,12.7757845,0
28,6.6211314,13.828342,0
524,6.230038,13.6327505,0
90,14.982456,20.307024,0
182,5.3499827,11.7936325,0
259,6.5792055,14.140472,0
127,15.031314,20.932714,0
382,14.883135,15.148895,0
113,12.651563,-0.7916981,0
404,8.40077,12.692297,0
543,-0.10786514,16.063263,0
334,8.347503,12.811129,0
254,-1.3307972,8.961358,0
529,21.744045,3.5188782,0
144,8.574821,14.532743,0
348,13.346979,19.912111,0
455,7.738492,14.934927,0
520,7.9041786,14.808145,0
485,15.015237,20.919847,0
6,8.645113,12.869489,0
117,-1.9788898,8.620029,0
62,-1.4839398,8.914141,0
422,7.7773395,14.898919,0
235,6.507218,11.551757,0
500,7.2489653,11.764061,0
36,-0.105082035,16.04105,0
180,7.492788,11.6628895,0
501,-1.8949496,8.493214,0
396,-1.9028314,8.680835,0
424,8.206674,14.679465,0
433,9.9688425,6.680886,0
337,21.758146,3.520772,0
530,5.206376,11.052861,0
128,7.258195,7.0947075,0
60,-1.154794,8.871863,0
510,8.389201,12.726793,0
442,12.663869,19.501856,0
482,21.90957,3.6119995,0
505,13.092752,20.484108,0
522,7.4672956,11.828818,0
146,14.999584,15.068139,0
181,22.563795,3.5424645,0
149,-0.4491022,16.933098,0
207,5.492389,11.392898,0
464,11.015218,9.542427,0
477,9.063153,6.70678,0
370,5.3540483,11.691885,0
290,5.349502,11.793629,0
504,0.3231311,16.29662,0
332,5.5956054,7.758574,0
395,8.848775,14.824291,0
122,18.271988,12.186974,0
12,6.518843,14.166208,0
72,-0.35411152,16.59146,0
440,5.223744,11.081975,0
288,0.22040418,16.616491,0
7,7.6656146,11.806787,0
341,7.2957487,11.659324,0
125,13.90928,14.782153,0
556,-0.4112362,16.915756,0
362,8.653107,12.885246,0
538,-1.2268363,9.013007,0
398,0.2748896,16.54883,0
253,8.311179,12.780256,0
445,14.6752615,20.452137,0
525,14.778603,20.210375,0
466,8.501346,12.846983,0
497,13.680324,19.773623,0
20,22.646526,3.6217854,0
136,8.405927,13.959054,0
460,-0.095736384,16.062449,0
321,21.920685,3.573658,0
11,13.1326885,20.51574,0
211,13.340123,19.408453,0
206,19.77033,3.8598814,0
467,10.623633,6.6948385,0
110,8.652197,12.768739,0
394,21.901632,3.6049082,0
185,13.369031,1.1437867,0
473,14.853835,15.161921,0
413,5.4521375,11.273303,0
227,-0.11037919,16.041086,0
129,12.872647,19.332651,0
63,13.687756,14.59675,0
475,9.854711,10.105865,0
1,6.2920504,13.632952,0
347,9.856709,10.0242195,0
299,10.127027,6.8827024,0
354,12.918556,19.32832,0
301,-0.394454,16.921085,0
200,7.9114857,14.607933,0
74,0.28781584,16.221962,0
260,19.871483,3.7826474,0
229,6.5794106,14.113811,0
109,15.018662,20.25274,0
282,13.346166,19.436954,0
557,-1.4393089,8.875895,0
366,14.9833975,20.24309,0
71,8.633529,12.766337,0
68,0.34974578,16.31001,0
65,-0.13650285,16.060888,0
141,6.5906267,14.145461,0
383,5.538563,7.7610774,0
66,-2.356668,1.084144,0
545,13.906839,14.77127,0
26,-1.9409798,8.473144,0
242,13.749314,14.649411,0
554,0.30633846,16.241365,0
168,6.2843513,13.67948,0
208,8.752547,14.670674,0
199,16.43797,-5.663782,0
444,-1.0878534,8.814448,0
458,13.984107,14.848174,0
219,11.337564,9.522885,0
22,8.871412,14.84225,0
489,21.897408,3.593135,0
417,14.582135,1.3579931,0
218,19.87069,3.776749,0
246,15.188137,1.4048791,0
277,15.068767,20.528238,0
234,12.096201,19.6329,0
31,6.593728,11.6296215,0
111,6.2702875,13.626974,0
360,13.044024,20.543282,0
159,0.3079647,16.330454,0
188,7.7423763,14.93361,0
541,5.457109,11.287175,0
84,6.515438,11.572918,0
297,14.548502,1.4140537,0
279,14.851943,15.097495,0
45,18.294199,12.164746,0
177,14.904474,20.972624,0
451,18.259676,12.199461,0
469,7.2533603,11.687884,0
405,15.029797,15.067477,0
487,5.5194316,11.299991,0
481,0.24057628,16.536886,0
273,-5.231894,0.28582144,0
539,13.400113,19.449821,0
214,10.415534,7.5355625,0
58,12.111687,19.597328,0
492,19.764948,3.8643727,0
4,13.422984,20.14405,0
509,11.436381,9.3698845,0
142,21.96434,3.5516155,0
46,6.589136,14.141106,0
308,5.493457,11.371811,0
521,10.9566765,9.5100355,0
544,-2.0694785,8.510677,0
275,5.4948726,11.392395,0
339,21.827091,3.575176,0
391,13.71829,14.619661,0
437,12.837452,20.438736,0
281,13.361617,19.457699,0
44,13.383007,19.428308,0
15,8.25028,14.775157,0
51,5.87678,11.658671,0
346,14.997957,20.978188,0
402,11.011028,9.528976,0
322,13.388068,19.392086,0
484,22.666098,3.6382668,0
101,8.665977,14.612663,0
100,11.526224,9.363494,0
289,0.22056146,16.59837,0
320,9.410013,6.405499,0
77,13.71765,14.619863,0
331,15.011764,20.949236,0
399,5.5418005,7.6737943,0
456,6.336941,13.712221,0
353,8.676602,14.633449,0
378,13.631015,19.744513,0
479,8.564574,14.400279,0
196,13.935117,14.796446,0
457,6.516664,11.590535,0
431,19.369833,4.2259793,0
496,11.46272,9.428571,0
323,-2.5053837,1.2516546,0
124,5.2838006,11.872619,0
336,7.353766,11.747347,0
25,14.567654,1.4135108,0
401,19.876402,3.772827,0
535,19.844364,3.8004122,0
518,8.635216,12.900561,0
523,-0.4553031,16.878658,0
262,7.2812757,7.1219397,0
393,8.486477,12.834663,0
507,7.2878265,7.1462684,0
495,8.593864,-8.582637,0
359,19.388458,4.2071395,0
184,0.31060442,16.305862,0
