,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-1.8815819,9.695952,0,0,1,1,1,1,0
575,-5.1980314,5.4824705,1,0,1,1,0,0,0
2316,6.1019993,0.5255277,0,0,0,0,0,0,0
1092,13.903638,7.1191254,1,0,0,0,0,0,0
19,-3.728313,8.384377,0,0,1,1,0,0,0
2198,6.1597495,0.4203158,1,0,0,0,0,0,0
1428,-2.9229717,9.925844,0,0,1,1,1,0,0
1386,12.475541,13.460971,0,0,0,0,0,0,0
1858,-3.67302,4.959045,0,0,1,1,0,0,0
1967,14.757478,13.1429,0,0,0,0,0,0,0
1147,-4.82883,5.187139,0,0,1,1,0,0,0
267,15.495779,12.62723,0,0,0,0,0,0,0
2243,6.154573,1.0165349,1,0,0,0,0,0,0
936,12.002416,-1.7137083,0,0,0,0,0,0,0
1528,14.381117,7.4208846,1,0,0,0,0,0,0
1454,-3.2822495,5.267341,1,0,1,1,0,0,0
1196,-3.8192236,9.6737385,0,0,1,1,1,1,1
419,12.206287,12.987621,0,0,0,0,0,0,0
1826,-4.374579,4.129513,0,0,0,1,0,0,0
3202,10.695814,-1.5591298,0,0,0,0,0,0,1
2417,7.8489943,0.112003855,0,0,0,0,0,0,0
1260,-3.4636993,3.3494186,1,0,0,1,0,0,0
2741,14.914612,12.8665905,0,0,0,0,0,0,0
1831,-3.696009,4.9797354,0,0,1,1,0,0,0
443,13.517147,6.146042,0,0,0,0,0,0,0
3072,-3.0771306,4.4732904,1,0,1,1,0,0,0
1642,-4.432608,7.225415,1,0,1,1,0,0,0
2742,14.12327,7.967015,0,0,0,0,0,0,0
3189,11.783376,-1.0859382,1,0,0,0,0,0,0
928,-2.639664,9.907428,0,0,1,1,1,0,0
698,15.485741,12.511278,0,0,0,0,0,0,0
137,-3.2729993,5.822117,0,0,1,1,0,0,0
610,-3.103155,9.976534,0,0,1,1,1,0,0
2357,7.8524766,0.20452364,0,0,0,0,0,0,0
567,12.627999,-2.2215369,0,0,0,0,0,0,0
1575,10.444618,-1.7668229,0,0,0,0,0,0,1
307,11.187499,-4.703847,0,0,1,0,1,1,1
185,12.729299,-2.1578374,0,0,0,0,0,0,0
1872,14.151275,7.516301,0,0,0,0,0,0,0
3243,-3.5676568,5.0860295,0,0,1,1,0,0,0
2048,14.91814,7.824323,0,0,0,0,0,0,0
3188,-3.4384828,4.937156,0,0,1,1,0,0,0
465,13.567736,6.125193,0,0,0,0,0,0,0
729,12.012111,-1.6431085,1,0,0,0,0,0,0
695,13.508236,12.767064,0,0,0,0,0,0,0
2782,14.635613,13.186419,0,0,0,0,0,0,0
449,13.258722,12.988082,0,0,0,0,0,0,0
2828,14.39386,7.817492,1,0,0,0,0,0,0
3155,10.822916,-1.449802,1,0,0,0,0,0,1
1198,-2.966931,9.941323,0,0,1,1,1,0,0
1356,14.0435,7.267869,0,0,0,0,0,0,0
2698,-2.916115,4.3314056,0,0,1,1,0,0,0
811,12.60832,13.410222,0,0,0,0,0,0,0
868,-3.8634095,9.684051,0,0,1,1,1,1,1
2237,-4.901128,4.856666,0,0,1,1,0,0,0
418,12.633155,13.355284,0,0,0,0,0,0,0
3173,12.6182165,-2.847172,0,0,0,0,0,0,0
1714,12.017854,-2.7688181,0,0,0,0,0,0,0
1712,13.867924,7.0998244,1,0,0,0,0,0,0
1118,12.244024,13.206543,0,0,0,0,0,0,0
399,-3.8743823,9.627062,0,0,1,1,1,1,1
3168,11.822306,-0.99536204,1,0,0,0,0,0,0
329,15.447742,12.799428,1,0,0,0,0,0,0
1781,13.121469,-2.5301352,0,0,0,0,0,0,0
1481,12.868027,-0.7899799,1,0,0,0,0,0,0
439,13.903322,6.4180984,0,0,0,0,0,0,0
1527,12.240061,-2.8477972,1,0,0,0,0,0,0
2995,14.709512,7.2699137,1,0,0,0,0,0,0
411,12.735261,13.017053,0,0,0,0,0,0,0
747,-1.5825255,9.716811,0,0,1,1,1,1,0
3140,-4.3379655,4.165726,0,0,0,1,0,0,0
2878,-5.30416,5.1300654,0,0,1,1,0,0,0
1079,-2.0442638,9.7669935,0,0,1,1,1,1,0
926,12.110119,-1.6238744,1,0,0,0,0,0,0
1817,12.245238,-0.6587476,0,0,0,0,0,0,0
2401,7.8449535,0.08608441,1,0,0,0,0,0,0
3008,14.129785,12.6031275,1,0,0,0,0,0,0
1351,13.995349,6.4322205,0,0,0,0,0,0,0
3264,-4.392696,4.2800713,0,0,0,1,0,0,0
3283,14.060244,7.3621483,0,0,0,0,0,0,0
724,-1.7858229,9.798552,0,0,1,1,1,1,0
1524,13.042008,-2.5169666,0,0,0,0,0,0,0
2071,10.500059,-1.884076,1,0,0,0,0,0,1
451,14.138589,6.2951355,0,0,0,0,0,0,0
2767,15.541083,12.620567,0,0,0,0,0,0,0
680,10.626147,-4.973223,0,0,1,0,1,1,1
865,12.787762,-0.89918846,0,0,0,0,0,0,0
2406,6.1707206,0.3958388,0,0,0,0,0,0,0
1535,-3.4610198,3.9853766,1,0,0,1,0,0,0
1482,-3.333054,5.8480315,0,0,1,1,0,0,0
72,10.898959,-5.116148,0,0,1,0,1,1,1
444,-2.4489105,9.890189,0,0,1,1,1,0,0
3079,-3.4836829,4.6699924,1,0,1,1,0,0,0
1868,-3.3853695,7.407961,0,0,1,1,0,0,0
211,-1.8236302,9.847361,0,0,1,1,1,1,0
424,12.179561,13.097581,0,0,0,0,0,0,0
29,6.321936,1.0135847,0,0,0,0,0,0,0
540,-3.7656665,3.3357077,0,0,0,1,0,0,0
1885,12.640223,-2.8608198,0,0,0,0,0,0,0
1951,11.8038645,-1.068854,0,0,0,0,0,0,0
603,-3.8684864,8.448871,0,0,1,1,0,0,0
1703,14.63022,13.313311,0,0,0,0,0,0,0
684,12.906533,-0.7173249,1,0,0,0,0,0,0
771,-3.9765317,5.5413322,1,0,1,1,0,0,0
515,14.100253,6.406461,0,0,0,0,0,0,0
2538,6.2195206,1.071249,0,0,0,0,0,0,0
2488,7.411088,0.44344333,1,0,0,0,0,0,0
569,10.560106,-5.192884,0,0,1,0,1,1,1
1243,-2.9696646,5.7942247,0,0,1,1,0,0,0
1186,13.956343,7.18226,1,0,0,0,0,0,0
780,-3.7405033,8.392978,0,0,1,1,0,0,0
462,14.003832,7.119872,0,0,0,0,0,0,0
1324,-3.774683,8.322308,0,0,1,1,0,0,0
2476,6.1707153,0.45882842,1,0,0,0,0,0,0
712,10.575726,-5.223341,0,0,1,0,1,1,1
2700,14.96569,7.844646,0,0,0,0,0,0,0
779,10.818702,-1.8765317,0,0,0,0,0,0,1
2076,7.456113,0.39210883,1,0,0,0,0,0,0
693,-2.6772308,4.531514,1,0,1,1,0,0,0
337,13.512683,6.3252273,0,0,0,0,0,0,0
1744,-3.9386125,3.3643045,1,0,0,1,0,0,0
2500,7.783682,0.45553347,0,0,0,0,0,0,0
2819,14.157904,12.660785,1,0,0,0,0,0,0
144,11.191593,-4.8175035,0,0,1,0,1,1,1
1653,-3.83478,3.3028815,1,0,0,1,0,0,0
898,11.766,-1.8275676,0,0,0,0,0,0,0
2376,5.8466496,0.95768404,0,0,0,0,0,0,0
1600,-5.2878237,5.0419893,1,0,1,1,0,0,0
1429,12.410814,13.479055,0,0,0,0,0,0,0
2941,14.926262,12.834087,0,0,0,0,0,0,0
2033,15.153685,12.3465395,0,0,0,0,0,0,0
1150,10.554646,-1.7980431,1,0,0,0,0,0,1
1282,10.707449,-2.0802045,0,0,0,0,0,0,1
1788,-3.0996451,4.456941,0,0,1,1,0,0,0
1206,11.794162,-1.9578698,1,0,0,0,0,0,0
1172,12.968695,-0.75713485,1,0,0,0,0,0,0
222,-2.842456,5.6976376,0,0,1,1,0,0,0
258,7.5525026,0.12987396,0,0,0,0,0,0,0
393,15.576229,12.623782,1,0,0,0,0,0,0
2119,7.877032,0.55987185,0,0,0,0,0,0,0
53,7.811962,0.012382716,1,0,0,0,0,0,0
960,13.172968,-1.8345553,0,0,0,0,0,0,0
691,-1.6781785,9.729384,0,0,1,1,1,1,0
2283,7.8696685,0.5642827,1,0,0,0,0,0,0
2183,13.323683,-2.3657045,0,0,0,0,0,0,0
2467,5.873746,0.9972284,0,0,0,0,0,0,0
877,12.74938,-2.1611936,1,0,0,0,0,0,0
2104,5.8864255,0.849538,0,0,0,0,0,0,0
947,-5.2205257,5.5338984,0,0,1,1,0,0,0
1944,10.453218,-1.8187057,1,0,0,0,0,0,1
318,12.273429,13.331916,0,0,0,0,0,0,0
1067,-3.8655915,9.729467,0,0,1,1,1,1,0
1950,13.911817,12.664436,0,0,0,0,0,0,0
2899,13.484826,-2.1766565,1,0,0,0,0,0,0
377,15.323177,12.250512,1,0,0,0,0,0,0
1675,-3.3957756,7.4158545,0,0,1,1,0,0,0
863,-3.7701838,9.751887,0,0,1,1,1,1,0
1591,10.804971,-1.2367188,0,0,0,0,0,0,1
1471,12.637145,-2.7120454,0,0,0,0,0,0,0
1155,7.571533,-0.08538233,0,0,0,0,0,0,0
89,8.162749,0.23426375,1,0,0,0,0,0,0
2501,5.793139,1.086481,0,0,0,0,0,0,0
1466,-3.2188792,5.036258,0,0,1,1,0,0,0
997,-3.3021886,7.9557095,0,0,1,1,0,0,0
3087,-5.0970664,4.9214125,0,0,1,1,0,0,0
1387,10.268169,-4.9712157,0,0,1,0,1,1,1
820,15.081001,13.108326,1,0,0,0,0,0,0
1115,-3.0973365,5.8072743,1,0,1,1,0,0,0
879,10.504202,-4.6628823,0,0,1,0,1,1,1
298,12.358175,13.350264,0,0,0,0,0,0,0
364,12.539155,13.462511,0,0,0,0,0,0,0
1998,15.272355,12.93011,0,0,0,0,0,0,0
488,13.799093,6.190565,0,0,0,0,0,0,0
2834,14.597414,7.651026,0,0,0,0,0,0,0
1691,-3.050747,4.4183583,1,0,1,1,0,0,0
1458,10.617779,-4.4628973,0,0,1,0,1,1,1
3174,6.2031813,0.9499876,0,0,0,0,0,0,0
1141,12.660385,-2.1582072,0,0,0,0,0,0,0
2714,14.259455,13.322896,0,0,0,0,0,0,0
1945,12.14622,-0.68999416,0,0,0,0,0,0,0
1971,14.817713,13.254586,0,0,0,0,0,0,0
920,11.04641,-2.1950095,1,0,0,0,0,0,1
1176,11.189772,-2.1310322,0,0,0,0,0,0,1
2289,6.1937594,1.1668543,1,0,0,0,0,0,0
1852,-5.2796764,5.0701623,1,0,1,1,0,0,0
1566,13.4532175,-2.1745026,1,0,0,0,0,0,0
1891,13.411937,-2.2182555,1,0,0,0,0,0,0
1315,12.836604,-0.8168281,1,0,0,0,0,0,0
494,15.305499,12.329906,1,0,0,0,0,0,0
3101,-5.203337,4.9636683,1,0,1,1,0,0,0
59,6.0834274,0.8828693,0,0,0,0,0,0,0
1903,-4.3941483,4.2534966,0,0,0,1,0,0,0
1531,11.02677,-1.5589384,0,0,0,0,0,0,1
854,11.144992,-4.795284,0,0,1,0,1,1,1
1820,11.226566,-1.5326458,0,0,0,0,0,0,1
1650,12.594312,-2.8350322,0,0,0,0,0,0,0
1874,10.813542,-1.2490078,0,0,0,0,0,0,1
311,15.5110655,12.61629,1,0,0,0,0,0,0
2730,-3.561554,5.1422033,1,0,1,1,0,0,0
889,-2.9285665,5.752628,0,0,1,1,0,0,0
776,-1.5236932,9.64234,0,0,1,1,1,1,1
1956,14.126119,7.912668,0,0,0,0,0,0,0
1530,-3.4404638,7.381054,0,0,1,1,0,0,0
1177,13.183172,12.866403,0,0,0,0,0,0,0
1769,15.305228,12.635733,1,0,0,0,0,0,0
1263,-2.7447734,9.901904,0,0,1,1,1,0,0
772,11.627498,-1.7276988,1,0,0,0,0,0,1
1438,10.526687,-5.1938534,0,0,1,0,1,1,1
430,14.027497,12.425834,0,0,0,0,0,0,0
