,UMAP_1,UMAP_2,W3IWER4_A
2135,13.235984,1.2867835,0
2210,17.438646,-0.18402189,0
1903,17.88396,0.15932855,0
274,-4.0578504,13.707111,0
445,-4.514919,1.2502602,0
1341,-10.429983,0.94823545,0
1724,17.602564,-0.2548273,0
1702,16.854052,-0.059813656,0
1666,16.915165,0.9835583,0
409,-3.9488225,-1.0013046,0
388,9.6593075,5.715268,0
1856,19.948895,0.7507759,0
1820,18.391277,1.0702368,0
1950,12.740772,0.7881147,0
1396,5.413103,7.668221,0
1359,-4.045487,13.68861,0
360,8.211654,5.283298,0
1841,19.531301,0.89729077,0
1555,9.221668,7.439318,0
505,8.324748,5.2427044,0
1235,6.6162524,17.22859,0
1405,7.185322,16.621408,0
1717,17.133873,-0.7493423,0
1860,15.952143,1.8706645,0
1398,-7.3303795,9.801665,0
1169,9.79775,5.9153895,0
1400,7.9266105,4.869825,0
1924,15.665979,2.5529125,0
10,6.4550433,5.2816215,0
1715,15.566001,1.9973508,0
1128,3.4654603,1.2178057,0
1223,8.5813465,8.665982,0
1320,6.580805,4.4347544,0
310,9.807802,5.9132776,0
1547,9.508326,16.442558,0
61,0.5300326,3.8432992,0
2102,17.14357,1.3285879,0
2032,12.815528,0.95022655,0
393,7.91677,4.8638964,0
254,-5.7692494,11.057285,0
2121,18.387386,0.9158534,0
431,-10.559656,2.0161476,0
2097,15.963786,2.88087,0
145,7.1236296,18.141636,0
1569,2.3865538,1.049668,0
1299,-4.0255013,14.005985,0
1454,-4.058594,1.6528448,0
1759,17.983652,0.5779773,0
1907,16.795456,2.0485754,0
247,3.559621,1.3089466,0
1308,-5.0968533,10.078646,0
1539,-3.6069305,-1.0259289,0
508,-10.512983,1.9980611,0
1621,6.6875324,4.404749,0
1927,17.009115,0.3015388,0
1278,-5.014106,0.3964223,0
279,6.4151273,4.9070716,0
1488,-4.218095,15.110044,0
1196,-4.8017387,-0.6790926,0
1247,8.594478,8.667192,0
1822,14.386529,1.409783,0
363,9.209458,7.4295735,0
1857,16.52839,-0.3984042,0
1305,-5.085758,10.152111,0
1930,18.769325,0.76937884,0
2128,17.125685,1.0481697,0
1769,17.580269,-0.0664596,0
144,7.2902737,7.395184,0
2203,19.16292,1.2068962,0
222,-5.0939374,0.842429,0
54,8.439079,5.2641325,0
1192,2.621563,2.554086,0
