,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,3.2633631,5.018981,1,0,1,1,1,1,1
1428,4.584632,6.670309,0,0,0,1,0,0,0
1386,6.417455,3.1813116,0,0,1,0,0,0,0
1967,6.9838076,4.1936264,0,0,0,0,1,1,1
2243,7.1837406,4.7833734,1,0,0,0,1,1,1
1196,4.9495406,5.0397205,0,0,1,1,1,1,1
419,8.705116,6.4931993,0,0,0,0,1,1,1
1826,2.9879405,5.956337,0,0,0,1,1,1,1
1260,7.7715387,9.316063,1,0,0,1,0,0,0
3072,8.077706,10.699593,1,0,0,1,1,0,1
1642,8.756992,8.9736185,1,0,0,0,1,0,0
3189,5.9904466,7.107984,1,0,0,1,0,0,0
928,4.49675,6.608602,0,0,0,1,0,0,0
610,5.712433,5.3687434,0,0,1,1,0,0,0
1575,8.435275,8.75579,0,0,0,1,1,0,0
185,3.6225274,4.6410384,0,0,1,1,1,1,1
2782,7.074192,3.9550264,0,0,0,0,1,1,1
449,6.2361016,3.7810237,0,0,1,0,0,0,0
1198,3.4145548,6.960416,0,0,0,1,0,0,0
1356,8.481716,7.1074147,0,0,0,0,1,0,0
399,5.7718263,5.468933,0,0,1,1,0,0,0
3168,4.812381,6.936832,1,0,0,1,0,0,0
1781,5.227875,7.394223,0,0,0,1,0,0,0
2995,7.265729,3.7611437,1,0,0,0,1,1,1
411,7.5863976,3.655071,0,0,0,0,0,0,0
2878,3.679459,4.3830023,0,0,1,1,0,1,1
3264,3.4270813,7.2320266,0,0,0,1,0,0,0
2071,8.180015,9.4466915,1,0,0,1,1,0,1
680,4.95879,7.395046,0,0,0,1,0,0,0
865,8.84197,10.349024,0,0,0,1,1,0,0
444,4.8615093,6.2504926,0,0,1,1,0,0,0
211,7.2254524,8.471195,0,0,0,1,1,0,1
569,3.6578906,6.8995714,0,0,0,1,0,0,0
1243,4.9295025,6.036892,0,0,1,1,0,0,0
780,5.685389,5.06438,0,0,1,0,0,0,0
779,7.5917587,10.508703,0,0,0,1,0,0,0
2076,4.499936,5.4469414,1,0,1,1,1,1,1
1744,8.608073,8.704134,1,0,0,0,1,0,0
144,3.6188767,4.9882016,0,0,1,1,1,0,0
898,3.850562,6.350477,0,0,0,1,0,0,0
1429,6.7021775,3.0390522,0,0,1,0,0,0,0
2033,7.5989904,4.797497,0,0,0,0,0,0,0
1150,7.6849895,8.727175,1,0,0,1,0,0,0
1282,7.2823687,10.201081,0,0,0,1,1,0,1
1206,4.499479,7.3084803,1,0,0,1,0,0,0
1172,7.850902,8.075672,1,0,0,1,0,0,1
258,6.236626,5.7836137,0,0,1,0,0,0,0
393,8.609182,6.750004,1,0,0,0,1,0,0
960,9.243095,9.076603,0,0,0,0,1,0,0
877,3.1075943,4.9333262,1,0,1,1,1,1,1
947,3.1274085,4.570315,0,0,1,1,1,1,1
1944,8.350223,10.158658,1,0,0,1,1,0,0
1950,7.723388,4.519482,0,0,0,0,0,0,0
2501,2.8475559,5.7869225,0,0,0,1,1,1,1
3087,4.107679,4.804657,0,0,1,1,1,0,1
1387,4.323782,6.2849483,0,0,0,1,0,0,0
820,6.921629,3.4812918,1,0,1,0,1,1,0
1115,2.9154742,5.284463,1,0,0,1,1,1,1
1998,7.2747116,4.5196385,0,0,0,0,1,1,1
1691,7.964512,8.174863,1,0,0,1,0,0,0
1458,8.15496,8.499637,0,0,0,1,1,0,1
2714,6.8728704,3.7012856,0,0,0,0,0,0,1
1971,6.2407026,3.9368598,0,0,1,0,0,1,0
920,4.0721364,7.2387767,1,0,0,1,0,0,0
1176,3.5689197,6.0082965,0,0,0,1,0,0,0
1903,3.0564659,6.8199973,0,0,0,1,1,0,0
1874,7.4591565,10.340767,0,0,0,1,1,0,0
311,8.509632,6.9261913,1,0,0,0,1,0,0
1956,8.915057,8.775994,0,0,0,0,1,0,0
1530,5.9866185,6.0810375,0,0,1,1,0,0,0
430,6.3546553,3.9258492,0,0,1,0,0,0,0
1313,8.835179,9.900505,0,0,0,1,1,0,0
281,7.35966,3.6221466,0,0,0,0,1,1,1
2072,7.900961,9.110345,1,0,0,1,0,0,0
586,3.4726346,4.4827514,1,0,1,1,0,1,1
647,3.2318761,6.932231,1,0,0,1,1,0,0
1876,9.194064,9.042724,1,0,0,0,1,0,0
1134,3.0938451,6.712397,0,0,0,1,1,0,0
2027,7.9891133,3.8784497,1,0,0,0,0,0,0
1622,3.6677263,7.3546734,0,0,0,1,0,0,0
1132,9.363088,9.434395,0,0,0,0,1,0,0
2800,8.837555,8.965222,1,0,0,0,1,0,0
1447,3.3452742,6.5301633,0,0,0,1,0,0,0
1604,2.9790752,5.5725813,1,0,0,1,1,1,1
642,3.0747375,6.4973316,0,0,0,1,1,0,0
2712,7.2909346,4.191822,0,0,0,0,1,1,1
220,8.843388,9.711053,0,0,0,1,1,0,0
164,7.519908,8.334938,0,0,0,1,0,0,0
1256,8.106459,10.454376,0,0,0,1,1,0,1
2059,7.885326,4.0104637,0,0,0,0,0,1,1
1111,8.155335,6.767172,0,0,0,0,1,0,1
1073,5.481644,6.5397944,0,0,1,1,0,0,0
1870,9.151016,10.016102,0,0,0,1,1,0,0
593,7.3526206,10.561924,1,0,0,1,1,0,1
1345,7.0001764,5.083773,0,0,0,0,1,0,1
808,4.6400795,6.2761865,1,0,0,1,0,0,0
2044,7.607716,4.7316823,0,0,0,0,0,0,0
1411,6.0097723,5.761293,1,0,1,1,0,0,0
1510,7.778234,8.206112,0,0,0,1,0,0,0
1655,3.3254275,4.7818036,1,0,1,1,1,1,1
160,3.8482103,4.533255,0,0,1,1,1,1,1
1275,7.7428746,10.394077,0,0,0,1,0,0,0
883,3.9366987,5.0989866,1,0,1,1,1,0,0
2479,5.503545,7.416358,0,0,0,1,0,0,0
1146,7.5819087,10.507875,1,0,0,1,0,0,0
1096,5.648264,6.413816,1,0,1,1,0,0,0
874,5.839734,5.585799,0,0,1,1,0,0,0
663,5.850543,5.964053,0,0,1,1,0,0,0
1056,7.7105017,10.453513,1,0,0,1,0,0,0
2068,3.6277368,6.7476516,0,0,0,1,0,0,0
2753,8.657744,6.7156057,0,0,0,0,1,0,0
1793,5.182519,7.304372,0,0,0,1,0,0,0
878,3.5285168,7.011428,0,0,0,1,0,0,0
984,3.7025478,6.329591,0,0,0,1,0,0,0
968,6.069721,5.879784,1,0,1,1,0,0,0
1039,4.8881106,6.415319,0,0,0,1,0,0,0
1242,8.856118,9.469388,0,0,0,1,1,0,0
2345,7.662281,3.8322048,0,0,0,0,0,0,0
1667,9.3680315,9.200811,1,0,0,0,1,0,0
682,8.057943,8.026961,0,0,0,0,1,0,1
1069,4.0377336,5.8539615,0,0,0,1,1,0,0
1314,8.313301,10.64042,1,0,0,1,1,0,0
192,5.9642663,5.2210627,0,0,1,0,0,0,0
1239,3.5930219,6.357767,0,0,0,1,0,0,0
270,6.8671513,3.0810328,0,0,1,0,0,0,0
1182,9.334907,9.567466,1,0,0,0,1,0,0
658,7.5477824,8.302866,1,0,0,1,0,0,0
1658,4.8008137,5.695724,1,0,1,1,1,1,1
1005,8.6230345,8.911496,1,0,0,1,1,0,0
106,6.541608,3.8692093,1,0,0,0,0,0,0
1089,6.1619515,5.982714,0,0,1,1,0,0,0
1663,3.698354,4.7487597,0,0,1,1,1,1,1
1406,4.169445,6.2422976,0,0,0,1,0,0,0
706,4.544821,5.8850365,0,0,1,1,1,0,0
2940,8.790572,7.0163527,1,0,0,0,1,0,0
1910,5.6505156,7.2608037,0,0,0,1,0,0,0
1037,8.966094,9.803234,0,0,0,1,1,0,0
3086,3.214583,4.5881815,1,0,1,1,1,1,1
2703,7.1502748,5.2693458,1,0,0,0,1,1,1
349,7.409733,3.5248735,0,0,0,0,1,1,1
3309,3.184506,6.884432,1,0,0,1,1,0,0
1269,7.8466744,3.8950567,0,0,0,0,0,0,0
915,6.030177,5.9822083,0,0,1,1,0,0,0
1165,3.051705,5.530682,1,0,0,1,1,1,1
304,8.454393,6.461432,0,0,0,0,1,1,1
2769,7.392933,4.5174527,1,0,0,0,1,1,1
1352,8.224667,8.431075,1,0,0,1,1,0,0
1154,3.3009229,7.0215344,1,0,0,1,1,0,0
1565,8.174036,10.454311,0,0,0,1,1,0,1
2017,7.53726,9.520196,0,0,0,1,0,0,0
111,3.1783097,4.8754897,0,0,1,1,1,1,1
611,8.762204,9.158426,1,0,0,1,1,0,0
1753,9.316446,9.760459,1,0,0,1,1,0,0
1112,9.054859,10.077733,0,0,0,1,1,0,0
2247,7.903574,7.84677,0,0,0,0,0,0,0
1881,9.228372,9.050094,0,0,0,0,1,0,0
1552,5.448625,6.6857796,1,0,0,1,0,0,0
1347,3.7912745,7.2147255,0,0,0,1,0,0,0
1656,3.2067623,6.142365,0,0,0,1,1,0,0
1168,5.750507,5.520911,0,0,1,1,0,0,0
3077,3.567924,4.6103706,0,0,1,1,1,1,1
668,6.631775,3.1361055,0,0,1,0,0,0,0
1508,8.141958,10.251703,0,0,0,1,1,0,1
1419,8.553185,10.513747,1,0,0,1,1,0,0
1860,6.807923,3.4907181,1,0,1,0,0,0,0
2410,6.9524603,4.355029,1,0,0,0,1,1,1
641,4.029954,7.073273,1,0,0,1,0,0,0
1229,8.944863,10.262234,0,0,0,1,1,0,0
1047,3.9860435,5.764683,0,0,0,1,1,0,0
476,8.030998,8.98796,1,0,0,1,1,0,0
2064,6.201002,3.9596076,0,0,1,0,0,1,0
2218,8.637873,9.344228,0,0,0,1,1,0,0
1188,8.500376,6.7171974,0,0,0,0,1,0,0
1695,3.067637,4.9796195,0,0,1,1,1,1,1
637,7.746691,8.590093,0,0,0,1,0,0,0
34,8.201979,10.520887,0,0,0,1,1,0,0
1249,5.539327,5.852936,0,0,1,1,0,0,0
891,9.126405,9.967191,1,0,0,1,1,0,0
1772,8.0434265,10.557384,1,0,0,1,1,0,1
2186,3.785748,7.3576374,1,0,0,1,0,0,0
295,6.751834,3.1961937,0,0,1,0,0,0,0
581,8.265515,9.924402,0,0,0,1,1,0,0
301,7.8595657,3.9817698,1,0,0,0,0,1,1
2408,7.2321024,10.460079,1,0,0,1,1,0,1
1216,6.077842,6.924651,0,0,0,1,0,0,0
169,5.651331,4.958454,1,0,1,0,0,0,0
215,4.911812,7.201131,0,0,0,1,0,0,0
2031,7.6838617,4.6116476,0,0,0,0,0,0,0
1990,8.520373,6.6788926,0,0,0,0,1,0,0
1021,7.876699,9.784731,0,0,0,1,0,0,0
885,4.282649,7.266994,0,0,0,1,0,0,0
371,7.629105,3.890703,0,0,0,0,0,0,0
1960,7.523716,4.3645067,0,0,0,0,0,0,0
3279,2.9507606,5.693145,0,0,0,1,1,1,1
3013,7.7317767,4.022053,0,0,0,0,0,1,0
892,3.4714952,4.568075,1,0,1,1,1,1,1
1357,4.0363183,5.3015842,0,0,1,1,1,0,0
1389,8.209483,8.470989,0,0,0,1,1,0,0
737,8.518193,6.393087,0,0,0,0,1,1,1
172,2.915565,5.6473064,1,0,0,1,1,1,1
1607,4.2046785,5.1768684,1,0,1,1,1,0,0
1015,3.121101,6.247002,0,0,0,1,1,0,0
334,7.1008554,3.3033557,0,0,1,0,1,1,1
2052,8.690435,7.0925536,0,0,0,0,1,0,0
1075,5.461554,5.1147,0,0,1,1,0,0,0
412,7.319195,3.4746542,0,0,0,0,1,1,1
553,5.879078,7.3571253,1,0,0,1,0,0,0
755,5.3613596,7.3496423,0,0,0,1,0,0,0
3277,8.1470175,7.568501,1,0,0,0,1,0,1
3255,6.40899,7.254659,1,0,0,1,0,0,0
556,5.362993,6.8561645,0,0,0,1,0,0,0
1022,7.813619,9.905653,0,0,0,1,0,0,0
861,7.658634,8.220807,0,0,0,1,0,0,0
1914,7.491719,10.669624,1,0,0,1,0,0,0
274,5.894924,5.348615,0,0,1,0,0,0,0
2003,8.818599,7.115307,0,0,0,0,1,0,0
1190,8.238406,8.236645,0,0,0,0,1,0,0
1610,3.4810555,5.2159767,1,0,1,1,1,1,1
2067,8.644028,9.605356,0,0,0,1,1,0,0
2848,7.7245564,8.01421,1,0,0,1,0,0,0
2095,3.0811157,6.2176714,0,0,0,1,1,0,0
130,7.5167294,10.277871,1,0,0,1,0,0,0
847,8.30908,6.5954556,0,0,0,0,1,0,0
573,4.113268,7.1423006,1,0,0,1,0,0,0
2148,6.9422216,4.3261366,0,0,0,0,1,1,1
1985,7.504912,4.487372,0,0,0,0,0,0,0
