,UMAP_1,UMAP_2,W3IWER4_A
89,4.431375,6.1029425,0
21,4.359514,1.8304583,0
44,7.632938,6.712089,0
28,8.350272,5.4804626,0
34,5.463496,1.4387778,0
73,2.6679928,5.1008425,0
72,7.329221,5.2224436,0
20,2.9889247,5.657595,0
19,6.836741,2.780503,0
17,5.627077,0.95681745,0
5,6.8426023,6.1600175,0
54,5.207213,2.8399262,0
7,8.231995,4.1529555,0
10,7.510494,5.7790675,0
40,5.619338,0.65279067,0
56,4.496021,6.2381806,0
2,7.508081,3.6273756,0
82,6.044778,5.982033,0
95,8.007676,6.1157513,0
3,7.567551,5.0834184,0
53,2.983467,5.066699,0
70,5.5442014,1.7050301,0
84,6.46246,3.8468816,0
62,6.3341417,5.19055,0
71,5.590058,1.3075523,0
88,5.699244,1.1952668,0
38,6.6892924,4.3548894,0
91,4.450829,6.239658,0
49,7.7345634,3.807164,0
31,3.3456066,6.1660366,0
18,2.3811123,4.970456,0
43,5.1912823,2.445384,0
77,5.487766,1.7812654,0
59,7.2747808,6.5242577,0
51,3.874431,5.772837,0
66,4.4033437,6.3956337,0
8,4.902152,3.071648,0
74,3.9075003,6.0547385,0
87,2.4801195,5.670283,0
46,7.0490437,6.648247,0
39,4.1311345,6.5449843,0
86,7.0046353,5.3329835,0
14,6.65242,5.8638477,0
60,8.295131,4.8460507,0
79,5.9267774,2.5243974,0
78,3.5569675,6.3711767,0
35,4.511873,6.0084615,0
83,6.7968817,5.795519,0
63,4.9806857,2.308012,0
12,7.411432,4.4921827,0
68,4.308888,4.853225,0
33,2.7006614,6.1615925,0
41,8.016933,3.8718286,0
37,6.70264,6.673972,0
4,5.751124,1.7293646,0
0,5.4823313,0.7434384,0
26,3.4146328,4.218139,0
90,8.184948,6.247645,0
55,7.6413693,5.0128174,0
69,4.4407077,2.6429598,0
16,8.295487,5.907474,0
24,3.4772267,3.6322112,0
25,2.3896494,4.5732927,0
58,4.600831,3.0265129,0
29,5.307957,0.8228106,0
9,5.7276998,3.0216162,0
76,4.5781326,6.315562,0
67,5.067618,2.357037,0
65,3.6655815,3.3995128,0
23,6.251741,6.1502013,0
30,6.592271,6.7010913,0
36,5.4238954,0.6877193,0
57,7.9896145,5.4875593,0
11,4.0491495,4.9902043,0
80,3.4236362,3.4697104,0
64,7.6142454,4.950795,0
47,1.8878843,4.316033,0
85,7.544866,4.4914513,0
94,3.9122736,5.7002077,0
27,5.2127237,6.1156545,0
13,5.8169007,2.4050608,0
81,2.748189,3.8465903,0
52,6.2269387,3.5458033,0
32,6.336212,6.179256,0
50,3.4218757,6.1160564,0
22,3.1597412,5.9814334,0
48,7.8213997,4.0520315,0
75,7.8591514,6.5746565,0
1,6.791238,4.824608,0
45,4.833093,1.0020627,0
15,2.3654814,5.296708,0
42,3.8070385,3.3267803,0
61,6.4246025,6.6615653,0
6,5.2797647,2.138347,0
92,5.3531003,0.9525017,0
93,5.246116,0.77705663,0
