,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-1.4907008,13.025489,1,0,1,0,1,1,1
1428,-0.93726563,6.8128753,0,0,1,0,1,1,1
1386,12.122194,4.074185,0,0,0,0,0,0,0
1967,12.552086,3.786739,0,0,0,0,0,0,0
2243,11.777767,5.0033526,1,0,0,0,0,0,0
1196,1.6619173,4.296373,0,0,0,0,1,1,1
419,12.5186825,3.5438654,0,0,0,0,0,1,0
1826,-1.1464983,13.708649,0,0,1,0,1,1,1
1260,-1.6949424,14.162248,1,0,1,0,1,1,1
3072,-0.91356355,4.7816067,1,0,0,1,1,1,1
1642,-2.3853369,12.196686,1,0,1,0,1,1,1
3189,-1.1960801,6.4494185,1,0,1,0,1,0,1
928,-2.2713661,11.284059,0,0,1,0,1,1,1
610,-1.8628055,7.135089,0,0,1,0,0,1,1
1575,-2.8245082,6.095792,0,0,0,1,0,1,1
185,0.1050272,12.662258,0,0,0,0,1,1,1
2782,12.308002,3.5190065,0,0,0,0,0,1,0
449,11.9794,1.9523697,0,0,0,0,0,1,0
1198,1.0185033,4.495678,0,0,0,1,1,1,1
1356,11.144844,3.7573888,0,0,0,0,0,1,0
399,1.7772627,4.274858,0,0,0,0,1,1,1
3168,-1.0685338,13.538209,1,0,1,0,1,1,1
1781,1.6966344,4.229649,0,0,0,0,1,1,1
2995,12.617929,3.5944452,1,0,0,0,0,1,0
411,12.561683,3.7306178,0,0,0,0,0,0,0
2878,-0.9897438,12.419553,0,0,1,0,1,1,1
3264,1.0506684,4.4365315,0,0,0,1,1,1,1
2071,0.100196816,4.049884,1,0,0,1,1,1,1
680,-0.87771624,6.4110136,0,0,0,0,1,0,1
865,-1.9507438,5.6221666,0,0,0,1,1,1,1
444,-1.2241954,11.488278,0,0,1,0,1,1,1
211,0.4138186,12.7433815,0,0,0,0,1,1,1
569,-0.7821678,6.385654,0,0,0,0,1,0,1
1243,-2.1339314,11.226093,0,0,1,0,1,1,1
780,-1.2595339,13.554705,0,0,1,0,1,1,1
779,-1.8265488,13.967663,0,0,1,0,1,1,1
2076,11.703179,5.061656,1,0,0,0,0,0,0
1744,-2.1812956,5.794085,1,0,0,1,0,1,1
144,0.01689489,12.642243,0,0,0,0,1,1,1
898,-1.7417805,11.679274,0,0,1,0,1,1,1
1429,11.187398,4.0235453,0,0,0,0,0,1,0
2033,11.937075,2.4333537,0,0,0,0,0,1,0
1150,0.14688478,4.2615657,1,0,0,1,1,1,1
1282,-1.6024433,13.758718,0,0,1,0,1,1,1
1206,-2.0163314,6.593067,1,0,1,1,0,0,0
1172,-2.3280423,5.529888,1,0,0,1,0,1,1
258,12.482629,4.41033,0,0,0,0,0,0,0
393,11.5402,2.53964,1,0,0,0,1,1,0
960,-1.7453917,5.0938125,0,0,0,1,1,1,1
877,-2.2249098,12.882413,1,0,1,0,1,1,1
947,-1.6201432,12.331752,0,0,1,0,1,1,1
1944,-2.7796245,6.0725617,1,0,0,1,0,1,1
1950,12.134719,3.7577507,0,0,0,0,0,0,0
2501,12.478109,4.3136115,0,0,0,0,0,0,0
3087,1.6527064,4.356293,0,0,0,0,1,1,1
1387,0.1622039,4.470752,0,0,0,1,1,1,1
820,11.657095,1.9105667,1,0,0,0,0,1,0
1115,-1.8836359,11.140688,1,0,1,0,1,1,1
1998,11.933281,2.5480125,0,0,0,0,0,1,0
1691,-2.6529186,5.5851326,1,0,0,1,0,1,1
1458,0.19411622,4.126351,0,0,0,1,1,0,1
2714,11.788971,2.0567305,0,0,0,0,0,1,0
1971,12.098327,2.6986938,0,0,0,0,0,1,0
920,0.46956712,4.1667924,1,0,0,1,1,0,1
1176,-1.3174568,13.828509,0,0,1,0,1,1,1
1903,-0.9980667,13.262921,0,0,1,0,1,1,1
1874,-2.4206586,5.6254177,0,0,0,1,0,1,1
311,11.845486,3.6766152,1,0,0,0,0,0,0
1956,11.17966,2.3792286,0,0,0,0,1,1,0
1530,-2.477506,13.646975,0,0,1,0,1,1,1
430,12.4867,3.779043,0,0,0,0,0,0,0
1313,-1.5542775,14.007017,0,0,1,0,1,1,1
281,11.517072,4.4514937,0,0,0,0,0,0,0
2072,-2.3072016,11.495557,1,0,1,0,1,1,1
586,-0.9905734,6.8633437,1,0,1,0,1,1,1
647,-1.7612783,11.303176,1,0,1,0,1,1,1
1876,-2.4805157,11.409523,1,0,1,0,1,1,1
1134,-1.8396622,11.08536,0,0,1,0,1,1,1
2027,11.5542965,4.501036,1,0,0,0,0,0,0
1622,-0.82169604,6.639823,0,0,0,0,1,0,1
1132,-2.1370265,5.2108254,0,0,0,1,0,1,1
2800,-0.0639856,13.170974,1,0,0,0,1,1,1
1447,-2.4189358,6.923637,0,0,1,1,0,1,1
1604,-2.6184866,11.963735,1,0,1,0,1,1,1
642,0.5315395,4.1710696,0,0,0,1,1,0,1
2712,12.459025,3.5870473,0,0,0,0,0,1,0
220,0.3873692,12.346757,0,0,0,0,1,1,1
164,11.937606,4.9298778,0,0,0,0,0,0,0
1256,-1.4705536,13.986662,0,0,1,0,1,1,1
2059,11.852914,2.4579058,0,0,0,0,0,1,0
1111,11.275799,2.458687,0,0,0,0,1,1,0
1073,-1.3523403,7.054235,0,0,1,0,1,1,1
1870,-0.0054293964,4.1293426,0,0,0,1,1,0,1
593,11.40881,3.3326502,1,0,0,0,1,1,0
1345,12.363479,4.184414,0,0,0,0,0,0,0
808,-1.808751,6.4700556,1,0,1,1,1,0,1
2044,11.745759,2.3771198,0,0,0,0,0,1,0
1411,-1.2773107,6.5408635,1,0,1,0,1,0,1
1510,-2.7320287,13.423802,0,0,1,0,1,1,1
1655,-1.6863177,6.726079,1,0,1,1,1,1,1
160,0.105857104,12.676264,0,0,0,0,1,1,1
1275,-2.521428,11.381907,0,0,1,0,1,1,1
883,1.0834326,4.4220686,1,0,0,1,1,1,1
2479,-0.24838904,12.496567,0,0,0,0,1,1,1
1146,-0.0151454555,4.288805,1,0,0,1,1,1,1
1096,-1.1492871,13.245238,1,0,1,0,1,1,1
874,11.330762,4.095443,0,0,0,0,0,0,0
663,-2.4934373,13.387797,0,0,1,0,1,1,1
1056,-2.7455382,6.0408816,1,0,0,1,0,1,1
2068,-1.9052087,11.510239,0,0,1,0,1,1,1
2753,11.914169,3.4996572,0,0,0,0,0,1,0
1793,0.8172995,4.271195,0,0,0,1,1,1,1
878,-2.4479527,12.274982,0,0,1,0,1,1,1
984,-1.8588645,11.166665,0,0,1,0,1,1,1
968,0.5113021,4.2076974,1,0,0,1,1,0,1
1039,-2.4605315,6.4423504,0,0,0,1,0,0,1
1242,-2.2327688,13.658777,0,0,1,0,1,1,1
2345,11.568236,4.965796,0,0,0,0,0,0,0
1667,-2.2938097,5.2765155,1,0,0,1,0,1,1
682,-2.6176252,5.5875287,0,0,0,1,0,1,1
1069,-1.886538,12.068149,0,0,1,0,1,1,1
1314,-2.1723704,5.192937,1,0,0,1,0,1,1
192,12.626551,4.263493,0,0,0,0,0,0,0
1239,-1.5043387,7.149742,0,0,1,0,0,1,1
270,11.994177,4.0737667,0,0,0,0,0,0,0
1182,-2.1636682,13.34117,1,0,1,0,1,1,1
658,-2.4768682,13.667576,1,0,1,0,1,1,1
1658,-1.2603129,6.6165276,1,0,1,0,1,0,1
1005,-0.013782289,4.1451187,1,0,0,1,1,0,1
106,11.714531,4.952261,1,0,0,0,0,0,0
1089,-1.2776182,13.769047,0,0,1,0,1,1,1
1663,-1.4067407,12.911978,0,0,1,0,1,1,1
1406,-2.4842799,6.5645137,0,0,0,1,0,0,0
706,-1.5030375,13.676829,0,0,1,0,1,1,1
2940,11.587641,2.4597807,1,0,0,0,0,1,0
1910,-1.7381912,6.5094566,0,0,1,1,1,0,1
1037,-1.9254518,5.5945153,0,0,0,1,1,1,1
3086,1.360359,4.4181046,1,0,0,0,1,1,1
2703,11.617014,2.090168,1,0,0,0,0,1,0
349,11.911658,3.7077096,0,0,0,0,0,0,0
3309,-1.9639313,6.921952,1,0,1,1,1,1,1
1269,11.232982,3.9982312,0,0,0,0,0,1,0
915,-2.2511468,6.651809,0,0,1,1,0,0,0
1165,-1.7014533,11.394992,1,0,1,0,1,1,1
304,11.3375025,2.6493855,0,0,0,0,1,1,0
2769,11.733051,2.6391926,1,0,0,0,0,1,0
1352,-1.0944952,6.1348042,1,0,0,1,1,1,1
1154,-1.6011869,12.986829,1,0,1,0,1,1,1
1565,-1.6602311,13.398048,0,0,1,0,1,1,1
2017,-2.9891376,6.1783338,0,0,0,1,0,1,1
111,0.25026274,12.659238,0,0,0,0,1,1,1
611,-2.2947903,5.3017178,1,0,0,1,0,1,1
1753,-2.4811158,5.841889,1,0,0,1,0,1,1
1112,-1.7910168,13.859584,0,0,1,0,1,1,1
2247,11.949129,4.8308606,0,0,0,0,0,0,0
1881,-2.0778253,5.78695,0,0,0,1,0,1,1
1552,-2.2926018,12.272729,1,0,1,0,1,1,1
1347,-2.2589867,11.32457,0,0,1,0,1,1,1
1656,-2.5756063,13.590443,0,0,1,0,1,1,1
1168,0.9963855,4.4084396,0,0,0,1,1,1,1
3077,-1.0529212,6.9235177,0,0,1,0,1,1,1
668,11.246785,4.089415,0,0,0,0,0,0,0
1508,-1.7968751,5.9336877,0,0,0,1,1,1,1
1419,-1.6781473,13.8458,1,0,1,0,1,1,1
1860,11.140836,3.0120108,1,0,0,0,1,1,0
2410,12.604434,3.7884836,1,0,0,0,0,0,0
641,1.0828327,4.39337,1,0,0,1,1,1,1
1229,-2.0479684,5.5077357,0,0,0,1,0,1,1
1047,1.695989,4.3298006,0,0,0,0,1,1,1
476,-2.046634,11.961676,1,0,1,0,1,1,1
2064,11.655918,1.9355308,0,0,0,0,0,1,0
2218,0.2786793,12.839335,0,0,0,0,1,1,1
1188,11.333658,2.614438,0,0,0,0,1,1,0
1695,11.1604395,3.8979957,0,0,0,0,0,1,0
637,-0.07687226,4.2117662,0,0,0,1,1,0,1
34,0.16165502,12.832413,0,0,0,0,1,1,1
1249,-1.9942524,6.939867,0,0,1,1,1,1,1
891,-2.2693367,11.554111,1,0,1,0,1,1,1
1772,-1.116789,5.961958,1,0,0,1,1,1,1
2186,0.12622505,12.606946,1,0,0,0,1,1,1
295,11.886858,2.016563,0,0,0,0,0,1,0
581,-0.43847466,4.5805016,0,0,0,1,1,1,1
301,11.828249,4.2833366,1,0,0,0,0,0,0
2408,11.955439,4.8368716,1,0,0,0,0,0,0
1216,-2.5898447,13.549407,0,0,1,0,1,1,1
169,11.682848,4.9303894,1,0,0,0,0,0,0
215,0.35104236,12.614807,0,0,0,0,1,1,1
2031,12.034746,3.8066719,0,0,0,0,0,0,0
1990,11.914818,2.162258,0,0,0,0,0,1,0
1021,-1.5741371,14.021989,0,0,1,0,1,1,1
885,-2.3946297,6.5354276,0,0,0,1,0,0,0
371,11.908676,1.9480765,0,0,0,0,0,1,0
1960,12.0100155,3.7959633,0,0,0,0,0,0,0
3279,-1.5138546,11.478444,0,0,1,0,1,1,1
3013,12.034368,2.3809435,0,0,0,0,0,1,0
892,-1.3722565,7.064381,1,0,1,0,1,1,1
1357,-2.2039793,12.985495,0,0,1,0,1,1,1
1389,-2.6474814,11.92809,0,0,1,0,1,1,1
737,11.309216,2.7897146,0,0,0,0,1,1,0
172,0.31465936,12.608841,1,0,0,0,1,1,1
1607,-2.2908602,12.355648,1,0,1,0,1,1,1
1015,-1.1277919,13.29639,0,0,1,0,1,1,1
334,12.275314,2.7977388,0,0,0,0,0,1,0
2052,11.907257,3.4205897,0,0,0,0,0,1,0
1075,-1.7429994,7.0489564,0,0,1,0,1,1,1
412,12.264308,3.9168785,0,0,0,0,0,0,0
553,-1.190554,13.584827,1,0,1,0,1,1,1
755,-2.1432564,11.651657,0,0,1,0,1,1,1
3277,11.0748005,2.869351,1,0,0,0,1,1,0
3255,-2.3594096,13.183459,1,0,1,0,1,1,1
556,-1.8244979,11.27248,0,0,1,0,1,1,1
1022,-2.6293426,5.968689,0,0,0,1,0,1,1
861,-2.4265532,11.504436,0,0,1,0,1,1,1
1914,-1.0329831,6.0189834,1,0,0,1,1,1,1
274,-0.4224536,13.050162,0,0,0,0,1,1,1
2003,11.472171,2.2914953,0,0,0,0,1,1,0
1190,-2.410439,11.35435,0,0,1,0,1,1,1
1610,-1.1065072,6.872961,1,0,1,0,1,1,1
2067,0.12098118,4.340712,0,0,0,1,1,1,1
2848,-2.1374283,5.2925096,1,0,0,1,0,1,1
2095,-1.2160428,13.623223,0,0,1,0,1,1,1
130,0.2530017,12.639464,1,0,0,0,1,1,1
847,11.325778,2.924795,0,0,0,0,1,1,0
573,-0.97037864,6.5690045,1,0,0,0,1,0,1
2148,12.604125,4.2801566,0,0,0,0,0,0,0
1985,11.656054,2.7161136,0,0,0,0,0,1,0
