,UMAP_1,UMAP_2,W3IWER4_A
326,-4.598551,12.869069,0
90,4.2669,16.984238,0
423,-6.604582,-5.656893,0
351,-21.359505,4.348343,0
18,15.71359,18.124493,0
32,1.8738197,16.183655,0
357,-11.3644705,6.5264544,0
315,3.190095,16.153427,0
285,4.9673915,4.8679953,0
434,13.668789,-0.961228,0
323,-12.818828,-0.5888235,0
418,18.75245,9.301837,0
427,-6.6062055,-5.269028,0
441,18.66002,9.2291,0
391,-5.57649,-12.018255,0
465,13.780547,-0.8348631,0
347,-4.6496677,12.952344,0
448,18.638151,9.199134,0
435,18.898178,2.929191,0
55,-14.185764,18.217402,0
385,19.434715,2.859826,0
47,-12.773799,-0.6338466,0
409,18.498787,9.052071,0
38,-9.98806,13.839711,0
380,13.773265,-0.84550995,0
27,-9.427839,13.421798,0
50,-4.5706296,12.898787,0
303,-9.4686775,13.388593,0
67,-11.359943,6.5218525,0
451,-15.682294,4.189383,0
352,4.1770077,16.394148,0
19,-5.1516733,-12.264119,0
6,-4.1694765,-0.17048198,0
25,-4.192591,6.654992,0
335,4.055289,16.716442,0
377,18.865469,2.9094725,0
289,15.65606,18.066837,0
4,13.291398,5.2171454,0
370,1.1071023,18.763622,0
450,18.690489,9.250072,0
321,2.4593325,16.060404,0
405,13.628603,-1.0028929,0
408,13.856467,-0.79355186,0
22,2.5636826,16.146517,0
307,13.449921,5.375774,0
57,-2.540817,0.22311616,0
404,18.570484,9.128898,0
77,-11.330354,6.4923744,0
358,-4.238438,6.631975,0
449,19.606546,2.8989267,0
437,18.134434,8.775749,0
324,1.9637777,16.164297,0
458,19.77606,2.7774074,0
337,-12.816483,-0.59105325,0
46,3.364669,15.319322,0
2,-4.09144,-0.20431009,0
33,-4.157547,-0.19835366,0
464,-6.404472,-4.916375,0
447,-15.739336,4.132392,0
89,1.2460903,18.62323,0
363,0.97019196,18.86506,0
51,-9.97843,13.820406,0
296,2.7063322,0.28791404,0
60,-4.324059,6.6904125,0
309,-4.1415477,-0.21349579,0
12,-12.450166,-0.96086943,0
290,15.616925,18.027729,0
387,-15.707947,4.1637735,0
26,-9.877195,13.7804575,0
442,13.869325,-0.7734874,0
453,19.645075,2.8539007,0
56,-3.5616238,-0.23742868,0
82,-4.239616,6.698787,0
428,13.764121,-0.8832976,0
41,13.303191,5.228977,0
333,-2.539674,0.22683428,0
354,4.364211,16.235304,0
440,19.403044,2.897959,0
389,-6.582972,-5.197987,0
433,-10.585285,-9.806002,0
