,WWWSEX,WWWWHITE,W2TOTCL,W12EDUC3,AGE65PLM,WWWBLACK,W2FIPCOM,AGE4049M,W1FIPCOM,AGE5059M,AGE3039,AGE1829,WWWHOMLN,W1TRUAM2,W2CIVLIB,EDUCAT4,WWWAGEC1,CENSDIV,WWWHISP,WWWBRNUS,WWWEDU3,WWWEDU5,W1STATE,W12RACE4,W2SECURE,WWWRACE4,AGE6064M,RAC3,WWWRACE3,WWWAGE,COMPLET2,IMPHISP,RACES,W12OTHET,W2MISSCL,USAWT1RV,RACWT1RV,USAWT2RC,RHWT2CC,USAWT2CC,USAWT2NC,RHWT2RC,MULT2,W3IWER4_A
420,1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-0.1428571428571429,-1.0,-1.0,1.0,1.0,0.20000000000000018,-1.0,-0.9999999999999999,-1.0,0.41935483870967727,1,1.0,-1.0,-1.0,0.709090909090909,0.3333333333333335,-1.0,0.3333333333333335,-1.0,-1.0,-1,-0.8666666666666666,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-0.9515197023237542,-0.9610520376376815,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
418,1,1,-1.0,0.0,-1.0,-1,-1.0,1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,1.0,-1.0,0.3333333333333335,0.0,0.29032258064516125,-1,1.0,0.0,0.0,-0.5636363636363637,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-1,-0.22666666666666657,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-0.7599377708371864,-0.8071394955439777,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
196,-1,1,-1.0,0.0,-1.0,-1,-1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,-1.0,0.3333333333333335,0.0,-1.0,-1,1.0,0.0,0.0,-0.20000000000000007,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-1,-0.30666666666666664,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-0.7315190746129869,-0.7843085649602148,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
238,1,1,0.4545454545454546,1.0,1.0,-1,0.9999999999999999,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,0.6000000000000001,-0.09090909090909083,1.0,0.9999999999999998,0.41935483870967727,-1,1.0,1.0,0.5,0.709090909090909,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1.0,-1,0.4666666666666668,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,0.1428571428571428,-0.9978321026703372,-0.9982583608671876,-0.9967935968989593,-0.998732011043999,-0.9986618257468294,-1.0,-0.9983232838378127,-1.0,0
350,1,-1,-1.0,-1.0,-1.0,1,-1.0,-1.0,-0.1428571428571429,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.33333333333333326,-0.6666666666666666,-0.3548387096774195,-1,1.0,0.0,-0.5,-0.09090909090909094,-0.33333333333333326,-1.0,-0.33333333333333326,-1.0,0.0,0,-0.7599999999999999,0.0,0.1428571428571428,-0.5999999999999999,-1.0,-1.0,-0.9966957423672053,-0.9943161427926361,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
342,1,1,-1.0,1.0,-1.0,-1,-1.0,1.0,0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-0.6,-1.0,1.0,0.0,0.29032258064516125,-1,1.0,1.0,1.0,0.8181818181818181,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-1,-0.3599999999999999,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-0.9296586008276858,-0.9434893286801715,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
333,1,-1,-1.0,-1.0,-1.0,1,-1.0,-1.0,0.4285714285714285,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.33333333333333326,0.33333333333333326,0.29032258064516125,-1,1.0,0.0,-0.5,0.8181818181818181,-0.33333333333333326,-1.0,-0.33333333333333326,-1.0,0.0,0,-0.09333333333333327,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,-1.0,-0.721806363320574,-0.5214619794808977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
70,1,1,-1.0,0.0,1.0,-1,-1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,-1.0,0.3333333333333335,0.9999999999999998,0.9999999999999998,-1,1.0,0.0,0.0,-0.8181818181818182,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-1,0.7333333333333334,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-0.8871877467918231,-0.9093692158970247,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
130,-1,1,-1.0,1.0,1.0,-1,-1.0,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,0.20000000000000018,-1.0,1.0,0.9999999999999998,0.41935483870967727,-1,1.0,1.0,1.0,0.4181818181818182,-0.9999999999999999,-1.0,-0.9999999999999999,-1.0,-1.0,-1,0.4666666666666668,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-1.0,-0.8053624454462084,-0.8436326402188662,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
100,1,-1,0.8181818181818183,1.0,-1.0,-1,-0.1428571428571429,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.2727272727272727,1.0,-0.33333333333333326,0.29032258064516125,1,-1.0,1.0,1.0,-0.6000000000000001,0.3333333333333335,0.2727272727272727,0.3333333333333335,-1.0,-1.0,-1,-0.6799999999999999,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.4285714285714286,-1.0,-1.0,-1.0,-0.991546457220249,-0.9961555239567516,-0.9967223355262376,-1.0,-1.0,0
