,W2TOTCL,W2FIPCOM,W2CIVLIB,CENSDIV,W12AGEC1,WWWAGE,W1STATE,W1AGE,AGE3039,COMPLET2,WWWSEX,CENSREGN,RACWT1RV,WWWMALE,W1FIPCOM,W2SECURE,WWWAGEC1,W12OTHET,EDUCAT4,WWWEDU3,W1TRUAM3,IMPHISP,USAWT2CC,W12BLACK,WWWHISP,RAC3,WWWEDU5,AGE65PLM,WWWBRNUS,W12EDUC3,USAWT1RV,RACES,W1AGECAT,WWWWHITE,WWWBLACK,W12RACE4,WWWRACE3,NEWRACE,W12SEX,W1TRUAM2,USAWT2RC,AGE4049M,MULT3,WWWRACE4,AGE6064M,RHWT2RC,IMPRACE,HISWT1RV,W2MISSCL,COMPLET3,W12HISP,RHWT2CC,WWWHOMLN,USAWT2NC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-1.0,-1.0,-1.0,-1.0,-0.33333333333333326,-0.6799999999999999,-0.12727272727272732,-0.6799999999999999,1.0,-1.0,1,-0.9999999999999999,-0.9265405190686282,-1,0.7142857142857141,-1.0,-0.33333333333333326,-1.0,1.0,1.0,-0.5,0.1428571428571428,-1.0,-1.0,-1,-1.0,1.0,-1.0,1.0,1.0,-0.8427112545876589,-0.9999999999999999,-0.33333333333333326,1,-1,-0.9999999999999999,-1,-1.0,1.0,-0.19999999999999996,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8427112545875153,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,1,1,0,0,0
575,1.0000000000000002,0.9999999999999999,-0.09090909090909083,0.41935483870967727,0.9999999999999998,0.5733333333333337,0.709090909090909,0.5733333333333337,-1.0,-1.0,1,0.3333333333333335,-0.8949236680620734,-1,0.4285714285714285,0.2727272727272727,0.9999999999999998,-1.0,0.3333333333333335,0.0,0.0,0.1428571428571428,-0.9140940240621308,-1.0,-1,-1.0,0.0,1.0,1.0,0.0,-0.7750144132041268,-0.9999999999999999,0.9999999999999998,1,-1,-0.9999999999999999,-1,-1.0,1.0,0.20000000000000018,-0.7853859058234252,-1.0,1.0,-0.9999999999999999,-1.0,-0.7853859058234691,-1.0,-0.7750144132040868,-0.8181818181818181,-1.0,-1.0,-0.9525156004203708,-1.0,-1.0,1,0,1,0,1,1,0
2316,1.0000000000000002,0.1428571428571428,0.8181818181818183,0.29032258064516125,0.9999999999999998,0.4933333333333334,-0.6000000000000001,0.4933333333333334,-1.0,1.0,1,0.3333333333333335,-1.0,-1,-1.0,-0.6363636363636362,0.9999999999999998,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,-0.9954271887060829,-1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,0.9999999999999998,-1,-1,0.3333333333333335,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.3333333333333335,-1.0,-1.0,-1.0,-1.0,-0.8181818181818181,1.0,1.0,-0.9974723854038401,-1.0,-0.995424772808337,0,0,0,0,1,0,1
1092,1.0000000000000002,0.9999999999999999,0.09090909090909105,0.29032258064516125,0.33333333333333326,-0.09333333333333327,0.8181818181818181,-0.09333333333333327,-1.0,-1.0,-1,0.3333333333333335,-0.883885009982436,1,0.7142857142857141,0.09090909090909105,0.33333333333333326,1.0,1.0,1.0,-1.0,0.1428571428571428,-0.8969737278146561,-1.0,-1,1.0,0.5,-1.0,1.0,1.0,-0.6388246443099759,1.0000000000000004,0.33333333333333326,1,-1,1.0,-1,1.0,-1.0,-0.6,-0.7719799892869781,-1.0,-1.0,-0.9999999999999999,-1.0,-0.7719799892869713,1.0,-0.6388246443100646,-0.8181818181818181,-1.0,-1.0,-0.9430523823023129,-1.0,-1.0,1,0,1,1,1,1,1
19,-1.0,-1.0,-1.0,0.9999999999999998,0.6666666666666667,0.1200000000000001,-0.8181818181818182,0.1200000000000001,-1.0,1.0,1,1.0,-0.9988793232662797,-1,0.4285714285714285,-1.0,0.6666666666666667,-1.0,0.3333333333333335,0.0,0.0,0.1428571428571428,-1.0,-1.0,-1,-1.0,0.0,-1.0,1.0,0.0,-0.9976004480941412,-0.9999999999999999,0.6666666666666667,1,-1,-0.9999999999999999,-1,-1.0,1.0,0.20000000000000018,-1.0,-1.0,1.0,-0.9999999999999999,1.0,-1.0,-1.0,-0.9976004480942513,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1,0,0,0
2198,1.0000000000000002,-0.1428571428571429,-0.2727272727272727,0.29032258064516125,0.9999999999999998,0.3333333333333335,-0.6000000000000001,0.3333333333333335,-1.0,-1.0,1,0.3333333333333335,-1.0,-1,-1.0,0.4545454545454546,0.9999999999999998,-1.0,-0.9999999999999999,-1.0,-1.0,-0.9999999999999999,-0.9960968617571282,-1.0,1,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.9999999999999999,0.9999999999999998,-1,-1,0.3333333333333335,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.3333333333333335,-1.0,-1.0,-1.0,-1.0,-0.8181818181818181,-1.0,1.0,-0.9949934298807737,1.0,-0.9954696229441402,1,0,0,0,1,0,0
1428,-1.0,-1.0,-1.0,-0.3548387096774195,0.0,-0.3599999999999999,0.38181818181818183,-0.3599999999999999,-1.0,-1.0,1,-0.33333333333333326,-0.6106972753991875,-1,-0.1428571428571429,-1.0,0.0,-1.0,-0.33333333333333326,0.0,0.0,0.1428571428571428,-1.0,-1.0,-1,-1.0,-0.5,-1.0,1.0,-1.0,-0.16643928922728146,-0.9999999999999999,0.0,1,-1,-0.9999999999999999,-1,-1.0,1.0,0.20000000000000018,-1.0,1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.16643928922717122,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1,0,0,0
1386,-1.0,-1.0,-1.0,0.9999999999999998,0.0,-0.19999999999999996,-0.8181818181818182,-0.19999999999999996,-1.0,-1.0,1,1.0,-0.624036076252134,-1,0.9999999999999999,-1.0,0.0,-1.0,-0.33333333333333326,0.0,1.0,0.1428571428571428,-1.0,1.0,-1,0.0,-0.5,-1.0,1.0,-1.0,-0.6240360762521753,-0.5999999999999999,0.0,-1,1,-0.33333333333333326,0,0.0,1.0,1.0,-1.0,1.0,1.0,-0.33333333333333326,-1.0,-1.0,0.0,-0.6240360762522381,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,0,0,1,0,0,0
1858,1.0000000000000002,0.9999999999999999,0.8181818181818183,-0.935483870967742,-0.6666666666666666,-0.7599999999999999,0.49090909090909074,-0.7599999999999999,-1.0,-1.0,1,-0.9999999999999999,-1.0,-1,-1.0,-0.6363636363636362,-0.6666666666666666,-1.0,0.3333333333333335,0.0,-1.0,0.1428571428571428,-0.6589008850727263,-1.0,-1,-1.0,0.0,-1.0,1.0,0.0,-1.0,-0.9999999999999999,-0.6666666666666666,1,-1,-0.9999999999999999,-1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-0.8181818181818181,-1.0,-1.0,-0.8114579749236495,-1.0,-0.6601212754660395,0,0,1,1,0,1,1
1967,1.0000000000000002,0.4285714285714285,-0.2727272727272727,0.29032258064516125,0.9999999999999998,0.3866666666666667,-0.1636363636363637,0.3866666666666667,-1.0,-1.0,1,0.3333333333333335,-1.0,-1,-1.0,0.4545454545454546,0.9999999999999998,1.0,-0.33333333333333326,0.0,-1.0,0.1428571428571428,-0.9802747084886578,-1.0,-1,1.0,-0.5,1.0,1.0,-1.0,-1.0,1.0000000000000004,0.9999999999999998,-1,-1,1.0,1,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-0.8181818181818181,-1.0,-1.0,-0.9890968746501265,-1.0,-0.9813221214678945,0,0,1,0,1,1,1
