,CL7R,CL1R,CL5R,MOD,CT2BIN,DEMOC,CL2R,FEMALE,COLGRD,CL9R,CON,WWWWHITE,SOMCOL,INDEP,BABS,REPUB,CL8R,AGE65PLM,COMHS,AGE4049M,IWER3,CD4A_A,W12EDUC3,PTYID3,W2TOTCL,WWWBLACK,STRATA,AGE3039,VPROUD,FIPCOM,DOG6R,LIB,DOG3R,AGE5059M,P17_A,CL7,W1TRUAM2,F3,DOG4R,CD7_A,WWWHOMLN,CD15,CT1A,PROUD,AGE1829,CL9,SEC5,COMPLET2,ADVDEG,GT2,CENSDIV,W2CIVLIB,EDUCAT4,WWWAGEC1,CL1,CL2,INCA,W1STATE,CL5,FIP2,X1,CL4A,WWWEDU3,INCOME,B1,MEANFR,CL6B,FIP1,WWWEDU5,CL10R,CD8,W2SECURE,SEC4,WWWHISP,CL8,WWWAGE,IWER1,CD6,CLPROP,WWWRACE3,WWWRACE4,NEWRACE,MNDOG,AGE6064M,V1_B,POLINT,RI2_A,LOPROU,B2,LTHS,DOG2R,USAWT2RC,DOG5R,USAWT1RV,DOG1R,WWWBRNUS,PFR5R,F5,PFR1R,DG3,W3IWER4_A
53,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,1.0000000000000002,-1,1.0,-1.0,1.0,1.0,-0.5,-1.0,-0.5,-1.0,-1.0,-1.0,-0.6,1.0,-1.0,0.0,-1.0,0.40000000000000013,-0.33333333333333326,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.9354838709677418,0.4545454545454546,1.0,0.6666666666666667,-0.9999999999999999,0.1428571428571428,-1.0,0.7777777777777777,0.1428571428571428,-0.9999999999999999,0.5,0.5,1.0,0.5,-0.9999999999999999,-0.9999999999999999,0.5,-1.0,1.0,1.0,-1.0,-0.19999999999999996,-0.33333333333333326,-1,0.1428571428571428,0.2647058823529411,1.0,-0.11111111111111116,0.40845070422544505,-1,-0.9999999999999999,-1.0,-0.58333333333335,1.0,-1.0,0.3333333333333335,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-0.687278765090502,-1.0,-0.6978071895815969,-0.25,1.0,-0.9999999999999999,-0.1428571428571428,-1.0,-0.4285714285714285,0
25,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0000000000000002,-1,1.0,-1.0,-1.0,0.0,0.5,-1.0,-0.5,-1.0,0.0,-1.0,0.20000000000000018,-0.33333333333333326,-1.0,0.75,-1.0,0.40000000000000013,-0.33333333333333326,1.0,-1.0,0.33333333333333326,0.3333333333333335,-1.0,-1.0,-1.0,0.9999999999999998,0.4545454545454546,1.0,0.9999999999999998,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8148148148148148,0.1428571428571428,-0.9999999999999999,0.0,0.5,1.0,0.75,-0.9999999999999999,-0.19999999999999973,0.5,0.0,0.5,1.0,-1.0,-0.19999999999999996,-0.33333333333333326,-1,0.1428571428571428,0.6176470588235294,1.0,-0.11111111111111116,0.40845070422544505,-1,-0.9999999999999999,-1.0,0.08333333333334991,-1.0,-0.75,0.3333333333333335,-1.0,-1.0,-0.9999999999999999,-1.0,-0.25,0.7497900358517662,-0.25,0.22506179018903394,-0.25,1.0,-0.9999999999999999,-0.1428571428571428,-0.5,-0.4285714285714285,0
90,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,1.0,1.0,0.0,1.0,-1.0,0.5,-1.0,-1.0,0.33333333333333326,-0.19999999999999996,0.3333333333333335,-1.0,-0.75,-1.0,-0.8,0.3333333333333335,-1.0,-1.0,0.33333333333333326,1.0,-1.0,-1.0,0.0,0.41935483870967727,-1.0,-0.33333333333333326,-0.33333333333333326,0.1428571428571428,0.1428571428571428,-1.0,0.7407407407407407,0.1428571428571428,-0.9999999999999999,-0.5,0.5,0.0,0.5,-0.9999999999999999,-0.8666666666666666,0.5,0.0,-0.5,1.0,-1.0,-1.0,0.3333333333333335,-1,0.1428571428571428,-0.6470588235294119,1.0,-0.11111111111111116,0.6901408450704831,-1,-0.9999999999999999,-1.0,-0.1666666666666501,-1.0,-1.0,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,-0.25,1.0,-0.9999999999999999,-0.1428571428571428,-1.0,-0.7142857142857142,0
50,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,1.0,1.0,0.5,-1.0,0.5,-1.0,0.0,0.33333333333333326,0.20000000000000018,-0.33333333333333326,0.5,-0.75,1.0,0.8,-0.33333333333333326,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-1.0,0.0,-0.935483870967742,-0.09090909090909083,1.0,0.0,-0.9999999999999999,-0.9999999999999999,-1.0,0.2222222222222221,0.1428571428571428,-0.9999999999999999,0.5,-1.0,1.0,0.5,-0.9999999999999999,0.06666666666666687,0.5,-1.0,0.5,1.0,-1.0,0.40000000000000013,0.3333333333333335,-1,-0.9999999999999999,-0.32352941176470607,1.0,-0.7777777777777778,-0.4366197183099234,-1,-0.9999999999999999,-1.0,0.5,-1.0,-1.0,0.3333333333333335,-1.0,-1.0,-0.9999999999999999,-1.0,0.0,-0.2700171010012996,-0.75,-0.4952231725477362,0.0,1.0,-0.4285714285714285,-0.7142857142857142,-0.5,-0.7142857142857142,0
52,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1,1.0,-1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.19999999999999996,0.3333333333333335,1.0,0.0,1.0,-0.8,-0.33333333333333326,-1.0,-1.0,0.33333333333333326,0.3333333333333335,-1.0,-1.0,-1.0,0.29032258064516125,-1.0,0.3333333333333335,0.6666666666666667,0.1428571428571428,0.1428571428571428,-1.0,0.33333333333333326,-0.9999999999999999,-0.9999999999999999,-0.5,0.0,0.0,-0.25,-0.9999999999999999,-0.33333333333333326,0.0,0.0,0.0,1.0,-1.0,-1.0,-0.9999999999999999,1,0.1428571428571428,0.2058823529411764,1.0,-0.11111111111111116,0.6901408450704831,-1,0.3333333333333335,-1.0,0.6666666666666501,1.0,-1.0,-0.33333333333333326,-1.0,-1.0,-0.9999999999999999,-1.0,0.0,-1.0,0.0,-0.09943633002161634,0.0,1.0,-0.7142857142857142,-0.4285714285714285,0.75,-0.9999999999999999,0
84,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,0.0,1.0000000000000002,-1,1.0,1.0,1.0,-1.0,-0.5,1.0,-0.5,-1.0,0.9999999999999998,0.33333333333333326,-1.0,-0.33333333333333326,-0.5,0.0,-1.0,-0.8,-0.33333333333333326,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,-1.0,-1.0,-0.935483870967742,-0.09090909090909083,0.3333333333333335,-0.33333333333333326,-0.9999999999999999,0.1428571428571428,-1.0,0.5185185185185184,-0.9999999999999999,0.1428571428571428,-0.5,0.5,0.0,0.75,-0.9999999999999999,0.4666666666666668,0.5,0.0,0.0,1.0,-1.0,0.40000000000000013,-0.33333333333333326,1,-0.9999999999999999,-0.6176470588235295,1.0,-0.7777777777777778,-0.267605633802799,-1,0.3333333333333335,-1.0,-0.58333333333335,-1.0,-0.75,0.3333333333333335,-1.0,-1.0,-0.9999999999999999,-1.0,-0.75,-1.0,-0.75,-1.0,-1.0,1.0,-0.4285714285714285,-0.7142857142857142,-0.5,-0.4285714285714285,0
86,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0000000000000002,-1,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,0.3333333333333335,-1.0,-0.75,-1.0,-0.8,1.0,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,-1.0,0.0,-0.935483870967742,-0.2727272727272727,0.3333333333333335,0.0,-0.9999999999999999,-0.9999999999999999,-1.0,0.2222222222222221,-0.9999999999999999,-0.9999999999999999,0.5,0.0,0.0,-0.25,-0.9999999999999999,-0.5999999999999999,-1.0,-1.0,0.0,1.0,0.25,0.6000000000000001,0.3333333333333335,-1,-0.9999999999999999,-0.2941176470588236,1.0,-0.7777777777777778,-0.5211267605633589,-1,-0.9999999999999999,-1.0,-0.91666666666665,-1.0,-1.0,1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.75,-1.0,-1.0,1.0,-0.9999999999999999,-0.1428571428571428,-0.75,-0.1428571428571428,0
5,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.5,-1.0,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-0.75,-1.0,-0.8,-0.33333333333333326,-1.0,-1.0,-1.0,0.3333333333333335,-1.0,-1.0,0.0,-0.935483870967742,-0.09090909090909083,-0.33333333333333326,0.6666666666666667,0.1428571428571428,-0.9999999999999999,-1.0,0.5185185185185184,-0.9999999999999999,0.1428571428571428,1.0,0.0,0.0,0.25,-0.9999999999999999,0.3333333333333335,0.5,0.0,-0.5,1.0,-1.0,0.40000000000000013,-0.33333333333333326,-1,0.1428571428571428,0.2647058823529411,1.0,-0.7777777777777778,-0.267605633802799,-1,-0.9999999999999999,-1.0,-0.66666666666665,1.0,-1.0,-0.33333333333333326,-1.0,-1.0,-0.9999999999999999,-1.0,-0.75,-1.0,-0.75,-1.0,-0.75,1.0,-0.4285714285714285,-0.7142857142857142,-0.5,-0.4285714285714285,0
79,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,1,1.0,-1.0,1.0,1.0,0.5,-1.0,0.5,-1.0,-1.0,-1.0,-0.19999999999999996,1.0,-0.5,-0.75,-1.0,-0.3999999999999999,-0.9999999999999999,-1.0,1.0,-1.0,-0.33333333333333326,-1.0,-1.0,0.0,0.9999999999999998,-1.0,0.3333333333333335,-0.6666666666666666,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8148148148148148,0.1428571428571428,-0.9999999999999999,-0.5,0.0,0.0,0.5,0.1428571428571428,-0.19999999999999973,0.0,-1.0,0.0,1.0,0.25,-1.0,-0.9999999999999999,-1,-0.9999999999999999,-0.8235294117647061,1.0,-0.7777777777777778,-0.15492957746488512,0,-0.33333333333333326,0.0,0.5,-1.0,-0.75,0.3333333333333335,-1.0,-1.0,0.1428571428571428,-1.0,-0.25,-1.0,0.0,-0.5700771526883612,0.0,1.0,-0.1428571428571428,-0.9999999999999999,-0.25,-0.7142857142857142,0
91,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,0.33333333333333326,-1.0,-0.33333333333333326,0.5,-0.75,1.0,0.8,0.3333333333333335,-1.0,-1.0,-1.0,-0.33333333333333326,-1.0,-1.0,0.0,0.29032258064516125,0.09090909090909105,1.0,0.9999999999999998,-0.9999999999999999,0.1428571428571428,0.0,-0.5925925925925926,0.1428571428571428,-0.9999999999999999,1.0,0.5,1.0,-0.5,-0.9999999999999999,0.19999999999999996,0.0,0.0,0.5,-1.0,-0.25,0.19999999999999996,0.3333333333333335,1,0.1428571428571428,0.5588235294117645,-1.0,-0.7777777777777778,-0.014084507042239292,-1,0.3333333333333335,-1.0,0.9166666666666501,-1.0,-1.0,-0.33333333333333326,-1.0,-1.0,-0.9999999999999999,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,-0.1428571428571428,-0.9999999999999999,-1.0,-0.9999999999999999,0
