,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,8.717395,-0.8234539,0,0,1,1,1,1,1
575,10.862674,8.085102,1,0,0,0,0,0,0
2316,-7.042502,4.2545333,0,0,1,1,1,1,1
1092,16.007504,6.250126,1,0,1,0,1,1,1
19,7.3433914,2.0274324,0,0,1,1,1,1,1
2198,-6.953884,4.218242,1,0,1,1,1,1,1
1428,8.564277,2.0130625,0,0,1,1,1,1,1
1386,-2.4189632,4.5241365,0,0,1,1,1,1,1
1858,7.149423,-4.566879,0,0,1,1,1,1,1
1967,-1.9855387,7.0910544,0,0,1,1,1,1,1
1147,10.986663,8.247237,0,0,0,0,0,0,0
267,0.52197206,5.4352174,0,0,0,1,1,1,0
2243,-6.234922,4.379248,1,0,1,1,1,1,1
936,15.226515,6.8233995,0,0,1,0,0,1,0
1528,-1.4235829,6.788731,1,0,1,1,1,1,1
1454,7.0387373,-4.4695277,1,0,1,1,1,1,1
1196,6.7829394,3.2476976,0,0,1,1,1,1,1
419,-2.5178745,5.1072264,0,0,1,1,1,1,1
1826,15.738112,7.7878847,0,0,1,0,0,0,0
3202,11.199346,-5.264674,0,0,1,1,1,1,1
2417,-5.9217834,4.577253,0,0,1,1,1,1,1
1260,16.288298,7.1323423,1,0,1,0,0,1,0
2741,1.0301102,6.7437115,0,0,0,1,0,0,0
1831,7.058725,-4.6291203,0,0,1,1,1,1,1
443,-1.6251812,4.8676095,0,0,1,1,1,1,1
3072,10.569502,-5.151906,1,0,1,1,1,1,1
1642,11.401944,8.232016,1,0,0,0,0,0,0
2742,0.9527253,7.5621963,0,0,0,0,0,0,0
3189,15.588932,7.0825205,1,0,1,0,0,1,0
928,8.546106,1.7555659,0,0,1,1,1,1,1
698,0.6542135,4.2935314,0,0,0,1,1,1,1
137,14.579425,1.0720927,0,0,1,1,1,1,1
610,6.9965844,1.8594728,0,0,1,1,1,1,1
2357,-6.0285854,4.4308305,0,0,1,1,1,1,1
567,10.750901,8.250892,0,0,0,0,0,0,0
1575,11.209264,-5.2553406,0,0,1,1,1,1,1
307,6.4045396,2.870953,0,0,1,1,1,1,1
185,10.829705,8.473866,0,0,0,0,0,0,0
1872,-1.389457,6.6512513,0,0,1,1,1,1,1
3243,7.107896,-4.638612,0,0,1,1,1,1,1
2048,0.18857804,4.547901,0,0,1,1,1,1,1
3188,10.581646,-4.5945287,0,0,1,1,1,1,1
465,-1.5063211,4.8486676,0,0,1,1,1,1,1
729,15.256874,6.7664065,1,0,1,0,0,1,0
695,0.58839875,5.3278103,0,0,0,1,1,1,0
2782,0.93443674,6.7879014,0,0,0,1,0,0,0
449,-1.993055,5.0739493,0,0,1,1,1,1,1
2828,0.6228954,4.368191,1,0,0,1,1,1,1
3155,7.109027,-4.1159244,1,0,1,1,1,1,1
1198,8.618792,2.0614517,0,0,1,1,1,1,1
1356,0.44098717,5.559867,0,0,0,1,1,1,0
2698,10.555367,-5.062708,0,0,1,1,1,1,1
811,-2.2276225,4.9968796,0,0,1,1,1,1,1
868,6.777326,3.124062,0,0,1,1,1,1,1
2237,11.422388,8.340333,0,0,0,0,0,0,0
418,-1.998408,6.8042855,0,0,1,1,1,1,1
3173,13.516411,6.9887943,0,0,1,0,0,0,0
1714,10.683546,-4.2628617,0,0,1,1,1,1,1
1712,-1.6187866,6.7644258,1,0,1,1,1,1,1
1118,-2.1461735,4.324776,0,0,1,1,1,1,1
399,6.855164,3.2560575,0,0,1,1,1,1,1
3168,15.544525,7.0448546,1,0,1,0,0,0,0
329,0.4417141,5.4434214,1,0,0,1,1,1,0
1781,11.775006,8.077853,0,0,1,0,0,0,0
1481,16.133146,6.504373,1,0,1,0,1,1,1
439,-2.3639095,5.3315444,0,0,1,1,1,1,1
1527,15.139225,1.0856223,1,0,1,1,1,1,1
2995,0.58158165,7.6244416,1,0,0,0,0,0,0
411,-2.3175,5.3529673,0,0,1,1,1,1,1
747,7.433316,1.5134854,0,0,1,1,1,1,1
3140,15.80193,7.7864246,0,0,1,0,0,1,0
2878,11.394344,7.594131,0,0,1,0,0,0,0
1079,7.4244976,-2.1347375,0,0,1,1,1,1,1
926,15.6115055,6.616236,1,0,1,0,1,1,1
1817,16.116564,6.553783,0,0,1,0,1,1,1
2401,-5.935068,4.512338,1,0,1,1,1,1,1
3008,0.93732315,7.5848684,1,0,0,0,0,0,0
1351,-2.5049052,5.2082076,0,0,1,1,1,1,1
3264,15.550179,7.8061366,0,0,1,0,0,1,0
3283,-1.546029,6.7348156,0,0,1,1,1,1,1
724,8.444603,1.4113874,0,0,1,1,1,1,1
1524,11.865111,8.046829,0,0,1,0,0,0,0
2071,11.336969,-5.228277,1,0,1,1,1,1,1
451,-2.0029106,4.3471203,0,0,1,1,1,1,1
2767,0.5704415,5.3199263,0,0,0,1,1,1,0
680,8.656594,1.6327109,0,0,1,1,1,1,1
865,16.062042,6.577701,0,0,1,0,1,1,1
2406,-6.8697095,4.285321,0,0,1,1,1,1,1
1535,15.062539,0.4522113,1,0,1,1,1,1,1
1482,14.463006,1.1537133,0,0,1,1,1,1,1
72,6.9648094,1.9935721,0,0,1,1,1,1,1
444,8.747062,-1.14366,0,0,1,1,1,1,1
3079,10.556529,-4.8753967,1,0,1,1,1,1,1
1868,7.211749,-4.7657294,0,0,1,1,1,1,1
211,8.451553,1.4853185,0,0,1,1,1,1,1
424,-2.5224376,5.0458703,0,0,1,1,1,1,1
29,-5.639662,3.7275171,0,0,1,1,1,1,1
540,16.323147,7.636415,0,0,1,0,0,1,0
1885,11.896989,7.9122896,0,0,1,0,0,0,0
1951,15.556948,6.9698195,0,0,1,0,0,0,0
603,6.2305465,3.173289,0,0,1,1,1,1,1
1703,0.92785203,6.7842846,0,0,0,1,0,0,0
684,15.797638,6.2603164,1,0,1,0,1,1,1
771,15.513962,7.4589405,1,0,1,0,0,0,0
515,-1.8722566,4.845254,0,0,1,1,1,1,1
2538,-6.390042,3.9603665,0,0,1,1,1,1,1
2488,-7.0640244,3.757031,1,0,1,1,1,1,1
569,8.676706,-1.276225,0,0,1,1,1,1,1
1243,11.244504,-4.47502,0,0,1,1,1,1,1
1186,-1.4322594,6.689952,1,0,1,1,1,1,1
780,7.206516,1.7015307,0,0,1,1,1,1,1
462,0.90926427,6.635974,0,0,0,1,0,0,0
1324,7.249412,1.6334505,0,0,1,1,1,1,1
2476,-7.1168966,4.117023,1,0,1,1,1,1,1
712,8.633703,-1.3110057,0,0,1,1,1,1,1
2700,0.14954539,4.5620456,0,0,1,1,1,1,1
779,7.178183,-3.9206421,0,0,1,1,1,1,1
2076,-6.4191947,4.336592,1,0,1,1,1,1,1
693,14.80741,0.5359472,1,0,1,1,1,1,1
337,-2.3057656,5.336707,0,0,1,1,1,1,1
1744,16.388067,7.499869,1,0,1,0,0,1,0
2500,-6.6099043,3.3946545,0,0,1,1,1,1,1
