,UMAP_1,UMAP_2,W3IWER4_A
124,0.8856059,10.900841,0
43,14.947808,14.575344,0
329,1.6578189,6.8132763,0
39,2.3804715,8.954975,0
397,1.687406,5.670419,0
210,9.929183,13.947159,0
123,8.30873,5.591764,0
111,1.7386991,7.8414955,0
561,9.539478,14.511618,0
455,2.3183517,6.7204843,0
71,2.4236987,8.982296,0
304,-1.1647079,8.842813,0
437,14.652804,14.688241,0
357,9.892213,13.855958,0
11,14.417634,14.742384,0
227,0.10842795,18.825253,0
512,-0.7609037,7.7940516,0
388,1.4599881,10.610893,0
338,13.345258,20.754885,0
382,12.776851,20.611567,0
2,14.463502,14.070497,0
434,7.990652,5.8660793,0
558,1.6066595,5.758635,0
481,-0.23040633,19.097485,0
464,8.267649,5.585671,0
472,0.9422733,10.597295,0
380,-9.003054,16.808453,0
6,2.4618816,9.01502,0
109,13.489214,12.0510435,0
378,13.067694,11.70347,0
398,-0.29056886,19.123596,0
230,12.734425,20.659609,0
402,8.306735,5.520612,0
422,2.3139396,6.772929,0
27,0.6715948,9.344608,0
511,-1.0538725,8.884399,0
494,-0.5024277,6.697338,0
552,-8.454889,16.81369,0
194,-0.13559692,7.1728897,0
401,9.627282,13.613411,0
522,7.635697,7.2575464,0
307,9.092287,14.163497,0
172,13.060752,19.967625,0
425,13.105373,19.929342,0
428,12.971725,11.376612,0
281,13.307977,11.578063,0
533,1.845387,7.5296707,0
198,2.2226434,6.744852,0
506,8.183686,5.563385,0
456,1.9300172,7.647368,0
413,1.1588863,10.799444,0
288,-0.42868868,19.199879,0
499,-0.32582048,19.170479,0
376,8.790166,5.694547,0
373,15.690864,-1.1955181,0
484,9.532239,14.4859915,0
233,13.012884,12.193732,0
3,1.9675605,7.443586,0
201,14.9512615,14.532396,0
166,2.4981601,9.063915,0
480,13.373366,20.843573,0
334,2.3561273,8.918306,0
415,2.2307196,8.804623,0
148,9.511622,14.456794,0
70,13.2050495,11.602538,0
171,9.620366,13.610528,0
272,-8.490206,16.76312,0
391,13.094065,19.953245,0
24,2.0707366,7.6390367,0
547,1.9035438,7.4557214,0
417,16.854143,-1.7489656,0
145,-1.0429924,8.323556,0
400,13.8221855,12.104093,0
33,1.7231584,5.734207,0
0,13.670879,12.884109,0
316,15.690136,-0.83446014,0
185,16.278578,-1.3643721,0
244,-8.489653,16.722393,0
159,-0.05332894,18.951511,0
323,16.407722,-0.32811043,0
127,14.638499,14.0495825,0
17,13.037318,19.935799,0
247,7.790861,7.0760455,0
543,0.14650764,18.79348,0
207,0.9528852,10.52476,0
301,-0.56237674,19.414663,0
234,14.8287115,14.578599,0
473,12.693605,20.644657,0
447,14.900435,14.509657,0
461,7.7408133,7.1125755,0
336,7.6734242,7.224053,0
489,9.13917,14.241889,0
360,14.558119,14.737471,0
160,9.511892,14.467528,0
311,13.007549,12.058079,0
297,16.80837,-1.7158866,0
18,13.030935,19.985132,0
7,7.599636,7.307522,0
66,16.737263,-0.8695114,0
486,15.777209,-1.0853863,0
525,13.234973,12.062152,0
264,-0.27297977,19.126148,0
423,7.939057,5.640045,0
208,1.665324,5.584969,0
91,9.6241455,13.627171,0
107,9.497594,14.473198,0
528,9.54292,14.49568,0
119,13.632261,11.734511,0
457,7.3199983,7.136016,0
112,1.7132094,7.9102955,0
216,14.88446,14.114588,0
403,2.1431193,-4.968939,0
538,-9.003639,16.796556,0
389,1.6244248,5.7197576,0
251,3.20688,-3.5602224,0
436,-1.008972,8.236692,0
500,7.7612963,7.067828,0
520,2.2497368,6.7327266,0
138,12.796547,20.718374,0
462,15.59381,-1.2469189,0
12,1.8716003,7.4683537,0
10,12.809017,20.70394,0
175,-0.470201,19.372154,0
365,8.43644,6.3172865,0
96,13.0373335,12.216716,0
120,2.0921211,7.5322857,0
97,0.6888894,9.32612,0
59,13.03403,12.12156,0
295,7.32866,7.075825,0
407,2.2596004,6.845309,0
155,-0.059961464,18.95186,0
358,7.733639,7.198928,0
516,14.524236,14.082482,0
330,9.745414,13.6777115,0
548,2.211712,8.767891,0
199,2.8637161,-4.055067,0
29,14.477616,14.596256,0
149,-0.60653996,19.47298,0
426,14.63851,14.672703,0
450,12.764891,20.70226,0
536,-0.22752732,19.071295,0
84,7.3088784,7.079597,0
354,13.637985,11.642717,0
290,0.87462085,10.892063,0
265,-0.5113551,19.447496,0
195,-0.07626679,7.1880403,0
48,14.894007,14.153689,0
430,2.0876973,7.5329437,0
258,7.1690145,6.046661,0
136,0.54871565,9.249147,0
535,9.599899,13.615024,0
396,-8.567424,16.486881,0
377,7.6241746,7.2249627,0
182,0.8488275,10.889659,0
99,-6.5268636,5.1474595,0
191,-0.51417077,19.349806,0
26,-8.384132,16.652496,0
69,13.082959,11.746758,0
30,1.9428103,7.4479513,0
117,-8.675514,16.4808,0
242,13.08138,19.932095,0
128,-1.1260824,8.797683,0
221,13.028772,11.717956,0
438,13.394335,12.938553,0
16,7.168802,6.0175595,0
60,-8.882079,16.85163,0
429,9.682734,13.589553,0
411,14.873133,14.607698,0
510,2.1652253,8.764032,0
179,14.511972,14.708753,0
252,16.138363,-1.232427,0
383,7.2408075,6.1353297,0
248,0.35712942,8.981741,0
45,13.418998,20.832384,0
343,1.6556089,5.6856136,0
224,14.446286,14.6595545,0
161,16.427105,6.6434975,0
102,0.88774824,10.779829,0
337,9.008257,14.098472,0
259,2.0165842,7.5073,0
395,1.6293259,5.663536,0
348,13.448585,12.949989,0
312,16.462759,-1.5361549,0
298,2.2002652,6.8627043,0
262,-1.1444432,8.856413,0
517,-7.372311,4.9001293,0
459,-0.41980588,19.159952,0
532,0.82282245,10.884258,0
537,1.7928544,7.7609076,0
61,0.5677821,9.362582,0
153,2.2544105,6.7478313,0
303,13.051747,19.921286,0
168,1.8403765,7.7421765,0
253,2.1924417,8.751421,0
392,0.17575987,18.76163,0
22,1.6689174,5.7213926,0
291,7.9936476,5.9063306,0
545,12.958664,20.112286,0
294,14.53109,14.152638,0
75,14.675212,14.642891,0
443,13.260114,11.611213,0
146,12.819447,20.710218,0
133,1.6521094,5.7338023,0
41,8.5804615,5.8096023,0
482,9.079683,14.170474,0
67,0.8901237,10.898259,0
203,13.104751,12.128263,0
465,1.9697303,7.569732,0
524,1.7707087,7.7884846,0
76,1.6495926,5.696743,0
273,15.844307,-2.0356536,0
559,-0.53907186,19.398468,0
556,-0.5183312,19.358614,0
322,13.314374,11.636595,0
78,-1.1344312,8.830556,0
406,13.64072,11.786115,0
105,-0.4360922,19.227333,0
240,9.081984,6.141326,0
374,13.379932,20.792158,0
225,13.289378,11.93599,0
527,9.881857,13.923005,0
490,-8.913676,16.843704,0
226,13.429273,20.826212,0
255,14.964463,14.549054,0
503,1.9568651,7.419909,0
493,13.241649,11.572808,0
4,13.343304,12.90731,0
83,1.6191608,5.725548,0
393,2.3540401,8.922301,0
341,7.9551573,6.980159,0
173,13.68158,12.873955,0
477,0.10890621,8.812457,0
15,1.562881,6.337672,0
134,9.489643,14.493924,0
474,14.456766,14.086905,0
551,12.700386,20.69211,0
34,-6.890767,5.187481,0
88,7.779116,7.2134657,0
73,13.438941,20.812279,0
37,12.749072,20.666151,0
386,12.827778,20.71579,0
483,-7.097505,4.592278,0
521,8.338796,5.59478,0
325,1.8824347,7.4660606,0
101,1.6073414,5.695809,0
206,9.672461,13.62563,0
318,-1.0055922,7.5620904,0
390,14.659551,14.714341,0
131,0.63016987,9.284898,0
553,-8.683608,16.51538,0
50,7.339407,7.054133,0
141,2.0049481,7.4808717,0
416,17.112947,-0.4987778,0
544,-8.55041,16.575054,0
183,11.239495,-0.1993913,0
314,-0.06781242,19.070446,0
79,-0.95088893,8.672936,0
188,2.257151,6.810437,0
72,-0.4981681,19.45182,0
549,13.386466,20.814308,0
55,7.369106,5.8083115,0
526,1.5433476,5.7643886,0
451,13.3399105,20.745762,0
209,2.1862862,6.687785,0
529,9.00162,14.079767,0
361,9.07191,6.1336393,0
328,1.5795015,5.6021233,0
319,12.788472,20.373701,0
508,7.6042953,7.2258787,0
433,-0.116532646,7.236822,0
441,14.897469,14.13632,0
90,13.366617,12.068533,0
487,1.0992057,10.731791,0
320,-0.8275928,7.7127347,0
116,7.130086,6.108858,0
371,13.524578,12.915612,0
100,7.9243226,5.6268125,0
296,2.1996102,8.772099,0
367,14.8771305,14.131392,0
108,7.9587984,5.5749307,0
245,13.069634,12.250295,0
421,9.1034975,14.185103,0
286,13.776999,12.135183,0
530,1.3329957,10.9069,0
129,13.4175,11.679637,0
488,16.801031,5.98787,0
89,9.022763,14.112731,0
232,7.7755737,7.2173805,0
279,12.698186,20.624199,0
419,-0.51185614,19.368084,0
350,1.2493229,10.937639,0
541,1.0830255,10.795803,0
442,13.665818,12.972396,0
351,-1.0768864,5.7558327,0
104,-9.00525,16.69764,0
219,8.067151,5.652074,0
349,13.072687,19.914642,0
204,2.2643178,-4.9429226,0
32,17.15718,-0.46975386,0
454,7.274536,7.1218286,0
261,12.788683,20.351526,0
355,14.659961,14.698019,0
412,14.507602,14.040459,0
306,2.4824,9.045211,0
283,14.848719,14.091732,0
410,1.0590919,10.749179,0
542,16.432787,-1.4990801,0
237,15.646589,-0.8583558,0
238,16.735851,-0.82943994,0
52,2.2057989,6.826201,0
498,2.8083265,-4.084184,0
327,1.0322274,10.718694,0
8,14.499608,14.622544,0
212,-8.616108,16.469894,0
504,-0.09509606,18.983675,0
231,13.011585,12.066876,0
362,2.460087,9.033314,0
51,0.5409799,9.284918,0
359,9.899487,13.879121,0
375,17.091055,-0.49055225,0
345,-8.967427,16.606934,0
57,1.6220322,6.757565,0
269,2.1980095,8.807678,0
432,17.118555,-0.7731662,0
106,-8.972575,16.656635,0
115,1.1033741,10.734065,0
152,2.4783006,9.050143,0
271,9.65063,13.656233,0
1,1.7560588,7.795953,0
256,13.078189,19.942812,0
35,9.741043,13.616911,0
118,-1.14412,8.184188,0
276,7.196126,6.0450616,0
282,13.233782,11.6659,0
167,0.033550646,18.877048,0
308,0.98187834,10.588861,0
132,13.35577,20.820705,0
444,-8.8047495,16.806686,0
40,13.30638,11.647407,0
