,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-6.8310046,11.482879,0,0,0,0,0,0,0
575,-1.3812644,11.583668,1,0,0,0,0,0,0
2316,10.089862,-2.4824913,0,0,1,1,1,1,1
1092,0.51433504,6.200571,1,0,0,0,0,0,0
19,-7.2723303,12.291457,0,0,0,0,0,0,0
2198,10.104916,-2.5681486,1,0,1,1,1,1,1
1428,-7.789438,11.864449,0,0,0,0,0,0,0
1386,14.440781,6.5319657,0,0,1,1,0,0,1
1858,0.47677362,12.641416,0,0,0,0,0,0,0
1967,11.158951,8.336754,0,0,1,0,1,1,1
1147,-1.2156113,11.855931,0,0,0,0,0,0,0
267,14.689648,9.723053,0,0,1,0,0,0,1
2243,9.482791,-2.3931723,1,0,1,1,0,1,1
936,-0.32658052,6.6457963,0,0,0,0,0,0,0
1528,11.710879,8.277138,1,0,1,0,1,1,1
1454,0.6617589,12.737116,1,0,0,0,0,0,0
1196,-7.3267756,13.172332,0,0,0,0,0,0,0
419,14.602902,6.966358,0,0,1,1,0,0,1
1826,-0.54700977,14.173413,0,0,0,0,0,0,0
3202,1.5146496,7.7854934,0,0,0,0,0,0,0
2417,8.93135,-2.1299868,0,0,1,1,0,1,1
1260,0.023350056,14.443578,1,0,0,0,0,0,0
2741,14.044837,10.543696,0,0,1,0,0,1,1
1831,0.5278478,12.640239,0,0,0,0,0,0,0
443,13.604544,7.0858088,0,0,1,1,0,0,1
3072,2.0390565,13.00487,1,0,0,0,0,0,0
1642,-0.6275936,11.970677,1,0,0,0,0,0,0
2742,13.087618,9.417486,0,0,1,0,0,1,1
3189,0.8613965,6.87734,1,0,0,0,0,0,0
928,-7.4589944,11.775351,0,0,0,0,0,0,0
698,14.570964,9.158775,0,0,1,0,0,1,1
137,0.94070524,13.944348,0,0,0,0,0,0,0
610,-7.9352975,12.084627,0,0,0,0,0,0,0
2357,9.035212,-2.3698912,0,0,1,1,0,1,1
567,-0.64647543,7.41829,0,0,0,0,0,0,0
1575,1.6806743,7.897941,0,0,0,0,0,0,0
307,-6.028601,10.507765,0,0,0,0,0,0,0
185,-0.58683616,7.396939,0,0,0,0,0,0,0
1872,11.8486185,8.166529,0,0,1,0,1,1,1
3243,0.59150213,12.590587,0,0,0,0,0,0,0
2048,13.561816,8.581631,0,0,1,0,0,0,1
3188,1.6842543,13.098626,0,0,0,0,0,0,0
465,13.541356,7.1082525,0,0,1,1,0,0,1
729,-0.30245408,6.6602793,1,0,0,0,0,0,0
695,14.780343,9.699675,0,0,1,0,0,1,1
2782,13.952287,10.5227,0,0,1,0,0,1,1
449,14.283192,6.7477617,0,0,1,1,0,1,1
2828,13.7353325,8.744883,1,0,1,0,0,1,1
3155,0.6634886,8.20227,1,0,0,0,0,0,0
1198,-7.850877,11.939309,0,0,0,0,0,0,0
1356,12.78185,8.383559,0,0,1,0,0,1,1
2698,2.0847304,13.273157,0,0,0,0,0,0,0
811,14.352325,6.5496984,0,0,1,1,0,0,1
868,-7.342979,13.152903,0,0,0,0,0,0,0
2237,-0.72009665,12.000978,0,0,0,0,0,0,0
418,11.19284,8.076888,0,0,1,0,1,1,1
3173,-0.6213713,8.207231,0,0,0,0,0,0,0
1714,1.1802917,8.009664,0,0,0,0,0,0,0
1712,11.807933,8.220365,1,0,1,0,1,1,1
1118,14.679815,7.1227536,0,0,1,1,0,0,1
399,-7.342155,13.131454,0,0,0,0,0,0,0
3168,0.835482,6.8911614,1,0,0,0,0,0,0
329,14.602476,9.65386,1,0,1,0,0,1,1
1781,-0.9282934,8.237938,0,0,0,0,0,0,0
1481,0.37238923,6.3629565,1,0,0,0,0,0,0
439,13.775048,6.960038,0,0,1,1,0,0,1
1527,0.55602735,7.733053,1,0,0,0,0,0,0
2995,13.242086,9.114839,1,0,1,0,0,0,1
411,14.320788,6.7311926,0,0,1,1,0,1,1
747,-6.5847406,11.903445,0,0,0,0,0,0,0
3140,-0.54316515,14.054019,0,0,0,0,0,0,0
2878,-0.82307327,11.494647,0,0,0,0,0,0,0
1079,-7.1820602,11.111857,0,0,0,0,0,0,0
926,-0.11328983,6.587076,1,0,0,0,0,0,0
1817,0.8386895,6.6342096,0,0,0,0,0,0,0
2401,8.786673,-2.0819836,1,0,1,1,0,1,1
3008,13.408671,9.986991,1,0,1,0,0,0,1
1351,13.559644,6.9787364,0,0,1,1,0,0,1
3264,-0.47525874,13.724831,0,0,0,0,0,0,0
3283,11.786912,8.237779,0,0,1,0,1,1,1
724,-6.7293015,11.535561,0,0,0,0,0,0,0
1524,-0.90224046,8.19775,0,0,0,0,0,0,0
2071,1.8122934,7.998702,1,0,0,0,0,0,0
451,13.206317,7.4484024,0,0,1,1,0,0,1
2767,14.610186,9.801902,0,0,1,0,0,1,1
680,-6.4024887,10.000433,0,0,0,0,0,0,0
865,0.57515436,6.3386497,0,0,0,0,0,0,0
2406,10.097383,-2.3621166,0,0,1,1,1,1,1
1535,0.16730873,13.333454,1,0,0,0,0,0,0
1482,0.9077104,14.196989,0,0,0,0,0,0,0
72,-6.11588,10.202517,0,0,0,0,0,0,0
444,-7.2817245,11.61319,0,0,0,0,0,0,0
3079,1.8427801,12.868183,1,0,0,0,0,0,0
1868,0.70164096,12.483123,0,0,0,0,0,0,0
211,-6.8416185,11.681689,0,0,0,0,0,0,0
424,14.603446,6.9154634,0,0,1,1,0,0,1
29,9.597115,-2.0464277,0,0,1,1,0,1,1
540,-0.32274362,14.36536,0,0,0,0,0,0,0
1885,-0.7711093,8.39841,0,0,0,0,0,0,0
1951,0.72731924,7.0251646,0,0,0,0,0,0,0
603,-7.0568185,12.665221,0,0,0,0,0,0,0
1703,13.941746,10.424512,0,0,1,0,0,1,1
684,0.22202437,6.254902,1,0,0,0,0,0,0
771,0.45525208,14.498965,1,0,0,0,0,0,0
515,13.259945,7.4173656,0,0,1,1,0,0,1
2538,9.709311,-2.8290231,0,0,1,1,0,1,1
2488,9.312288,-2.8437657,1,0,1,1,0,1,1
569,-6.3801475,9.869429,0,0,0,0,0,0,0
1243,1.6352853,13.957592,0,0,0,0,0,0,0
1186,11.758041,8.282488,1,0,1,0,1,1,1
780,-7.2061963,12.242455,0,0,0,0,0,0,0
462,12.737785,8.3912115,0,0,1,0,1,1,1
1324,-7.0876913,12.234619,0,0,0,0,0,0,0
2476,10.167681,-2.671926,1,0,1,1,0,1,1
712,-6.3688245,9.7617235,0,0,0,0,0,0,0
2700,13.642371,8.507729,0,0,1,0,0,0,1
779,0.37616652,8.123309,0,0,0,0,0,0,0
2076,8.867259,-2.156141,1,0,1,1,0,1,1
693,0.70155185,13.606903,1,0,0,0,0,0,0
337,13.559777,7.04847,0,0,1,1,0,0,1
1744,-0.41824806,14.420101,1,0,0,0,0,0,0
2500,9.004501,-2.7493231,0,0,1,1,0,1,1
2819,14.454206,10.018857,1,0,1,0,0,1,1
144,-5.777797,10.418792,0,0,0,0,0,0,0
1653,-0.41074827,14.482354,1,0,0,0,0,0,0
898,-0.36022857,6.986756,0,0,0,0,0,0,0
2376,9.452573,-2.6299381,0,0,1,1,0,1,1
1600,-0.89729005,11.609771,1,0,0,0,0,0,0
1429,14.443905,6.558073,0,0,1,1,0,0,1
2941,14.051856,10.5114,0,0,1,0,0,1,1
2033,14.317108,9.06036,0,0,1,0,0,1,1
1150,0.51718783,8.219274,1,0,0,0,0,0,0
1282,1.7470258,7.7898736,0,0,0,0,0,0,0
1788,2.0846097,13.059642,0,0,0,0,0,0,0
1206,-0.095323496,7.276401,1,0,0,0,0,0,0
1172,0.19041534,6.2389145,1,0,0,0,0,0,0
