,UMAP_1,UMAP_2,W3IWER4_A
1609,20.441347,4.4062467,0
302,1.2864066,14.584594,0
2175,-5.0460196,4.541259,0
1924,-9.620779,6.184556,0
485,21.584627,4.352636,0
1875,-10.388955,6.53335,0
1905,-9.372649,7.5241485,0
1723,-4.327216,4.6005054,0
537,20.691797,3.676766,0
12,3.736699,13.512986,0
1646,0.27605763,15.299993,0
1915,-9.477097,6.860725,0
379,13.348843,-0.38739496,0
1294,3.8400714,14.127879,0
1178,9.5772505,-0.031153554,0
2089,-9.313641,6.838676,0
1157,21.873642,2.585214,0
189,-1.5135213,14.605007,0
1128,-0.9908619,14.797406,0
1162,22.169827,1.7549708,0
417,15.310759,13.568144,0
95,-0.94769806,14.869902,0
453,4.139354,14.987757,0
2197,-8.126926,5.8326135,0
1337,14.019122,16.138039,0
1851,-3.9984732,5.3625827,0
1404,21.895155,4.091114,0
1516,22.192413,3.740333,0
209,3.8383572,14.10332,0
1710,-9.401075,6.3004556,0
1254,21.560337,4.4037957,0
315,0.782122,14.986827,0
37,0.06957853,15.51621,0
34,10.681383,-1.4593658,0
84,0.93560743,13.140111,0
272,9.932728,-1.5091407,0
1616,15.776322,14.983552,0
1215,22.01176,4.8285384,0
1602,11.626242,11.984146,0
2185,-8.396698,5.6657224,0
444,15.682752,16.464933,0
388,1.4781753,13.379844,0
366,21.254915,4.890251,0
402,16.39563,14.08195,0
1830,-6.7343082,5.2828717,0
460,21.46479,2.661195,0
456,20.458288,4.452768,0
526,4.1791844,14.876637,0
1746,-8.366743,5.7116117,0
1093,0.71027315,15.695711,0
290,20.877447,2.7382195,0
1090,21.792355,3.6023602,0
1773,-3.3071012,3.5606143,0
551,0.069746934,15.513122,0
1137,3.5538926,13.073248,0
104,13.168059,11.182425,0
1885,-3.7428446,5.3680058,0
355,1.5213677,15.191788,0
1371,22.097355,4.775672,0
1202,7.5354877,0.46558967,0
1669,-9.623708,7.3164434,0
1420,20.833931,3.6826196,0
208,20.630548,3.8504612,0
1292,2.8631756,12.27827,0
1412,2.4427214,12.569869,0
1154,2.6035652,15.185527,0
381,15.242929,13.60549,0
239,0.83158785,13.609567,0
471,1.5007987,13.423059,0
26,11.6053505,0.22804399,0
1980,-7.081904,5.6314144,0
415,4.674903,13.529851,0
1966,-5.186305,4.9793625,0
1134,21.1283,2.7464845,0
457,21.917377,2.51316,0
2121,-9.940986,6.6950226,0
1581,11.210521,-0.9109015,0
1550,20.160097,3.6759357,0
72,21.930996,2.537213,0
2029,-3.7841275,5.6487536,0
343,3.8602417,14.647929,0
495,11.78799,-1.0419784,0
169,21.543346,4.3879642,0
1681,-7.6129203,5.746556,0
1822,-6.26967,5.0921674,0
2034,-3.8052726,4.116899,0
1133,22.85731,2.6092036,0
347,11.279347,-4.344372,0
1444,22.582882,2.8694613,0
1771,-3.320822,3.5539403,0
481,0.42865902,12.321889,0
1772,-4.9088573,4.4566307,0
1190,1.1677986,13.853848,0
237,11.31846,-3.9698222,0
1101,13.755016,-0.43019998,0
2155,-8.165091,5.7668257,0
525,21.054235,5.1293845,0
384,21.266195,2.3583803,0
1645,22.1442,1.7288716,0
398,0.57807875,13.229265,0
1419,4.622775,13.599649,0
1297,7.5189404,0.517169,0
405,0.4633399,15.506787,0
1228,7.3754253,2.8182292,0
380,15.659812,16.492596,0
1688,-7.459466,5.472953,0
1600,16.352596,14.217307,0
1892,-10.364609,6.6806245,0
2152,-8.586331,5.837368,0
1847,-4.522882,4.788564,0
2106,-4.626041,4.6628094,0
1489,20.140558,3.780288,0
1529,15.68139,16.465965,0
1700,-8.602532,5.9011774,0
2023,-9.347488,7.493083,0
56,0.5022141,12.459003,0
1224,14.045681,-0.6251911,0
298,4.422177,14.332523,0
1585,1.5524313,15.244115,0
1923,-3.302964,3.4044824,0
1954,-9.649967,6.267477,0
1271,16.372566,14.154637,0
202,22.846857,4.1022787,0
2053,-5.737659,5.077848,0
368,1.2637732,14.584345,0
1986,-3.6932712,4.077078,0
2196,-5.8331695,4.9841857,0
1873,-3.8493378,5.562126,0
200,4.396478,14.350925,0
2134,-3.7745013,5.5260463,0
296,3.4111698,12.783659,0
1479,0.8037757,15.055568,0
1871,-3.3744378,3.5891693,0
301,0.487481,12.57774,0
70,2.51783,15.254662,0
1998,-6.1292434,5.0156193,0
289,0.62082577,13.254083,0
475,16.212831,-2.066278,0
1377,22.165548,3.7919586,0
197,22.609045,2.8239412,0
25,14.692061,12.80266,0
1417,13.987007,-0.5703382,0
1744,-8.774792,6.4628806,0
1094,13.5857525,14.005817,0
2140,-3.2061913,3.3242123,0
1385,22.828728,2.8105135,0
266,21.268866,5.05528,0
1463,2.639126,15.176277,0
105,1.1593602,13.864355,0
1695,-7.2123923,5.8154955,0
143,7.358607,2.7747679,0
1300,21.024755,5.110117,0
2032,-3.2382605,3.3418217,0
2151,-10.396283,6.7675653,0
2068,-10.356298,6.4994264,0
182,21.071602,2.8623302,0
2025,-9.4329195,6.603964,0
112,22.243965,4.406156,0
448,0.47697014,12.43449,0
547,3.722906,13.416265,0
1824,-9.627287,7.3400993,0
4,0.9454924,16.06188,0
1995,-3.7459297,5.4825463,0
2171,-10.352127,6.496664,0
270,3.638216,14.267831,0
1827,-3.9263942,4.4363337,0
517,11.603916,12.009732,0
66,6.318021,1.4771317,0
2141,-3.882786,5.4785337,0
1269,0.5929555,12.445753,0
1685,-8.004302,5.3841987,0
382,0.5640262,15.447386,0
1138,1.3903619,15.441171,0
1314,3.572888,13.317003,0
1572,1.5002999,13.409515,0
1984,-7.335841,5.454621,0
2036,-3.270645,3.320949,0
365,10.143308,-2.6450546,0
1566,0.40854296,12.363496,0
1839,-8.223791,5.405643,0
