,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,14.483565,8.306106,1,0,0,0,1,1,1
1428,14.338592,6.9729195,0,0,0,0,1,1,1
1386,11.497495,6.5601406,0,0,0,0,1,0,0
1967,10.524065,6.1168394,0,0,0,0,0,0,0
2243,12.428367,5.6517215,1,0,0,0,0,1,1
1196,13.281861,7.06874,0,0,0,0,1,1,1
419,10.123599,5.377689,0,0,0,0,0,0,0
1826,15.841594,7.059772,0,0,0,0,1,1,0
1260,14.374565,4.6391196,1,0,1,0,1,1,1
3072,15.91464,4.695759,1,0,1,0,1,1,0
1642,14.492331,4.451065,1,0,1,0,1,1,1
3189,14.027187,5.427773,1,0,0,0,0,0,0
928,14.67404,6.4392214,0,0,0,0,1,1,1
610,12.75698,6.532229,0,0,0,0,1,1,1
1575,13.860777,3.9837184,0,0,1,0,1,1,1
185,13.938431,7.975273,0,0,0,0,1,1,1
2782,11.230658,5.6277604,0,0,0,0,0,1,0
449,11.595056,6.965695,0,0,0,0,1,0,0
1198,15.523584,8.117573,0,0,0,0,1,1,1
1356,11.397722,4.3200417,0,0,1,0,1,1,1
399,12.525837,6.5186567,0,0,0,0,1,1,1
3168,14.40183,5.9596486,1,0,0,0,1,1,0
1781,13.8475485,6.8876023,0,0,0,0,1,1,0
2995,10.861922,6.4994555,1,0,0,0,0,0,0
411,10.724037,5.971235,0,0,0,0,0,0,0
2878,13.561864,7.6162333,0,0,0,0,1,1,1
3264,15.325758,8.087029,0,0,0,0,1,1,1
2071,15.4227295,4.74386,1,0,1,0,1,1,0
680,14.552721,6.0141473,0,0,0,0,1,0,0
865,16.042278,4.182199,0,0,1,0,1,0,0
444,14.190961,6.0763597,0,0,0,0,1,1,1
211,13.447483,5.2254696,0,0,0,0,0,0,0
569,15.405205,7.9188147,0,0,0,0,1,1,1
1243,14.8426695,6.857664,0,0,0,0,1,1,0
780,13.002879,6.6521854,0,0,0,0,1,1,1
779,16.096277,5.3292418,0,0,1,0,0,0,0
2076,16.17541,7.3088536,1,0,0,0,1,1,0
1744,14.09626,4.014094,1,0,1,0,1,1,1
144,14.338875,7.5777164,0,0,0,0,1,1,1
898,15.314731,7.0772595,0,0,0,0,1,1,0
1429,11.100761,6.1981406,0,0,0,0,1,0,0
2033,11.620236,5.195507,0,0,0,0,0,0,0
1150,13.219824,4.1180043,1,0,1,0,0,0,0
1282,15.809623,5.503659,0,0,0,0,0,0,0
1206,14.63026,6.331137,1,0,0,0,1,0,0
1172,14.065822,4.532552,1,0,1,0,1,1,1
258,12.470719,6.1005826,0,0,0,0,1,1,1
393,10.958058,4.4344635,1,0,0,0,0,1,1
960,14.58507,4.0546875,0,0,1,0,1,1,0
877,14.143868,8.205075,1,0,0,0,1,1,1
947,14.189953,8.215406,0,0,0,0,1,1,1
1944,16.122995,4.9099903,1,0,1,0,0,0,1
1950,10.5910015,5.2249246,0,0,0,0,0,0,0
2501,15.639474,6.7545323,0,0,0,0,1,1,0
3087,13.458608,7.5449777,0,0,0,0,1,1,1
1387,15.176343,5.858307,0,0,0,0,1,0,0
820,10.88479,6.3485265,1,0,0,0,0,0,0
1115,14.916127,7.622,1,0,0,0,1,1,0
1998,11.061809,5.31173,0,0,0,0,0,0,0
1691,13.887008,4.7188015,1,0,1,0,1,1,1
1458,13.656437,4.1421533,0,0,1,0,0,0,0
2714,11.353529,6.769392,0,0,0,0,1,0,0
1971,15.178729,8.469795,0,0,0,0,1,1,1
920,15.442172,6.454212,1,0,0,0,1,1,1
1176,15.335219,6.586342,0,0,0,0,1,1,1
