,UMAP_1,UMAP_2,W3IWER4_A
41,13.839775,6.9243207,0
23,14.843075,4.15376,0
60,13.321411,5.1690397,0
54,12.244259,2.7374654,0
59,14.864209,4.7274876,0
74,13.387428,3.476674,0
55,12.972346,5.490025,0
43,10.882013,6.497028,0
93,10.902876,8.232411,0
22,12.596486,3.917236,0
66,12.391173,4.027486,0
64,12.678699,4.6930385,0
69,11.029914,6.203165,0
0,10.853016,8.586489,0
67,10.4178705,6.611221,0
40,11.056288,8.017207,0
35,13.683897,3.5222335,0
6,10.566906,6.7338514,0
76,13.499093,3.5250392,0
25,11.431422,4.028032,0
37,15.308666,5.1908584,0
16,14.124003,5.3243756,0
47,14.497511,5.982153,0
71,11.220656,7.668658,0
49,11.744188,5.502452,0
89,12.71286,3.7335424,0
27,13.004735,4.197912,0
84,12.801812,6.382519,0
53,12.275408,3.3909729,0
3,13.262511,4.9326973,0
57,13.625684,5.5184965,0
79,11.547601,6.797474,0
48,11.65139,5.7032757,0
78,13.467637,2.8420413,0
32,14.835721,5.303488,0
63,10.709136,6.382357,0
62,11.770294,6.2766304,0
56,13.353283,3.3911874,0
83,12.710049,5.3908005,0
88,11.50423,7.350597,0
81,10.553976,3.4565384,0
34,10.698623,7.8819785,0
19,12.08823,7.142516,0
10,13.716548,4.5473733,0
12,14.614692,6.2570643,0
28,13.605453,5.25316,0
4,10.527551,7.6757784,0
77,10.704566,7.3180766,0
87,11.966021,2.784704,0
94,14.050397,3.0740652,0
50,12.993219,2.9967833,0
61,15.007081,6.0343595,0
15,11.982372,3.4097643,0
7,14.50178,5.4674087,0
80,10.361149,4.1411157,0
39,13.976471,3.1165924,0
29,10.563046,8.067939,0
45,11.040509,8.170994,0
13,11.336976,7.186877,0
8,10.866028,4.9092727,0
82,15.225579,4.606936,0
75,13.916365,5.958872,0
20,12.226164,2.6681886,0
17,10.626093,7.8602233,0
85,14.827795,6.143268,0
46,14.536126,4.2597337,0
18,11.339803,3.2292333,0
44,13.949297,6.1239414,0
1,12.995821,6.3710375,0
33,12.218834,4.036691,0
86,13.590165,4.206598,0
5,15.1614065,4.43971,0
42,10.709176,4.6219597,0
36,10.821663,8.5964,0
91,14.397024,3.4556546,0
52,13.815672,5.413728,0
58,11.048393,4.546785,0
65,10.294978,4.2506757,0
92,11.115165,8.466149,0
30,15.162159,5.3978825,0
51,13.260274,3.0835538,0
24,10.454589,4.1123686,0
31,13.050955,3.1236727,0
72,13.018105,4.9988184,0
38,12.471827,5.498434,0
11,12.325436,4.540211,0
68,12.350027,4.417523,0
14,12.061993,7.1902795,0
70,10.466886,7.194036,0
26,10.461571,3.6673298,0
2,11.933568,5.292802,0
73,11.932672,3.5969782,0
95,14.082077,5.0448284,0
90,14.486452,4.97346,0
21,11.402866,5.984301,0
9,11.035836,6.6703863,0
156,11.03745,4.3316154,1
212,13.770342,6.6281557,1
99,12.220148,2.9698396,1
232,11.056628,3.157762,1
180,13.886945,4.463784,1
272,13.925034,3.1955574,1
144,11.052001,8.537805,1
268,10.502841,3.570273,1
251,13.2731695,5.480603,1
260,13.71132,6.389018,1
240,14.189418,4.629167,1
252,12.071122,2.8192222,1
174,12.646033,6.979858,1
143,13.931786,5.975953,1
239,14.531195,6.4728627,1
195,14.4837265,4.3637533,1
264,15.085834,4.746871,1
187,14.308448,3.6812327,1
259,14.491267,6.471197,1
168,14.399733,6.530415,1
182,11.3533,8.1862545,1
231,11.951033,7.6364183,1
157,14.005879,4.0735755,1
213,15.0357,4.7440963,1
255,10.395989,3.7922482,1
161,11.150877,7.9039197,1
184,11.193688,3.588612,1
179,11.4623165,7.8863263,1
208,12.430284,2.9950364,1
140,11.254035,3.7426105,1
112,12.247615,5.441137,1
262,12.221638,5.7627788,1
258,13.902879,6.38103,1
248,14.911942,5.003893,1
111,12.844862,4.2657447,1
209,14.832076,5.0414543,1
109,10.652627,3.6854656,1
141,14.174782,4.0030766,1
166,12.236851,3.3604143,1
246,10.943637,8.546071,1
167,12.460067,5.8189616,1
274,12.240033,5.260151,1
256,11.2408,8.418643,1
234,11.245961,3.5988605,1
206,12.219467,5.9064174,1
214,11.192981,7.6405473,1
207,11.666388,3.18215,1
243,11.913088,5.7123413,1
185,10.760142,6.291746,1
155,13.025707,5.889443,1
236,12.390982,7.150001,1
131,11.189947,4.08574,1
238,13.45614,6.576965,1
106,12.284821,6.1072946,1
107,14.767658,4.479006,1
176,11.37328,3.3308666,1
177,11.0783205,7.8252773,1
171,13.24416,5.9483747,1
190,13.45356,6.422354,1
96,14.096655,4.7662244,1
129,10.751791,3.6499076,1
154,10.7778225,7.96678,1
97,10.6813135,3.6283176,1
221,12.1508875,3.7517953,1
202,13.722303,6.193886,1
201,15.024518,4.7842093,1
104,10.864971,4.4511247,1
148,13.508834,6.44752,1
211,14.219827,3.3124387,1
261,12.843502,3.0833375,1
159,14.670442,4.4563155,1
245,10.478306,4.415675,1
178,13.359114,3.810842,1
267,11.724029,4.000797,1
134,12.046555,3.6860306,1
228,11.298543,8.067667,1
219,14.365173,3.9612007,1
145,13.219418,5.8316402,1
235,11.373229,6.0369854,1
139,11.868338,4.3014994,1
237,12.096419,5.803338,1
115,12.040241,6.298739,1
257,11.3164835,8.114121,1
254,12.857783,5.2383146,1
136,14.298938,3.5090742,1
265,14.216907,6.65617,1
118,12.231812,6.2887774,1
126,11.490285,3.239812,1
101,11.580819,3.3955076,1
149,12.715027,3.5716445,1
162,14.03508,4.3254437,1
137,14.1477995,4.2600636,1
108,13.86698,3.3002582,1
117,14.9748535,4.58484,1
193,14.282162,5.650262,1
224,11.711819,3.5070503,1
