,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-3.0319033,6.4525237,1,0,1,0,0,0,0
1428,-6.2361736,8.235322,0,0,0,0,0,0,0
1386,13.530807,5.677412,0,0,0,0,0,0,0
1967,12.544018,5.8690295,0,0,0,0,0,0,0
2243,12.27386,7.3451858,1,0,0,0,0,0,0
1196,-7.1578746,8.255859,0,0,0,0,0,0,0
419,13.485742,5.916864,0,0,0,0,0,0,0
1826,-3.361777,6.574109,0,0,1,0,0,0,0
1260,-1.7902306,7.6988764,1,0,1,0,0,1,1
3072,-5.5221667,3.8743405,1,0,1,1,0,0,0
1642,-4.754664,9.325094,1,0,0,0,0,0,0
3189,-5.266412,6.6851835,1,0,1,1,0,0,0
928,-3.9749842,9.269536,0,0,0,0,0,0,0
610,-5.157379,7.4332585,0,0,0,0,0,0,0
1575,-5.98327,4.0707254,0,0,1,1,0,0,0
185,-0.17130777,7.096538,0,0,1,0,0,0,1
2782,13.296857,5.782389,0,0,0,0,0,0,0
449,12.127989,4.7693624,0,0,0,0,0,0,0
1198,-6.5759935,5.9711223,0,0,1,1,0,0,0
1356,12.438365,5.7836523,0,0,0,0,0,0,0
399,-7.182381,8.311393,0,0,0,0,0,0,0
3168,-3.1951108,6.637423,1,0,1,0,0,0,0
1781,-7.130344,8.226788,0,0,0,0,0,0,0
2995,12.704251,6.0332565,1,0,0,0,0,0,0
411,12.797644,5.985655,0,0,0,0,0,0,0
2878,-5.3549294,8.689033,0,0,0,0,0,0,0
3264,-6.4213696,6.1338344,0,0,1,1,0,0,0
2071,-6.237041,5.0758166,1,0,1,1,0,0,0
680,-5.057055,6.0001435,0,0,1,1,0,0,0
865,-6.1192245,8.894663,0,0,0,0,0,0,0
444,-3.528421,8.77476,0,0,0,0,0,0,0
211,-0.28171113,7.6473804,0,0,1,0,0,0,1
569,-4.9581556,6.021034,0,0,1,1,0,0,0
1243,-3.9913685,8.93376,0,0,0,0,0,0,0
780,-6.288747,8.996241,0,0,0,0,0,0,0
779,-2.1811388,7.9758534,0,0,1,0,0,1,1
2076,12.408597,6.973581,1,0,0,0,0,0,0
1744,-5.154026,4.245407,1,0,1,1,0,0,0
144,-0.11825217,7.0974426,0,0,1,0,0,0,1
898,-3.9648829,8.644857,0,0,0,0,0,0,0
1429,12.0556345,5.970566,0,0,0,0,0,0,0
2033,12.9410715,4.9100976,0,0,0,0,0,0,0
1150,-6.162348,5.080588,1,0,1,1,0,0,0
1282,-2.1214664,7.9938474,0,0,1,0,0,1,1
1206,-4.971301,7.6120143,1,0,0,0,0,0,0
1172,-5.503333,4.558966,1,0,1,1,1,0,0
258,12.415754,7.3098316,0,0,0,0,0,0,0
393,12.983114,4.5602326,1,0,0,0,0,0,0
960,-4.8227367,3.7909422,0,0,1,1,0,1,1
877,-3.1683567,7.372301,1,0,0,0,0,0,0
947,-3.9164212,8.107562,0,0,0,0,0,0,0
1944,-5.79638,4.0457344,1,0,1,1,0,0,0
1950,12.895545,5.7163386,0,0,0,0,0,0,0
2501,12.606772,7.2269554,0,0,0,0,0,0,0
3087,-7.2991614,8.417008,0,0,0,0,0,0,0
1387,-6.236224,7.7880864,0,0,0,0,0,0,0
820,12.32784,4.5520797,1,0,0,0,0,0,0
1115,-3.9656978,8.982976,1,0,0,0,0,0,0
1998,12.415756,5.064782,0,0,0,0,0,0,0
1691,-5.8117237,4.06796,1,0,1,1,0,0,0
1458,-6.455143,8.531486,0,0,0,0,0,0,0
2714,11.980251,4.7601056,0,0,0,0,0,0,0
1971,12.59352,5.2072153,0,0,0,0,0,0,0
920,-6.516116,5.882244,1,0,1,1,0,0,0
1176,-2.9712965,6.7653055,0,0,1,0,0,0,0
1903,-3.0750835,6.7897854,0,0,1,0,0,0,0
1874,-5.5857286,4.5545535,0,0,1,1,1,0,0
311,13.450146,5.1133237,1,0,0,0,0,0,0
1956,11.831008,4.93597,0,0,0,0,0,0,0
1530,-2.7332036,7.00914,0,0,1,0,0,0,0
