,UMAP_1,UMAP_2,W3IWER4_A
454,9.096511,16.699417,0
343,-13.153413,-0.7419309,0
334,-5.1080055,-10.5276375,0
436,16.959442,12.451896,0
282,2.2325914,3.7846072,0
386,17.059883,7.9893045,0
86,-9.288427,-4.9126525,0
77,-13.080438,-0.81253433,0
373,8.9888315,16.806967,0
411,14.843503,-1.1204937,0
306,-12.307473,18.688087,0
29,-3.0411346,11.606469,0
21,-5.9706044,16.751287,0
299,-8.17054,16.327398,0
281,-0.7472855,3.3729343,0
64,7.1088896,-0.64655775,0
75,-13.767261,19.589811,0
15,-13.362607,19.237652,0
305,-3.0466502,11.612751,0
59,-9.3754,-13.879076,0
76,-9.996396,-12.500544,0
404,14.88933,-1.1219331,0
95,-6.0650597,11.777631,0
84,-0.61952096,2.9279819,0
44,-4.6878223,-8.797272,0
422,17.510597,8.153329,0
87,-3.4848535,-7.9861217,0
325,-4.993423,-8.543985,0
401,-3.6035707,26.351734,0
466,15.343526,-1.4740015,0
14,-14.4938545,1.935811,0
397,9.011468,16.784237,0
70,-3.051137,11.619615,0
60,-13.378513,19.234333,0
16,-8.18993,16.31886,0
296,-8.493447,6.381933,0
441,14.674686,-0.9732545,0
336,-13.377325,19.225004,0
438,15.973408,11.956007,0
457,-6.350837,15.954805,0
408,-3.6918886,26.440176,0
347,-12.502761,-1.2295682,0
34,-12.47549,-1.2555608,0
327,7.1958127,-0.8058896,0
36,-8.532946,1.6021392,0
370,-3.3831089,-8.089225,0
393,-6.34609,15.584767,0
329,-6.0468626,11.75947,0
323,-12.227986,18.609755,0
352,-10.047583,-12.448772,0
356,-4.1223283,-8.149696,0
56,1.850306,3.9573758,0
292,-8.24292,16.268097,0
349,-12.342137,18.717783,0
345,-9.983745,-12.509159,0
390,17.10423,8.006442,0
355,-13.760053,20.165977,0
400,-3.4741163,26.223537,0
450,14.754662,-1.0938975,0
414,16.526257,8.0138855,0
423,17.022604,12.455117,0
447,9.043993,16.751661,0
73,-12.331992,18.708755,0
24,-4.793455,16.730429,0
61,-5.958665,16.733837,0
286,-13.749457,20.12396,0
433,-6.304972,15.512277,0
28,1.8082521,3.9947739,0
10,-13.750997,20.128044,0
389,16.546276,12.217413,0
413,16.464981,12.161439,0
432,9.01749,16.778313,0
66,-7.087414,5.0605354,0
3,-13.709587,19.466812,0
354,-4.644763,-8.867948,0
351,-13.741982,19.611187,0
419,-6.373404,15.51987,0
467,14.656229,-1.184961,0
276,7.5240765,-0.3650017,0
30,-12.356161,18.73571,0
37,-2.2765148,-10.928886,0
464,15.975557,11.964936,0
278,2.3445878,17.552149,0
369,-2.6647694,11.114612,0
342,-7.106311,5.041902,0
319,-12.461493,-1.2637651,0
353,-13.054755,-0.8385649,0
417,14.823568,-1.1739014,0
58,-5.1203313,-10.51348,0
402,-6.356246,15.511339,0
416,14.78145,-1.0731202,0
445,-6.3743815,15.572024,0
78,-4.586725,-8.945088,0
303,7.281974,-0.7500059,0
407,-6.3801,15.573557,0
43,-12.438004,-1.2895138,0
