,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-3.179009,7.4528456,0,0,0,0,0,0,0
575,-0.6091561,12.520232,1,0,0,0,0,0,0
2316,11.805477,2.8347228,0,0,0,1,0,0,0
1092,3.948422,-5.930454,1,0,0,0,0,0,0
19,-1.9054676,5.969968,0,0,0,0,0,0,0
2198,11.771147,2.7300386,1,0,0,1,0,0,0
1428,-1.1689211,7.068689,0,0,0,0,0,0,0
1386,15.612795,7.666627,0,0,0,1,0,0,0
1858,-5.4638715,9.4496155,0,0,0,0,0,0,0
1967,13.5478945,9.267064,0,0,1,1,0,0,0
1147,-0.3649387,12.500108,0,0,0,0,0,0,0
267,14.836335,9.330164,0,0,1,1,0,0,0
2243,11.323514,3.0917647,1,0,0,1,0,0,0
936,3.0534725,-5.1349077,0,0,0,0,0,0,0
1528,12.500708,7.087238,1,0,0,1,0,0,0
1454,-5.466128,9.41975,1,0,0,0,0,0,0
1196,-1.4234288,5.7542343,0,0,0,0,0,0,0
419,15.277943,7.449191,0,0,0,1,0,0,0
1826,0.1325293,14.21768,0,0,0,0,0,0,0
3202,0.35023782,-3.1815202,0,0,0,0,0,0,0
2417,11.749961,4.559995,0,0,0,1,0,0,0
1260,1.494405,13.7714,1,0,0,0,0,0,0
2741,13.553259,9.993635,0,0,1,1,1,1,1
1831,-5.4461355,9.449401,0,0,0,0,0,0,0
443,14.463411,6.8861217,0,0,0,1,0,0,0
3072,-7.303956,8.893232,1,0,0,0,0,0,0
1642,-0.054162942,12.897844,1,0,0,0,0,0,0
2742,13.00973,8.407643,0,0,1,1,0,0,0
3189,2.765987,-5.9483824,1,0,0,0,0,0,0
928,-1.2465885,7.2396984,0,0,0,0,0,0,0
698,15.417287,9.212053,0,0,1,1,0,0,0
137,0.8475076,9.639909,0,0,0,0,1,0,0
610,-1.8765216,6.208682,0,0,0,0,0,0,0
2357,11.635917,4.7062855,0,0,0,1,0,0,0
567,2.2955604,-4.5902243,0,0,0,0,0,0,0
1575,0.42995325,-3.1626856,0,0,0,0,0,0,0
307,1.7144582,-0.59053755,0,0,0,0,0,0,1
185,2.2766576,-4.6792493,0,0,0,0,0,0,0
1872,12.559061,6.6109533,0,0,0,1,0,0,0
3243,-5.4885855,9.4803915,0,0,0,0,0,0,0
2048,12.31087,7.747238,0,0,1,1,0,0,0
3188,-6.478615,9.078655,0,0,0,0,0,0,0
465,14.336509,6.808338,0,0,0,1,0,0,0
729,3.0747685,-5.22824,1,0,0,0,0,0,0
695,14.828187,9.313813,0,0,1,1,0,0,0
2782,13.693156,10.0597105,0,0,1,1,1,1,1
449,15.127415,7.6960177,0,0,0,1,0,0,0
2828,12.612771,7.898994,1,0,1,1,0,0,0
3155,1.294029,-2.7615278,1,0,0,0,0,0,0
1198,-1.1964228,7.1285357,0,0,0,0,0,0,0
1356,13.022138,7.4806476,0,0,0,1,0,0,0
2698,-7.294038,8.842806,0,0,0,0,0,0,0
811,15.2428055,7.7854633,0,0,0,1,0,0,0
868,-1.3770329,5.7927694,0,0,0,0,0,0,0
2237,0.01686113,12.8766575,0,0,0,0,0,0,0
418,15.423419,7.5806947,0,0,0,1,0,0,0
3173,1.4938935,-4.381173,0,0,0,0,0,0,0
1714,0.9408132,-3.7583692,0,0,0,0,0,0,0
1712,12.825656,6.5503063,1,0,0,1,0,0,0
1118,15.819472,7.782474,0,0,0,1,0,0,0
399,-1.1906728,5.9454947,0,0,0,0,0,0,0
3168,2.7756348,-5.964101,1,0,0,0,0,0,0
329,14.8413725,9.260463,1,0,1,1,0,0,0
1781,1.553248,-4.701754,0,0,0,0,0,0,0
1481,3.865897,-5.734009,1,0,0,0,0,0,0
439,14.519747,7.221231,0,0,0,1,0,0,0
1527,2.7248254,-4.044197,1,0,0,0,0,0,0
2995,13.147223,8.073216,1,0,1,1,0,0,0
411,15.1879,7.5173764,0,0,0,1,0,0,0
747,-2.6338422,5.904752,0,0,0,0,0,0,0
3140,0.12178972,14.194966,0,0,0,0,0,0,0
2878,-0.83268625,13.217717,0,0,0,0,0,0,0
1079,-3.5266745,7.1978464,0,0,0,0,0,0,0
926,3.1341376,-5.339169,1,0,0,0,0,0,0
1817,3.467778,-6.212183,0,0,0,0,0,0,0
2401,11.710399,4.633693,1,0,0,1,0,0,0
3008,13.291969,9.066241,1,0,1,1,0,0,0
1351,14.530931,7.1051517,0,0,0,1,0,0,0
3264,0.19911078,14.331797,0,0,0,0,0,0,0
3283,12.624799,6.50797,0,0,0,1,0,0,0
724,-1.4593427,7.560645,0,0,0,0,0,0,0
1524,1.4972398,-4.5146093,0,0,0,0,0,0,0
2071,0.3743163,-3.1969643,1,0,0,0,0,0,0
