,UMAP_1,UMAP_2,W3IWER4_A
288,8.209557,8.634397,0
347,-12.670509,6.3201756,0
107,6.4275894,-6.205387,0
200,6.124342,-6.738354,0
418,6.5048995,9.602901,0
137,7.783322,16.87286,0
462,6.0921535,-2.669471,0
339,7.7393694,16.968407,0
386,4.501997,18.88693,0
296,6.214994,-9.454889,0
67,7.3375797,-3.6240575,0
470,6.4248266,13.553816,0
111,4.140011,8.415945,0
485,3.6381671,7.6061893,0
270,8.162403,8.588674,0
311,6.745803,15.394975,0
83,6.669064,14.320773,0
179,15.88338,-7.548448,0
336,6.507444,9.560918,0
9,10.021193,10.406647,0
435,7.7475457,16.781485,0
466,9.650663,12.626144,0
112,-4.0031204,14.367584,0
463,-4.0029716,13.945295,0
330,-5.2518363,14.232676,0
161,6.000546,-2.5844927,0
407,6.391413,14.096973,0
104,7.688664,15.415923,0
492,7.6581078,15.40434,0
520,17.107485,-6.803216,0
222,17.908018,11.502687,0
19,6.084689,-6.7951255,0
406,4.921203,9.399498,0
125,-9.212516,7.738441,0
476,6.6721478,14.451715,0
39,-4.8635945,14.987323,0
513,6.103325,10.260374,0
269,16.864292,-7.030969,0
229,10.314589,7.0793433,0
426,6.4591904,14.086235,0
219,-4.8690515,14.983575,0
308,5.6955843,11.569431,0
69,17.086216,-6.8238044,0
59,5.950081,-9.876255,0
250,5.786903,-6.563198,0
34,-0.9355225,10.081453,0
503,16.913382,-6.9864893,0
149,17.066015,-6.841642,0
273,7.342504,17.62946,0
126,8.009659,16.892101,0
191,7.228537,16.068785,0
509,15.493348,10.128659,0
187,-4.823334,14.944677,0
27,7.2439737,18.41476,0
349,-9.188518,7.720057,0
501,7.314831,18.38176,0
135,-1.0067898,10.146375,0
181,6.093601,-6.769927,0
51,5.8253574,11.185063,0
237,6.0479236,17.729645,0
4,-4.63876,13.721545,0
504,7.6144705,15.469853,0
97,8.221234,8.539176,0
374,6.465244,-6.278129,0
436,5.256809,9.483755,0
18,-1.5086048,10.675973,0
429,6.449176,14.184295,0
370,10.489822,7.1038113,0
148,6.742463,15.333504,0
258,5.722219,11.527138,0
23,16.159798,9.956817,0
220,6.3551917,13.68783,0
319,9.4492,8.159335,0
128,7.669364,15.387055,0
165,15.89622,-7.5367627,0
517,7.4449687,-3.5275955,0
522,15.896888,-7.5221395,0
280,15.826439,-7.5013695,0
415,-3.8369033,14.003375,0
247,-12.669494,6.3214617,0
65,-3.868839,14.063323,0
309,7.3130875,17.475475,0
352,6.6428113,14.444982,0
226,8.669009,10.577196,0
199,4.388632,8.699842,0
