,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-2.8915591,3.8517697,0,0,0,0,1,1,1
575,-1.3197485,8.418094,1,0,0,0,0,0,0
2316,7.8505263,5.3431478,0,0,1,0,0,0,0
1092,14.093123,-2.7384257,1,0,1,1,1,0,0
19,-1.84479,5.356161,0,0,0,0,0,0,0
2198,7.713157,5.1165133,1,0,1,0,0,0,0
1428,-4.0588307,5.331514,0,0,0,0,1,1,1
1386,13.428816,15.52269,0,0,0,0,1,0,1
1858,-0.8799026,2.6811354,0,0,0,0,0,0,0
1967,13.136281,17.71373,0,0,0,0,0,0,0
1147,-1.0304817,8.179222,0,0,0,0,0,0,0
267,12.154589,16.723637,0,0,0,0,0,0,0
2243,8.108981,5.254373,1,0,1,0,0,0,0
936,12.870279,-1.5508717,0,0,1,1,1,1,1
1528,13.421385,8.844168,1,0,1,1,1,1,1
1454,-1.2937315,2.6742258,1,0,0,0,0,0,0
1196,-3.0116396,6.5252013,0,0,0,0,1,1,1
419,13.751433,15.626162,0,0,1,0,1,0,1
1826,-0.48657906,9.2254095,0,0,0,0,0,0,0
3202,9.57504,0.09708536,0,0,1,1,0,0,0
2417,9.470948,4.1406784,0,0,1,1,0,0,0
1260,0.17446506,8.054597,1,0,0,0,0,0,0
2741,13.063038,17.875708,0,0,0,0,0,0,0
1831,-0.9011782,2.697729,0,0,0,0,0,0,0
443,12.937281,10.118746,0,0,1,0,0,0,0
3072,-1.4020138,1.9305164,1,0,0,0,0,0,0
1642,-0.8399858,6.0861216,1,0,0,0,0,0,0
2742,13.841149,9.08824,0,0,1,1,1,1,1
3189,13.508619,-1.6581299,1,0,1,1,1,1,0
928,-4.2552943,5.3393006,0,0,0,0,1,1,1
698,12.174042,16.77802,0,0,0,0,0,0,0
137,2.94626,5.1419444,0,0,0,0,0,0,0
610,-3.3653736,6.0442944,0,0,0,0,1,1,1
2357,9.401493,4.1788745,0,0,1,1,0,0,0
567,12.401075,-2.057713,0,0,1,1,1,0,0
1575,9.69715,-0.052086923,0,0,1,1,0,1,0
307,9.843557,-2.414686,0,0,0,1,0,0,0
185,12.347592,-2.2143583,0,0,1,1,1,0,0
1872,13.601268,8.494881,0,0,0,1,1,1,1
3243,-0.90349406,2.6774724,0,0,0,0,0,0,0
2048,12.622212,8.718476,0,0,1,1,0,0,0
3188,-1.6022202,2.6106553,0,0,0,0,0,1,0
465,12.832912,10.146981,0,0,1,0,0,0,0
729,12.975911,-1.5794383,1,0,1,1,1,1,1
695,12.910405,16.541636,0,0,0,0,0,0,0
2782,13.003872,17.98573,0,0,0,0,0,0,0
449,13.555904,16.342825,0,0,0,0,1,0,1
2828,12.867115,8.581699,1,0,1,1,0,0,0
3155,10.035101,-0.28363094,1,0,1,1,0,0,0
1198,-3.9541304,5.4146686,0,0,0,0,1,1,1
1356,12.988561,8.846793,0,0,1,1,0,0,0
2698,-1.3803655,1.8658669,0,0,0,0,0,0,0
811,13.619589,15.958105,0,0,0,0,1,0,1
868,-2.9365163,6.6051116,0,0,0,0,1,1,1
2237,-0.73935735,8.181647,0,0,0,0,0,0,0
418,13.30846,15.927609,0,0,0,0,1,0,1
3173,11.403842,-2.3682745,0,0,0,1,1,0,0
1714,11.146569,-2.1663222,0,0,1,1,1,0,0
1712,13.594434,9.267036,1,0,1,1,1,1,1
1118,13.308628,15.435882,0,0,0,0,1,0,1
399,-3.0941284,6.434763,0,0,0,0,1,1,1
3168,13.510931,-1.6586727,1,0,1,1,1,1,0
329,12.352747,16.740192,1,0,0,0,0,0,0
1781,12.126654,-2.605025,0,0,0,1,1,0,0
1481,14.002202,-2.728662,1,0,1,1,1,0,0
439,13.157432,9.752712,0,0,1,0,1,0,0
1527,11.348815,-2.186147,1,0,1,1,1,0,0
2995,13.442781,9.1108885,1,0,1,1,1,1,1
411,13.672254,15.985465,0,0,0,0,1,0,1
747,-3.190586,5.191865,0,0,0,0,1,1,1
3140,-0.46415082,9.283068,0,0,0,0,0,0,0
2878,-1.2979938,8.713102,0,0,0,0,0,0,0
1079,-2.9895046,3.9809504,0,0,0,0,1,1,1
926,12.992654,-1.6539547,1,0,1,1,1,1,1
1817,14.037519,-2.198881,0,0,1,1,1,0,0
2401,9.507289,4.1740193,1,0,1,1,0,0,0
3008,13.667558,17.47434,1,0,0,0,1,0,1
1351,13.08055,9.660778,0,0,1,0,0,0,0
3264,-0.3716214,9.314005,0,0,0,0,0,0,0
3283,13.436413,8.5584545,0,0,1,1,1,1,1
724,-4.6260247,5.3100686,0,0,0,0,1,1,1
1524,12.092708,-2.5697083,0,0,0,1,1,0,0
2071,9.492637,-0.121410236,1,0,1,1,0,0,0
451,12.774447,9.536747,0,0,1,0,0,0,0
2767,12.041597,16.921488,0,0,0,0,0,0,0
680,9.32112,-2.0410647,0,0,0,1,0,0,0
865,14.0537195,-2.5306664,0,0,1,1,1,0,0
2406,7.712237,5.1235347,0,0,1,0,0,0,0
1535,3.8283434,5.22999,1,0,0,0,0,0,0
1482,2.9062989,5.1782484,0,0,0,0,0,0,0
72,9.239144,-2.216793,0,0,0,1,0,0,0
444,-2.8154957,3.8363144,0,0,0,0,1,1,1
3079,-1.5358005,2.5292802,1,0,0,0,0,1,0
1868,-1.3499413,4.067262,0,0,0,0,0,0,0
211,-4.7009335,5.26422,0,0,0,0,1,1,1
424,13.631564,15.663448,0,0,1,0,1,0,1
29,8.594085,5.5577884,0,0,1,0,0,0,0
540,0.11845956,7.6292257,0,0,0,0,0,0,0
1885,11.474475,-2.503887,0,0,0,1,1,0,0
1951,13.532952,-1.6652167,0,0,1,1,1,1,0
603,-1.7058105,5.688238,0,0,0,0,0,0,0
1703,12.984665,17.890814,0,0,0,0,0,0,0
684,13.9793825,-2.6698892,1,0,1,1,1,0,0
771,-0.021975111,9.195253,1,0,0,0,0,0,0
515,12.729136,9.504104,0,0,1,0,0,0,0
2538,8.444454,5.483858,0,0,1,0,0,0,0
2488,8.758761,4.301034,1,0,1,1,0,0,0
569,8.9022045,-2.1100576,0,0,0,1,0,0,0
1243,-2.0288882,2.8146465,0,0,0,0,0,1,0
1186,13.615182,8.551247,1,0,1,1,1,1,1
780,-1.7932868,5.433581,0,0,0,0,0,0,0
462,13.23591,8.964952,0,0,1,1,1,1,1
1324,-1.7844055,5.3986816,0,0,0,0,0,0,0
2476,7.772161,5.1544733,1,0,1,0,0,0,0
712,8.828418,-2.157897,0,0,0,1,0,0,0
2700,12.597833,8.758806,0,0,1,1,0,0,0
779,9.684381,-0.5471151,0,0,1,1,0,0,0
2076,8.755526,4.2651715,1,0,1,1,0,0,0
693,3.0575397,4.7632837,1,0,0,0,0,0,0
337,12.995675,10.0481825,0,0,1,0,0,0,0
1744,0.111365765,7.660408,1,0,0,0,0,0,0
2500,8.904322,4.175694,0,0,1,1,0,0,0
2819,13.01773,16.960333,1,0,0,0,0,0,0
144,9.714672,-2.52611,0,0,0,1,0,0,0
1653,0.14490086,7.612255,1,0,0,0,0,0,0
898,12.149955,-0.95362085,0,0,1,1,1,1,1
2376,8.102095,5.782021,0,0,1,0,0,0,0
1600,-1.2907789,8.697621,1,0,0,0,0,0,0
1429,13.4085045,15.546227,0,0,0,0,1,0,1
2941,13.033963,17.921331,0,0,0,0,0,0,0
2033,12.234099,17.128094,0,0,0,0,0,0,0
1150,9.760848,-0.36607584,1,0,1,1,0,0,0
1282,9.440916,-0.07869343,0,0,1,1,0,1,0
1788,-1.3251957,1.973377,0,0,0,0,0,0,0
1206,11.986067,-0.8538771,1,0,1,1,1,1,1
1172,13.990925,-2.719637,1,0,1,1,1,0,0
222,-1.94622,2.8953497,0,0,0,0,0,1,0
258,9.2171335,4.528803,0,0,1,1,0,0,0
393,12.186873,16.699942,1,0,0,0,0,0,0
2119,8.807982,4.051929,0,0,1,1,0,0,0
53,9.3504095,4.088808,1,0,1,1,0,0,0
960,12.939121,-2.5981028,0,0,1,1,1,0,0
691,-4.7619357,5.2073226,0,0,0,0,1,1,1
2283,8.754184,4.1242495,1,0,1,1,0,0,0
2183,12.361307,-3.1365957,0,0,0,1,1,0,0
2467,8.132409,5.7623124,0,0,1,0,0,0,0
877,12.324542,-2.1997888,1,0,1,1,1,0,0
2104,8.335231,5.5153823,0,0,1,0,0,0,0
947,-1.4437042,8.298814,0,0,0,0,0,0,0
1944,9.665055,-0.04950794,1,0,1,1,0,1,0
318,13.2933855,15.520017,0,0,0,0,1,0,1
1067,-2.9767425,6.559537,0,0,0,0,1,1,1
1950,13.137215,16.995377,0,0,0,0,1,0,0
2899,12.685615,-3.0284035,1,0,0,1,1,0,0
