,UMAP_1,UMAP_2,W3IWER4_A
138,8.699818,-8.563289,0
1523,5.5541425,-4.061382,0
1315,0.4109739,5.500486,0
1998,1.2718557,18.528135,0
1701,9.983723,-7.4478,0
2027,1.1275295,18.30619,0
2174,2.1941469,15.282197,0
2080,0.47014347,15.261089,0
1370,13.428345,4.7975183,0
1581,4.0529647,-7.0128117,0
1925,1.0426968,18.186796,0
11,7.99098,-6.4879317,0
1579,8.498139,-9.732499,0
1647,8.5512705,-9.140554,0
1935,-1.2712384,15.499839,0
502,6.047405,-6.5068436,0
16,4.020174,-7.0265374,0
185,16.576736,-0.95368314,0
2250,-1.5762374,16.530653,0
2088,0.054280646,15.893411,0
420,10.006929,-7.4109716,0
2244,0.07684511,17.259005,0
1329,12.541054,6.058728,0
1498,3.507105,-3.153018,0
1646,3.9771717,-7.09022,0
1593,0.9734452,5.243862,0
2030,-0.02826547,16.11562,0
508,3.5878787,6.4625864,0
1670,12.216252,5.299659,0
411,3.3420162,5.923246,0
1694,9.171162,-7.5390153,0
1766,5.5026274,-6.175274,0
203,8.161282,-7.3241296,0
2086,2.2196038,18.973532,0
2182,3.5469787,15.80677,0
497,9.123911,-7.7212524,0
60,13.049095,8.803313,0
0,3.8175287,-7.3217754,0
1836,2.083801,19.3833,0
1906,0.36435002,15.149518,0
235,17.410799,-1.95025,0
367,3.3621902,6.427368,0
2296,-0.5623904,16.515715,0
360,8.71007,-9.673175,0
1741,0.7855628,5.1447206,0
2106,4.243179,15.413993,0
1778,2.6932824,15.857341,0
1636,3.6952736,-10.652182,0
452,9.971464,-7.455752,0
382,1.6158265,6.310544,0
1803,-0.025925536,15.782595,0
416,11.230911,4.43602,0
126,2.6675432,4.8372183,0
1540,10.534206,8.996912,0
2160,1.8785679,18.273726,0
2077,3.8209047,16.786362,0
1917,1.1970803,18.447723,0
2212,3.9822972,17.454882,0
1494,5.1334276,-5.666303,0
441,1.4165318,6.389175,0
415,7.702827,-9.154695,0
2137,2.5236351,15.097489,0
1545,6.0269375,-6.4870777,0
271,12.066678,5.8509517,0
2245,1.38069,18.551,0
1839,-1.8088259,16.345211,0
1392,3.0019925,5.4902577,0
523,14.893512,0.087142475,0
2001,3.9511282,17.483564,0
1349,5.41241,-10.962675,0
1284,3.652701,6.000014,0
1307,14.922708,0.08246651,0
1712,6.8704076,-10.646064,0
1756,3.8348384,-7.2947197,0
1416,5.5695257,-4.010496,0
2202,3.0056465,15.564964,0
58,14.9051485,0.079338536,0
2028,2.8255806,15.94888,0
1623,4.354147,-3.0876312,0
125,4.1589227,-10.813786,0
2159,1.6844673,18.413385,0
2294,0.3655991,16.668325,0
1376,5.2502594,-10.908989,0
1525,3.8244908,6.9260473,0
1253,7.929388,-6.3740354,0
1669,10.008846,-7.4329515,0
2233,-1.8114167,16.26839,0
1297,3.9307666,5.782625,0
1541,5.228543,-6.0553713,0
1883,2.0171955,17.736357,0
1495,12.99646,4.6934276,0
1909,-0.554187,16.463535,0
463,6.882849,-10.647923,0
82,4.1998267,-2.9601772,0
2226,2.0655286,17.557215,0
1261,3.7949195,5.4496107,0
1648,14.9661,0.45069006,0
444,3.804162,6.8668694,0
1304,7.79947,-6.1084194,0
2211,1.9718567,18.14907,0
1318,9.160564,-8.582744,0
1334,5.4779925,-4.482998,0
1790,0.39367986,15.377313,0
481,4.342531,-6.7717204,0
1729,16.077665,6.2655463,0
1930,-0.034721296,15.177497,0
212,5.850752,-6.3885694,0
1637,3.0877037,7.7468677,0
381,0.9460215,7.2658377,0
1546,16.207134,3.43874,0
1452,8.15691,-7.3165135,0
2110,0.07599601,15.9922285,0
2074,2.644864,18.044039,0
2053,1.4707388,18.655138,0
1724,12.066685,5.4268627,0
1822,1.6743288,15.347603,0
1609,8.708488,-9.695048,0
434,17.607727,7.118521,0
1779,1.2193629,16.867933,0
2300,-1.1000131,15.515249,0
369,2.136632,4.916076,0
361,10.9868965,5.4241323,0
520,8.344109,-7.3716383,0
1450,6.155975,-11.670146,0
1805,1.9829762,18.040545,0
1705,5.5740976,-3.9008398,0
119,6.842914,-10.67185,0
482,4.3753386,-3.11068,0
1272,19.640049,4.612293,0
1676,-0.3909963,5.2288485,0
1964,2.0067852,15.582184,0
1398,9.193443,-8.677061,0
2206,2.1495717,15.140132,0
1258,15.576369,6.729593,0
1893,2.033159,15.13311,0
1287,9.246619,-7.5135927,0
1463,3.881653,5.6907816,0
428,0.91100156,5.208615,0
1733,5.59619,-3.94904,0
1732,13.005484,7.2363276,0
1336,9.409175,-7.6564074,0
1328,2.60535,7.0451617,0
1776,4.993106,-11.285066,0
2143,-0.14899056,15.53999,0
2213,4.196163,15.42841,0
1884,2.7851226,16.017372,0
283,12.415759,6.0903635,0
1814,1.9201194,15.24695,0
1405,3.386521,5.9300346,0
1810,-1.1040692,16.770052,0
229,16.038017,-1.7998816,0
1698,0.46563897,5.4756694,0
427,-0.41734225,5.2122784,0
1309,13.06129,8.786137,0
507,3.8075006,-7.3240337,0
522,5.416047,-10.927634,0
2187,2.8951907,15.1698265,0
115,6.049839,-11.02786,0
289,2.5818715,7.0439053,0
1313,6.783174,-10.7000885,0
1254,1.2092352,6.155636,0
31,5.0770273,-5.693182,0
1735,3.3177094,5.899263,0
2252,1.9008915,16.919779,0
1599,17.866306,2.4514873,0
2083,2.7847106,15.947666,0
2284,3.0127594,15.463162,0
1734,14.925855,0.3953517,0
449,0.46754354,5.4793606,0
1812,0.039313402,15.803924,0
83,-0.05432533,6.3789325,0
36,8.27687,-9.004962,0
2150,-1.75745,15.956577,0
376,12.742162,7.695873,0
1635,3.298907,5.9832563,0
2126,3.9932966,15.78689,0
2002,-1.1260333,15.55976,0
1978,4.2112465,15.443851,0
260,9.213971,-7.5146174,0
414,6.2787967,-10.90667,0
188,7.340828,-5.526121,0
1687,4.0022845,5.987234,0
232,15.67285,3.8270814,0
1747,2.9367917,7.141139,0
2063,0.9971677,18.086876,0
2023,1.4911594,16.835138,0
399,14.989424,0.4597057,0
297,16.221546,3.4224584,0
2176,0.9035727,15.249117,0
266,4.218377,-2.9533625,0
372,9.140845,-8.707665,0
407,1.6437225,6.3021946,0
359,5.0747194,-11.303894,0
1421,0.2356151,5.8627653,0
2290,0.3545979,16.721045,0
491,4.6585884,-10.733406,0
290,7.795613,-6.104993,0
133,3.1780574,8.348022,0
1677,0.91522485,5.2062387,0
1368,6.8651257,-10.649195,0
1303,3.7863052,-10.708571,0
205,11.240366,4.4776793,0
1767,8.450974,-8.63885,0
1513,5.548909,-3.8681831,0
1465,7.777218,-6.073909,0
118,5.0665464,-5.6611767,0
1844,-0.20360608,16.317764,0
1664,7.742007,-9.191963,0
1890,3.8802354,16.698238,0
160,19.629637,4.95213,0
2064,0.028095616,15.216832,0
1422,10.039221,-7.4420247,0
1607,1.4768933,7.333039,0
2193,3.8102741,16.612125,0
2128,3.9642656,17.489195,0
1447,8.576911,-7.2547903,0
1319,8.50775,-9.34355,0
159,5.6077914,-3.9579747,0
2270,0.3253804,15.172378,0
1507,11.959015,6.0624285,0
2101,3.6361232,16.79608,0
1717,3.1921518,8.376843,0
2203,3.698778,16.927595,0
1249,3.8469021,-7.288513,0
403,3.5053449,-3.1584816,0
1897,3.9817982,15.385295,0
251,1.4132116,6.180731,0
1936,1.2998339,16.952803,0
69,9.153605,-8.603144,0
1994,3.835523,16.78747,0
1569,15.653605,1.4740567,0
1718,14.068832,-0.52484614,0
451,4.3323107,-10.910514,0
1781,1.4098482,16.874905,0
1770,3.9037008,-10.770759,0
1961,-1.4389796,15.94918,0
1992,-0.10866374,16.404942,0
2165,3.4461868,17.416304,0
209,7.966775,-6.4381175,0
275,1.6353401,6.3015995,0
1999,0.1259398,17.488443,0
2138,0.32014668,15.125057,0
1975,2.3417578,18.780859,0
2037,3.570997,17.354647,0
2277,1.6843921,15.369108,0
384,6.1061907,-11.016091,0
2227,1.7719493,15.381292,0
32,5.727044,-6.313721,0
1312,9.997961,-7.444589,0
1952,4.0564446,15.711442,0
226,15.724681,6.1808395,0
2003,3.966453,17.490065,0
1793,2.3973448,17.979994,0
2180,-0.6409723,15.655226,0
1689,4.2322836,-2.9913735,0
1526,11.831103,1.693061,0
1352,-0.032185446,4.8527617,0
1589,10.522553,0.5727189,0
1283,8.585788,-7.2733293,0
1527,3.2019215,8.385455,0
1951,1.0499209,18.037294,0
425,2.1843247,4.897976,0
2123,-1.7602255,15.902474,0
1835,0.10811722,15.806655,0
1531,4.0049543,-7.055587,0
1914,3.3402731,15.387047,0
2171,-1.4946754,15.8821125,0
112,6.6291184,-9.080049,0
1588,3.0052335,4.770609,0
59,6.145515,-11.637153,0
318,2.6999671,4.8456125,0
2079,-0.52268434,16.560083,0
2275,0.18458372,17.456865,0
1703,10.959919,5.436384,0
292,5.226629,-6.0759015,0
1807,2.889773,15.9414215,0
1838,0.23189999,16.585268,0
15,3.625672,-3.0910306,0
335,8.252981,-9.756917,0
1633,6.0895925,-11.031439,0
1426,3.7640786,-10.67128,0
254,3.4046888,5.031286,0
316,2.8013592,6.266994,0
1941,2.6921947,17.834297,0
1436,3.8752573,-10.753777,0
1643,-0.38927937,5.361213,0
2075,0.40896323,16.75158,0
130,3.844738,5.7090373,0
1845,-1.7463453,15.877883,0
42,3.56893,5.9891615,0
385,5.590295,-3.9725046,0
1485,10.442021,9.181978,0
21,3.8266025,-6.829741,0
489,12.739699,7.6982512,0
1551,3.6492245,5.954933,0
1645,3.4099815,5.06377,0
51,12.977609,4.7000694,0
1518,9.173536,-8.711192,0
1612,2.9904482,4.7085967,0
2168,1.9983563,15.151227,0
2046,-1.7332842,16.251469,0
524,2.6853683,4.8241525,0
1907,4.2000155,15.484189,0
2207,-1.5543529,15.873772,0
1533,14.873445,6.712414,0
20,2.5280333,4.8010736,0
1300,12.961148,4.7165046,0
468,3.2055976,8.38992,0
2089,0.9550817,18.112587,0
1489,3.9892187,-7.1017146,0
1482,1.5617665,5.428931,0
71,2.7495458,4.821312,0
1760,11.971605,4.0215197,0
1412,3.9923143,-2.968559,0
193,3.8156853,6.8944635,0
3,3.1769428,8.319259,0
1603,15.599426,-1.5497541,0
1560,0.054365866,4.9270267,0
1898,1.7204006,16.778006,0
1757,3.5861807,6.4003463,0
1672,6.046165,-11.302674,0
1480,2.2089927,6.531885,0
2102,-0.6609114,15.379721,0
245,5.142433,-5.6487174,0
2167,3.7809794,15.806045,0
2189,0.9734996,18.028452,0
18,4.845784,-11.193334,0
1608,5.0724134,-11.295022,0
348,17.972733,5.577027,0
1618,2.1317148,4.935102,0
1752,10.033548,-7.428149,0
439,15.624106,6.744871,0
2237,1.2806077,18.07436,0
1340,-0.3039815,5.5532703,0
2047,-1.698018,15.848596,0
2231,-1.3365417,15.555785,0
7,-0.045118943,6.369633,0
1865,2.331405,17.822372,0
1502,1.0816255,7.155211,0
1719,2.7623587,6.2474117,0
23,19.647629,4.6759496,0
284,14.88098,6.722702,0
1785,0.19623633,15.762179,0
2031,-0.7747479,15.731493,0
2120,0.90791506,15.276173,0
2127,2.2463746,17.883165,0
39,4.0439277,-10.830674,0
2059,2.2437003,15.525414,0
30,15.559108,-1.2517929,0
127,5.2522316,-10.923134,0
1487,14.933953,0.12882216,0
45,0.074525535,6.2324615,0
1943,1.0172766,18.162905,0
2272,3.6283574,16.91963,0
1895,-0.9706954,16.56142,0
431,9.19277,-8.777142,0
1915,2.92701,15.179929,0
76,8.298599,-7.3140388,0
1571,15.870327,7.1412315,0
2197,0.053086404,15.195181,0
218,7.789286,-6.111033,0
306,5.123838,-5.3018765,0
1629,-0.054528,5.3613462,0
1621,9.14701,-8.710907,0
1437,7.3317337,-5.553194,0
405,13.56072,4.81579,0
1316,4.282841,-6.779474,0
248,9.096404,-8.726605,0
332,4.0262656,-7.0463443,0
2257,2.0918746,19.412354,0
1946,3.3866682,17.082138,0
