,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,11.1673765,-0.2818637,1,0,1,1,1,0,0
1428,11.024215,2.048122,0,0,1,1,1,1,1
1386,5.3641725,1.3290274,0,0,1,0,0,0,0
1967,6.714851,1.8736728,0,0,1,0,0,0,0
2243,7.9095993,1.9153448,1,0,1,0,0,1,0
1196,9.3344,1.0626343,0,0,1,1,1,0,0
419,4.1601458,3.784122,0,0,0,0,0,0,0
1826,11.915904,0.51103115,0,0,1,1,1,0,0
1260,8.766835,7.0689406,1,0,0,0,0,0,0
3072,9.050165,7.864247,1,0,0,0,1,0,0
1642,10.1437645,5.8866105,1,0,1,1,1,1,1
3189,9.841834,2.9239788,1,0,1,1,1,0,0
928,10.79207,2.2242546,0,0,1,1,1,0,0
610,9.268466,1.4590657,0,0,1,1,1,1,1
1575,8.9361925,6.213772,0,0,0,0,0,0,0
185,11.003597,-0.42063212,0,0,1,1,1,0,0
2782,5.4734683,2.0395663,0,0,1,0,0,0,0
449,5.8100924,1.2149309,0,0,1,0,0,0,0
1198,12.057679,1.5978501,0,0,1,1,1,1,1
1356,4.409903,3.726436,0,0,0,0,0,0,0
399,9.319582,1.6656523,0,0,1,1,1,1,1
3168,10.728823,2.7536101,1,0,1,1,1,0,1
1781,10.525454,3.0434203,0,0,1,1,1,0,0
2995,5.845483,1.9050381,1,0,1,0,0,0,0
411,6.1380925,1.767522,0,0,1,0,0,0,0
2878,10.346297,-0.11081379,0,0,1,1,1,1,1
3264,12.044325,1.7255175,0,0,1,1,1,1,1
2071,9.502944,6.243376,1,0,0,0,1,0,0
680,10.6577425,2.9452767,0,0,1,1,1,0,0
865,10.235436,7.595864,0,0,0,1,1,0,1
444,10.051776,2.2246625,0,0,1,1,1,0,0
211,9.572711,4.8940926,0,0,1,1,1,1,1
569,11.68456,1.7964756,0,0,1,1,1,1,1
1243,10.288378,2.0245626,0,0,1,1,1,1,1
780,8.73823,1.6420643,0,0,1,1,0,0,0
779,9.211522,8.028438,0,0,0,0,1,0,0
2076,8.101618,1.7543416,1,0,1,0,0,1,0
1744,9.14355,6.230245,1,0,0,0,1,0,0
144,10.483632,-0.07751958,0,0,1,1,1,1,1
898,11.15458,1.3074088,0,0,1,1,1,1,0
1429,4.9542856,1.5853106,0,0,1,0,0,0,0
2033,5.745996,2.683088,0,0,1,0,0,0,0
1150,9.629025,5.449016,1,0,1,1,1,1,0
1282,9.847878,8.065961,0,0,0,0,1,0,1
1206,11.141751,2.6141567,1,0,1,1,1,0,0
1172,9.463626,5.0891495,1,0,1,1,1,1,1
258,8.904608,2.2348375,0,0,1,1,0,0,0
393,4.318729,3.8891225,1,0,0,0,0,0,0
960,9.7111845,6.486097,0,0,0,1,1,0,0
877,11.212438,-0.28324673,1,0,1,1,1,0,0
947,10.977542,0.004855911,0,0,1,1,1,0,0
1944,8.818569,7.32835,1,0,0,0,0,0,0
1950,5.8165326,2.6170568,0,0,1,0,0,0,0
2501,11.778607,0.3567043,0,0,1,1,1,0,0
3087,10.385142,0.40764064,0,0,1,1,1,1,1
1387,10.944843,1.661104,0,0,1,1,1,1,1
820,5.2743955,1.706351,1,0,1,0,0,0,0
1115,11.272819,0.13758582,1,0,1,1,1,0,0
1998,5.419182,2.4702294,0,0,1,0,0,0,0
1691,9.26722,5.090397,1,0,1,0,1,1,1
1458,8.9793625,5.7860603,0,0,1,0,1,0,0
2714,6.128526,1.5785842,0,0,1,0,0,0,0
1971,5.5788937,2.1114507,0,0,1,0,0,0,0
920,11.652208,2.2590945,1,0,1,1,1,0,0
1176,11.575038,0.7054509,0,0,1,1,1,0,0
1903,12.145255,1.5316454,0,0,1,1,1,1,1
1874,9.674814,7.9523435,0,0,0,0,1,0,0
311,4.4599304,3.831294,1,0,0,0,0,0,0
1956,5.2770405,3.2742796,0,0,1,0,0,0,0
1530,9.634595,2.5631375,0,0,1,1,1,0,0
430,5.9736576,1.3683888,0,0,1,0,0,0,0
1313,10.448558,7.4276457,0,0,0,1,1,0,1
281,5.3324075,1.873089,0,0,1,0,0,0,0
2072,8.764701,6.524402,1,0,0,0,0,0,0
586,10.688672,-0.11753003,1,0,1,1,1,1,1
647,12.090123,1.5734277,1,0,1,1,1,1,1
1876,9.606129,6.4988356,1,0,0,0,1,0,0
1134,12.205166,1.3946178,0,0,1,1,1,1,0
2027,6.0201745,2.2742302,1,0,1,0,0,0,0
1622,11.912111,1.9746752,0,0,1,1,1,1,1
1132,9.871522,6.527724,0,0,0,1,1,1,1
2800,9.914773,5.8328514,1,0,1,1,1,1,1
1447,11.952188,1.2930402,0,0,1,1,1,1,0
1604,11.715182,0.06666382,1,0,1,1,1,0,0
642,11.848229,1.1786478,0,0,1,1,1,1,0
2712,6.5776386,2.2096176,0,0,1,0,0,0,0
220,10.459491,6.7973995,0,0,0,1,1,0,1
164,9.01826,4.655877,0,0,1,0,1,1,1
1256,9.375526,7.537418,0,0,0,0,1,0,0
2059,6.059358,2.3871822,0,0,1,0,0,0,0
1111,5.0954638,3.539558,0,0,0,0,0,0,0
1073,9.706095,1.6550545,0,0,1,1,1,0,0
1870,9.944434,6.598455,0,0,0,1,1,1,1
593,9.89741,8.021874,1,0,0,0,1,1,1
1345,6.124738,2.5222764,0,0,1,0,0,0,0
808,10.591682,2.1600688,1,0,1,1,1,1,1
2044,5.5135317,2.639849,0,0,1,0,0,0,0
1411,9.296415,2.0775063,1,0,1,1,1,1,1
1510,9.275779,5.2750793,0,0,1,0,1,0,0
1655,11.21759,-0.38429645,1,0,1,1,1,0,0
160,10.316114,0.21367988,0,0,1,1,1,1,1
1275,9.388302,7.7329335,0,0,0,0,1,0,0
883,10.576629,0.48554957,1,0,1,1,1,1,1
2479,10.210184,3.0886617,0,0,1,1,1,0,0
1146,9.444587,7.9894967,1,0,0,0,1,0,0
1096,9.594385,1.5505003,1,0,1,1,1,1,1
874,9.074678,1.7544526,0,0,1,1,1,1,1
663,9.522802,2.2470362,0,0,1,1,1,0,1
1056,9.319582,7.790704,1,0,0,0,1,0,0
2068,11.922469,1.6803637,0,0,1,1,1,1,1
2753,4.4049873,3.7021506,0,0,0,0,0,0,0
1793,10.5073595,2.8552341,0,0,1,1,1,0,0
878,12.27493,1.7220346,0,0,1,1,1,1,1
984,11.482034,1.332077,0,0,1,1,1,1,0
968,9.8146925,2.3120053,1,0,1,1,1,0,0
1039,10.388681,2.3202748,0,0,1,1,1,0,0
1242,10.394823,6.477225,0,0,1,1,1,0,0
2345,6.2656627,1.6458857,0,0,1,0,0,0,0
1667,9.657138,6.5083337,1,0,0,0,1,0,1
682,9.013893,5.157014,0,0,1,0,1,1,0
1069,10.856702,1.17735,0,0,1,1,1,1,1
1314,9.101178,7.763873,1,0,0,0,1,0,0
192,8.755501,1.9902419,0,0,1,1,0,1,0
1239,11.234911,1.153683,0,0,1,1,1,1,0
270,4.9772434,1.6583141,0,0,1,0,0,0,0
1182,9.772845,6.3767433,1,0,0,1,1,0,1
658,9.279861,5.391061,1,0,1,0,1,0,0
1658,10.270841,0.713134,1,0,1,1,1,0,0
1005,9.44582,6.0676785,1,0,1,0,1,0,0
106,6.060012,1.4294168,1,0,1,0,0,0,0
1089,9.378359,2.3673923,0,0,1,1,1,1,1
1663,10.629629,0.2568265,0,0,1,1,1,1,1
1406,10.956913,1.3162793,0,0,1,1,1,1,0
706,10.540487,1.9849267,0,0,1,1,1,1,1
2940,4.345885,3.8797598,1,0,0,0,0,0,0
1910,10.219959,2.6810625,0,0,1,1,1,0,0
1037,10.40258,7.073745,0,0,0,1,1,0,0
3086,10.8623495,-0.1685909,1,0,1,1,1,1,1
2703,9.190401,2.7848675,1,0,1,1,1,1,1
349,5.266727,1.7478565,0,0,1,0,0,0,0
3309,11.976009,1.5908791,1,0,1,1,1,1,1
1269,6.2769423,2.105092,0,0,1,0,0,0,0
915,9.55173,2.408855,0,0,1,1,1,0,0
1165,11.508727,0.18487313,1,0,1,1,1,0,0
304,4.6080127,3.3876462,0,0,0,0,0,0,0
2769,5.361686,2.6235387,1,0,1,0,0,0,0
1352,8.86259,5.903274,1,0,0,0,0,0,0
1154,12.063713,1.480805,1,0,1,1,1,1,1
1565,9.192763,7.3057966,0,0,0,0,1,0,0
2017,9.824907,5.714639,0,0,1,1,1,1,1
111,10.907377,0.040887423,0,0,1,1,1,1,1
611,10.405137,6.103576,1,0,1,1,1,0,0
1753,9.775796,6.696651,1,0,0,1,1,0,1
1112,10.385524,7.4618087,0,0,0,1,1,0,0
2247,9.225464,4.753629,0,0,1,0,1,1,1
1881,9.669483,6.441935,0,0,0,0,1,0,0
1552,10.158686,1.1764752,1,0,1,1,1,0,0
1347,11.7278595,2.1609168,0,0,1,1,1,0,0
1656,11.625749,0.8663996,0,0,1,1,1,0,0
1168,9.221732,1.594921,0,0,1,1,1,1,1
3077,10.635674,-0.20824298,0,0,1,1,1,1,1
668,5.3113275,1.3728746,0,0,1,0,0,0,0
1508,9.485764,7.545777,0,0,0,0,1,0,0
1419,8.965375,7.6589446,1,0,0,0,1,0,0
1860,5.4754343,1.5238869,1,0,1,0,0,0,0
2410,7.067936,1.9027964,1,0,1,0,0,1,1
641,11.367044,1.8140742,1,0,1,1,1,1,1
1229,10.333316,7.496867,0,0,0,1,1,0,0
1047,10.9128685,1.0854516,0,0,1,1,1,1,1
476,8.74115,6.207747,1,0,0,0,0,0,0
2064,5.8678336,1.4471613,0,0,1,0,0,0,0
2218,10.295105,6.1865525,0,0,1,1,1,0,1
1188,4.2452674,3.7080898,0,0,0,0,0,0,0
1695,11.379229,-0.26583195,0,0,1,1,1,0,0
637,9.546729,5.381624,0,0,1,1,1,1,0
34,9.100254,7.5720487,0,0,0,0,1,0,0
1249,9.508244,1.7653844,0,0,1,1,1,0,0
891,10.116665,6.8143935,1,0,0,1,1,0,1
1772,8.974856,7.7824144,1,0,0,0,1,0,0
2186,12.06532,1.8734508,1,0,1,1,1,1,1
295,5.285461,1.5512494,0,0,1,0,0,0,0
581,9.891917,7.2349977,0,0,0,1,1,1,1
301,6.1591115,2.1685941,1,0,1,0,0,0,0
2408,10.056127,7.944862,1,0,0,0,1,0,1
1216,9.712537,2.819376,0,0,1,1,1,0,0
169,8.078124,1.8124667,1,0,1,0,0,1,0
215,10.654427,2.7829845,0,0,1,1,1,0,1
2031,5.6208925,2.5559144,0,0,1,0,0,0,0
1990,4.5576396,3.7352905,0,0,0,0,0,0,0
1021,8.747691,7.2983027,0,0,0,0,0,0,0
885,11.424058,2.455609,0,0,1,1,1,0,0
371,5.9891014,1.9913342,0,0,1,0,0,0,0
1960,5.727005,2.4817426,0,0,1,0,0,0,0
3279,11.737103,0.30377242,0,0,1,1,1,0,0
3013,6.078912,2.271332,0,0,1,0,0,0,0
892,10.613942,0.038019877,1,0,1,1,1,1,1
1357,10.518526,0.89577043,0,0,1,1,1,1,1
1389,8.8396635,5.8867807,0,0,0,0,0,0,0
737,4.531571,3.4129932,0,0,0,0,0,0,0
172,11.813745,0.31998795,1,0,1,1,1,0,0
1607,10.349001,0.62433445,1,0,1,1,1,1,1
1015,11.973262,0.82131326,0,0,1,1,1,0,0
334,5.1764026,1.7597548,0,0,1,0,0,0,0
2052,4.483383,3.7909849,0,0,0,0,0,0,0
1075,9.104225,1.4183258,0,0,1,1,1,0,1
412,5.0166163,1.5862219,0,0,1,0,0,0,0
553,10.127443,3.0470037,1,0,1,1,1,0,0
755,10.487969,2.8850548,0,0,1,1,1,0,0
3277,4.7324386,3.657436,1,0,0,0,0,0,0
3255,9.7075,2.9843175,1,0,1,1,1,0,0
556,10.489351,1.4111009,0,0,1,1,1,1,1
1022,8.964175,7.477238,0,0,0,0,1,0,0
861,9.299512,5.1243663,0,0,1,0,1,1,1
1914,9.529434,8.088921,1,0,0,0,1,0,0
274,9.195571,1.5590916,0,0,1,1,1,1,1
2003,4.2844934,3.929301,0,0,0,0,0,0,0
1190,8.835426,6.022015,0,0,0,0,0,0,0
1610,11.10848,-0.110288456,1,0,1,1,1,0,0
2067,10.230447,6.959183,0,0,0,1,1,0,1
2848,9.321674,4.9207616,1,0,1,1,1,1,1
2095,11.83203,0.64182085,0,0,1,1,1,0,0
130,10.118388,7.768576,1,0,0,1,1,0,1
847,4.960815,3.4908166,0,0,0,0,0,0,0
573,11.293071,1.9647511,1,0,1,1,1,1,1
2148,7.421181,1.8824153,0,0,1,0,0,1,1
1985,5.3648906,2.497228,0,0,1,0,0,0,0
