,UMAP_1,UMAP_2,W3IWER4_A
74,11.122596,5.4485087,0
38,7.968368,3.438877,0
75,6.5917544,5.433269,0
23,9.841251,5.091535,0
50,9.826225,1.3731604,0
64,10.570828,2.3975358,0
8,7.657098,6.056011,0
22,9.064631,5.745199,0
12,6.678124,5.7186933,0
67,6.513035,2.9928792,0
10,7.7312665,1.7936071,0
46,10.446972,5.3790994,0
19,10.926033,5.300254,0
3,9.743673,2.721827,0
28,9.7379055,1.7885938,0
81,6.937644,2.1645622,0
35,10.239874,4.0107727,0
11,8.989347,3.5076084,0
4,6.75907,6.0311346,0
39,7.1165466,5.06156,0
34,6.649989,2.9488237,0
32,6.6530557,4.9470935,0
9,10.280894,2.3470502,0
45,8.316552,3.0126886,0
2,9.838346,4.280606,0
14,10.433987,5.618158,0
1,10.209196,2.304608,0
71,9.131539,1.3921549,0
55,8.591241,5.7285275,0
41,9.446575,4.9635143,0
72,8.865868,3.2179863,0
69,8.755075,5.83269,0
15,11.248462,2.1826003,0
66,6.8799467,6.178161,0
0,6.5883775,5.238069,0
18,9.452068,3.1116285,0
29,10.953762,3.4396698,0
33,10.012535,0.902888,0
52,9.766658,0.9731521,0
59,7.100538,6.097879,0
25,10.9270935,3.3179376,0
73,8.865591,1.4179832,0
65,6.6651196,3.095408,0
68,6.4470525,5.6794424,0
60,6.570849,5.2817516,0
7,10.029488,3.683254,0
17,10.794787,5.665098,0
82,11.024661,2.359992,0
20,8.175873,4.3924637,0
49,10.771059,3.0567951,0
36,8.419502,5.73055,0
78,7.0731726,2.8786647,0
44,8.274851,1.4430883,0
37,7.395565,5.547549,0
63,7.2407675,2.0264397,0
13,9.955687,2.064374,0
31,7.3088226,2.5100694,0
6,7.336807,6.108043,0
53,9.3343935,3.0714655,0
43,8.935096,4.1671977,0
57,7.410481,5.9861593,0
77,10.96097,1.7975059,0
70,9.546586,1.8857661,0
61,9.88494,2.5341973,0
24,9.6671295,5.7252474,0
56,6.4992223,3.4311452,0
51,11.059402,4.622146,0
62,10.398895,5.2120194,0
47,6.6929502,3.7638764,0
79,6.7357903,5.340783,0
54,10.529988,3.0214756,0
76,6.959988,3.3102827,0
26,9.896487,1.0420294,0
27,8.643638,1.6315005,0
58,8.299857,1.6806153,0
42,8.871751,4.10047,0
5,10.525533,0.9655576,0
40,9.992805,1.2330902,0
48,6.7624655,3.2151098,0
80,6.8801427,5.3848686,0
30,6.551712,5.9042716,0
16,6.6952467,5.938048,0
21,9.577131,1.7038498,0
92,10.166909,5.672093,1
140,7.6455717,3.1622763,1
164,9.170216,2.4413037,1
160,7.2008724,2.8085973,1
130,9.737935,3.3802767,1
145,11.103637,2.043906,1
121,10.652043,1.0179787,1
154,7.223063,1.8195401,1
117,10.506138,1.8869612,1
153,10.861101,5.571159,1
185,8.193953,4.1366367,1
123,10.407534,1.2821091,1
156,7.8310676,4.5599513,1
132,7.308471,1.92511,1
128,9.635683,2.3713539,1
186,8.18305,3.6600661,1
129,7.2925644,4.843478,1
143,9.899759,5.359967,1
84,9.740953,5.7788224,1
178,9.726768,5.1824045,1
96,8.342308,1.6170077,1
124,9.456664,3.822386,1
110,8.978175,1.7905612,1
189,6.753143,4.8048415,1
133,9.107228,3.4908943,1
181,7.2327094,4.8639455,1
107,6.970792,2.257443,1
146,9.310731,1.6106967,1
98,7.721779,4.586953,1
106,9.39044,1.5691825,1
90,9.540566,3.153867,1
142,6.9284678,4.624025,1
182,9.4344845,3.9283853,1
104,7.2945957,5.731674,1
137,10.30735,2.7907603,1
147,7.9784336,4.5126815,1
161,10.204414,1.9280943,1
95,9.622123,4.9687433,1
88,9.927307,5.96429,1
171,9.988953,1.5122346,1
97,11.149665,1.989125,1
126,11.055009,4.7908616,1
85,10.623488,5.8451014,1
91,7.0536013,2.0866508,1
103,9.527363,4.300354,1
127,8.443903,1.3981733,1
151,10.145437,3.84585,1
169,10.435318,2.5869715,1
184,9.1261,2.0507724,1
135,8.722824,3.7097857,1
122,10.913337,5.6553755,1
188,11.019102,4.7775292,1
187,10.663199,1.199508,1
118,10.330227,1.5685396,1
172,9.8671055,4.6466627,1
94,10.438448,1.5816071,1
101,8.485227,1.4960461,1
131,10.693495,1.0697114,1
99,7.149095,1.7652292,1
138,9.042,5.197578,1
168,9.878882,5.1869864,1
115,10.46838,5.5782194,1
170,7.9358354,3.7931328,1
111,10.126016,3.9527667,1
159,9.004534,1.8273994,1
173,7.536685,5.6710477,1
180,7.051917,5.02319,1
83,10.99424,1.9688511,1
167,7.398109,3.2618535,1
141,9.96393,5.882605,1
116,7.0238733,2.2018101,1
87,10.687762,5.418918,1
162,10.826504,2.660164,1
134,7.41727,4.602888,1
139,10.972176,4.842845,1
120,9.872895,1.87626,1
86,10.1336975,3.399244,1
165,10.712701,1.9633639,1
148,7.6120553,3.246666,1
89,9.948968,5.8750014,1
102,10.897616,4.824726,1
163,10.719029,2.051683,1
125,6.8421006,4.7078333,1
