,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,-4.4331546,8.608206,1,0,1,0,1,1,1
1428,-5.0658455,9.371331,0,0,0,0,1,1,1
1386,17.923738,15.245361,0,0,0,0,0,0,0
1967,-3.5418773,7.494375,0,0,1,0,1,1,1
2243,-3.641724,3.2931848,1,0,1,1,0,1,1
1196,-5.1288366,8.588883,0,0,1,0,1,1,1
419,17.497644,14.846095,0,0,0,0,0,1,0
1826,-3.9945464,9.269591,0,0,0,0,1,1,1
1260,-2.209475,7.6628594,1,0,1,0,1,1,1
3072,-2.612972,5.5466695,1,0,1,0,1,1,1
1642,-3.8624718,5.747617,1,0,1,0,1,1,1
3189,-4.750925,9.06176,1,0,0,0,1,1,1
928,-6.030375,6.289603,0,0,1,0,1,1,1
610,-5.6977367,7.2471085,0,0,1,0,1,1,1
1575,-2.1023235,5.658431,0,0,1,0,1,1,1
185,-3.8423147,3.2255363,0,0,1,1,0,1,1
2782,17.86392,15.14658,0,0,0,0,0,0,0
449,17.810825,14.203114,0,0,0,0,0,1,0
1198,-5.7999187,9.374695,0,0,1,0,1,1,1
1356,16.57608,15.450894,0,0,0,0,0,0,0
399,-5.269882,8.535535,0,0,1,0,1,1,1
3168,-3.9695654,9.300732,1,0,0,0,1,1,1
1781,-5.166235,8.592968,0,0,1,0,1,1,1
2995,17.006485,14.427203,1,0,0,0,0,1,0
411,17.388643,14.676012,0,0,0,0,0,1,0
2878,-4.731192,5.7007785,0,0,1,0,1,1,1
3264,-5.6883874,9.070185,0,0,1,0,1,1,1
2071,-1.457876,6.43491,1,0,1,0,1,1,1
680,-4.1836076,9.588228,0,0,0,0,1,1,1
865,-2.5646214,6.616892,0,0,1,0,1,1,1
444,-5.08561,6.7519016,0,0,1,0,1,1,1
211,-4.0903225,2.75835,0,0,1,1,0,1,1
569,-4.1067066,9.553218,0,0,0,0,1,1,1
1243,-6.407315,6.498825,0,0,1,0,1,1,1
780,-4.0658445,9.215798,0,0,0,0,1,1,1
779,-1.6150044,7.4178796,0,0,1,0,1,1,1
2076,-3.820253,3.2675304,1,0,1,1,0,1,1
1744,-2.702917,6.375183,1,0,1,0,1,1,1
144,-3.6836958,3.3321595,0,0,1,1,0,1,1
898,-5.019677,7.081544,0,0,1,0,1,1,1
1429,18.109684,14.541536,0,0,0,0,0,1,0
2033,17.412306,15.622242,0,0,0,0,0,0,0
1150,-1.3642989,6.446747,1,0,1,0,1,1,1
1282,-1.8993337,6.970887,0,0,1,0,1,1,1
1206,-5.9525123,7.059473,1,0,1,0,1,1,1
1172,-2.2074533,6.94322,1,0,1,0,1,1,1
258,-4.3706403,3.4545696,0,0,1,1,0,1,1
393,16.949286,15.600005,1,0,0,0,0,0,0
960,-3.1575987,5.8072653,0,0,1,0,1,1,1
877,-4.4706845,8.006888,1,0,1,0,1,1,1
947,-4.7319765,7.652977,0,0,1,0,1,1,1
1944,-1.9279054,5.9138455,1,0,1,0,1,1,1
1950,17.56129,15.318978,0,0,0,0,0,0,0
2501,-4.2808394,4.454264,0,0,1,0,1,1,1
3087,-5.209989,8.551427,0,0,1,0,1,1,1
1387,-6.4576907,7.374279,0,0,1,0,1,1,1
820,17.459648,14.101077,1,0,0,0,0,1,0
1115,-6.458605,6.641338,1,0,1,0,1,1,1
1998,17.250374,15.485021,0,0,0,0,0,0,0
1691,-2.1833901,5.980566,1,0,1,0,1,1,1
1458,-1.5095695,5.7280493,0,0,1,0,1,1,1
