,UMAP_1,UMAP_2,W3IWER4_A
343,-7.8199477,28.986118,0
54,-6.112648,3.7600536,0
325,-3.3917594,15.040321,0
319,10.281815,11.871204,0
298,6.3689947,22.155807,0
317,8.203623,11.28655,0
330,8.519244,11.3629465,0
220,-9.561097,1.7540535,0
288,-3.5418084,15.146921,0
275,6.4041557,22.132656,0
74,-0.1440369,-5.1009955,0
205,-5.8861537,11.615901,0
206,13.5532875,-2.708142,0
303,8.209401,11.270935,0
199,-4.7004104,15.332842,0
16,13.527583,-2.6965501,0
314,-3.3511176,15.007768,0
78,0.7582013,17.613405,0
250,-9.399207,1.8141677,0
31,2.8882217,12.604643,0
310,8.177521,11.288853,0
340,10.125139,11.85094,0
276,-7.8619423,28.944128,0
247,-11.313542,-1.3285972,0
278,9.038256,11.531551,0
290,8.668708,11.43485,0
322,6.4813585,22.074873,0
305,6.2559724,22.112392,0
274,-7.7211385,29.084925,0
339,8.510201,11.355919,0
256,-11.371451,-1.2893759,0
6,-1.0233699,17.896938,0
336,6.4000325,22.024761,0
282,-7.7943797,29.011496,0
237,7.3174367,-2.6057563,0
224,1.4175982,-6.074974,0
333,8.178819,11.266008,0
263,-9.244621,1.9388609,0
22,-4.7570777,15.258996,0
273,4.12553,23.288105,0
235,-14.3256445,0.13878682,0
26,3.652034,12.377116,0
40,-0.46177736,-6.603872,0
215,-0.25124115,17.678654,0
75,7.7530594,-2.761651,0
218,3.379923,-6.6609282,0
14,-12.601982,17.575062,0
195,-5.2594857,-2.4592216,0
313,10.208941,11.870565,0
30,-9.540394,1.7683831,0
56,7.4842916,-2.6810324,0
268,0.7318318,17.578756,0
301,10.009414,11.954007,0
25,-0.28082794,17.639008,0
285,8.697614,11.410007,0
38,0.119298875,-6.4044957,0
262,-5.860238,11.573049,0
264,-0.10251577,-5.0671287,0
295,-7.7927504,29.013304,0
44,-9.338062,1.8525863,0
270,0.067169815,17.605259,0
239,0.6553049,17.555294,0
240,-0.17747417,-6.221907,0
283,6.4664536,22.01763,0
198,-0.8829265,17.741549,0
226,-5.2275357,-2.4332168,0
69,-0.055309046,-5.1137924,0
345,-3.5826633,15.172039,0
352,4.4030385,23.193562,0
267,-0.4179423,-5.3147936,0
254,-18.648775,16.145258,0
321,6.4428997,22.11655,0
331,8.717086,11.392631,0
243,0.7091808,17.571373,0
341,-7.7570534,29.048983,0
316,10.086465,11.897365,0
60,-9.382397,1.8332502,0
200,0.12442526,17.606558,0
286,8.72081,11.429621,0
34,1.3990873,-6.0656996,0
191,-4.738869,15.319416,0
208,-5.794974,11.502401,0
315,10.03245,11.936715,0
326,6.3367176,22.109076,0
297,4.104873,23.304869,0
287,-7.8575726,28.9485,0
27,13.501926,-2.669382,0
213,-12.797957,17.7711,0
332,6.3433003,22.05475,0
249,-1.032117,17.866188,0
51,-12.751744,17.723083,0
328,9.513984,11.716043,0
57,-11.370708,-1.2866837,0
24,-5.9927635,3.6448228,0
255,-0.21909115,-6.2041483,0
201,3.1461794,12.412,0
231,3.5879714,12.412661,0
253,0.19456275,17.564077,0
327,4.088609,23.311611,0
81,0.7006437,-6.0574145,0
277,4.0697355,23.352137,0
229,3.1515846,-6.552552,0
210,3.0316095,12.470719,0
19,7.380773,-2.6452262,0
353,6.519696,22.088087,0
350,9.851995,11.741803,0
244,-6.096176,3.7225966,0
197,-0.4419056,-5.340219,0
261,-0.56709903,-6.754546,0
39,3.1062887,-6.518867,0
337,-7.7737455,29.032265,0
41,3.6021194,12.412693,0
21,-5.87008,11.581137,0
73,-9.315208,1.8489487,0
