,WWWMALE,WWWWHITE,WWWSEX,W2TOTCL,W12WHITE,AGE65PLM,W2FIPCOM,AGE4049M,W12EDUC3,W12BLACK,W1FIPCOM,WWWBLACK,AGE5059M,AGE1829,AGE3039,WWWHOMLN,W2CIVLIB,W1TRUAM2,WWWAGEC1,EDUCAT4,CENSDIV,W12HISP,WWWEDU3,WWWBRNUS,WWWHISP,W1STATE,WWWEDU5,W2SECURE,W12RACE4,WWWRACE4,AGE6064M,RAC3,NEWRACE,WWWRACE3,WWWAGE,IMPHISP,COMPLET2,RACES,W12OTHET,W2MISSCL,USAWT2RC,USAWT1RV,RACWT1RV,MULT2,RHWT2RC,RHWT2CC,USAWT2CC,USAWT2NC,W3IWER4_A
325,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.1428571428571429,1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.6666666666666666,-0.33333333333333326,-0.3548387096774195,-1.0,0.0,1.0,-1,-0.09090909090909094,-0.5,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.7599999999999999,0.2796165332134928,0.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9966957423672053,-0.9943161427926361,-1.0,-1.0,-1.0,-1.0,-1.0,0
181,1,1,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,0.9999999999999998,-0.33333333333333326,-0.3548387096774195,-1.0,0.0,1.0,-1,0.38181818181818183,-0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.41333333333333355,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.5958336625616671,-0.6753020081735062,-1.0,-1.0,-1.0,-1.0,-1.0,0
459,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,1.0,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,0.3333333333333335,0.41935483870967727,-1.0,0.0,1.0,-1,0.709090909090909,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.43999999999999995,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8601262603542624,-0.8876286366150632,-1.0,-1.0,-1.0,-1.0,-1.0,0
39,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.4285714285714285,-1,1.0,-1.0,-1.0,-1.0,-1.0,0.6000000000000001,0.33333333333333326,1.0,0.41935483870967727,-1.0,1.0,1.0,-1,0.709090909090909,0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.11999999999999988,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7430621058452755,-0.7935819722519668,-1.0,-1.0,-1.0,-1.0,-1.0,0
221,-1,1,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.9999999999999999,-1,-1.0,1.0,-1.0,-1.0,-1.0,0.6000000000000001,-1.0,-0.33333333333333326,-0.3548387096774195,-1.0,0.0,1.0,-1,0.9636363636363636,-0.5,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.8666666666666666,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.7520094256175311,-0.8007700443232493,-1.0,-1.0,-1.0,-1.0,-1.0,0
246,1,-1,-1.0,1.0000000000000002,-1.0,-1.0,0.4285714285714285,-1.0,0.0,1.0,-1.0,1,-1.0,1.0,-1.0,-1.0,0.6363636363636365,-1.0,-1.0,0.3333333333333335,-0.935483870967742,-1.0,0.0,-1.0,-1,0.2727272727272727,0.0,-0.4545454545454545,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.9199999999999999,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9692140562406267,-0.9864379871294691,-0.9881107685402452,0
460,1,1,-1.0,0.8181818181818183,1.0,-1.0,0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1,-1.0,1.0,-1.0,-1.0,0.8181818181818183,-1.0,-1.0,0.3333333333333335,0.29032258064516125,-1.0,0.0,1.0,-1,-0.6000000000000001,0.0,-0.8181818181818181,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,-0.84,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.4285714285714286,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9989215679625478,-0.9989215679624959,-0.9989138127406336,0
65,-1,1,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,-1.0,0.4285714285714285,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-0.19999999999999996,0.9999999999999998,0.3333333333333335,0.9999999999999998,-1.0,0.0,1.0,-1,-0.8181818181818182,0.0,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.7333333333333334,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.8871877467918231,-0.9093692158970247,-1.0,-1.0,-1.0,-1.0,-1.0,0
356,1,1,-1.0,1.0000000000000002,1.0,1.0,0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,0.09090909090909105,-1.0,0.9999999999999998,0.3333333333333335,0.29032258064516125,-1.0,0.0,1.0,-1,-0.6000000000000001,0.0,0.09090909090909105,-0.9999999999999999,-0.9999999999999999,-1.0,-1.0,-1.0,-1,0.52,0.2796165332134928,-1.0,-0.9999999999999999,-1.0,-0.7142857142857143,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9967647038876434,-0.9967647038875964,-0.9967414382217943,0
142,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.4285714285714285,1,-1.0,-1.0,-1.0,-1.0,-1.0,0.6000000000000001,0.0,-0.33333333333333326,-0.3548387096774195,-1.0,0.0,1.0,-1,-0.4181818181818182,-0.5,-1.0,-0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.0,0,-0.2533333333333332,0.2796165332134928,-1.0,-0.5999999999999999,-1.0,-1.0,-1.0,-0.9644710788738695,-0.9388845129968938,-1.0,-1.0,-1.0,-1.0,-1.0,0
