,CENSDIV,MULT3,W1STATE,W2TOTCL,WWWAGEC1,WWWSEX,WWWAGE,W12SEX,W12EDUC3,W1AGECAT,CENSREGN,W2CIVLIB,W12AGEC1,W2FIPCOM,WWWEDU3,WWWEDU5,W1FIPCOM,IMPHISP,AGE4049M,IMPRACE,W1TRUAM3,W1TRUAM2,AGE5059M,WWWRACE3,WWWMALE,COMPLET3,W12HISP,COMPLET2,WWWBRNUS,RAC3,WWWHISP,W2SECURE,W2MISSCL,WWWBLACK,W12RACE4,W12WHITE,WWWWHITE,MULT2,RACES,USAWT2RC,EDUCAT4,WWWRACE4,W12BLACK,HISWT2RC,WWWHOMLN,AGE65PLM,NEWRACE,W12OTHET,AGE3039,USAWT2CC,RACWT1RV,USAWT1RV,RHWT2RC,RACWT2RC,HISWT1RV,RHWT2CC,USAWT2NC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-1.0,1.0,-0.12727272727272732,-1.0,-0.33333333333333326,1,-0.6799999999999999,1.0,1.0,-0.33333333333333326,-0.9999999999999999,-1.0,-0.33333333333333326,-1.0,1.0,1.0,0.7142857142857141,0.1428571428571428,-1.0,-1.0,-0.5,-0.19999999999999996,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1.0,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.9265405190686282,-0.8427112545876589,-1.0,-1.0,-0.8427112545875153,-1.0,-1.0,0,0,0,0,0,0,0
575,0.41935483870967727,1.0,0.709090909090909,1.0000000000000002,0.9999999999999998,1,0.5733333333333337,1.0,0.0,0.9999999999999998,0.3333333333333335,-0.09090909090909083,0.9999999999999998,0.9999999999999999,0.0,0.0,0.4285714285714285,0.1428571428571428,-1.0,-1.0,0.0,0.20000000000000018,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,0.2727272727272727,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-0.7853859058234252,0.3333333333333335,-0.9999999999999999,-1.0,-0.7853859058232839,-1.0,1.0,-1.0,-1.0,-1.0,-0.9140940240621308,-0.8949236680620734,-0.7750144132041268,-0.7853859058234691,-0.7853859058231936,-0.7750144132040868,-0.9525156004203708,-1.0,1,0,0,0,1,0,1
2316,0.29032258064516125,1.0,-0.6000000000000001,1.0000000000000002,0.9999999999999998,1,0.4933333333333334,1.0,-1.0,0.9999999999999998,0.3333333333333335,0.8181818181818183,0.9999999999999998,0.1428571428571428,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1.0,1.0,1.0,-1.0,-1.0,1,-0.6363636363636362,-0.8181818181818181,-1,0.3333333333333335,-1.0,-1,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,0.3333333333333335,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.9954271887060829,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9974723854038401,-0.995424772808337,0,0,0,1,1,0,0
1092,0.29032258064516125,-1.0,0.8181818181818181,1.0000000000000002,0.33333333333333326,-1,-0.09333333333333327,-1.0,1.0,0.33333333333333326,0.3333333333333335,0.09090909090909105,0.33333333333333326,0.9999999999999999,1.0,0.5,0.7142857142857141,0.1428571428571428,-1.0,1.0,-1.0,-0.6,1.0,-1,1,-1.0,-1.0,-1.0,1.0,1.0,-1,0.09090909090909105,-0.8181818181818181,-1,1.0,-1.0,1,1.0,1.0000000000000004,-0.7719799892869781,1.0,-0.9999999999999999,-1.0,-0.7719799892871619,-1.0,-1.0,1.0,1.0,-1.0,-0.8969737278146561,-0.883885009982436,-0.6388246443099759,-0.7719799892869713,-0.7813752696337035,-0.6388246443100646,-0.9430523823023129,-1.0,1,0,0,1,1,0,1
19,0.9999999999999998,1.0,-0.8181818181818182,-1.0,0.6666666666666667,1,0.1200000000000001,1.0,0.0,0.6666666666666667,1.0,-1.0,0.6666666666666667,-1.0,0.0,0.0,0.4285714285714285,0.1428571428571428,-1.0,-1.0,0.0,0.20000000000000018,-1.0,-1,-1,1.0,-1.0,1.0,1.0,-1.0,-1,-1.0,-1.0,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9988793232662797,-0.9976004480941412,-1.0,-1.0,-0.9976004480942513,-1.0,-1.0,0,0,0,0,0,0,0
2198,0.29032258064516125,1.0,-0.6000000000000001,1.0000000000000002,0.9999999999999998,1,0.3333333333333335,1.0,-1.0,0.9999999999999998,0.3333333333333335,-0.2727272727272727,0.9999999999999998,-0.1428571428571429,-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,1.0,-1.0,-1.0,-1.0,1,0.4545454545454546,-0.8181818181818181,-1,0.3333333333333335,-1.0,-1,-1.0,-0.9999999999999999,-1.0,-0.9999999999999999,0.3333333333333335,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.9960968617571282,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9949934298807737,-0.9954696229441402,1,0,0,1,1,0,0
1428,-0.3548387096774195,1.0,0.38181818181818183,-1.0,0.0,1,-0.3599999999999999,1.0,-1.0,0.0,-0.33333333333333326,-1.0,0.0,-1.0,0.0,-0.5,-0.1428571428571429,0.1428571428571428,1.0,-1.0,0.0,0.20000000000000018,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1.0,-1.0,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,-0.33333333333333326,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6106972753991875,-0.16643928922728146,-1.0,-1.0,-0.16643928922717122,-1.0,-1.0,0,0,0,0,0,0,0
1386,0.9999999999999998,1.0,-0.8181818181818182,-1.0,0.0,1,-0.19999999999999996,1.0,-1.0,0.0,1.0,-1.0,0.0,-1.0,0.0,-0.5,0.9999999999999999,0.1428571428571428,1.0,0.0,1.0,1.0,-1.0,0,-1,-1.0,-1.0,-1.0,1.0,0.0,-1,-1.0,-1.0,1,-0.33333333333333326,-1.0,-1,-1.0,-0.5999999999999999,-1.0,-0.33333333333333326,-0.33333333333333326,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-0.624036076252134,-0.6240360762521753,-1.0,-1.0,-0.6240360762522381,-1.0,-1.0,0,0,0,1,0,0,0
1858,-0.935483870967742,1.0,0.49090909090909074,1.0000000000000002,-0.6666666666666666,1,-0.7599999999999999,1.0,0.0,-0.6666666666666666,-0.9999999999999999,0.8181818181818183,-0.6666666666666666,0.9999999999999999,0.0,0.0,-1.0,0.1428571428571428,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,1.0,-1.0,-1,-0.6363636363636362,-0.8181818181818181,-1,-0.9999999999999999,1.0,1,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.6589008850727263,-1.0,-1.0,-1.0,-1.0,-1.0,-0.8114579749236495,-0.6601212754660395,0,0,0,1,0,0,0
1967,0.29032258064516125,1.0,-0.1636363636363637,1.0000000000000002,0.9999999999999998,1,0.3866666666666667,1.0,-1.0,0.9999999999999998,0.3333333333333335,-0.2727272727272727,0.9999999999999998,0.4285714285714285,0.0,-0.5,-1.0,0.1428571428571428,-1.0,1.0,-1.0,-1.0,-1.0,1,-1,-1.0,-1.0,-1.0,1.0,1.0,-1,0.4545454545454546,-0.8181818181818181,-1,1.0,-1.0,-1,-1.0,1.0000000000000004,-1.0,-0.33333333333333326,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-0.9802747084886578,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9890968746501265,-0.9813221214678945,0,0,0,1,1,0,1
