,CL7R,CT2BIN,CL2R,CL5R,MOD,CL1R,WWWWHITE,CON,FEMALE,DEMOC,COLGRD,REPUB,CL9R,W12WHITE,SOMCOL,INDEP,COMHS,IWER3,W2TOTCL,AGE65PLM,CL8R,BABS,CD4A_A,PTYID3,W12EDUC3,CD4A_B,AGE4049M,DOG2R,DOG6R,STRATA,WWWBLACK,VPROUD,DOG3R,DOG4R,AGE5059M,FIPCOM,AGE3039,CT1A,F5,COMPLET2,LIB,CD7_A,CL7,IDEO3,W1TRUAM2,CD15,ADVDEG,CENSDIV,SEC5,W1TRUAM3,CL5,W2CIVLIB,FIP2,AGE1829,WWWHOMLN,CL9,CL6B,PROUD,AGE6064M,P17_A,W1STATE,INCA,CL2,GT2,EDUCAT4,CL1,WWWAGEC1,W2SECURE,CL4A,CL8,SEC4,FIP1,X1,INCOME,CLPROP,MEANFR,WWWEDU5,WWWEDU3,B1,LOPROU,CD8,RAC3,DOG5R,CD6,MNDOG,RI2_A,WWWAGE,WWWRACE3,W12RACE4,PFR5R,IWER1,NEWRACE,WWWRACE4,POLINT,WWWHISP,WWWBRNUS,B2,PFR3R,V1_B,FIP2R,W3IWER4_A
15,-1.0,-1.0,1.0,1.0,-1.0,1.0,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,-1.0,0.5,1.0,-1,1.0,0.5,-0.5,-1.0,1.0,-1.0,1.0,0.9167821679244357,-1.0,-1.0,0.0,0.33333333333333326,-1.0,0.20000000000000018,-0.8,-1.0,0.9999999999999998,0.3333333333333335,0.0,0.33333333333333326,0.09090909090909105,-1.0,-1.0,-1.0,0.33333333333333326,0.7074513558685158,-1.0,1.0,-0.9999999999999999,-0.962177043648338,-1.0,0.1428571428571428,0.0,0.3333333333333335,0.1428571428571428,0.6666666666666667,0.33333333333333337,0.0,0.33333333333333326,-0.33333333333333326,-1.0,1.0,0.75,0.6507936507937142,-0.33333333333333326,0.0,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,0.04261858185044787,-0.11111111111111116,0.08333333333334991,-1.0,0.2647058823529411,-1,-0.9999999999999999,-1.0,1.0,-1.0,-0.9999999999999999,1.0,-1,1.0,-0.9999999999999999,-0.2243436046745686,-1.0,-0.05568843870742368,0
47,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1,1.0,0.5,-1.0,-1.0,-1.0,-1.0,-0.33333333333333326,0.9167821679244357,-1.0,-1.0,-0.75,-1.0,-1.0,-1.0,0.6000000000000001,1.0,0.41935483870967727,0.3333333333333335,-1.0,0.33333333333333326,0.2727272727272727,0.33333333333333326,1.0,-1.0,0.33333333333333326,0.7074513558685158,-1.0,-1.0,-0.9999999999999999,-0.20571791661509953,-1.0,-0.9999999999999999,0.0,1.0,-0.9999999999999999,-0.6666666666666666,0.11111111111111105,0.5,0.33333333333333326,-0.33333333333333326,0.0,0.0,0.25,0.14285714285714257,-0.8666666666666666,1.0,1.0,-0.9999999999999999,-1.0,0.0,1.0,-0.6524604727165173,-0.11111111111111116,0.0,1.0,-0.8235294117647061,1,1.0,-1.0,1.0,1.0,1.0,0.3333333333333335,-1,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,0
82,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.5,0.5,1.0,-1,1.0,0.5,-0.5,-1.0,0.0,-1.0,1.0,0.2778547786162906,1.0,-1.0,-1.0,0.33333333333333326,-1.0,0.20000000000000018,-0.8,-1.0,0.9354838709677418,-0.9999999999999999,0.0,-1.0,0.6363636363636365,-1.0,1.0,-1.0,0.33333333333333326,0.7074513558685158,-1.0,-1.0,-0.9999999999999999,0.8155019048797725,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,0.1428571428571428,-1.0,-0.33333333333333337,0.5,0.33333333333333326,-0.33333333333333326,0.0,-0.5,0.0,0.015873015873142604,-0.06666666666666665,0.0,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.6524604727165173,1.0,0.1666666666666501,-1.0,-0.911764705882353,-1,-0.9999999999999999,-0.5823511699194813,-1.0,-1.0,-0.9999999999999999,0.3333333333333335,-1,1.0,-0.9999999999999999,0.163484592988147,-1.0,-0.05568843870742368,0
75,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,-1.0,-1.0,1.0,1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,-1.0,-1.0,0.0,-1.0,-0.9999999999999999,0.9167821679244357,1.0,-1.0,0.75,0.33333333333333326,-1.0,-1.0,-0.8,-1.0,0.41935483870967727,-0.9999999999999999,-1.0,-1.0,-0.4545454545454545,-1.0,-1.0,-1.0,-1.0,0.7074513558685158,-1.0,-1.0,-0.9999999999999999,-0.20571791661509953,1.0,-0.9999999999999999,-1.0,0.3333333333333335,-0.9999999999999999,0.0,0.9999999999999999,0.0,-1.0,-0.9999999999999999,0.0,0.0,1.0,-1.0,-0.5,0.0,0.0,0.1428571428571428,-1.0,1.0,0.0,-0.9999999999999999,0.5555555555555554,0.25,-1.0,-0.1470588235294119,0,-0.33333333333333326,-1.0,1.0,0.0,-0.33333333333333326,1.0,-1,1.0,0.1428571428571428,-1.0,1.0,-0.05568843870742368,0
69,1.0,1.0,1.0,1.0,-1.0,1.0,-1,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,1,-1.0,-0.5,-1.0,-1.0,1.0,1.0,-0.9999999999999999,0.2778547786162906,1.0,1.0,0.75,-1.0,1.0,0.20000000000000018,-0.8,-1.0,0.35483870967741926,-0.33333333333333326,0.5,0.33333333333333326,1.0000000000000002,-1.0,-1.0,-1.0,0.33333333333333326,-0.9999999999999999,-1.0,-1.0,0.7142857142857144,0.7398559921764487,-1.0,0.1428571428571428,-1.0,1.0,0.1428571428571428,-0.33333333333333326,-0.7777777777777778,-1.0,0.33333333333333326,-0.9999999999999999,-1.0,1.0,-0.25,0.9682539682539999,0.19999999999999996,0.5,1.0,-0.9999999999999999,1.0,0.25,0.0,-0.9999999999999999,1.0,-0.66666666666665,-1.0,-0.47058823529411775,0,-0.33333333333333326,-0.5823511699194813,1.0,0.0,-0.33333333333333326,1.0,-1,1.0,-0.9999999999999999,-0.2243436046745686,-0.75,-0.05568843870742368,0
54,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,0.5,0.5,1.0,-1,1.0,-0.5,-1.0,-1.0,1.0,-1.0,0.3333333333333335,0.9167821679244357,-1.0,-1.0,0.0,0.33333333333333326,0.0,-0.19999999999999996,-0.8,-1.0,-0.3548387096774195,1.0,-0.5,0.33333333333333326,-1.0,-1.0,1.0,-1.0,0.33333333333333326,0.7074513558685158,-1.0,-1.0,-0.1428571428571428,-0.054426091208451766,0.0,-0.9999999999999999,0.0,0.3333333333333335,-0.9999999999999999,-0.6666666666666666,-1.0,0.5,0.33333333333333326,0.3333333333333335,-1.0,0.0,-0.5,0.015873015873142604,-0.9999999999999999,0.0,0.0,-0.9999999999999999,-1.0,0.25,-1.0,0.04261858185044787,-0.11111111111111116,0.08333333333334991,-1.0,-0.8529411764705884,-1,-0.9999999999999999,-1.0,1.0,-1.0,-0.9999999999999999,0.3333333333333335,-1,1.0,-0.9999999999999999,-1.0,-1.0,-0.05568843870742368,0
19,1.0,1.0,-1.0,1.0,1.0,-1.0,1,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0000000000000002,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.5,-1.0,1.0,-1,1.0,-0.5,-1.0,-1.0,0.0,-1.0,-0.33333333333333326,0.2778547786162906,-1.0,-1.0,-0.75,-1.0,0.0,-1.0,-0.8,1.0,0.41935483870967727,-0.33333333333333326,-1.0,0.33333333333333326,0.2727272727272727,-1.0,1.0,-1.0,0.33333333333333326,-0.9999999999999999,-1.0,-1.0,-0.1428571428571428,-0.20571791661509953,-1.0,-0.9999999999999999,0.0,1.0,-0.9999999999999999,-0.6666666666666666,0.11111111111111105,0.5,0.33333333333333326,-0.9999999999999999,0.0,1.0,0.75,0.14285714285714257,0.06666666666666687,1.0,1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.9999999999999999,-0.11111111111111116,-0.58333333333335,-1.0,-0.735294117647059,-1,-0.9999999999999999,-0.5823511699194813,1.0,-1.0,-0.9999999999999999,0.3333333333333335,-1,1.0,-0.9999999999999999,-0.2243436046745686,-1.0,-0.05568843870742368,0
49,-1.0,-1.0,1.0,1.0,1.0,1.0,1,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.2778547786162906,-1.0,-1.0,0.0,0.33333333333333326,0.0,1.0,0.8,-1.0,0.29032258064516125,-0.33333333333333326,1.0,0.33333333333333326,-1.0,-1.0,-1.0,-1.0,0.33333333333333326,0.7074513558685158,-1.0,1.0,-0.1428571428571428,-0.5839474801317188,-1.0,0.1428571428571428,0.0,0.3333333333333335,0.1428571428571428,0.6666666666666667,-1.0,0.5,0.33333333333333326,-0.33333333333333326,-1.0,0.0,0.75,0.6507936507937142,-0.33333333333333326,0.0,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,-0.6524604727165173,-0.11111111111111116,0.0,-1.0,0.2941176470588234,-1,-0.9999999999999999,-0.5823511699194813,1.0,-1.0,-0.9999999999999999,0.3333333333333335,-1,1.0,-0.9999999999999999,-0.6121718023372843,-0.75,-0.05568843870742368,0
78,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1,1.0,1.0,0.5,-1.0,0.0,-1.0,0.3333333333333335,-0.9999999999999999,-1.0,-1.0,-0.75,0.33333333333333326,-1.0,-1.0,0.8,-1.0,0.29032258064516125,-0.33333333333333326,-1.0,0.33333333333333326,0.09090909090909105,-1.0,-1.0,1.0,-1.0,0.13830090391234373,-1.0,-1.0,-0.9999999999999999,-0.5839474801317188,0.0,0.1428571428571428,0.0,1.0,-0.9999999999999999,0.9999999999999998,0.33333333333333337,0.5,0.33333333333333326,0.3333333333333335,0.0,1.0,-0.5,-0.14285714285714302,0.19999999999999996,0.5,1.0,-0.9999999999999999,-1.0,-0.25,-1.0,0.39015810913393034,-0.7777777777777778,0.9166666666666501,-1.0,0.5588235294117645,-1,0.3333333333333335,0.2529464902415559,-1.0,-1.0,0.3333333333333335,-0.33333333333333326,1,-1.0,-0.9999999999999999,-0.2243436046745686,-1.0,-0.05568843870742368,0
20,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,-1,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.33333333333333326,0.2778547786162906,-1.0,-1.0,0.75,0.33333333333333326,0.0,-1.0,0.40000000000000013,-1.0,0.9354838709677418,0.3333333333333335,-1.0,0.33333333333333326,0.2727272727272727,-1.0,-1.0,1.0,0.33333333333333326,0.7074513558685158,-1.0,-1.0,-0.1428571428571428,-0.8865311309450141,-1.0,-0.9999999999999999,-1.0,0.3333333333333335,0.1428571428571428,0.9999999999999998,0.11111111111111105,0.5,0.33333333333333326,-0.33333333333333326,-1.0,1.0,0.25,0.14285714285714257,-0.19999999999999973,0.0,0.0,-0.9999999999999999,-1.0,-1.0,-1.0,0.39015810913393034,0.5555555555555554,0.0,-1.0,0.4117647058823528,-1,0.3333333333333335,-0.5823511699194813,1.0,-1.0,0.3333333333333335,0.3333333333333335,1,1.0,-0.9999999999999999,-0.2243436046745686,-0.75,-0.05568843870742368,0
