,COUNTY,F2,WWWEDU5,WWWAGE,W1STATE,CENSDIV,CENSREGN,STRATA,WWWWHITE,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,0.7098886705959395,0.3333333333333335,0.0,0.7272727272727275,0.709090909090909,0.41935483870967727,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
1428,0.3866695772393216,0.3333333333333335,-0.5,-0.33333333333333326,0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1386,-0.8199810812777415,-0.9999999999999999,-0.5,-0.15151515151515138,-0.8181818181818182,0.9999999999999998,1.0,1.0,-1,0,0,0,0,0,0,0
1967,-0.14658371534599446,-0.33333333333333326,-0.5,0.5151515151515151,-0.1636363636363637,0.29032258064516125,0.3333333333333335,0.0,-1,0,0,0,1,1,0,1
2243,0.7090882631157678,0.3333333333333335,0.0,0.3030303030303032,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,-1,1,0,0,0,0,0,0
1196,0.49363312231681555,1.0,-0.5,0.5757575757575757,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,0,0,1,1,1,1,0
419,-0.8186713235829151,-0.33333333333333326,1.0,0.6060606060606064,-0.8181818181818182,0.9999999999999998,1.0,0.0,-1,0,0,0,0,0,0,0
1826,0.817288801571709,1.0,0.0,-0.09090909090909083,0.8181818181818181,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
1260,0.7218947827985154,-0.33333333333333326,1.0,0.18181818181818188,0.709090909090909,0.41935483870967727,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
3072,-0.71083460670887,-0.33333333333333326,0.5,-0.4242424242424241,-0.7090909090909091,-1.0,-0.9999999999999999,1.0,1,1,0,1,1,1,1,1
1642,-0.8186713235829151,0.3333333333333335,0.5,0.666666666666667,-0.8181818181818182,0.9999999999999998,1.0,1.0,1,1,0,1,1,0,1,0
3189,0.38470494069708194,1.0,0.0,0.09090909090909105,0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
928,-1.0,1.0,0.0,-0.15151515151515138,-1.0,0.35483870967741926,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
610,-0.41883140507894945,0.3333333333333335,-1.0,0.18181818181818188,-0.4181818181818182,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1575,-0.0870261223895803,0.3333333333333335,0.5,-0.606060606060606,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
185,0.7158553445390379,-0.33333333333333326,0.0,0.666666666666667,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,1,0,0,1,1,0,0,0
2782,-0.9992723568362076,-0.9999999999999999,0.0,0.030303030303030498,-1.0,0.35483870967741926,0.3333333333333335,0.0,-1,0,0,0,0,1,0,1
449,0.19915593393000064,-0.9999999999999999,-1.0,0.030303030303030498,0.19999999999999996,-0.935483870967742,-0.9999999999999999,0.0,-1,0,0,0,1,1,0,0
1198,0.27519464454631426,-0.33333333333333326,-0.5,-0.36363636363636354,0.2727272727272727,-0.935483870967742,-0.9999999999999999,1.0,1,0,0,1,1,1,1,1
1356,0.4221785636323945,0.3333333333333335,0.5,-0.5454545454545454,0.4181818181818182,0.41935483870967727,0.3333333333333335,1.0,-1,0,0,0,0,1,0,1
399,0.2743942370661425,0.3333333333333335,-1.0,0.7878787878787881,0.2727272727272727,-0.935483870967742,-0.9999999999999999,0.0,1,0,0,1,1,1,1,1
3168,0.7138179436804188,1.0,0.0,2.220446049250313e-16,0.709090909090909,0.41935483870967727,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
1781,0.48984937786509475,1.0,-0.5,0.9393939393939394,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,0,0,1,1,1,1,0
2995,-0.14658371534599446,1.0,-0.5,0.8484848484848486,-0.1636363636363637,0.29032258064516125,0.3333333333333335,0.0,-1,1,0,0,1,1,0,1
411,-0.8186713235829151,0.3333333333333335,0.0,0.8181818181818183,-0.8181818181818182,0.9999999999999998,1.0,0.0,-1,0,0,0,0,0,0,0
2878,-0.16393800480244503,1.0,-0.5,0.7272727272727275,-0.1636363636363637,0.29032258064516125,0.3333333333333335,0.0,1,0,0,1,1,1,1,1
3264,0.2735938295859708,-0.9999999999999999,-0.5,-0.09090909090909083,0.2727272727272727,-0.935483870967742,-0.9999999999999999,1.0,1,0,0,1,1,1,1,0
2071,0.49072254966164564,1.0,0.5,-0.5151515151515151,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,1,0,1,1,1,1,0
680,0.9665284144655457,1.0,0.0,-0.15151515151515138,0.9636363636363636,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
865,0.01942807247325895,1.0,0.5,0.030303030303030498,0.018181818181818077,-0.29032258064516125,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
444,-0.16393800480244503,-0.9999999999999999,0.0,-0.6969696969696968,-0.1636363636363637,0.29032258064516125,0.3333333333333335,0.0,1,0,0,1,0,1,1,1
211,0.7258240558829947,1.0,0.5,-0.33333333333333326,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,1,0,0,0,0,0,0,0
569,0.9663828858327874,1.0,-0.5,-0.6666666666666665,0.9636363636363636,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
1243,-0.5974678017900024,0.3333333333333335,0.0,-0.48484848484848464,-0.6000000000000001,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
780,0.6781634286545877,1.0,0.0,-0.09090909090909083,0.6727272727272726,0.35483870967741926,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
779,0.6755439132649346,0.3333333333333335,1.0,-0.7878787878787877,0.6727272727272726,0.35483870967741926,0.3333333333333335,1.0,1,0,0,1,0,1,1,1
2076,0.7131630648330056,1.0,0.0,0.1515151515151516,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,-1,1,0,0,0,0,0,0
1744,-0.054209415702539676,1.0,0.5,2.220446049250313e-16,-0.054545454545454564,-0.29032258064516125,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
144,0.7158553445390379,1.0,-0.5,0.6060606060606064,0.709090909090909,0.41935483870967727,0.3333333333333335,-1.0,1,0,0,1,1,0,0,0
898,-0.23604744233427943,-0.9999999999999999,-0.5,-0.1212121212121211,-0.23636363636363644,0.41935483870967727,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
1429,0.3133959106454194,-0.9999999999999999,-0.5,-0.18181818181818166,0.3090909090909091,0.29032258064516125,0.3333333333333335,1.0,-1,0,0,0,0,1,0,0
2033,-0.41868587644619093,-0.33333333333333326,0.0,-0.7575757575757575,-0.4181818181818182,-0.3548387096774195,-0.33333333333333326,0.0,-1,0,0,0,1,1,0,1
1150,0.4915229571418174,1.0,0.5,-0.9696969696969696,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,1,0,1,1,1,1,0
1282,0.31084915957214565,1.0,0.5,-0.48484848484848464,0.3090909090909091,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
1206,-0.4171578258022267,0.3333333333333335,0.0,-0.15151515151515138,-0.4181818181818182,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
1172,0.38193989667467054,0.3333333333333335,1.0,-0.09090909090909083,0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
258,0.2355380921196244,-0.33333333333333326,0.0,-0.7878787878787877,0.23636363636363633,0.9354838709677418,1.0,-1.0,-1,0,0,0,0,0,0,0
393,-0.08644400785854633,-0.33333333333333326,0.5,-0.606060606060606,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,0.0,-1,1,0,0,1,1,0,1
960,-0.7107618423924909,-0.33333333333333326,1.0,0.36363636363636376,-0.7090909090909091,-1.0,-0.9999999999999999,1.0,1,0,0,1,1,1,1,1
877,0.12602779596885672,-0.33333333333333326,0.0,0.6060606060606064,0.1272727272727272,0.9354838709677418,1.0,1.0,1,1,0,1,0,1,1,1
947,-0.16401076911882428,-0.33333333333333326,-0.5,0.666666666666667,-0.1636363636363637,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
1944,-0.0558829949792623,0.3333333333333335,0.5,-0.6666666666666665,-0.054545454545454564,-0.29032258064516125,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
1950,-0.562104344029688,0.3333333333333335,0.0,-0.33333333333333326,-0.5636363636363637,0.29032258064516125,0.3333333333333335,0.0,-1,0,0,0,0,1,0,1
2501,-0.5985956486938806,0.3333333333333335,0.0,-0.6363636363636362,-0.6000000000000001,0.29032258064516125,0.3333333333333335,-1.0,-1,0,0,0,0,0,0,0
3087,0.27453976569890104,0.3333333333333335,-0.5,0.7878787878787881,0.2727272727272727,-0.935483870967742,-0.9999999999999999,1.0,1,0,0,1,1,1,1,1
1387,-0.2013388634213783,1.0,0.0,-0.8484848484848484,-0.20000000000000007,-1.0,-0.9999999999999999,1.0,1,0,0,1,1,1,1,1
820,0.48999490649785327,-0.33333333333333326,-0.5,0.21212121212121238,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,-1,1,0,0,1,1,0,0
1115,-0.5981954449537947,0.3333333333333335,-0.5,-0.45454545454545436,-0.6000000000000001,0.29032258064516125,0.3333333333333335,1.0,1,1,0,1,1,1,1,1
1998,-0.08644400785854633,0.3333333333333335,0.0,-0.5151515151515151,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,0.0,-1,0,0,0,1,1,0,1
1691,-0.08942734483009551,1.0,1.0,-0.6666666666666665,-0.09090909090909094,-0.3548387096774195,-0.33333333333333326,1.0,1,1,0,1,1,1,1,1
1458,0.5627592228771008,-0.33333333333333326,0.5,-0.8484848484848484,0.5636363636363635,-1.0,-0.9999999999999999,1.0,1,0,0,1,1,1,1,1
2714,0.4934148293676779,-0.9999999999999999,-1.0,0.12121212121212133,0.49090909090909074,-0.935483870967742,-0.9999999999999999,0.0,-1,0,0,0,1,1,0,0
1971,-0.41868587644619093,1.0,-0.5,0.21212121212121238,-0.4181818181818182,-0.3548387096774195,-0.33333333333333326,0.0,-1,0,0,0,1,1,0,1
920,0.4945790584297458,0.3333333333333335,0.0,-0.5454545454545454,0.49090909090909074,-0.935483870967742,-0.9999999999999999,1.0,1,1,0,1,1,1,1,0
1176,0.7153459943243832,0.3333333333333335,0.0,-0.5151515151515151,0.709090909090909,0.41935483870967727,0.3333333333333335,1.0,1,0,0,1,0,1,1,1
1903,0.7212399039511022,-0.33333333333333326,-0.5,-0.06060606060606055,0.709090909090909,0.41935483870967727,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
1874,0.38521429091173665,0.3333333333333335,1.0,-0.33333333333333326,0.38181818181818183,-0.3548387096774195,-0.33333333333333326,1.0,1,0,0,1,1,1,1,1
311,-0.14658371534599446,0.3333333333333335,0.5,-0.48484848484848464,-0.1636363636363637,0.29032258064516125,0.3333333333333335,0.0,-1,1,0,0,0,1,0,1
1956,0.4934148293676779,1.0,1.0,0.7878787878787881,0.49090909090909074,-0.935483870967742,-0.9999999999999999,0.0,-1,0,0,0,1,1,0,0
1530,0.7456887142545294,0.3333333333333335,0.0,-0.7575757575757575,0.7454545454545454,0.9354838709677418,1.0,1.0,1,0,0,1,0,1,1,1
430,-0.56094011496762,-0.9999999999999999,-1.0,0.4545454545454546,-0.5636363636363637,0.29032258064516125,0.3333333333333335,0.0,-1,0,0,0,1,1,0,1
1313,0.8437386305755656,0.3333333333333335,0.5,0.060606060606060774,0.8181818181818181,0.29032258064516125,0.3333333333333335,1.0,1,0,0,1,1,1,1,1
