,UMAP_1,UMAP_2,W3IWER4_A
370,7.7062745,2.224916,0
264,-2.3313801,6.4701586,0
143,15.670414,8.42427,0
466,9.723095,5.812351,0
193,16.755648,8.507956,0
263,-1.9102479,9.425723,0
337,15.614089,8.47045,0
29,14.789178,10.414648,0
306,-0.8772911,3.6565146,0
292,-0.99797875,0.6094716,0
307,-2.1910822,6.3297157,0
291,7.7725897,15.36583,0
250,-1.8899508,7.3664427,0
304,14.465187,10.012243,0
295,13.365157,9.409519,0
137,14.35436,10.723227,0
108,16.918804,8.418686,0
483,11.642816,0.89605254,0
149,-1.7846751,0.0525535,0
455,3.6836832,5.198067,0
510,-1.0246048,0.61242896,0
257,16.71883,8.582875,0
256,7.913251,2.3774984,0
220,11.706791,-0.31499624,0
123,-1.282295,7.52022,0
417,-1.9685686,7.5774474,0
82,-1.2697877,7.5262365,0
66,14.532227,8.588764,0
374,-1.2492253,7.4692907,0
326,11.816964,10.201933,0
200,-1.4755259,7.7463813,0
297,12.403982,9.399828,0
383,16.952665,8.363117,0
95,14.791188,10.288152,0
258,10.971984,0.24719897,0
290,-2.0565016,9.062003,0
387,-3.6103425,8.647145,0
38,-10.502162,10.983799,0
7,12.126099,-0.57415545,0
403,-1.0931687,3.3766594,0
286,4.086118,5.064841,0
203,-0.90284514,3.796173,0
412,17.042433,8.278323,0
314,4.2151003,4.999636,0
386,16.925873,8.407329,0
44,-2.405522,6.5795784,0
454,5.722787,3.3783374,0
378,-10.470178,10.949875,0
345,14.0342,8.24015,0
109,10.967512,0.18072557,0
201,-2.3712754,6.539248,0
368,4.0949044,5.0467453,0
246,12.951505,8.630949,0
189,-1.5723616,7.8755255,0
450,14.487434,9.990508,0
373,10.9967375,0.26708552,0
53,15.365408,9.716026,0
6,15.709718,8.456627,0
223,8.027817,16.536903,0
317,-9.733651,10.871011,0
382,12.268386,-0.48995757,0
404,7.6270885,15.781278,0
9,12.480828,10.222902,0
202,14.473523,10.04625,0
230,-1.5809151,7.90842,0
113,15.873261,9.322239,0
182,-2.7984877,4.797588,0
117,14.0119915,8.285776,0
239,-3.714625,8.60142,0
115,-9.780394,10.833753,0
24,13.6552,11.100931,0
99,-2.0258222,0.30137652,0
396,15.342343,9.707881,0
134,16.011072,9.517507,0
63,-1.7250396,-0.033427704,0
104,13.991658,9.132752,0
54,-3.6326745,8.66454,0
504,13.991417,9.124009,0
397,-2.7647767,4.8422527,0
221,-1.7458863,0.010319257,0
251,12.299862,-0.43342802,0
22,14.117521,9.163586,0
177,-9.727959,10.837537,0
448,13.443663,11.161525,0
445,-10.456064,10.892196,0
496,3.676341,5.198063,0
436,11.573854,0.93957865,0
164,17.008017,8.3143015,0
321,-2.2251172,6.3581367,0
423,-9.775817,10.853996,0
392,11.63637,-0.29297027,0
36,-1.9561008,9.387717,0
305,15.478601,9.544714,0
110,7.7495537,2.1753335,0
359,-2.935616,8.571134,0
34,4.180533,5.0151844,0
283,12.698356,8.671548,0
48,15.416343,9.248412,0
278,15.502989,9.136378,0
69,-1.8004321,0.08100459,0
237,15.45569,8.610088,0
391,-2.126075,0.30486193,0
402,15.97564,9.426392,0
424,-4.049118,8.378175,0
229,7.973272,2.410904,0
163,-1.8397017,7.2836146,0
228,15.616072,8.475585,0
55,-2.0960228,9.00429,0
280,-2.157955,0.33588076,0
274,-2.1752517,6.3174725,0
129,13.7538,11.009424,0
255,-0.85799944,3.6655462,0
390,-10.361379,10.928919,0
140,-2.1456203,0.32956573,0
365,-2.8054495,4.8080525,0
522,-2.2050052,0.39700747,0
165,-2.1161923,0.29427707,0
235,10.115247,5.8576646,0
442,17.068111,8.247992,0
511,7.7805743,2.250191,0
174,7.9961705,15.272601,0
10,-10.410142,10.952125,0
453,4.1256647,4.998477,0
18,3.6855888,5.21337,0
27,16.01445,9.51692,0
226,11.690298,10.318235,0
13,11.975346,-0.5288989,0
406,11.165105,1.1673796,0
527,3.6780987,5.2048993,0
384,-3.62964,8.668903,0
60,11.03644,0.43780583,0
452,-1.9986455,0.17295723,0
210,-1.4726584,7.7741857,0
178,-1.8932139,7.32921,0
353,-1.9805461,9.324198,0
301,10.764026,5.010429,0
248,-1.9615072,0.16372551,0
310,15.510523,8.588799,0
259,-1.9073662,7.3147697,0
213,-1.9271836,0.15434904,0
336,12.074072,1.4288104,0
429,12.038995,-0.6511826,0
167,-2.1801176,6.3326235,0
238,8.222191,1.7882733,0
416,8.338693,1.7816571,0
15,-2.7104332,4.899521,0
505,8.273437,1.7281421,0
352,12.178677,-0.55404174,0
490,12.156237,-0.5694045,0
323,-2.731325,8.662362,0
494,14.874959,10.23818,0
41,-9.807077,10.875514,0
121,12.728399,8.6587715,0
155,15.329939,9.314296,0
1,13.972907,9.149122,0
61,-0.9828028,0.60002255,0
357,-10.497065,10.971174,0
14,14.316662,10.746127,0
57,13.752509,11.029423,0
420,-1.9752601,0.19194674,0
11,-4.020684,8.391676,0
92,-2.7368581,4.854798,0
266,-1.2943603,7.5369787,0
491,-2.217145,0.38848364,0
498,17.015968,8.311787,0
86,-0.9051399,3.709386,0
285,15.655591,8.437867,0
395,11.136307,1.1248447,0
227,-2.7709978,4.842945,0
112,-1.7817374,9.603944,0
327,-1.0170516,3.4542882,0
521,-3.614129,8.669559,0
72,-2.8355355,4.8490815,0
526,12.377011,-0.4950603,0
493,-1.5556111,7.838512,0
79,11.719765,-0.31768623,0
199,13.416287,11.143677,0
75,17.003567,8.331718,0
216,-2.0811267,9.053442,0
241,7.9876394,15.824765,0
500,14.029695,8.277673,0
181,-1.5836304,7.8847914,0
475,13.37106,11.137928,0
171,3.7345421,5.155885,0
427,14.610831,9.144348,0
346,-2.7933965,8.654849,0
366,-0.95806336,0.58061326,0
196,-1.9404472,9.399352,0
168,-1.8459392,9.530425,0
467,-1.9749978,0.17796893,0
457,16.959732,8.385194,0
80,12.7096815,8.680687,0
161,-0.8985924,3.717866,0
225,12.077546,1.3894119,0
3,15.955852,9.499637,0
240,-2.7921968,4.8145742,0
271,11.153489,1.2041036,0
300,8.30259,16.552176,0
185,9.737761,5.8466625,0
21,-1.0793011,0.6513576,0
468,11.997322,-0.2929629,0
413,-2.399794,6.5731926,0
103,14.6145315,8.575265,0
77,3.709535,5.1743965,0
303,16.951193,8.384855,0
84,4.1963706,4.995713,0
254,14.806368,10.225287,0
2,-2.1551106,6.2906194,0
97,14.028879,8.260954,0
43,6.9497585,4.2122355,0
437,14.17055,9.150871,0
499,11.895446,1.1199845,0
418,12.119627,1.4908627,0
313,-9.802204,10.813536,0
78,14.828834,10.365483,0
422,-10.364963,10.899745,0
219,-3.6153078,8.664496,0
144,14.598548,9.152095,0
206,-2.0241551,9.267673,0
30,6.5277634,4.4612794,0
253,14.6583395,8.621917,0
102,-1.4607255,7.732335,0
0,-1.8931121,7.3095016,0
180,11.409475,1.0529222,0
93,6.8131356,4.1498523,0
524,14.836698,10.463076,0
224,-2.1804159,0.37178895,0
116,11.534757,1.1090193,0
322,12.032998,1.7121153,0
152,-3.8627036,8.524997,0
517,-1.0282,0.6422668,0
362,11.757214,-0.49545613,0
334,-1.0149885,3.4565868,0
118,-2.7569263,4.8222423,0
401,-0.8578277,3.6940124,0
288,13.635291,11.072328,0
157,-1.8216223,0.08526758,0
4,-2.698038,8.661279,0
198,-10.508219,10.881293,0
501,16.008585,9.544379,0
294,14.492127,10.037867,0
432,-0.990196,0.6410144,0
89,3.743621,5.1648593,0
25,14.225207,9.186758,0
249,-1.2030529,0.7762768,0
136,14.688025,10.39668,0
153,15.719999,8.406105,0
270,13.996273,8.26991,0
28,11.826731,-0.35455903,0
472,-1.7511368,0.012098147,0
433,11.928027,-0.22313179,0
506,-1.9652586,9.380376,0
150,3.7050812,5.188261,0
269,-1.9047104,0.15149604,0
71,14.813022,10.41599,0
243,15.965638,9.449904,0
162,-2.766211,4.8556714,0
443,16.910332,8.442161,0
419,-3.6193557,8.65036,0
482,-1.3166115,7.5615673,0
261,11.065615,0.39764112,0
33,-10.508316,11.025456,0
139,3.7075388,5.197053,0
465,-2.0556183,9.212933,0
350,7.929028,15.900598,0
464,11.205875,1.0827726,0
518,-10.574915,11.0560875,0
347,-10.52002,10.877029,0
385,-2.2137625,6.3552175,0
244,-0.9500894,3.7565262,0
273,15.440763,9.667041,0
355,8.256766,1.7418247,0
74,12.614559,8.686745,0
458,12.057272,15.790732,0
367,15.612513,8.468151,0
218,-2.0828156,9.046273,0
281,-9.774949,10.83154,0
520,-1.7723821,0.049972,0
262,-1.9751921,9.389178,0
379,-1.8215121,9.5262985,0
348,8.63371,17.42953,0
122,-1.8117551,9.573411,0
430,-2.8050084,4.7952194,0
341,-1.4728295,7.7291193,0
