,UMAP_1,UMAP_2,W3IWER4_A
1717,20.561018,7.834617,0
1505,7.4306955,6.6136103,0
1408,15.201371,-9.484177,0
1966,0.76400715,15.718334,0
1630,18.045612,-7.579556,0
273,20.90509,8.431911,0
1682,18.853834,6.6905155,0
1635,20.149038,6.2590446,0
1423,9.374701,-3.0673392,0
1847,0.86426264,13.573949,0
245,16.493177,-9.0741,0
1251,15.599295,-8.286836,0
361,3.4974432,-3.2904177,0
2008,1.2648232,16.447609,0
1554,20.663918,7.8320765,0
399,7.0175533,-0.52607274,0
1733,15.311738,-9.705349,0
2065,2.1104403,16.419481,0
2132,6.0259023,16.41214,0
171,17.066128,9.993544,0
217,18.920752,-7.4650154,0
1603,7.112737,6.4081798,0
1988,-0.5161526,14.112076,0
1482,18.725876,-7.3277698,0
1795,3.538996,15.862615,0
1599,8.417963,-0.17200911,0
1975,5.7289305,16.336687,0
2125,4.5050225,15.956003,0
378,18.324526,10.347796,0
1885,2.6011841,15.655734,0
1973,-0.22386362,14.352271,0
1763,20.663136,7.0900497,0
380,16.847712,-6.944415,0
181,15.2354,-8.43756,0
2300,0.93308836,13.771433,0
1332,18.58973,-8.348494,0
2106,-0.5053741,14.146612,0
2211,4.555252,15.9572,0
454,9.200791,-3.0206468,0
1370,6.589062,2.959948,0
14,20.80267,8.596424,0
110,8.81476,2.3002224,0
2304,0.7120383,13.990337,0
2000,1.6108862,14.430124,0
288,17.995888,-7.6553416,0
2154,2.0020945,13.981813,0
1672,17.071106,9.972054,0
502,16.0205,-9.826068,0
285,20.90087,6.570151,0
1868,1.740214,16.76993,0
242,0.4628619,7.0333786,0
1799,1.8264732,16.943087,0
1691,20.410393,6.2188993,0
2236,3.925992,16.193632,0
1497,17.592485,11.289542,0
2051,-0.038326897,14.697422,0
351,5.027336,2.3713408,0
415,19.972866,10.930547,0
1855,2.7166297,16.72464,0
1277,18.782639,6.603087,0
1917,4.7107515,16.904577,0
250,14.823205,-8.723098,0
2276,1.0926143,13.593499,0
362,21.785036,6.762828,0
1570,15.62347,-8.26429,0
38,19.10852,11.814719,0
521,19.795666,11.535616,0
2022,4.5755033,16.547537,0
50,20.47075,7.888843,0
54,19.864933,11.645229,0
20,20.497953,8.851012,0
2158,3.777828,15.723711,0
499,7.209763,-3.2724638,0
354,7.1272483,6.4157295,0
295,9.418614,0.095739275,0
1901,2.5224438,15.66731,0
473,18.360779,9.534329,0
115,17.251871,10.054472,0
444,20.873154,5.920119,0
306,16.890146,-9.223777,0
1823,1.04088,13.565911,0
1919,2.9448242,15.693533,0
1921,0.689468,14.088152,0
412,20.534286,6.2049003,0
1991,1.9915257,16.974281,0
1573,15.99753,-8.27613,0
1581,16.94664,-9.284185,0
108,20.174868,6.241981,0
44,15.714485,-8.500972,0
1775,18.845293,-7.407176,0
36,18.625814,10.396743,0
1431,15.987618,-8.229564,0
1737,20.304388,6.8313375,0
1427,15.514074,-8.459335,0
1639,18.334888,9.506761,0
1291,20.697317,7.4319882,0
1637,21.640852,7.005173,0
1728,7.8465533,7.2415,0
1912,2.0549204,15.293294,0
483,3.9277463,-4.1518908,0
1597,11.239994,5.4962363,0
95,20.129873,8.221007,0
1389,17.01605,9.9916315,0
389,9.349639,-3.1155386,0
2232,5.441726,16.39012,0
1351,14.988762,-8.860043,0
1318,17.313395,11.023165,0
1768,8.799931,2.2864625,0
1792,-0.09494405,14.563202,0
1468,18.635262,10.516128,0
136,9.433009,1.389274,0
1650,16.981709,-9.342879,0
1307,7.0481486,-0.44239795,0
1686,17.205698,-7.5482945,0
1963,2.2073107,15.4074545,0
208,4.0565777,-4.124436,0
107,14.8279085,-10.228237,0
241,9.8828125,-0.30655798,0
300,10.254422,1.2650921,0
1309,4.9811306,2.4863691,0
204,0.5560781,6.9398456,0
1480,18.833374,6.6835675,0
2016,6.0209155,16.420015,0
1696,12.183183,2.1314592,0
235,5.677689,4.450677,0
324,15.984525,-8.254415,0
76,18.038889,10.427376,0
2047,1.162904,15.520547,0
39,18.846615,12.347282,0
1633,18.523634,9.688866,0
2033,4.105853,16.888111,0
1578,19.860119,10.350997,0
2290,2.079363,16.302038,0
1822,0.8614568,15.309028,0
1932,2.1279395,15.382333,0
1895,1.9375062,16.055847,0
1465,20.08853,10.675672,0
1514,6.601192,2.9503722,0
1702,18.219824,11.393536,0
1866,3.0333474,15.714414,0
453,18.27854,11.348488,0
1547,18.449802,11.5655985,0
1544,9.429434,0.12548235,0
70,18.653526,9.93747,0
215,18.335567,10.721847,0
402,20.68569,6.6399918,0
1925,4.015416,16.305702,0
75,18.908712,6.6318836,0
1731,14.92821,-9.399243,0
1566,19.818878,11.978101,0
1687,20.925049,6.560145,0
359,18.663471,10.446033,0
1677,17.577427,-6.7760286,0
82,14.890913,-10.313564,0
435,20.733116,8.598481,0
331,19.910555,11.01964,0
1400,6.4786634,3.8958695,0
1920,0.52571803,15.11439,0
1602,19.225086,8.791094,0
386,20.153399,6.2573414,0
1533,10.850015,-2.8705025,0
1720,20.746933,5.933466,0
1891,1.9925911,16.898338,0
167,15.268889,-9.257558,0
1814,1.2480104,16.462997,0
388,21.627783,7.022108,0
353,19.192438,8.796323,0
2142,0.70481396,14.020966,0
1512,19.817709,10.243598,0
1787,1.673131,14.396018,0
1789,0.96971065,15.290156,0
1447,18.286743,10.341663,0
1314,18.923388,9.051679,0
460,4.626705,-3.83084,0
164,20.598753,6.2004747,0
1671,19.100769,11.827581,0
1574,21.021261,6.289528,0
1894,2.0885756,13.849369,0
1724,3.7681856,-3.4727192,0
1565,18.93267,6.7405696,0
1878,0.78579086,13.954503,0
2114,1.6150861,14.433417,0
1750,20.656446,6.9914374,0
426,18.816153,-7.7043147,0
1557,0.48266536,7.0132833,0
1749,17.640259,-7.9991403,0
1299,20.489922,7.897054,0
1784,1.8151138,16.760262,0
1663,18.94705,9.007627,0
2094,4.022388,15.646928,0
2270,-0.017111981,14.237383,0
442,20.417065,6.2282643,0
1373,17.977772,-7.620389,0
3,20.69372,7.714231,0
180,5.1633835,2.4318802,0
2140,1.0535214,13.643102,0
2127,4.54331,15.898492,0
1475,11.489718,-0.5850132,0
1469,18.817318,6.619466,0
1589,11.391766,2.0117443,0
2001,5.8381333,15.811801,0
56,3.5543857,-3.333224,0
2157,4.0837674,15.978902,0
508,21.025621,6.192385,0
2104,1.6284477,14.465816,0
2279,1.8621114,16.890028,0
393,18.327774,11.583683,0
1321,15.777714,-8.895044,0
1358,0.42310727,7.0739007,0
2294,2.6283028,16.723282,0
2267,2.0625386,13.91703,0
279,15.631097,-8.437392,0
1825,0.9566538,13.53492,0
1631,18.966171,-7.594582,0
1942,2.1177258,16.331419,0
441,19.008316,-7.59783,0
0,15.252608,-8.964387,0
2193,2.8849392,15.646011,0
220,18.838993,6.6401167,0
1779,0.7309285,14.172613,0
1740,17.933187,12.1301365,0
506,19.80763,10.261124,0
1893,0.5646683,14.309881,0
2259,0.83439624,13.617487,0
49,18.619259,9.789587,0
81,17.635242,-7.2118583,0
2194,2.2702708,13.680381,0
1676,16.718718,-6.890882,0
1668,18.637388,10.529322,0
1269,20.487482,8.848856,0
470,18.92829,6.7337627,0
2086,5.630741,16.36523,0
2173,5.8040695,16.110891,0
2054,1.9808214,16.961632,0
1863,2.2138085,15.501655,0
1346,17.666183,-7.247322,0
257,21.773365,6.7909913,0
2130,4.2044363,15.8002825,0
186,20.619074,7.7769456,0
1288,18.883545,12.3686285,0
1290,18.881273,12.429242,0
2277,1.5818982,14.893062,0
34,17.60509,10.5964,0
1422,18.004236,12.251858,0
161,16.744822,-9.143911,0
11,18.241606,10.295768,0
1302,20.459232,7.77212,0
1366,17.590422,-7.987739,0
2050,4.285867,16.94167,0
2227,-0.11890415,14.229749,0
191,16.71614,-6.8951,0
1546,8.274385,2.9413912,0
46,18.676716,6.4876337,0
1479,15.135711,-8.439493,0
214,20.631855,6.9379263,0
382,18.955116,-7.5959272,0
1310,16.741995,-8.855574,0
187,19.805107,11.546331,0
492,17.612053,-6.763011,0
1567,20.414139,8.524153,0
2061,6.024402,16.429403,0
2097,4.2344637,16.503834,0
174,9.3916645,-3.0551045,0
199,11.327532,-4.156115,0
1339,19.578548,9.968266,0
1249,15.268705,-8.932106,0
1435,20.613052,7.77583,0
1646,15.960782,-8.120754,0
