,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,9.129008,9.144824,1,0,1,0,0,0,0
1428,10.541661,10.42643,0,0,1,0,0,0,0
1386,6.918472,4.869224,0,0,1,0,0,0,0
1967,7.878092,4.6587667,0,0,1,0,0,0,0
2243,9.860298,6.1902657,1,0,1,0,0,0,0
1196,9.915442,7.989693,0,0,1,0,0,0,0
419,7.717038,4.0751424,0,0,1,0,0,0,0
1826,9.674311,10.169905,0,0,1,0,0,0,0
1260,12.040223,8.918836,1,0,1,0,0,0,0
3072,12.579981,10.582774,1,0,1,0,0,0,0
1642,12.202131,8.586234,1,0,1,0,0,0,0
3189,11.385149,8.140589,1,0,1,0,0,0,0
928,10.782998,9.766294,0,0,1,0,0,0,0
610,10.321319,7.1799283,0,0,1,0,0,0,0
1575,12.195223,7.366225,0,0,1,0,0,0,0
185,9.364513,8.886023,0,0,1,0,0,0,0
2782,6.755635,3.7286007,0,0,1,0,0,0,0
449,7.249222,5.2552857,0,0,1,0,0,0,0
1198,10.462758,10.89063,0,0,1,0,0,0,0
1356,7.9112253,3.0928438,0,0,1,0,0,0,0
399,10.125982,7.049618,0,0,1,0,0,0,0
3168,11.384008,8.068271,1,0,1,0,0,0,0
1781,10.96661,8.6767235,0,0,1,0,0,0,0
2995,7.4749823,4.719958,1,0,1,0,0,0,0
411,7.0556293,4.349236,0,0,1,0,0,0,0
2878,9.704497,8.497043,0,0,1,0,0,0,0
3264,10.439798,10.862472,0,0,1,0,0,0,0
2071,12.228066,9.7266,1,0,1,0,0,0,0
680,11.084651,9.083874,0,0,1,0,0,0,0
865,13.012251,10.215223,0,0,1,0,0,0,0
444,10.879416,6.946619,0,0,1,0,0,0,0
211,11.63731,10.126842,0,0,1,0,0,0,0
569,10.9894,10.447266,0,0,1,0,0,0,0
1243,10.146972,9.42968,0,0,1,0,0,0,0
780,10.692662,7.173741,0,0,1,0,0,0,0
779,12.136203,10.978767,0,0,1,0,0,0,0
2076,9.109744,9.714103,1,0,1,0,0,0,0
1744,12.221552,7.452988,1,0,1,0,0,0,0
144,10.087969,9.299905,0,0,1,0,0,0,0
898,10.4023075,9.997566,0,0,1,0,0,0,0
1429,6.92873,4.777655,0,0,1,0,0,0,0
2033,7.7314463,3.65882,0,0,1,0,0,0,0
1150,12.5950985,7.1645617,1,0,1,0,0,0,0
1282,11.797029,10.82225,0,0,1,0,0,0,0
1206,10.894271,9.587867,1,0,1,0,0,0,0
1172,12.404297,8.233276,1,0,1,0,0,0,0
258,9.855984,6.290625,0,0,1,0,0,0,0
393,7.8429837,3.2596562,1,0,1,0,0,0,0
960,11.914845,8.782577,0,0,1,0,0,0,0
877,9.239913,9.358352,1,0,1,0,0,0,0
947,9.406596,9.472964,0,0,1,0,0,0,0
1944,12.818031,10.733631,1,0,1,0,0,0,0
1950,7.2368193,3.4598036,0,0,1,0,0,0,0
2501,10.224877,9.775619,0,0,1,0,0,0,0
3087,9.913846,8.43131,0,0,1,0,0,0,0
1387,11.628989,9.315934,0,0,1,0,0,0,0
820,7.236045,4.6244864,1,0,1,0,0,0,0
1115,9.453347,9.901857,1,0,1,0,0,0,0
1998,6.79527,3.2644956,0,0,1,0,0,0,0
1691,12.344682,8.2593155,1,0,1,0,0,0,0
1458,12.093095,7.19772,0,0,1,0,0,0,0
2714,7.55117,4.8112826,0,0,1,0,0,0,0
1971,6.477661,3.8415906,0,0,1,0,0,0,0
920,10.8546,10.577201,1,0,1,0,0,0,0
1176,10.449061,9.84664,0,0,1,0,0,0,0
1903,10.056978,10.659041,0,0,1,0,0,0,0
1874,11.771824,10.81599,0,0,1,0,0,0,0
311,7.8113475,3.255598,1,0,1,0,0,0,0
1956,8.341037,3.5046804,0,0,1,0,0,0,0
1530,11.539969,7.666309,0,0,1,0,0,0,0
430,7.2360277,5.113754,0,0,1,0,0,0,0
1313,12.949134,9.7585335,0,0,1,0,0,0,0
281,6.6431093,4.3621364,0,0,1,0,0,0,0
2072,11.973489,7.523009,1,0,1,0,0,0,0
586,9.711643,9.095685,1,0,1,0,0,0,0
647,9.892285,10.688069,1,0,1,0,0,0,0
