,UMAP_1,UMAP_2,W3IWER4_A
75,7.712252,11.312735,0
67,2.8339207,13.305453,0
55,5.2948675,10.459729,0
72,5.9692745,12.960041,0
60,7.476677,11.544176,0
31,3.5750446,14.532172,0
76,3.328791,12.8911915,0
49,5.5126805,12.897185,0
65,3.0238497,13.701377,0
6,6.8727107,10.341612,0
27,3.471964,14.04323,0
4,7.514824,11.0145855,0
37,6.4954185,10.38428,0
53,4.280066,12.351774,0
78,2.6651156,13.024325,0
62,3.669543,11.53746,0
21,4.294812,14.855678,0
57,6.779199,10.28291,0
79,6.9686184,10.97932,0
68,7.8918805,11.4600525,0
0,7.153669,11.091957,0
39,7.100988,11.150049,0
40,2.7662733,14.304304,0
16,7.4368987,11.176499,0
19,3.4259439,12.212346,0
28,4.8021755,13.770073,0
56,3.9903066,12.6917925,0
8,6.6537685,10.450032,0
25,5.06892,12.651222,0
66,7.236168,10.69828,0
18,4.600868,12.618235,0
30,7.419974,11.016534,0
71,2.9206853,14.085642,0
29,4.737789,12.949472,0
1,5.771027,14.369365,0
17,4.035299,11.171672,0
52,5.9800267,13.26453,0
73,3.912184,13.679835,0
81,2.321565,13.804262,0
22,5.09152,10.539443,0
26,4.7390857,15.003861,0
46,3.9482327,10.9267,0
36,5.9867296,10.714753,0
50,4.620472,14.005256,0
51,4.770504,12.184907,0
43,5.3048353,11.204644,0
47,3.413519,12.221863,0
20,5.9213276,11.501989,0
2,5.026871,11.268411,0
9,4.159288,14.479188,0
5,5.0249033,14.924068,0
24,4.816039,10.936367,0
77,5.204283,14.004742,0
33,4.8023787,15.071681,0
15,5.975554,14.211854,0
64,5.6429157,13.129768,0
80,6.7834897,11.26702,0
44,3.7973359,13.921822,0
32,7.273501,11.352453,0
48,3.0539246,13.0888605,0
35,5.454498,12.3107395,0
3,4.280628,13.1419115,0
38,5.854477,13.369038,0
12,7.7430987,11.6382,0
82,5.8415914,14.070715,0
69,5.273093,10.553363,0
34,3.0112755,13.270005,0
14,3.8234642,11.253537,0
58,3.6232762,13.314248,0
74,3.6966174,11.962247,0
61,4.323479,13.281708,0
13,4.538439,13.6828575,0
10,2.6728146,13.602484,0
63,3.0523226,13.948915,0
41,4.017264,12.579322,0
54,4.710097,12.965256,0
11,5.982078,12.756995,0
70,5.6008477,14.80203,0
42,5.4138145,11.389639,0
59,6.929729,10.517762,0
23,3.9566472,11.982135,0
7,5.385321,13.510674,0
45,6.078176,14.532066,0
154,2.4715016,14.002978,1
138,5.414763,10.95967,1
108,4.1559267,11.22597,1
103,5.0958037,11.2496395,1
175,2.562096,13.897416,1
84,4.58891,10.825037,1
150,4.1061063,14.404873,1
174,2.6309516,14.08845,1
124,6.397642,12.767321,1
184,4.1586437,13.855092,1
119,3.8866642,11.336569,1
160,2.6656847,13.094836,1
146,4.032359,14.335234,1
171,4.621636,14.827844,1
145,6.160462,14.4493685,1
109,6.9996934,11.652705,1
113,5.7339454,12.88232,1
151,5.4056916,12.363338,1
147,6.0751495,11.609534,1
188,4.6274047,11.911245,1
180,7.0407834,11.614262,1
168,4.8549666,10.924936,1
96,3.8260264,13.86126,1
126,4.547587,11.80082,1
155,3.0620499,12.494015,1
142,7.449371,11.784488,1
178,4.029889,12.413214,1
130,4.82614,12.755611,1
83,5.966968,14.840346,1
179,3.1664023,13.147429,1
136,5.923216,12.15325,1
99,3.5585628,14.360208,1
132,2.5897887,13.9976425,1
91,2.4264834,13.792955,1
94,5.140851,14.868078,1
159,4.8302274,13.232091,1
93,4.5170717,13.429278,1
115,4.1870737,10.763517,1
102,4.664005,11.759172,1
162,5.646805,13.656159,1
186,6.4504123,12.049443,1
161,4.5841465,14.288626,1
131,5.2033243,14.359127,1
133,5.5944185,11.843627,1
125,7.3342757,11.626754,1
189,7.378212,11.508832,1
90,4.4144063,12.924951,1
187,5.0219197,14.152065,1
100,6.8717036,11.721639,1
121,5.109867,14.149737,1
163,4.8023925,14.16767,1
101,3.99499,13.38774,1
112,6.5071917,11.433956,1
144,4.676416,14.440004,1
118,5.117661,14.720771,1
97,5.964507,14.733178,1
105,4.8286686,14.267181,1
123,5.6182423,13.514422,1
127,3.7787719,13.49076,1
149,3.929109,13.331116,1
172,4.8483276,11.481878,1
156,6.1892195,11.554028,1
111,5.3440385,12.250144,1
107,2.4874058,13.298432,1
120,4.423614,14.323385,1
164,4.2304263,12.968683,1
169,5.448727,13.049468,1
114,4.5439305,14.551232,1
87,4.013989,11.353656,1
135,6.4619737,12.593698,1
176,2.6752796,13.308244,1
158,3.947074,11.314522,1
185,5.837241,12.055785,1
177,6.6155505,11.681917,1
141,4.4948015,10.931022,1
183,4.6881795,13.299248,1
173,6.537625,11.018803,1
116,3.2667487,13.79858,1
182,6.2609544,12.598754,1
152,5.9339957,14.670633,1
166,4.357509,11.537691,1
157,4.189842,11.4036,1
137,5.5981555,12.970564,1
