,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,4.1135654,5.580515,1,0,0,0,0,0,0
1428,9.471276,4.0616503,0,0,1,1,0,0,0
1386,6.2436132,5.8930855,0,0,0,0,0,1,1
1967,5.424539,2.796022,0,0,0,1,0,0,0
2243,1.6214228,3.5174646,1,0,0,0,0,0,0
1196,8.058843,2.7048726,0,0,1,1,0,0,0
419,5.543587,3.5611963,0,0,0,1,0,0,0
1826,3.6228976,6.4083996,0,0,0,0,0,0,0
1260,3.9549556,6.0503087,1,0,0,0,0,0,0
3072,9.610863,5.6809573,1,0,0,1,0,0,0
1642,5.640505,4.115164,1,0,0,0,0,0,0
3189,8.46976,3.6714633,1,0,1,1,0,0,0
928,6.5702715,5.8406644,0,0,0,0,1,1,1
610,8.416521,4.599877,0,0,0,1,0,0,0
1575,9.022985,5.740703,0,0,0,1,0,0,0
185,1.5975565,3.397397,0,0,0,0,0,0,0
2782,5.141132,2.2094762,0,0,1,1,0,0,0
449,6.391209,1.7228374,0,0,1,1,1,1,1
1198,9.999321,3.9586003,0,0,1,1,0,1,0
1356,4.481529,7.4202456,0,0,0,0,0,0,0
399,7.88919,2.7894652,0,0,1,1,0,0,0
3168,3.641931,6.3592286,1,0,0,0,0,0,0
1781,8.081967,2.8730927,0,0,1,1,0,0,0
2995,5.589415,3.0588083,1,0,0,1,0,0,0
411,5.4966826,3.5007777,0,0,0,1,0,0,0
2878,5.825157,3.3701742,0,0,0,1,0,0,0
3264,8.750154,3.3093777,0,0,1,1,0,0,0
2071,10.3380575,4.9204917,1,0,1,1,1,1,1
680,9.471381,4.355459,0,0,1,1,0,0,0
865,7.8617115,4.6123285,0,0,0,1,0,1,0
444,4.6548004,1.5356213,0,0,1,1,1,1,0
211,1.9608929,3.7253897,0,0,0,0,0,0,0
569,9.662659,4.5116453,0,0,1,1,0,0,0
1243,6.534669,6.1081505,0,0,0,0,1,1,1
780,3.8970678,6.45504,0,0,0,0,0,0,0
779,4.725719,7.4147706,0,0,0,0,0,0,0
2076,1.9182792,3.645612,1,0,0,0,0,0,0
1744,7.7462893,4.5301986,1,0,0,1,0,0,0
144,1.6889863,3.3343341,0,0,0,0,0,0,0
898,6.602426,6.642355,0,0,0,0,1,1,1
1429,4.2220607,6.94282,0,0,0,0,0,0,0
2033,5.2173643,0.9761417,0,0,1,1,1,1,0
1150,10.459579,4.8857775,1,0,1,1,1,1,1
1282,4.631865,7.5246997,0,0,0,0,0,0,0
1206,8.321508,4.785586,1,0,0,1,0,0,0
1172,7.9308715,4.391225,1,0,0,1,0,1,0
258,4.289493,2.5782545,0,0,0,1,0,0,0
393,5.5364738,1.0806977,1,0,1,1,1,1,0
960,7.228883,4.2077904,0,0,0,1,0,0,0
877,4.4327397,5.319531,1,0,0,0,0,0,0
947,6.0814075,3.9817731,0,0,0,1,0,1,1
1944,8.93846,5.6402416,1,0,0,1,0,0,0
1950,4.8688197,1.8366119,0,0,1,1,0,0,0
2501,4.5663657,2.5348525,0,0,0,1,0,0,0
3087,7.957891,2.911664,0,0,1,1,0,0,0
1387,9.944177,5.4911513,0,0,0,1,1,1,1
820,8.165729,2.590154,1,0,1,1,0,0,0
1115,6.6179957,6.3371644,1,0,0,0,1,1,1
1998,5.3122926,1.0168182,0,0,1,1,1,1,0
1691,8.92211,5.766262,1,0,0,1,0,0,0
1458,10.466847,4.6219664,0,0,1,1,1,1,1
2714,6.332204,1.7830889,0,0,1,1,1,1,1
1971,5.8374305,2.488123,0,0,1,1,0,0,1
920,10.301104,4.47532,1,0,1,1,1,1,1
1176,4.5538034,7.4494214,0,0,0,0,0,0,0
1903,3.578182,6.0413637,0,0,0,0,0,0,0
1874,8.678559,5.184126,0,0,0,1,0,0,0
311,4.8459396,1.3367072,1,0,1,1,1,1,0
1956,7.382458,3.7182958,0,0,1,1,0,0,0
1530,5.097923,7.0742,0,0,0,0,0,0,0
430,5.552252,3.0255938,0,0,0,1,0,0,0
1313,3.8094704,6.212221,0,0,0,0,0,0,0
281,3.027665,2.9755116,0,0,0,0,0,0,0
2072,6.6159244,5.040947,1,0,0,0,1,1,1
586,8.800332,3.6725416,1,0,1,1,0,0,0
647,6.4976525,6.686049,1,0,0,0,1,1,1
1876,6.5394907,5.381839,1,0,0,0,1,1,1
1134,6.7654643,6.3910456,0,0,0,0,1,1,1
2027,2.9247167,3.0403092,1,0,0,0,0,0,0
1622,8.770364,3.730858,0,0,1,1,0,0,0
1132,7.268774,4.381833,0,0,0,1,0,1,0
2800,1.8135356,4.0818043,1,0,0,0,0,0,0
1447,8.434118,6.2837963,0,0,0,0,0,0,0
1604,6.4445176,5.8706284,1,0,0,0,1,1,1
642,10.4529085,4.3737698,0,0,1,1,0,1,1
2712,5.500752,2.970442,0,0,0,1,0,0,0
220,4.6927805,1.3458053,0,0,1,1,1,1,0
164,1.7912523,3.9282987,0,0,0,0,0,0,0
1256,3.8727157,6.336785,0,0,0,0,0,0,0
2059,5.7522693,1.5665506,0,0,1,1,1,1,1
1111,5.484676,1.2863744,0,0,1,1,1,1,0
1073,7.3589807,3.3279028,0,0,1,1,0,0,0
1870,10.152294,5.181224,0,0,1,1,1,1,0
593,5.1605597,1.825344,1,0,1,1,0,0,0
1345,6.038003,6.1152945,0,0,0,0,0,1,1
808,8.088902,4.454193,1,0,0,1,0,0,0
2044,5.4839983,1.2306178,0,0,1,1,1,1,0
1411,9.255287,4.382137,1,0,1,1,0,0,0
1510,5.485948,6.9627023,0,0,0,0,0,0,0
1655,7.034077,3.7382553,1,0,0,1,1,1,1
160,1.7213671,3.2974539,0,0,0,0,0,0,0
1275,6.3791428,6.174421,0,0,0,0,0,1,1
883,9.569049,3.5998511,1,0,1,1,0,0,0
2479,5.8447742,3.0466478,0,0,0,1,0,0,0
1146,10.181996,5.1227107,1,0,1,1,1,1,0
1096,4.2255707,6.775341,1,0,0,0,0,0,0
874,5.0273633,7.0231895,0,0,0,0,0,0,0
663,4.8287964,6.8698225,0,0,0,0,0,0,0
1056,9.148503,5.4877224,1,0,0,1,0,0,0
2068,6.7428117,6.043127,0,0,0,0,1,1,1
2753,4.6559696,1.4801596,0,0,1,1,1,1,0
1793,10.354112,4.5010586,0,0,1,1,1,1,1
878,5.6597757,4.2514434,0,0,0,0,0,0,0
984,6.758569,6.3446593,0,0,0,0,1,1,1
968,10.342826,4.457906,1,0,1,1,1,1,1
1039,9.206917,5.3702655,0,0,0,1,0,0,0
1242,3.9857242,6.1955805,0,0,0,0,0,0,0
2345,1.840741,3.1734908,0,0,0,0,0,0,0
1667,7.541118,4.477174,1,0,0,1,0,0,0
682,8.882681,5.599835,0,0,0,1,0,0,0
1069,5.947883,3.8786418,0,0,0,1,0,1,1
1314,7.327993,4.6619844,1,0,0,1,0,1,0
192,5.2445946,3.283926,0,0,0,1,0,0,0
1239,6.946793,3.4712882,0,0,1,1,1,1,1
270,4.8719788,1.7273532,0,0,1,1,1,1,0
1182,3.9935846,5.7151923,1,0,0,0,0,0,0
658,4.982397,7.0955706,1,0,0,0,0,0,0
1658,8.103776,3.514791,1,0,1,1,0,0,0
1005,8.188727,4.1353226,1,0,1,1,0,0,0
106,2.8852394,2.9805794,1,0,0,0,0,0,0
1089,4.5776415,7.2929106,0,0,0,0,0,0,0
1663,4.196054,5.4485598,0,0,0,0,0,0,0
1406,8.80136,6.173211,0,0,0,0,0,0,0
706,4.6814184,7.34976,0,0,0,0,0,0,0
2940,5.300212,0.8936323,1,0,1,1,1,1,0
1910,8.11784,4.3249736,0,0,1,1,0,0,0
1037,7.5653453,4.709566,0,0,0,1,0,1,0
3086,8.3721075,3.0671024,1,0,1,1,0,0,0
