,UMAP_1,UMAP_2,W3IWER4_A
50,7.2394824,6.4918895,0
79,21.248446,15.669894,0
238,1.2681886,13.411744,0
241,-3.5993764,14.631591,0
317,-11.353633,4.7201533,0
302,-7.783098,2.8365676,0
1,5.2528825,15.111187,0
266,7.1164966,7.206785,0
235,10.607713,-3.8209014,0
75,22.38324,16.90053,0
45,10.649723,-3.8477614,0
208,0.66687846,21.125156,0
82,5.606626,2.8284628,0
207,10.314185,-3.790681,0
306,-10.004298,6.3173904,0
340,-9.957059,6.4085116,0
58,14.490154,-7.810808,0
287,-2.87393,5.116088,0
213,-3.592908,14.668157,0
327,-8.354017,11.138084,0
298,-7.7579556,2.794148,0
31,1.0739844,20.618755,0
268,-0.10829698,12.558559,0
59,2.1699662,14.266876,0
33,-0.3253735,6.6310086,0
194,21.334946,16.38653,0
12,15.838927,-8.097844,0
65,7.2299323,6.579032,0
201,1.2794937,20.998257,0
285,-11.057246,5.091661,0
301,-10.0001135,6.3497987,0
354,-10.5306425,5.9035583,0
254,-4.8598313,13.538396,0
337,-2.8212197,5.1692038,0
29,2.2376251,14.334615,0
200,1.0910689,13.23764,0
13,15.841335,-8.175005,0
214,21.65996,16.68091,0
3,-3.2663288,14.712734,0
329,-8.67198,10.919221,0
242,0.9965435,21.568354,0
49,0.20382452,12.756283,0
248,14.514209,-7.8248906,0
351,-7.727778,2.7609193,0
231,0.9878584,21.52324,0
299,6.280149,14.888104,0
253,1.1482812,13.311342,0
61,0.3151915,12.825259,0
228,7.120179,7.133823,0
36,15.4171295,-8.026293,0
0,21.738218,16.290112,0
21,0.6772411,21.108343,0
255,7.2006392,6.5464563,0
247,14.374767,-7.881947,0
353,-7.7256637,2.7597249,0
218,-0.3028894,6.6522765,0
286,-11.006414,5.141867,0
264,5.6093097,2.8373175,0
51,-3.568003,14.70806,0
332,-7.8310614,2.8696277,0
312,-9.984228,6.3286424,0
6,2.2511098,14.348322,0
70,-3.5772693,14.62466,0
190,21.685705,16.31864,0
277,-8.356318,11.138163,0
8,1.9218507,14.006404,0
335,6.381486,14.807904,0
352,-8.614812,10.974187,0
265,22.479673,16.9848,0
260,-3.5381348,14.605632,0
271,10.31764,4.3257856,0
211,0.7009395,21.144642,0
315,-9.968421,6.3977647,0
9,5.2274714,15.074756,0
54,21.700535,16.250101,0
245,5.5884666,2.9009798,0
267,5.5741787,3.0220177,0
198,1.8928258,13.97721,0
47,21.247932,15.688144,0
330,-11.194358,4.907698,0
17,10.224833,-3.7186046,0
19,21.222307,15.704914,0
42,-0.42627206,6.529007,0
304,6.265575,14.913659,0
239,0.10439793,12.680739,0
27,22.385015,16.90774,0
37,14.238758,-7.802963,0
63,1.0531949,13.220029,0
319,-10.114378,6.502683,0
259,5.508274,3.0644329,0
311,-10.060326,6.4280868,0
316,-10.066095,6.2694893,0
243,-0.11600601,12.558864,0
217,22.39554,16.925627,0
24,21.709301,16.640251,0
28,-0.38729417,6.568133,0
284,6.3145413,14.862108,0
289,-8.371214,11.11814,0
68,5.2628646,15.058919,0
303,-11.310404,4.7627864,0
20,1.2200168,20.900135,0
250,12.989125,-7.7701077,0
348,-8.63807,10.948601,0
234,12.941526,-7.7716966,0
276,-2.8527153,5.13601,0
282,-2.8083503,5.1815925,0
334,-7.6174035,2.6512253,0
57,14.346344,-7.8333244,0
223,-0.33538705,6.620744,0
78,-0.11271966,12.556828,0
212,5.2232513,15.147752,0
206,21.286486,16.383284,0
