,PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,PC_7,PC_8,PC_9,PC_10,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,1.084270946619708,0.9252216396920923,-0.02335597670189547,0.9855026650448476,-0.7210192991531432,0.2094841182368326,0.1747048028767977,0.07919901842069695,0.052134500186644506,-0.0012533016111032098,1,0,0,1,0,0,0
1428,-0.44398860209162355,0.454489224810736,0.23583920508616485,-0.4228252996437876,-0.6835258620228348,0.10490594538578112,-0.14083797202015502,-0.09250396192939532,-0.025551700620732514,0.0011632205063510398,0,0,0,1,0,0,0
1386,0.7415912186505187,-1.0044997470147066,-1.471510306213184,-0.4750298565674594,-0.5015334628676813,0.32463642105173307,-0.16451010100476296,0.10373904894912843,0.02912224996771747,-0.0015891005685085096,0,0,1,1,1,1,1
1967,1.4381396766615282,0.4048863138101511,-0.3939727023043223,-0.08100759749597508,0.042918604814650596,-0.43632626700288274,-0.1897601295281454,-0.12274376739498706,-0.02953609446501488,0.00910613542620387,0,0,0,1,0,0,0
2243,1.7565776352279787,-0.40548534843932105,1.842155231386326,0.23056146625153776,0.7538882250979966,0.26281598263903555,0.1319910548456856,-0.0537498935051715,0.029077705341195983,-0.0024287908970582984,1,0,0,1,1,0,1
1196,0.1753742038395598,2.0857279734620326,0.25894275242300185,-0.12518570492275308,-0.11773661316106401,0.0602008790379671,-0.14263329399377037,-0.09243128190361792,0.019554133874492917,0.000262327422754829,0,0,0,0,0,0,0
419,1.3682022772884432,-0.6556251271850855,-1.4873015147340536,1.144017561251394,1.0990288064588571,-0.43372443036675856,0.17556786872168612,0.006990422100417305,0.02822932426145106,-0.0013221650840266636,0,0,1,1,1,1,1
1826,0.16293693114603583,0.18831858793044212,0.3435755146539593,0.5927629196221315,-1.0268985594409334,0.16433338180222307,0.19185210405064523,-0.1202992736648056,-0.030978616087483358,-0.003387698530000435,0,0,0,1,0,0,0
1260,-0.13582662901128165,0.05506574686123312,0.026565885067965783,1.6809385809769166,-0.18206675645681505,0.0986837331310582,0.20235303226610074,0.14337371804871743,0.05257644749619998,0.006971997922987156,1,0,0,1,1,0,0
3072,-1.5611624159464064,0.3497458999539249,-0.7469799726397802,-0.5285575359368178,1.0728946441885383,-0.04110810926057479,-0.09217133462174287,0.10177857085378621,-0.008163516353841282,-0.0010097657201141295,1,0,0,0,0,0,0
1642,1.1915917808582848,-0.2896898395873771,-1.8894202521800132,1.0544899783961061,0.5504475613388247,0.2788286207466599,-0.15856686053329172,0.05376816759327455,0.03313856939950379,-0.0009885413465831406,1,0,1,1,1,0,1
3189,-0.12748229894252802,0.8154781819286833,0.08283558761695782,0.05388934050222898,-0.3626558887933644,0.09593173125664772,0.20885690877461266,0.028294322118159708,-0.027768842290715835,0.000624017379438056,1,0,0,0,0,0,0
928,0.16833098682389117,-0.4989369815460724,-1.4694854060691331,-0.6577651203555941,0.13481319502995479,0.21673232377686807,0.21207748963820233,0.10287707141300642,0.03989674994554056,0.0014943602638542287,0,0,0,1,1,1,1
610,0.5619877224787057,0.900825619850074,-0.6116841525893093,-1.4582757600931902,-0.5456133305353654,0.20762607607022104,0.19748758542617328,0.09447027895599222,-0.018405894605497578,8.337758497384096e-05,0,0,0,0,0,0,0
1575,-1.2873901465069673,-0.2272553427512692,-0.29585258149796995,0.1307374644851325,0.282195466419287,0.021624037086586403,-0.11152797097588803,-0.048034104138862825,-0.015053489116365658,0.0012290023062136092,0,0,0,0,0,0,0
185,2.1563930515879495,-0.02354417367907817,1.7358243261148703,0.43227522580104955,0.8737405542031424,0.27835400455656284,0.1252004274398101,0.0028715124251514857,0.0254458453846848,0.0022920693847993754,0,0,0,1,1,0,1
2782,0.7845949488033583,-0.5064642372922104,-1.1230288333579015,-0.6676464630854599,0.5937299428422818,-0.4573203146653763,0.1846417975108917,-0.004393763290986136,0.03298604266580323,0.0007413243586152947,0,0,1,1,1,1,1
449,0.30610284849066616,1.2862294419540308,0.6768708996622574,-1.5648618656784614,-0.30775544213385814,-0.5829273970965161,0.18327309723552257,-0.05717965122067725,0.014183976739042358,-0.001684225398775595,0,0,0,0,0,0,0
1198,-0.8951692189905394,0.9901761320907438,0.33662128866029406,-0.8113380224825961,-0.30239841069802814,0.02435551401990489,-0.1236574937912183,-0.12846994029311504,0.027346464107849706,0.0006495602526925391,0,0,0,0,0,0,0
1356,-0.7818764875518713,-0.7241328661462545,-0.0246191856254529,0.8347527176095403,-0.41069482809689795,0.10280135371401206,-0.1384633742293543,0.02085457021302383,0.06133077171954303,0.0005596969107925497,0,0,1,1,0,1,1
399,1.5411843300906554,1.7046810361450797,1.4291399220759808,-1.3499708834624717,0.748332525857041,0.8864125921933411,0.16793600582396762,0.06870127894411843,-0.0015406635688003372,0.001698246311829436,0,0,0,0,0,0,0
3168,0.28386358307946175,0.16368528834998364,0.19822906443825072,0.5877235559148899,-0.9666519433539693,0.1781250602101907,0.18814247717581536,-0.03410191085775401,0.05910703094504471,0.0016340657241543522,1,0,0,1,0,0,0
1781,0.4403097302262572,2.3402258964072473,0.18774782047876784,0.001655619553235887,-0.03537259356331645,0.07099756755986397,-0.15210779912593955,0.22550195824428787,0.00282431320959432,-0.0025770808920971386,0,0,0,0,0,0,0
2995,1.680843014866969,0.6386420178148032,-0.45746247050958516,0.03638545358698239,0.11724159222835524,-0.42648551228752873,-0.19847360925113514,0.16868349330900062,-0.04492959680938156,0.008952038317524265,1,0,0,0,0,0,0
411,2.074364561753958,-0.2696638204424253,-1.3865447036369478,0.19215216798901186,0.3995381838936426,-0.3427840145058163,0.15099315888072803,0.17390194926564806,0.016432911773849753,-0.0011400088943879672,0,0,1,1,1,1,1
2878,1.5933589330222073,0.5513086079415249,-0.44324274247731077,-0.01191603603176528,0.09610598742873601,-0.42978272319476907,-0.19516238803551872,0.06276769814604452,-0.039042590370842636,-0.0032439574698321445,0,0,0,1,0,0,0
3264,-0.5611735344564142,1.3072416270862148,0.2433300600563703,-0.644347079368918,-0.19997549396403386,0.037345304709137675,-0.12800291864059393,-0.1513008484436058,0.02805236020002845,-0.0004952409328553464,0,0,0,0,0,0,0
2071,-1.7119090901336218,0.5790071175301598,0.4861892196560797,0.23040809943905036,0.2225203815324518,-0.07628546022250189,-0.1061452501237544,0.017465530846361987,0.01888639774761131,-0.002014199367243341,1,0,0,0,0,0,0
680,-0.4912749142781538,0.6759119429230734,0.7633992407127168,0.2726671770142384,-0.8522236985244995,0.06620781195525047,0.20514493651775953,0.07382304724771313,-0.04112227606171026,-0.0006209362052578146,0,0,0,1,0,0,0
865,-0.5403455340644792,0.4701384125492598,-0.3978901565500023,0.5831227332458438,0.41712453575791103,0.050912407025517276,-0.125290421645145,-0.011918683970354779,0.026168429573859696,-0.0005071362157438237,0,0,0,0,0,0,0
444,-0.1128676736470399,-1.0138495310219453,-0.040527413755332864,-0.5428630487497179,-0.20119469136754797,-0.5179218400693243,0.18898342425779582,-0.12615357550123935,-0.022297960721215593,-0.0020988229850785116,0,0,1,1,1,1,1
211,0.17851515740901278,-0.8917188308214693,1.0403740491217004,0.8816248592659021,0.23123473596886834,-1.2636994374531307,-0.19587665131630577,-0.06681529732708356,0.035407046171591926,0.006351970741907783,0,0,1,1,1,0,1
569,-0.873879206130369,0.25088795538760306,0.9326400258134654,-0.23674626599536205,-1.1926472791050649,0.07253238143743694,-0.1421561914042375,-0.12644837628870134,-0.034671721123440344,-0.001529471381951724,0,0,0,1,0,0,0
1243,-0.26816087597328897,-0.7209085220934723,-0.9461192527616974,-0.6033422339848981,-0.23658198222442683,0.18585633452417363,0.21432149565267808,0.0670933806704536,-0.011909022488208213,0.002034916256060154,0,0,0,1,1,1,1
780,0.19826221108746675,0.12015155881719537,0.18856760756425334,0.5166838434817628,-0.9464730440696272,0.17258879949266068,0.19229380571731466,-0.11635849727907918,0.017866319307407813,0.0018239004237192251,0,0,0,1,0,0,0
779,-1.2668537631763557,-0.9842475781330388,0.30040234106983044,1.0825688842492123,-0.47740879024671395,0.0526400473107978,0.22125233210132159,0.07667466061371847,0.012275296564820798,-0.0003178116750186983,0,0,1,1,0,1,1
2076,1.5107277015084073,-0.6372164195093474,1.913623395886581,0.10705909676212709,0.677652051226386,0.25336455453279016,0.13314760104133713,0.07504633069136972,0.022732920235979108,0.0004065957619301661,1,0,1,1,1,1,1
1744,-0.5558775230090028,0.42920773318863303,-0.46681588408480806,0.5252046428003098,0.45998226567536954,0.052239368988558486,-0.12358100595654858,-0.03793393213478301,0.028992357568940787,-0.0009795699384898989,1,0,0,0,0,0,0
144,1.820702399667333,0.3809933808088664,0.8759327766840607,0.39704502073638415,-0.17950334619711453,-1.136389766687909,-0.23106875624289144,-0.0478594635540674,0.03001269333086897,-0.0005056053110243232,0,0,0,1,0,0,0
898,0.27266937401795827,-0.2399074494701884,-0.6747646000034752,-0.3947029341888213,-0.5768213132316854,0.22483746141972732,-0.15759396254368008,0.11623132600875989,0.06575782594749913,-0.0004377326216227333,0,0,1,1,1,1,1
1429,0.13443053049756268,-0.0753854918879896,-0.08488553176424254,-0.09417400820570303,-0.92940538159329,0.19854372503785078,-0.1602142575708437,0.05364471261791733,-0.034343499959571595,0.0003733079770132189,0,0,1,1,1,1,1
2033,-0.7311990867945733,-0.6343602106166967,-0.031019551455798874,-1.1224822726850399,0.24601337861897815,-0.6038452509230695,0.2073129276207858,0.07059512067621221,-0.024623753928699463,-0.001288297895671886,0,0,1,1,0,1,0
1150,-2.313601866703507,0.008305108427322645,0.6542293413280987,-0.07233415650006565,0.03875955179644439,-0.09954228495452783,-0.09981106166531804,0.14261550030247097,0.013316416159914449,-0.0014618730664416075,1,0,1,0,1,0,0
1282,-0.7731593734111059,-0.6514663569182222,-0.12910116418168388,0.7533915178933235,-0.2903899677727514,0.10004841874837023,-0.1360128296303666,0.0685382205102635,-0.031580281964126156,-0.001676258371454214,0,0,1,1,0,1,1
