,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-6.011269,9.39879,0,0,0,0,0,0,0
575,-4.4860177,17.059458,1,0,0,1,0,0,0
2316,6.2362823,2.8458223,0,0,1,0,0,0,0
1092,7.1876826,-4.8717747,1,0,0,0,0,0,0
19,-4.0130906,10.494856,0,0,0,0,0,0,0
2198,6.2435484,2.8461409,1,0,1,0,0,0,0
1428,-0.54397815,7.954148,0,0,1,0,0,1,0
1386,10.62667,10.889807,0,0,1,1,1,1,1
1858,-4.779638,7.6362767,0,0,0,0,0,0,0
1967,13.591048,11.154979,0,0,0,1,0,0,0
1147,-4.9906535,17.060041,0,0,0,1,0,0,0
267,12.591912,12.185172,0,0,1,1,0,0,0
2243,5.901507,3.3153787,1,0,1,0,1,0,0
936,5.253194,-3.4975052,0,0,0,0,0,0,0
1528,12.638898,8.568112,1,0,0,0,0,0,0
1454,-4.791009,7.479885,1,0,0,0,0,0,0
1196,-3.2972188,10.55107,0,0,0,0,0,0,0
419,10.618306,10.508284,0,0,1,1,1,1,0
1826,-5.235682,15.877444,0,0,0,1,0,0,0
3202,1.3555974,-5.453248,0,0,0,0,0,0,0
2417,6.2353024,4.5733957,0,0,1,0,1,1,1
1260,-6.546686,16.571323,1,0,0,1,0,0,0
2741,13.651681,11.68165,0,0,0,1,0,0,0
1831,-4.813458,7.5840745,0,0,0,0,0,0,0
443,11.156281,9.680337,0,0,1,1,1,1,1
3072,-7.0286093,7.211669,1,0,0,0,0,0,0
1642,-4.9745245,17.285551,1,0,0,1,0,0,0
2742,13.193793,9.883216,0,0,0,1,0,0,0
3189,5.453855,-3.7085853,1,0,0,0,0,0,0
928,-0.5923174,7.9687204,0,0,1,0,0,1,0
698,11.950411,12.277827,0,0,1,1,0,0,1
137,3.3862886,8.209232,0,0,1,0,0,1,1
610,-4.015275,10.286084,0,0,0,0,0,0,0
2357,6.262669,4.5186954,0,0,1,0,1,1,1
567,4.8762074,-4.5447826,0,0,0,0,0,0,0
1575,1.3220348,-5.41051,0,0,0,0,0,0,0
307,1.2570322,-1.8107681,0,0,0,0,0,0,0
185,4.9196625,-4.5523715,0,0,0,0,0,0,0
1872,12.578653,8.36921,0,0,0,0,0,0,0
3243,-4.801259,7.6098685,0,0,0,0,0,0,0
2048,13.453411,9.087431,0,0,0,1,0,0,0
3188,-6.9182687,8.157443,0,0,0,0,0,0,0
