,UMAP_1,UMAP_2,W3IWER4_A
325,17.821095,7.0398755,1
1087,6.642926,12.052136,1
947,7.5302777,21.439009,1
2025,10.468575,13.643199,1
283,7.1428313,12.655356,1
1780,7.289011,5.402497,1
1789,10.827844,13.356713,1
1760,12.349148,15.320778,1
1681,5.347541,17.526245,1
367,2.4983866,12.267841,1
1605,2.941414,18.076803,1
1532,10.126088,12.521564,1
877,6.594563,4.099626,1
383,5.2540336,17.707474,1
1721,3.73373,18.211071,1
1654,16.089993,-1.8460668,1
1551,5.6528745,12.948589,1
1051,13.664235,1.3432313,1
1724,9.877112,25.250158,1
1430,6.9597096,5.574183,1
1901,16.112677,5.567504,1
1832,3.8696918,16.939621,1
1049,6.213807,21.859547,1
1974,10.84168,14.993816,1
2058,3.7249699,15.292376,1
1523,7.3035235,13.163919,1
1752,5.401499,12.777283,1
388,12.181285,15.372094,1
1813,16.08519,5.7882648,1
847,10.55423,14.867514,1
1561,4.2453113,18.118353,1
1895,3.6358054,7.147134,1
636,9.629235,12.728418,1
2001,4.5874963,17.53559,1
1631,8.13871,12.697706,1
727,20.718405,-2.4235704,1
1795,4.3713455,18.071451,1
836,11.963682,9.422791,1
1704,2.560516,12.207262,1
1589,5.5507827,12.788037,1
1936,8.268566,10.813916,1
2064,7.9024167,12.367532,1
1918,11.883183,12.624905,1
1582,8.06142,5.7027845,1
2081,15.835641,-1.123869,1
2013,17.078379,3.8670595,1
1920,6.4442015,4.069421,1
1230,7.2388086,4.2591705,1
2063,17.7649,6.9944572,1
2004,10.73512,9.236207,1
1161,1.1581299,9.301081,1
1643,17.956482,6.538084,1
368,4.792411,7.883201,1
1530,5.626391,12.923005,1
2041,16.566772,6.6506243,1
1542,16.12651,-1.8696574,1
1915,7.3065057,10.082679,1
1731,3.4255693,14.056625,1
777,16.091702,5.8106136,1
813,10.753494,9.22568,1
1553,5.610811,12.607828,1
1534,9.9089,25.282782,1
2065,7.9482365,12.434447,1
74,21.625437,11.982154,1
1565,11.890253,17.495743,1
1463,16.655025,3.8787382,1
1414,2.560336,12.21274,1
1351,9.964104,25.33811,1
229,6.0081635,22.049631,1
1291,6.464913,12.025466,1
1903,3.9609294,7.784787,1
1599,3.2695625,14.163039,1
906,13.634332,1.3910887,1
1262,11.019751,10.538175,1
1601,10.705411,15.013424,1
1897,3.4190056,7.194922,1
1287,4.0356917,7.4611263,1
2080,12.0532675,12.5407715,1
1954,9.391086,22.349653,1
1715,7.458956,9.076134,1
417,10.060889,13.396542,1
1860,10.860417,15.018734,1
1841,14.548307,6.7803526,1
1868,15.855055,-1.1748213,1
1269,15.847032,-1.1020449,1
235,3.979398,7.7637477,1
270,3.3046803,14.14907,1
1214,15.659559,-0.34699264,1
1730,4.183658,15.30169,1
1754,7.398112,9.264246,1
841,3.497807,15.404214,1
895,12.212192,15.352701,1
1255,6.499343,11.984499,1
1941,16.131283,5.744469,1
599,12.2116375,15.333715,1
1882,14.835968,-2.6745565,1
795,16.094223,5.777041,1
1586,5.779229,12.883725,1
1524,-0.72830087,14.044001,1
2067,9.719931,12.615699,1
829,3.9908369,7.576604,1
2026,11.1994,13.582554,1
266,16.092056,5.7691317,1
1662,5.316729,17.745934,1
1593,7.4267883,5.6050224,1
1735,1.1153741,9.33011,1
2049,5.487682,12.771127,1
1300,16.591215,4.1351295,1
1115,11.649221,14.534019,1
1859,8.0422735,5.7205234,1
690,12.357116,12.513888,1
2015,6.3148093,21.807545,1
1575,16.579712,6.634036,1
941,14.871249,6.0677233,1
1234,17.176031,6.5123863,1
1219,6.018526,22.02895,1
1865,2.228339,12.490764,1
1871,11.1187,16.166388,1
1656,5.3992376,17.810078,1
1856,6.928975,5.593296,1
1783,10.323655,12.70797,1
303,8.164688,4.5566144,1
1179,3.735359,8.081227,1
374,7.538183,21.441326,1
1141,14.566441,6.762001,1
519,18.774849,6.09895,1
2040,9.923446,25.297148,1
584,6.742034,11.986741,1
2017,2.9107082,17.087753,1
549,21.367744,12.270913,1
1157,11.75502,9.670242,1
348,11.02317,9.850233,1
1679,3.0292585,17.070639,1
642,3.3147097,14.0138445,1
1742,7.751337,5.434313,1
467,7.9239798,10.827254,1
153,9.928546,25.302452,1
