,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-2.4027967,5.726515,0,0,0,0,0,0,0
575,-3.5566802,-2.232548,1,0,0,0,0,0,0
2316,8.569157,7.1671896,0,0,1,1,0,1,1
1092,15.071671,5.240074,1,0,1,1,0,1,1
19,-2.7266548,6.375974,0,0,0,0,0,0,0
2198,8.531721,7.196486,1,0,1,1,0,1,1
1428,-2.5258217,7.0427246,0,0,1,0,0,0,0
1386,11.756914,13.549725,0,0,1,1,1,1,1
1858,-5.511372,2.0596354,0,0,0,0,0,0,0
1967,14.31906,16.179441,0,0,1,1,0,1,1
1147,-4.028476,-3.8399258,0,0,0,0,0,0,0
267,13.363269,15.129832,0,0,1,1,0,1,1
2243,8.446619,6.950429,1,0,1,1,0,0,0
936,15.270408,-0.21633662,0,0,1,0,0,0,1
1528,15.715632,5.102937,1,0,1,1,0,1,1
1454,-5.442948,2.1563084,1,0,0,0,0,0,0
1196,-3.544462,7.03209,0,0,0,0,0,0,0
419,11.770941,13.292256,0,0,1,1,0,1,0
1826,-4.13087,-3.1430454,0,0,0,0,0,0,0
3202,13.996405,-1.3644832,0,0,1,0,1,0,1
2417,12.399985,2.5555897,0,0,1,1,1,1,0
1260,-5.689746,-3.4830396,1,0,0,0,0,0,0
2741,14.202797,15.415728,0,0,1,1,0,1,1
1831,-5.513125,2.0609765,0,0,0,0,0,0,0
443,14.606158,6.2594204,0,0,1,1,1,1,1
3072,-5.6365156,0.69858843,1,0,0,0,0,0,0
1642,-3.688898,-4.057273,1,0,0,0,0,0,0
2742,15.264632,4.6841526,0,0,1,1,0,1,1
3189,14.420844,0.36928904,1,0,1,0,1,0,1
928,-2.2785285,6.8028917,0,0,1,0,0,0,0
698,12.548044,14.751761,0,0,1,1,1,1,1
137,-4.8674397,-2.2621727,0,0,0,0,0,0,0
610,-2.95299,6.9174523,0,0,0,0,0,0,0
2357,12.299075,2.6291687,0,0,1,1,1,1,0
567,15.57033,0.20722441,0,0,1,0,0,0,0
1575,13.964647,-1.314991,0,0,1,0,1,0,1
307,11.560294,1.1767694,0,0,1,0,1,1,1
185,15.594967,0.37126905,0,0,1,0,1,0,1
1872,15.457993,4.895802,0,0,1,1,1,1,1
3243,-5.415052,2.1927452,0,0,0,0,0,0,0
2048,14.369547,4.8841705,0,0,1,1,1,1,1
3188,-5.1887636,0.6068575,0,0,0,0,0,0,0
465,14.515095,6.1446233,0,0,1,1,0,1,1
729,15.234832,-0.17683193,1,0,1,0,1,0,1
695,13.323351,15.079566,0,0,1,1,1,1,1
2782,14.010996,15.832596,0,0,1,1,0,1,1
449,12.088145,13.529887,0,0,1,1,1,1,1
2828,14.458563,4.888139,1,0,1,1,1,1,1
3155,13.020403,-0.3377129,1,0,1,0,1,1,1
1198,-2.655607,7.0388556,0,0,0,0,0,0,0
1356,14.9128065,5.197101,0,0,1,1,0,1,1
2698,-5.59391,0.4105149,0,0,0,0,0,0,0
811,11.937111,13.519092,0,0,1,1,1,1,1
