,UMAP_1,UMAP_2,W3IWER4_A
4744,9.548948,4.550396,1
6217,6.876131,18.375341,1
6238,-2.8344789,15.487511,1
5993,4.8926373,15.585936,1
6040,-2.4290333,14.98172,1
4419,11.846568,0.07969903,1
5708,6.3446226,17.747116,1
5193,13.364505,-3.3276184,1
838,1.2096289,6.4622965,1
5232,3.5334463,15.512043,1
1765,12.095213,3.9616947,1
4216,22.18251,1.5248922,1
5915,-3.3437953,17.524836,1
1596,4.0022097,4.373899,1
5805,3.57135,14.1973715,1
4176,6.7165995,6.6676855,1
4988,22.686014,5.197126,1
6105,3.602039,15.613233,1
5395,-3.5148253,16.559628,1
718,6.9268737,1.6697152,1
4579,8.741033,0.9749842,1
4738,22.64788,5.2204103,1
4943,4.798027,-1.147754,1
4990,2.121526,2.1896355,1
4842,21.953985,9.494647,1
374,21.763315,4.5538874,1
1670,12.921214,-0.33356434,1
5325,-0.2918291,14.044793,1
1948,13.785794,6.043034,1
4794,12.439533,0.6679264,1
5336,-0.5993283,13.966426,1
4339,9.03183,6.5403013,1
5557,-0.5908932,14.355545,1
1855,-0.22818366,-14.128366,1
5843,0.0385079,14.63255,1
1705,8.950366,6.6309824,1
1690,15.316379,16.583103,1
370,4.8600616,6.222081,1
1626,2.582352,4.022119,1
4913,6.714334,6.668323,1
4648,8.113681,-10.833618,1
4440,19.43601,7.119897,1
4632,3.695923,3.996743,1
1454,17.976244,7.3048663,1
5632,4.802237,15.337949,1
5575,-0.18389173,13.698275,1
5654,-0.84933406,15.0392275,1
5963,-3.5996988,16.452673,1
5309,1.8018436,13.692094,1
1974,6.721753,2.6878095,1
241,6.7065873,2.5142112,1
1962,8.380606,-11.1548195,1
4287,8.754841,0.9483184,1
1538,16.292877,1.5395353,1
1627,20.854286,5.1833296,1
5962,-4.449818,17.693472,1
6047,-0.76016575,14.337145,1
5975,4.0822377,14.852436,1
5031,13.599956,9.582703,1
4791,3.8681037,4.022524,1
4899,12.055754,14.01813,1
1323,14.732067,9.535087,1
5032,11.410011,13.643918,1
5132,2.123225,2.401629,1
5011,10.859746,-6.3763747,1
1985,14.113991,8.974151,1
4313,21.524149,0.7659857,1
5377,5.5994782,16.641321,1
4954,23.091328,0.69612604,1
4484,20.339022,5.296206,1
4334,13.80479,-0.16526611,1
882,13.205023,6.407806,1
5661,-1.374192,14.241048,1
5590,-4.3018255,17.322145,1
4812,19.71004,8.847255,1
2032,17.800182,13.023591,1
4410,15.502683,9.443861,1
4304,9.864068,-4.6862297,1
235,2.3915646,7.076338,1
