,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,12.57365,5.226614,1,0,1,1,0,0,0
1428,10.286585,5.685474,0,0,1,1,0,0,0
1386,2.0419283,5.177441,0,0,0,0,1,1,1
1967,1.9282852,4.2210174,0,0,0,0,1,1,1
2243,7.8683558,4.6952267,1,0,1,1,1,1,1
1196,9.955074,5.3159494,0,0,1,1,0,0,0
419,3.665594,5.2020555,0,0,0,0,1,1,1
1826,11.890435,5.392214,0,0,1,1,0,0,0
1260,7.0806975,-0.7152359,1,0,1,1,1,1,1
3072,7.3257976,-0.84483767,1,0,1,1,1,1,1
1642,7.8898315,1.9462537,1,0,1,1,1,1,1
3189,9.990616,3.2496386,1,0,1,1,1,1,1
928,10.598788,5.2724333,0,0,1,1,0,0,0
610,9.684417,5.025004,0,0,1,1,0,1,1
1575,8.1675,1.5910091,0,0,1,1,0,1,1
185,12.828683,4.8093457,0,0,1,1,0,1,1
2782,2.606514,5.0232263,0,0,0,0,1,1,1
449,1.6213734,4.7867365,0,0,0,0,1,1,1
1198,11.102812,6.335347,0,0,1,1,0,0,0
1356,3.9582646,4.8584576,0,0,0,0,1,1,1
399,9.548131,5.054202,0,0,1,1,0,1,1
3168,10.403439,4.0280957,1,0,1,1,1,1,1
1781,10.659225,3.4901037,0,0,1,1,1,1,1
2995,1.9817123,4.552063,1,0,0,0,1,1,1
411,2.3014188,4.379225,0,0,0,0,1,1,1
2878,12.739388,4.637284,0,0,1,1,0,1,1
3264,11.211937,6.54579,0,0,1,1,0,0,0
2071,7.7339973,1.62311,1,0,1,1,0,1,1
680,10.587062,3.6604476,0,0,1,1,1,1,1
865,7.2865844,-0.05945784,0,0,0,1,0,0,0
444,10.012344,4.346666,0,0,1,1,1,1,1
211,8.141025,-0.41779125,0,0,0,1,0,0,0
569,11.370584,5.7716165,0,0,1,1,0,0,0
1243,10.2472105,4.3628073,0,0,1,1,1,1,1
780,9.502542,4.7441063,0,0,1,1,0,1,0
779,7.903526,-0.8912125,0,0,1,1,1,1,1
2076,7.6318183,4.598304,1,0,1,1,1,1,1
1744,7.879708,1.4913918,1,0,1,1,0,1,1
144,12.432597,4.3390913,0,0,1,1,1,1,1
898,11.220743,4.8340273,0,0,1,1,0,1,1
1429,2.4936216,4.7179484,0,0,0,0,1,1,1
2033,3.015604,4.2396245,0,0,0,0,1,1,1
1150,8.6719675,2.1404948,1,0,1,1,1,1,1
1282,7.8734417,-0.5940015,0,0,1,1,0,1,1
1206,10.820586,5.5665226,1,0,1,1,0,0,0
1172,8.254211,2.0955257,1,0,1,1,1,1,1
258,7.9425793,4.874214,0,0,1,1,1,1,1
393,3.8600194,5.1893816,1,0,0,0,1,1,1
960,7.235338,1.4274323,0,0,1,1,0,0,0
877,12.698688,5.28955,1,0,1,1,0,0,0
947,12.3360195,4.896461,0,0,1,1,0,1,1
1944,7.0946264,-0.8138995,1,0,1,1,1,1,1
1950,2.7477744,4.0388584,0,0,0,0,1,1,1
2501,8.601942,4.920361,0,0,1,1,1,1,1
3087,12.094642,4.2201324,0,0,1,1,1,1,1
1387,10.497833,4.547179,0,0,1,1,1,1,1
820,2.189451,4.7662354,1,0,0,0,1,1,1
1115,12.264829,5.322144,1,0,1,1,0,0,0
1998,2.8860228,4.686121,0,0,0,0,1,1,1
1691,8.714057,1.9952703,1,0,1,1,1,1,1
1458,8.497084,1.6049213,0,0,1,1,1,1,0
2714,1.8693192,4.438065,0,0,0,0,1,1,1
1971,1.6925085,5.0216475,0,0,0,0,1,1,1
920,11.064457,5.753271,1,0,1,1,0,0,0
1176,11.549451,5.248241,0,0,1,1,0,0,0
1903,11.278638,6.276991,0,0,1,1,0,0,0
1874,7.923467,-0.49922892,0,0,0,1,0,1,1
311,3.8112938,4.9166975,1,0,0,0,1,1,1
1956,3.77066,4.4413123,0,0,0,0,1,1,1
1530,9.88267,3.9688437,0,0,1,1,1,1,1
430,1.5589203,4.6522655,0,0,0,0,1,1,1
1313,7.3932514,0.3421839,0,0,0,1,1,0,0
281,2.6562536,5.02384,0,0,0,0,1,1,1
2072,8.252799,1.0276431,1,0,1,1,1,1,1
586,12.7416115,4.6040673,1,0,1,1,0,1,1
647,11.352834,6.417466,1,0,1,1,0,0,0
1876,7.260967,1.5279102,1,0,1,1,0,1,0
1134,11.388697,6.3181596,0,0,1,1,0,0,0
2027,2.5426655,4.023058,1,0,0,0,1,1,1
1622,10.97803,6.0017858,0,0,1,1,0,0,0
1132,7.193997,1.3862935,0,0,1,1,0,0,0
2800,7.8676524,1.8437332,1,0,1,1,1,1,1
1447,11.721138,5.6614146,0,0,1,1,0,0,0
1604,12.20215,5.521136,1,0,1,1,0,0,0
642,11.466991,6.011692,0,0,1,1,0,0,0
2712,2.3637767,3.865649,0,0,0,0,1,1,1
220,7.4337234,0.6533567,0,0,0,1,1,0,1
164,7.6536183,4.4251738,0,0,1,1,1,1,1
1256,7.3689275,-0.6224914,0,0,1,1,0,1,1
2059,2.5125773,3.9635983,0,0,0,0,1,1,1
