,UMAP_1,UMAP_2,W3IWER4_A
470,8.321998,-0.33283922,1
322,7.443515,5.548716,1
327,6.588456,0.7482359,1
242,0.023707991,6.086186,1
349,5.9132557,-0.982656,1
547,2.9437604,8.495642,1
71,9.235634,5.0793476,1
538,7.0379357,0.8549543,1
532,5.6231313,5.640319,1
96,8.165274,7.542878,1
520,8.592019,6.7001066,1
480,8.733088,7.0063963,1
214,5.2675653,0.3319002,1
17,8.720569,6.9745493,1
494,6.129267,1.8216816,1
528,8.622586,6.978435,1
362,7.0563254,1.9321393,1
511,0.11664184,5.286215,1
176,8.128286,-0.58306354,1
432,2.9712725,9.031249,1
466,8.520925,6.784662,1
486,8.166074,4.1267834,1
20,6.518048,4.543561,1
263,3.9502242,0.24333791,1
484,7.8764205,4.6562986,1
110,0.36581668,7.5164733,1
316,4.7369018,0.14678116,1
441,7.2426147,-0.32204622,1
113,4.3773317,1.5408976,1
478,8.346784,5.4557366,1
247,5.4249077,1.4943386,1
448,0.23119046,7.682102,1
353,-0.61105305,6.286216,1
23,6.5319505,-1.2312955,1
419,6.88597,1.2341112,1
551,-0.02208593,7.582844,1
48,6.2605333,1.2836286,1
130,8.441831,-0.2296312,1
0,7.5112796,-0.776312,1
387,5.807422,-0.9786346,1
31,7.0982723,-0.120320626,1
529,7.7725997,0.07502239,1
29,3.493364,0.39352477,1
493,3.3736606,0.4959688,1
123,6.5275917,4.5746593,1
487,8.0973015,4.1432424,1
464,4.1195097,7.1068316,1
506,7.9817133,3.7736757,1
161,8.525663,7.201521,1
457,8.4734745,-0.20332904,1
160,4.8778667,0.83010006,1
417,8.845107,7.0261626,1
418,4.3767066,0.9131082,1
301,3.6229417,6.2668986,1
264,8.394356,4.445181,1
90,8.65651,6.774727,1
39,5.4587746,0.17627177,1
276,6.745955,-1.222312,1
545,6.7875223,-1.2581122,1
195,8.444868,6.7446947,1
500,7.5616884,-0.9461899,1
474,5.0417495,1.4915532,1
420,7.9523463,5.845007,1
234,3.8165834,1.2051083,1
443,4.1118164,7.0854907,1
436,5.848555,5.721117,1
426,8.811893,4.9991317,1
523,7.690023,5.7648106,1
508,4.001587,7.2026114,1
347,5.7025266,0.9582138,1
380,6.786661,4.6258106,1
526,6.85577,-1.1714872,1
541,6.6569777,-1.1875973,1
135,8.179161,4.5435257,1
97,9.336077,4.507569,1
152,8.627227,6.9948864,1
452,5.3963485,-0.37793207,1
549,4.3374324,-0.099437766,1
394,4.0583153,0.31857646,1
445,9.440972,4.579056,1
93,0.110266685,5.373963,1
