,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,10.528884,10.21977,1,0,0,0,0,0,0
1428,7.067022,2.56507,0,0,0,0,1,1,0
1386,3.9699678,13.775283,0,0,1,1,1,1,1
1967,5.5173326,13.512299,0,0,1,1,1,1,1
2243,9.35123,5.910629,1,0,0,0,0,0,0
1196,7.690962,2.2262714,0,0,0,0,0,0,0
419,3.9936156,14.162287,0,0,1,1,1,1,1
1826,11.384,10.666282,0,0,0,0,0,0,0
1260,11.483372,10.669153,1,0,0,0,0,0,0
3072,12.125847,10.347306,1,0,0,0,0,0,0
1642,11.261248,10.113093,1,0,0,0,0,0,0
3189,11.351731,5.42824,1,0,0,0,0,0,0
928,6.596442,2.243955,0,0,0,0,1,1,0
610,7.4146976,2.322929,0,0,0,0,0,0,0
1575,12.436516,4.96208,0,0,0,0,0,0,0
185,10.204365,5.692525,0,0,0,0,0,0,0
2782,4.98147,13.15298,0,0,1,1,1,1,1
449,3.8435235,13.92891,0,0,1,1,1,1,1
1198,6.8902397,2.544581,0,0,0,0,1,1,0
1356,5.6062546,12.2191105,0,0,1,1,1,1,1
399,7.857153,2.3820148,0,0,0,0,0,1,0
3168,11.3254385,5.187005,1,0,0,0,0,0,0
1781,10.845819,5.454311,0,0,0,0,0,0,0
2995,5.916048,12.805364,1,0,1,1,1,1,1
411,3.901561,14.10583,0,0,1,1,1,1,1
2878,10.484529,10.099123,0,0,0,0,0,0,0
3264,11.23551,11.138034,0,0,0,0,0,0,0
2071,11.82746,4.590894,1,0,0,0,0,0,0
680,6.7599945,3.4498281,0,0,0,0,1,1,0
865,11.6754,5.917285,0,0,0,0,0,0,0
444,6.616942,2.5910244,0,0,0,0,1,1,0
211,6.711841,2.8879259,0,0,0,0,1,1,0
569,6.703295,3.687595,0,0,0,0,1,1,0
1243,12.714245,10.496783,0,0,0,0,0,0,0
780,7.0566635,2.969776,0,0,0,0,1,1,0
779,12.333599,4.5513043,0,0,0,0,0,0,0
2076,9.6102295,5.668666,1,0,0,0,0,0,0
1744,11.710611,10.175572,1,0,0,0,0,0,0
144,7.891855,3.1530633,0,0,0,0,0,1,0
898,12.185159,5.835713,0,0,0,0,0,0,0
1429,3.6458752,13.942781,0,0,1,1,1,1,1
2033,4.7237644,12.25805,0,0,1,1,1,1,1
1150,12.288568,4.5045605,1,0,0,0,0,0,0
1282,12.045854,4.6841955,0,0,0,0,0,0,0
1206,11.941476,5.2928877,1,0,0,0,0,0,0
1172,11.5198,5.073487,1,0,0,0,0,0,0
258,7.4464097,4.267693,0,0,0,0,0,0,0
393,4.754312,12.649262,1,0,1,1,1,1,1
960,11.469706,6.035506,0,0,0,0,0,0,0
877,11.004041,5.8710694,1,0,0,0,0,0,0
947,10.560606,10.203182,0,0,0,0,0,0,0
1944,12.316981,4.842554,1,0,0,0,0,0,0
1950,4.9178724,12.880065,0,0,1,1,1,1,1
2501,9.234571,6.1225066,0,0,0,0,0,0,0
3087,10.363608,10.611646,0,0,0,0,0,0,0
1387,6.4064684,3.8807833,0,0,0,0,1,1,0
820,5.8101425,13.130039,1,0,1,1,1,1,1
1115,12.779417,10.587576,1,0,0,0,0,0,0
1998,4.856952,12.629402,0,0,1,1,1,1,1
1691,12.198641,10.885428,1,0,0,0,0,0,0
1458,6.449212,4.096919,0,0,0,0,1,1,0
2714,5.610518,13.293777,0,0,1,1,1,1,1
1971,5.2932534,13.307728,0,0,1,1,1,1,1
920,11.933565,4.7784257,1,0,0,0,0,0,0
1176,12.463215,5.3570786,0,0,0,0,0,0,0
1903,11.360754,11.121927,0,0,0,0,0,0,0
1874,11.629274,4.912818,0,0,0,0,0,0,0
311,4.9899483,12.599171,1,0,1,1,1,1,1
1956,5.4495087,12.84375,0,0,1,1,1,1,1
1530,12.955511,11.028846,0,0,0,0,0,0,0
430,5.4371986,13.453429,0,0,1,1,1,1,1
1313,7.006596,3.0071483,0,0,0,0,1,1,0
281,5.100305,12.664157,0,0,1,1,1,1,1
2072,11.855856,9.859696,1,0,0,0,0,0,0
586,10.759257,10.928571,1,0,0,0,0,0,0
647,12.665439,11.376158,1,0,0,0,0,0,0
1876,12.302358,10.144456,1,0,0,0,0,0,0
1134,12.771372,10.832175,0,0,0,0,0,0,0
2027,5.7049174,12.314894,1,0,1,1,1,1,1
1622,11.132548,5.023677,0,0,0,0,0,0,0
1132,11.272285,6.149706,0,0,0,0,0,0,0
2800,10.9920435,5.0628767,1,0,0,0,0,0,0
1447,13.116967,11.132733,0,0,0,0,0,0,0
1604,12.37196,10.18478,1,0,0,0,0,0,0
642,12.06769,11.236716,0,0,0,0,0,0,0
2712,5.23794,13.337757,0,0,1,1,1,1,1
220,7.213812,4.063892,0,0,0,0,1,0,0
164,9.363395,5.367512,0,0,0,0,0,0,0
1256,11.727296,5.658834,0,0,0,0,0,0,0
2059,5.466059,12.080649,0,0,1,1,1,1,1
1111,3.9542558,13.491481,0,0,1,1,1,1,1
1073,10.351001,10.441979,0,0,0,0,0,0,0
1870,12.020872,10.593746,0,0,0,0,0,0,0
593,5.5324435,12.203331,1,0,1,1,1,1,1
1345,13.069836,10.824448,0,0,0,0,0,0,0
808,12.005626,5.7363343,1,0,0,0,0,0,0
2044,5.4423585,12.150869,0,0,1,1,1,1,1
1411,12.315667,11.520007,1,0,0,0,0,0,0
1510,12.390708,4.680466,0,0,0,0,0,0,0
1655,11.103775,6.245894,1,0,0,0,0,0,0
160,10.611281,5.5076656,0,0,0,0,0,0,0
1275,6.5988355,2.224961,0,0,0,0,1,1,0
883,10.82945,11.066467,1,0,0,0,0,0,0
2479,11.110549,10.117008,0,0,0,0,0,0,0
1146,12.332495,11.310502,1,0,0,0,0,0,0
1096,11.361232,11.371973,1,0,0,0,0,0,0
874,7.148603,3.4239018,0,0,0,0,1,1,0
663,6.762389,2.8396256,0,0,0,0,1,1,0
1056,12.403972,5.3471646,1,0,0,0,0,0,0
2068,6.9775963,2.227237,0,0,0,0,1,1,0
2753,4.721753,12.703155,0,0,1,1,1,1,1
1793,12.122724,4.538388,0,0,0,0,0,0,0
878,7.91727,2.991147,0,0,0,0,0,1,0
984,12.953519,10.906357,0,0,0,0,0,0,0
968,12.017315,4.706995,1,0,0,0,0,0,0
1039,6.544563,3.9141464,0,0,0,0,1,1,0
1242,6.851538,2.9798436,0,0,0,0,1,1,0
2345,5.944724,12.755201,0,0,1,1,1,1,1
1667,11.771645,10.21418,1,0,0,0,0,0,0
682,12.183987,4.643153,0,0,0,0,0,0,0
1069,7.7080746,2.301216,0,0,0,0,0,0,0
1314,11.864657,10.060318,1,0,0,0,0,0,0
192,8.072686,3.0562694,0,0,0,0,0,0,0
1239,7.58393,2.2176569,0,0,0,0,0,0,0
270,3.73261,13.758607,0,0,1,1,1,1,1
1182,10.823626,5.6183815,1,0,0,0,0,0,0
658,12.290007,11.479453,1,0,0,0,0,0,0
1658,11.281971,5.597728,1,0,0,0,0,0,0
1005,11.142666,11.070927,1,0,0,0,0,0,0
106,5.764148,13.268105,1,0,1,1,1,1,1
1089,6.781071,2.9648306,0,0,0,0,1,1,0
1663,10.720597,10.087633,0,0,0,0,0,0,0
1406,6.294605,2.8558686,0,0,0,0,1,1,0
706,6.8179975,3.7938209,0,0,0,0,1,1,0
2940,4.5957894,12.389704,1,0,1,1,1,1,1
1910,11.535687,10.270453,0,0,0,0,0,0,0
1037,7.1030035,2.1678882,0,0,0,0,1,1,0
3086,10.489155,10.668103,1,0,0,0,0,0,0
2703,9.352296,5.9850054,1,0,0,0,0,0,0
349,3.6021817,13.582617,0,0,1,1,1,1,1
3309,11.536698,11.190065,1,0,0,0,0,0,0
1269,3.7488413,14.043695,0,0,1,1,1,1,1
915,12.593935,10.874067,0,0,0,0,0,0,0
1165,12.596175,10.744142,1,0,0,0,0,0,0
304,3.8536596,14.09897,0,0,1,1,1,1,1
2769,5.181853,12.959131,1,0,1,1,1,1,1
1352,12.4748535,11.451192,1,0,0,0,0,0,0
1154,10.832413,10.312305,1,0,0,0,0,0,0
1565,11.74469,10.578631,0,0,0,0,0,0,0
2017,12.223972,11.018343,0,0,0,0,0,0,0
111,6.5857916,3.0699165,0,0,0,0,1,1,0
611,11.708012,5.394957,1,0,0,0,0,0,0
1753,12.006078,10.289202,1,0,0,0,0,0,0
1112,7.421374,3.3998604,0,0,0,0,0,0,0
2247,9.673373,5.577445,0,0,0,0,0,0,0
1881,11.210438,6.1027,0,0,0,0,0,0,0
1552,11.1979,6.158038,1,0,0,0,0,0,0
1347,12.272938,10.57888,0,0,0,0,0,0,0
1656,12.197335,11.274946,0,0,0,0,0,0,0
1168,6.789756,2.8820612,0,0,0,0,1,1,0
3077,10.758597,10.851577,0,0,0,0,0,0,0
668,3.8440897,13.96408,0,0,1,1,1,1,1
1508,11.604475,10.619695,0,0,0,0,0,0,0
1419,12.0674,11.18831,1,0,0,0,0,0,0
1860,5.8581195,12.663385,1,0,1,1,1,1,1
2410,9.203422,6.0580153,1,0,0,0,0,0,0
641,11.808065,4.766075,1,0,0,0,0,0,0
1229,11.972592,5.9083962,0,0,0,0,0,0,0
1047,7.672694,2.2444186,0,0,0,0,0,0,0
476,12.005315,5.837972,1,0,0,0,0,0,0
2064,5.654608,13.142336,0,0,1,1,1,1,1
2218,11.269655,10.485806,0,0,0,0,0,0,0
1188,3.8068225,13.547058,0,0,1,1,1,1,1
1695,5.8670697,13.195379,0,0,1,1,1,1,1
637,6.6343956,3.9460332,0,0,0,0,1,1,0
34,9.934624,5.610101,0,0,0,0,0,0,0
1249,6.9364505,2.193732,0,0,0,0,1,1,0
891,11.557449,9.882335,1,0,0,0,0,0,0
1772,12.42131,5.0312786,1,0,0,0,0,0,0
2186,10.908913,5.032119,1,0,0,0,0,0,0
295,4.0591497,13.48104,0,0,1,1,1,1,1
581,6.297672,2.753376,0,0,0,0,1,1,0
301,5.660065,12.617881,1,0,1,1,1,1,1
2408,10.188202,5.2877846,1,0,0,0,0,0,0
1216,12.159755,11.333891,0,0,0,0,0,0,0
169,9.330158,5.8893514,1,0,0,0,0,0,0
215,7.0420356,3.7372406,0,0,0,0,1,1,0
2031,5.3043118,12.021285,0,0,1,1,1,1,1
1990,5.647327,12.371643,0,0,1,1,1,1,1
1021,12.205641,5.570711,0,0,0,0,0,0,0
885,12.132075,4.778969,0,0,0,0,0,0,0
371,5.802876,12.764161,0,0,1,1,1,1,1
1960,5.1082163,12.142498,0,0,1,1,1,1,1
3279,12.903078,11.032852,0,0,0,0,0,0,0
3013,4.9480042,12.600445,0,0,1,1,1,1,1
892,10.450702,10.279322,1,0,0,0,0,0,0
1357,10.823034,5.6541767,0,0,0,0,0,0,0
1389,12.742046,10.674087,0,0,0,0,0,0,0
737,3.7864423,13.705797,0,0,1,1,1,1,1
