,UMAP_1,UMAP_2,W3IWER4_A
1174,-1.3110298,-11.453856,1
1335,7.624627,0.27280727,1
1202,5.2184563,-0.31308582,1
1497,5.2901278,11.457531,1
502,2.3745723,5.507169,1
442,-5.5593476,-8.662402,1
1569,-6.7450085,18.543411,1
1634,11.343651,14.822746,1
1190,-2.981398,-6.369532,1
1299,-3.3220594,-6.3834,1
1326,1.4870784,-7.671621,1
1373,-4.5333214,4.414057,1
1125,4.358952,-7.007213,1
1175,2.3320732,-9.374095,1
1336,5.1338844,-0.394359,1
130,4.609248,-8.367785,1
357,1.4637197,-0.13258405,1
394,4.475261,-7.335976,1
1533,4.8617587,19.770742,1
517,-4.6763873,-8.369651,1
474,2.7367933,-9.8241825,1
1154,-2.0854583,-4.3309865,1
1483,1.1275607,19.588238,1
1200,-4.5482054,4.392698,1
1441,1.1368583,19.57951,1
1158,-4.1466436,-9.5668745,1
1619,4.8334875,19.787718,1
349,7.960565,0.25378564,1
513,-8.665209,1.9321307,1
1513,-13.570529,6.12534,1
1444,12.181791,18.3015,1
1560,4.7926207,19.835861,1
536,-1.6295356,-11.76884,1
443,-7.4536595,1.7474546,1
288,1.710594,-8.706717,1
1467,-1.8627349,13.452595,1
1363,-5.160432,1.8058144,1
1180,-0.47841814,4.453847,1
214,6.4264092,0.5417663,1
1297,0.24705549,-5.6387386,1
69,3.3055365,-9.626481,1
1112,-3.4345841,-1.8585219,1
66,1.4821249,-7.6598644,1
160,-4.3425508,-7.7093368,1
115,4.0830083,-0.12355248,1
469,0.27295873,-5.66066,1
0,6.4593897,0.56428015,1
1121,-3.1558335,-6.28296,1
102,4.552383,-8.531083,1
465,0.48621115,-4.739053,1
1309,-2.1080856,-4.328823,1
1318,-6.700453,2.3566272,1
1572,1.2177101,19.495834,1
1381,3.3378983,11.290342,1
1595,1.1466252,19.568644,1
337,2.1402538,-9.248522,1
1187,4.531739,-7.433394,1
1205,1.7312912,-8.685443,1
1431,4.882033,19.717995,1
1526,4.416868,11.969965,1
471,-3.2834313,-6.362059,1
1408,-0.5424579,18.162033,1
1476,-10.092761,5.797298,1
1628,-6.7862797,18.611,1
1216,-1.2794443,-11.422949,1
4,2.203383,-7.892207,1
1178,7.6794686,-1.272678,1
538,4.660662,-8.367618,1
1461,1.0942625,19.62036,1
1276,4.822737,-1.1118263,1
549,4.7457657,-0.1686898,1
1590,4.468212,11.949578,1
222,1.8547761,5.281461,1
419,1.0931593,0.27521276,1
1642,3.9690282,11.975821,1
1575,-1.8690692,13.458717,1
1584,12.21903,18.338717,1
497,-0.47707397,4.438238,1
540,4.5553102,-0.9502646,1
54,-5.964636,0.85212815,1
498,1.5259995,-7.707715,1
1211,0.4634547,0.3261298,1
1433,3.7110987,11.839025,1
503,-4.4055953,1.7558805,1
1139,-2.8551574,-6.2766957,1
1108,-0.4385734,4.484328,1
123,4.0080786,-7.365785,1
1214,7.855252,0.28265858,1
47,2.6937141,-0.27967945,1
1227,1.4471323,-0.12124484,1
1494,-0.49099588,18.20342,1
1608,11.371419,14.850526,1
1565,12.163835,18.283493,1
457,4.603638,-8.387328,1
519,-0.14433728,-4.2924643,1
1541,3.341569,11.29274,1
1522,-6.5829225,18.00522,1
1401,-6.239439,17.067547,1
1302,2.7498972,-9.852767,1
1275,2.0155365,-8.072874,1
1607,-2.8211684,14.395214,1
526,-4.5170946,4.4304647,1
500,1.7182198,-8.682522,1
1637,12.873196,-14.840861,1
1487,12.14159,18.261398,1
448,4.8538985,-1.1396415,1
169,-1.295641,-11.438906,1
242,-4.046233,-9.65141,1
355,2.0560603,-9.148022,1
1479,-10.408816,13.750226,1
1421,4.75367,19.87559,1
1325,-0.4731252,4.443657,1
327,2.4930742,5.6017804,1
258,-4.4105644,-6.811424,1
1385,-6.5985374,18.014214,1
1323,-4.246895,-6.9100995,1
2,-0.14953935,-5.3976383,1
11,-3.63137,-2.0020046,1
97,-5.5875783,0.71043026,1
1117,2.790536,-9.941102,1
1172,-4.622935,-1.5722017,1
1423,-6.8473287,18.715063,1
1552,-13.566454,6.126469,1
546,4.866373,-1.173273,1
414,1.3710815,-7.531343,1
1220,2.7921464,-7.3812475,1
1406,12.839208,-14.873636,1
511,4.592915,-1.0007067,1
1611,4.966751,19.449244,1
1238,5.1694984,-0.45981032,1
528,-6.783286,2.439794,1
418,-5.7754664,-0.058883354,1
391,5.173173,-0.49877372,1
506,-0.17970033,-3.841948,1
1549,-6.256932,17.079159,1
468,2.4111242,5.5212364,1
489,-5.9590187,0.23119694,1
1193,-4.46144,-8.162193,1
132,-4.0922112,1.3711194,1
1285,4.5776687,-8.386406,1
455,-2.8529148,-6.296261,1
81,1.9456799,-8.659924,1
43,8.427067,-0.23041038,1
452,-6.028296,0.8998388,1
1256,2.060799,-9.138214,1
1271,-7.450022,1.720518,1
1351,3.2978058,-9.624505,1
1119,4.3189235,-7.922334,1
316,-4.192526,1.5907117,1
1107,3.5155241,-0.11948098,1
1422,-6.337059,17.20438,1
1232,3.946325,-7.2675886,1
1333,-0.52805,-10.471425,1
510,-4.494626,-8.219416,1
1379,1.9218681,-8.815027,1
1308,-0.13794705,-4.2538657,1
1210,1.9984943,5.236506,1
1640,5.287653,11.460805,1
1598,1.3072463,19.408966,1
1113,-5.877779,2.3486314,1
1155,4.040013,-0.15614434,1
1462,-3.4829602,10.111874,1
1349,4.666368,-1.018999,1
1372,-1.6533862,-11.792817,1
1365,6.500738,0.60515755,1
467,-5.960982,0.22233714,1
1266,2.3038597,5.4299955,1
1192,-4.067608,-9.630592,1
220,4.550723,-7.4405727,1
479,0.8049054,-7.209664,1
1448,-3.465928,10.095859,1
1215,4.1047883,-9.4972515,1
1392,-6.5856338,18.006788,1
307,0.43878722,0.3086747,1
1425,-10.079468,5.7838244,1
1396,-6.7077823,18.465265,1
34,-3.1829183,-6.2646136,1
434,-4.3551254,-7.8812385,1
1268,-14.727623,-3.0948532,1
486,-0.44972786,4.4720078,1
1366,4.6409926,-8.424171,1
541,-4.5335746,4.412601,1
485,2.86091,-9.593615,1
480,-0.113470465,-4.255482,1
234,-3.1456819,-6.3059654,1
1532,-6.890867,18.989998,1
1247,-0.14006613,-4.2830877,1
490,-6.699754,2.3544872,1
1459,-3.35421,9.984562,1
441,1.7559934,-7.93254,1
1186,-5.513246,-8.675083,1
353,-4.5665865,-1.7385643,1
1263,-5.5156856,0.28731596,1
1564,-6.1893916,17.006466,1
78,2.808805,-9.539265,1
424,-3.6394534,-6.684651,1
476,0.11950509,-3.6251557,1
1129,-0.6256673,-4.1799445,1
433,-5.705669,1.0749724,1
1587,-2.0295124,13.6184025,1
296,-6.7452073,-6.6431904,1
487,4.4145164,1.0159765,1
1561,3.771838,11.888995,1
534,-4.534653,4.410245,1
264,1.6138612,4.9428687,1
1251,5.803017,0.16310485,1
278,-3.4882967,-1.7983457,1
1510,4.7366734,19.89893,1
1277,1.6654392,4.9545355,1
459,-4.1554933,-9.560671,1
1579,-3.5132265,10.142035,1
1436,-13.566038,6.126823,1
1235,2.3129773,5.0693183,1
1506,-3.359503,9.989861,1
1176,5.7842665,0.14769544,1
322,-1.2859865,-11.429299,1
1576,4.816342,19.814308,1
1138,1.9346578,-8.6387615,1
1296,2.3442962,5.4649477,1
1519,11.376738,14.85588,1
1183,-14.699862,-3.1222606,1
1312,2.1249444,-7.9912505,1
481,-2.1046636,-4.331527,1
1294,-0.89300215,3.8508954,1
1480,-3.6707757,10.296989,1
1527,11.346767,14.825935,1
1114,-4.2016983,-9.5276,1
1604,1.2774416,19.435694,1
1649,-10.10751,5.8117347,1
14,-5.8698153,2.3389957,1
1206,-7.449264,1.754177,1
451,1.5613234,-7.754146,1
1198,1.634572,4.933629,1
92,-3.019448,-6.3553276,1
1376,-4.878176,1.858239,1
1131,1.473993,-7.6522136,1
1358,-2.9647925,-6.324219,1
1399,-3.6666965,10.291125,1
1538,4.8564167,19.754875,1
1566,3.8948128,11.942233,1
1410,-0.48907736,18.204645,1
1234,7.009212,-1.089866,1
1632,-3.4571338,10.086784,1
1550,-10.412324,13.746673,1
1501,-3.36856,9.999095,1
1478,-13.567868,6.125708,1
13,-3.4655564,-1.8053095,1
141,1.9699297,5.27423,1
1653,-10.088791,5.7936287,1
509,2.2877295,5.1311617,1
1217,0.215721,-3.6624873,1
263,-0.4763017,4.445547,1
1404,5.055415,19.179134,1
1577,-6.253204,17.089548,1
524,2.0030656,-8.185226,1
423,5.8110876,0.16341871,1
1643,5.266987,11.463884,1
216,2.7072191,-7.499377,1
1583,-6.6651506,18.311556,1
1517,4.868602,19.729958,1
1259,6.0405955,0.32888877,1
1489,4.1432576,11.975223,1
1374,4.8652754,-1.1685402,1
1228,4.784839,-1.0810064,1
1219,2.1105566,-9.212891,1
1605,-0.49119237,18.203522,1
387,7.937329,0.32442364,1
1122,7.983104,0.7649257,1
1356,-6.753355,2.415397,1
1472,-10.120188,5.825552,1
522,7.2029543,-1.0627804,1
354,-14.742824,-3.0799406,1
1317,-5.9565988,0.23428193,1
399,-6.102667,1.0899631,1
545,-4.5316596,4.415395,1
181,-2.0022697,-3.4706206,1
1465,12.863035,-14.847383,1
1446,-10.566987,13.591051,1
376,-4.2762938,-9.416985,1
1377,4.729769,-0.17141521,1
1484,-6.670917,18.332455,1
1568,-0.48305953,18.2088,1
1153,-5.9343114,0.22545722,1
1654,5.316675,11.432601,1
29,4.3146453,-7.933509,1
254,-1.8317337,-4.2613854,1
439,4.4461737,-9.969453,1
188,-0.43588766,4.4978547,1
281,-8.642668,1.9191774,1
1508,-6.2303333,17.048275,1
1152,-0.95958275,-3.7070844,1
482,-14.750244,-3.0726335,1
1357,-6.747834,-6.645005,1
472,-5.5398426,1.8598871,1
1599,-10.446381,13.712524,1
504,5.8304415,0.17813809,1
1633,1.1321912,19.584545,1
1400,11.353756,14.833013,1
1407,-6.699557,18.466974,1
1644,4.7638555,19.86557,1
93,4.713485,-1.0565912,1
1167,-6.7401757,2.4061527,1
1485,-6.3627357,17.336603,1
547,-4.4042096,-7.9990726,1
341,2.789347,-7.3791595,1
1623,12.177655,18.29737,1
1466,11.327122,14.806097,1
1306,-4.0812793,1.355989,1
1179,-1.9917464,-3.477006,1
1361,11.008647,-8.038744,1
460,4.430212,-9.958721,1
1371,-0.9887671,-3.6344316,1
456,-5.5553026,1.8860171,1
1292,1.8909903,-8.7480755,1
535,-5.143969,1.8122982,1
1144,-2.9997096,-6.364809,1
1233,-4.285109,-9.404285,1
1327,-0.506151,-10.473967,1
1616,-2.7613056,14.335457,1
1173,4.376316,1.0496644,1
1622,-6.8944297,18.997313,1
1150,4.502069,-8.575117,1
1132,2.7307942,-7.3637543,1
1126,7.678318,-1.2938068,1
1555,-6.7104697,18.466103,1
1534,5.1298227,19.037857,1
174,5.8016806,0.16265726,1
1503,12.891141,-14.822936,1
295,-7.450308,1.7508281,1
1652,-2.8074183,14.38251,1
1269,1.7350706,-7.9353833,1
1310,-14.726048,-3.096556,1
1223,-1.3027512,-3.7639225,1
1540,-10.530246,13.627783,1
1282,-4.1430535,-9.569459,1
1495,-6.9098496,18.98635,1
68,2.7496967,-7.3496265,1
1574,3.7412157,11.856869,1
1161,4.595736,-8.382351,1
1182,11.00878,-8.0391865,1
1307,0.80251586,-7.2073417,1
551,1.9337983,-8.821742,1
15,-4.1918783,-9.515798,1
505,-0.5167774,-10.451652,1
1378,-0.82140213,-10.926766,1
1338,-4.524847,-8.255865,1
1166,-1.6479862,-11.787204,1
1245,0.450805,-4.7950497,1
426,-4.5793467,-1.2229749,1
137,1.2181104,0.27911338,1
1612,-13.567709,6.125725,1
1253,-5.8019757,-0.047897957,1
379,7.037188,-1.0945321,1
533,11.008612,-8.038788,1
1171,-4.333626,-7.731172,1
48,4.3499465,-7.0249867,1
1249,1.120608,0.2883874,1
1347,-0.14762211,-4.310839,1
1650,-13.566688,6.126677,1
1626,-10.124088,5.830956,1
432,1.4797767,-0.16039124,1
1293,0.46734408,-4.7576323,1
1226,2.074059,-9.164711,1
1315,4.3812866,1.0479288,1
1322,1.8440044,5.292409,1
1149,4.1586013,0.0074441712,1
1267,4.4265165,-9.949525,1
28,6.503032,0.6010591,1
1261,-5.6954966,1.0199144,1
157,0.34397754,-4.21312,1
1348,-6.7459993,2.400438,1
1429,-10.513538,13.644493,1
1352,1.963355,-8.14266,1
208,-14.726459,-3.0957885,1
1570,-2.0239587,13.613069,1
1305,5.1432576,-0.44414917,1
1593,-10.564983,13.592804,1
31,1.5288771,-7.723789,1
1543,-6.1842637,17.004833,1
543,-0.9883275,-3.629543,1
429,-5.4004846,1.6786274,1
1620,12.147261,18.267023,1
1344,-0.19446705,-4.2519946,1
1537,12.843344,-14.869764,1
161,-4.6370187,-1.5295396,1
76,1.908306,-8.353385,1
305,2.018408,5.288726,1
1606,-6.891775,18.986736,1
1188,1.8700042,5.290831,1
366,-4.579947,-1.2215817,1
1146,-0.7574612,-4.0691814,1
484,2.137544,-7.9593616,1
1411,4.8135986,19.808172,1
463,4.2387323,-7.091254,1
8,-0.4396122,4.4839945,1
276,-4.518116,4.4235106,1
1629,12.867413,-14.846336,1
1334,-0.18164626,-3.8470128,1
1447,4.859686,19.73692,1
1118,6.510433,0.60615426,1
445,0.25937766,-5.6483192,1
1252,-3.620124,-6.6601133,1
1340,1.239333,0.29057777,1
1332,5.815761,0.16756341,1
1201,-3.5343668,-1.7788613,1
1529,-2.748386,14.322833,1
1585,1.0932573,19.621878,1
1350,7.1980977,-1.062787,1
1618,1.1141821,19.60165,1
1168,-0.04922976,-5.3257565,1
1413,3.8558993,11.945396,1
1170,-5.492578,0.31813794,1
1388,-10.450725,13.708225,1
1160,7.991475,0.63197815,1
1240,4.479672,-7.324115,1
1140,0.6973773,-7.1163054,1
1375,-4.3789496,-7.974901,1
1169,0.352301,-4.220237,1
90,-8.661812,1.9470422,1
1437,3.7731977,11.891839,1
1123,8.417403,-0.22392133,1
461,-1.175097,-3.695426,1
550,-0.82295966,-10.925745,1
1573,-6.189486,17.00887,1
153,-0.072961055,-5.3339853,1
508,5.156814,-0.37583214,1
1281,-6.065722,1.077274,1
1321,4.297719,-7.896809,1
1291,4.1856956,-7.0729475,1
380,2.3290868,5.094058,1
1162,-4.087835,1.3572781,1
1148,-5.5436797,0.6380941,1
