,WWWWHITE,WWWMALE,WWWSEX,W12WHITE,AGE65PLM,AGE4049M,W12EDUC3,W1FIPCOM,W12BLACK,W2TOTCL,WWWBLACK,AGE5059M,AGE3039,W2FIPCOM,WWWHOMLN,AGE1829,W1TRUAM2,EDUCAT4,W2CIVLIB,CENSDIV,W12HISP,WWWBRNUS,WWWAGEC1,WWWEDU3,WWWHISP,WWWEDU5,W1STATE,AGE6064M,W12RACE4,W2SECURE,WWWRACE4,RAC3,WWWRACE3,NEWRACE,WWWAGE,COMPLET2,IMPHISP,RACES,W12OTHET,W2MISSCL,USAWT2RC,USAWT1RV,RACWT1RV,RHWT2CC,USAWT2CC,USAWT2NC,RHWT2RC,MULT2,W3IWER4_A
1886,-1,-1,-0.5,-0.37699463589783755,-1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,0.2505698959708106,-1.0,-1.0,-1.0,-0.33333333333333326,-0.14754594219110562,-0.935483870967742,0.37699463589783755,-0.37699463589783755,0.33333333333333326,0.0,-1,-0.5,0.2727272727272727,-1.0,-0.08200357606810837,0.3293641240092877,-0.33333333333333326,-1.0,-1,-1.0,-0.056613476376057514,-1.0,-0.6439969347987642,-0.9999999999999999,-1.0,-0.8,-1.0,-1.0,-1.0,-0.9978139199197125,-0.9986921400622146,-0.9989592348747239,-1.0,-1.0,1
2057,1,-1,1.0,1.0,-1.0,-1.0,-1.0,-0.1428571428571429,-1.0,0.10933462157533347,-1,-1.0,1.0,-0.5245708764677143,-1.0,-1.0,0.4218669243150668,-0.33333333333333326,-0.3949083882316362,-0.3548387096774195,-1.0,1.0,-0.33333333333333326,0.0,-1,-0.5,-0.38181818181818183,-1.0,-0.9999999999999999,-0.3949083882316362,-0.9999999999999999,-1.0,-1,-1.0,-0.525831179817351,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8890665378424667,-0.9284459694087871,-0.8207855581142376,-0.856023216195034,-0.9719574022861178,-0.9704051978727306,-1.0,-0.9625824340286091,-1.0,1
1162,1,1,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.2727272727272727,-1,1.0,-1.0,-0.1428571428571429,-1.0,-1.0,-1.0,1.0,-0.09090909090909083,-0.3548387096774195,-1.0,1.0,0.33333333333333326,1.0,-1,1.0,-0.4181818181818182,-1.0,-0.9999999999999999,-0.4545454545454545,-0.9999999999999999,-1.0,-1,-1.0,0.01333333333333342,0.0,0.1428571428571428,-0.9999999999999999,-1.0,0.0,-1.0,-1.0,-1.0,-0.8209963041034829,-0.8110881518837453,-0.809689396926299,-1.0,-1.0,1
1306,1,1,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,0.3333333333333335,0.8181818181818183,0.29032258064516125,-1.0,1.0,0.33333333333333326,0.0,-1,0.0,0.3090909090909091,-1.0,-0.9999999999999999,-0.6363636363636362,-0.9999999999999999,-1.0,-1,-1.0,0.06666666666666687,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8,-1.0,-1.0,-1.0,-0.8366717468392421,-0.8276312564406054,-0.8263917180985222,-1.0,-1.0,1
2022,1,-1,-0.5,1.0,-1.0,-1.0,1.0,0.9999999999999999,-1.0,1.0000000000000002,-1,1.0,-1.0,0.6120150366670377,-1.0,-1.0,-0.47158947433307363,1.0,0.3310956934849667,0.9999999999999998,-1.0,1.0,0.33333333333333326,1.0,-1,0.5,-0.8181818181818182,-1.0,-0.9999999999999999,-0.1492775116667846,-0.9999999999999999,-1.0,-1,-1.0,-0.03901543846671851,-0.678973685832684,0.1428571428571428,-0.9999999999999999,-1.0,-0.8,-0.7521274099534335,-0.7673989194031756,-0.81313361165814,-0.9016257621434524,-0.8961805844990111,-1.0,-0.8703806212739695,-1.0,1
1793,1,1,-1.0,1.0,-1.0,-1.0,-0.5019443751719925,-0.5697619641382922,-1.0,0.9094444318494534,-1,-0.003888750343985059,-1.0,0.14396821438399565,-1.0,-1.0,0.003888750343985059,-0.3359258335626567,-0.09232318194326716,-0.3548387096774195,-1.0,1.0,0.5006481250573309,-0.5019443751719925,-1,-0.5019443751719925,0.38181818181818183,0.003888750343985059,-0.9999999999999999,0.18358579561090238,-0.9999999999999999,-1.0,-1,-1.0,0.10682221668042624,-0.5019443751719925,0.1428571428571428,-0.9999999999999999,-1.0,-0.7003888750343985,-0.6636024150177284,-0.7971309802889633,-0.8370196693730498,-0.7843081841383959,-0.7723692834727774,-0.9115164666763873,-0.8240884723795768,-1.0,1
343,1,1,-1.0,1.0,-1.0,1.0,1.0,0.9999999999999999,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-0.19999999999999996,1.0,0.4545454545454546,-0.29032258064516125,-1.0,1.0,0.0,1.0,-1,0.5,-0.34545454545454546,-1.0,-0.9999999999999999,-0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,-0.2533333333333332,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8,-0.8568651450788494,-0.8641850565359115,-0.8908893806390229,-0.9435279830678228,-0.9404021630275058,-1.0,-0.9251508568758798,-1.0,1
1058,-1,-1,1.0,-1.0,-1.0,1.0,-1.0,-0.1428571428571429,-1.0,1.0000000000000002,-1,-1.0,-1.0,-0.1428571428571429,-1.0,-1.0,0.6000000000000001,-0.33333333333333326,-0.2727272727272727,0.41935483870967727,1.0,1.0,0.0,0.0,1,-0.5,0.709090909090909,-1.0,0.3333333333333335,0.4545454545454546,0.3333333333333335,-1.0,-1,-1.0,-0.30666666666666664,-1.0,-0.9999999999999999,-0.9999999999999999,-1.0,-0.8,-0.9009379881827392,-0.9754403576926269,-0.9802693450728338,-0.9217360184343825,-0.9644073484905354,-1.0,-0.945338303496891,-1.0,1
1511,1,-1,1.0,1.0,-1.0,-1.0,-1.0,-0.1428571428571429,-1.0,1.0000000000000002,-1,1.0,-1.0,0.4285714285714285,1.0,-1.0,-0.19999999999999996,-0.33333333333333326,-0.4545454545454545,-0.3548387096774195,-1.0,-1.0,0.33333333333333326,0.0,-1,-0.5,-0.09090909090909094,-1.0,-0.9999999999999999,0.6363636363636365,-0.9999999999999999,-1.0,-1,-1.0,-0.06666666666666665,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8,-0.741992977774006,-0.7520094256175311,-0.8007700443232493,-0.8988849814350052,-0.893288097020852,-1.0,-0.8650810486080552,-1.0,1
1555,1,-1,0.0,0.3804557363254957,1.0,-1.0,0.3804557363254957,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,0.5869704908836639,0.3161979140634563,-0.31030787947337113,-1.0,1.0,0.9999999999999998,0.6902278681627478,-1,0.5353418022441216,-0.35671898661226376,-1.0,-0.38045573632549545,-0.13437973224527422,-0.9999999999999999,-0.3804557363254957,-1,-1.0,0.7168121529686804,-1.0,0.1428571428571428,-0.3804557363254957,-0.3804557363254957,-0.8,-1.0,-1.0,-1.0,-0.9325980042494444,-0.9288671917069006,-0.9284298064514616,-1.0,-0.8451139340813739,1
2006,1,1,-1.0,1.0,-1.0,-1.0,0.0,0.9999999999999999,-1.0,1.0000000000000002,-1,1.0,-1.0,0.9999999999999999,-1.0,-1.0,-0.3596874421409815,0.3333333333333335,0.7822443970804798,0.41935483870967727,-1.0,-0.20156278929509241,0.33333333333333326,0.0,-1,0.0,0.709090909090909,-1.0,-0.9999999999999999,-0.6004262152622979,-0.9999999999999999,-1.0,-1,-1.0,-0.07204167438120246,-0.6007813946475462,0.1428571428571428,-0.9999999999999999,-1.0,-0.8,-0.9966014517190955,-0.9965243229009222,-0.9972077205106137,-0.998658862807565,-0.9985846286338759,-1.0,-0.99822280585099,-1.0,1
284,-1,-1,1.0,-1.0,-1.0,-1.0,-1.0,0.4285714285714285,1.0,0.2727272727272727,1,-1.0,-1.0,-0.1428571428571429,-1.0,-1.0,1.0,-0.33333333333333326,0.09090909090909105,-0.935483870967742,-1.0,1.0,0.6666666666666667,0.0,-1,-0.5,0.19999999999999996,1.0,-0.33333333333333326,-0.6363636363636362,-0.33333333333333326,0.0,0,0.0,0.1200000000000001,-1.0,0.1428571428571428,-0.5999999999999999,-1.0,0.0,-0.9846197633952277,-0.9799811998244895,-0.9655644279879801,-0.9867280622174783,-0.9938297435257583,-1.0,-0.9846197633952871,-1.0,1
1540,1,1,-1.0,1.0,1.0,-1.0,0.4663466550287887,0.7335161971264063,-1.0,0.7456290972570243,-1,-1.0,-1.0,0.7335161971264063,-1.0,-1.0,0.20000000000000018,0.6442311033525256,-0.36975515363112926,0.6600498864664714,-1.0,1.0,0.9999999999999998,0.4663466550287887,-1,0.4663466550287887,0.33339151726749283,-1.0,-0.9999999999999999,0.2972024327063356,-0.9999999999999999,-1.0,-1,-1.0,0.2533333333333334,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.5201920069827268,-0.8035884141314011,-0.7991698381638406,-0.8386576411591347,-0.9224904301091207,-0.9182001465308709,-1.0,-0.897290992400233,-1.0,1
30,1,-1,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,1.0,0.8181818181818183,-0.3548387096774195,-1.0,1.0,0.33333333333333326,1.0,-1,0.5,-0.4181818181818182,-1.0,-0.9999999999999999,-0.6363636363636362,-0.9999999999999999,-1.0,-1,-1.0,-0.1466666666666665,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8,-1.0,-1.0,-1.0,-0.9601287315694895,-0.957921790562899,-0.957601262518011,-1.0,-1.0,1
1659,1,-1,1.0,1.0,-1.0,1.0,0.7672845084217665,-1.0,-1.0,0.9153761848806425,-1,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,0.8448563389478445,0.18810345760791525,-0.3548387096774195,-1.0,1.0,0.0,0.7672845084217665,-1,0.38364225421088327,0.38181818181818183,-1.0,-0.9999999999999999,-0.09090909090909083,-0.9999999999999999,-1.0,-1,-1.0,-0.33333333333333326,-0.23271549157823346,0.1428571428571428,-0.9999999999999999,-1.0,-0.7069138033687067,-1.0,-1.0,-1.0,-0.9510747047493211,-0.9483666083030912,-0.9480501350095605,-1.0,-1.0,1
624,1,-1,1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0000000000000002,-1,1.0,-1.0,0.4285714285714285,-1.0,-1.0,-1.0,0.3333333333333335,-0.09090909090909083,-0.3548387096774195,-1.0,1.0,0.33333333333333326,0.0,-1,0.0,0.38181818181818183,-1.0,-0.9999999999999999,0.2727272727272727,-0.9999999999999999,-1.0,-1,-1.0,0.040000000000000036,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8,-1.0,-1.0,-1.0,-0.9386951061103834,-0.9353017782942851,-0.9349740540814288,-1.0,-1.0,1
1746,1,-1,0.5,1.0,-1.0,-1.0,0.0037936724093423635,0.9978321871946615,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,0.198482531036263,0.3358624482728949,0.8154227837022965,0.9997552469413324,-1.0,1.0,0.6666666666666667,0.0037936724093425855,-1,0.0037936724093425855,-0.8179059147338661,1.0,-0.9999999999999999,-0.6336046018841144,-0.9999999999999999,-1.0,-1,-1.0,0.19979767080483501,-0.9962063275906574,0.1428571428571428,-0.9999999999999999,-1.0,-0.8,-0.9975976069803706,-0.9977486019914671,-0.9981912783316583,-0.9990478274750502,-0.9989951231424872,-1.0,-0.9987437227706585,-1.0,1
1593,-1,1,-1.0,0.18874524766195555,-1.0,0.18874524766195555,1.0,0.7682129279034159,-1.0,0.783864500425099,-1,-0.18874524766195555,-1.0,0.5364258558068319,1.0,-1.0,0.2867528514028268,1.0,-0.09090909090909083,0.41935483870967727,-0.18874524766195555,1.0,0.1352091253896741,1.0,-1,0.5,0.709090909090909,-1.0,-0.45916349844130355,0.05659177315237174,-0.9999999999999999,-1.0,-1,-1.0,-0.18339974654197078,-1.0,-0.3207170013360253,-0.9999999999999999,-1.0,-0.562250950467609,-0.9921255990091983,-0.9928540031386237,-0.9942590695572865,-0.9957009912117308,-0.9967490605498424,-1.0,-0.995814562887008,-1.0,1
1799,1,-1,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0000000000000002,-1,-1.0,-1.0,0.9999999999999999,-1.0,-1.0,-1.0,-0.33333333333333326,-0.12626651082325158,-0.342292528417556,-1.0,1.0,0.9999999999999998,0.0,-1,-0.5,-0.37474669783534975,-1.0,-0.9999999999999999,0.3080846926414338,-0.9999999999999999,-1.0,-1,-1.0,0.6059236469836926,-1.0,0.1428571428571428,-0.9999999999999999,-1.0,-0.8,-1.0,-1.0,-1.0,-0.8522731122351305,-0.844096183353432,-0.8427227256275573,-1.0,-1.0,1
