,COUNTY,WWWRACE4,WWWAGEC1,W1STATE,HISWT1RV,STRATA,CENSDIV,CL2,WWWEDU3,RHWT2CC,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,0.7098886705959395,-0.9999999999999999,0.9999999999999998,0.709090909090909,-0.7239574780966878,1.0,0.41935483870967727,-0.9999999999999999,0.0,-0.9525156004203708,1,0,1,0,0,1,1
1428,0.3866695772393216,-0.9999999999999999,0.0,0.38181818181818183,0.02272418441619406,1.0,-0.3548387096774195,0.1428571428571428,0.0,-1.0,0,0,1,0,0,1,1
1386,-0.8199810812777415,-0.33333333333333326,0.0,-0.8181818181818182,-0.5387169856790046,1.0,0.9999999999999998,-0.9999999999999999,0.0,-1.0,0,0,1,0,0,1,1
1967,-0.14658371534599446,1.0,0.9999999999999998,-0.1636363636363637,-1.0,0.0,0.29032258064516125,-0.9999999999999999,0.0,-0.9890968746501265,0,0,1,0,0,0,1
2243,0.7090882631157678,0.3333333333333335,0.6666666666666667,0.709090909090909,-1.0,-1.0,0.41935483870967727,0.1428571428571428,0.0,-0.998692460600181,1,0,1,1,0,1,1
1196,0.49363312231681555,-0.9999999999999999,0.9999999999999998,0.49090909090909074,-0.2530875501435007,1.0,-0.935483870967742,0.1428571428571428,0.0,-1.0,0,0,0,1,0,1,1
419,-0.8186713235829151,-0.33333333333333326,0.9999999999999998,-0.8181818181818182,-0.9878286100670911,0.0,0.9999999999999998,-0.9999999999999999,1.0,-1.0,0,0,1,0,0,1,1
1826,0.817288801571709,-0.9999999999999999,0.33333333333333326,0.8181818181818181,-1.0,1.0,0.29032258064516125,-0.9999999999999999,0.0,-0.9273806245426275,0,0,1,0,0,1,1
1260,0.7218947827985154,-0.9999999999999999,0.33333333333333326,0.709090909090909,-0.7746159836427864,1.0,0.41935483870967727,0.1428571428571428,1.0,-0.9550505852118503,1,0,1,0,0,1,1
3072,-0.71083460670887,-0.9999999999999999,-0.33333333333333326,-0.7090909090909091,-1.0,1.0,-1.0,-0.9999999999999999,1.0,-0.9480663075388911,1,0,1,0,0,1,1
1642,-0.8186713235829151,-0.9999999999999999,0.9999999999999998,-0.8181818181818182,-1.0,1.0,0.9999999999999998,0.1428571428571428,1.0,-0.9197884152036367,1,0,1,0,0,1,1
3189,0.38470494069708194,-0.9999999999999999,0.33333333333333326,0.38181818181818183,-1.0,1.0,-0.3548387096774195,-0.9999999999999999,0.0,-0.8322698206063763,1,0,1,0,0,1,1
928,-1.0,-0.9999999999999999,0.0,-1.0,-0.49343260983256954,1.0,0.35483870967741926,0.1428571428571428,0.0,-1.0,0,0,1,0,0,1,1
610,-0.41883140507894945,-0.9999999999999999,0.33333333333333326,-0.4181818181818182,-0.5105875932525171,1.0,-0.3548387096774195,-0.9999999999999999,-1.0,-1.0,0,0,1,0,1,1,1
1575,-0.0870261223895803,-0.9999999999999999,-0.33333333333333326,-0.09090909090909094,-1.0,1.0,-0.3548387096774195,-0.9999999999999999,1.0,-0.8795446855384906,0,0,1,0,0,1,1
