,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
1011,-5.1226835,8.539177,0,0,0,0,0,0,0
575,-2.9445767,14.694331,1,0,0,0,0,0,0
2316,5.205757,-3.6622753,0,0,1,0,0,0,0
1092,1.7323815,8.493078,1,0,0,0,1,0,0
19,-4.6062284,10.470396,0,0,0,0,0,0,0
2198,5.2162356,-3.6755571,1,0,1,0,0,0,0
1428,-4.813595,9.593772,0,0,0,0,0,0,0
1386,12.619626,6.1621366,0,0,0,1,0,0,0
1858,-4.714674,5.627162,0,0,0,0,0,0,0
1967,9.330401,10.020014,0,0,1,1,1,1,1
1147,-3.1941493,14.69761,0,0,0,0,0,0,0
267,13.831183,8.103028,0,0,0,1,0,0,0
2243,5.510656,-2.9730678,1,0,1,0,1,1,0
936,0.9122965,8.174051,0,0,0,0,0,0,0
1528,9.36552,9.468371,1,0,1,1,1,0,0
1454,-4.826652,5.6588936,1,0,0,0,0,0,0
1196,-3.75329,11.626469,0,0,0,0,0,0,0
419,12.5426035,5.838023,0,0,0,1,0,0,0
1826,-5.308674,16.81675,0,0,0,0,0,0,0
3202,-2.3377733,6.7203608,0,0,0,0,0,0,0
2417,5.173827,-2.1856742,0,0,1,0,1,1,0
1260,-5.1236615,17.398079,1,0,0,0,0,0,0
2741,13.418166,9.318644,0,0,1,1,0,0,0
1831,-4.716109,5.696835,0,0,0,0,0,0,0
443,11.954535,6.5174804,0,0,0,1,0,0,0
3072,-7.561061,5.669885,1,0,0,0,0,0,0
1642,-3.2243686,15.020293,1,0,0,0,0,0,0
2742,12.520722,9.029318,0,0,1,1,1,0,0
3189,1.2357178,7.9217124,1,0,0,0,1,0,1
928,-4.959916,9.469217,0,0,0,0,0,0,0
698,13.656566,7.4182305,0,0,0,1,0,0,0
137,-0.04024371,4.325519,0,0,0,0,0,0,1
610,-4.663185,10.642299,0,0,0,0,0,0,0
2357,5.168771,-2.2955382,0,0,1,0,1,1,0
567,0.9597695,12.475847,0,0,0,0,0,0,0
1575,-2.3625011,6.725297,0,0,0,0,0,0,0
307,-3.5022113,10.499146,0,0,0,0,0,0,0
185,0.9741961,12.532432,0,0,0,0,0,0,0
1872,9.293032,9.37132,0,0,1,1,1,0,0
3243,-4.71853,5.6140876,0,0,0,0,0,0,0
2048,12.573829,7.806635,0,0,0,1,0,0,0
3188,-7.289088,5.9080586,0,0,0,0,0,0,0
465,11.959685,6.5535593,0,0,0,1,0,0,0
729,0.9270421,8.253723,1,0,0,0,0,0,0
695,13.805736,8.124483,0,0,0,1,0,0,0
2782,13.415142,9.291149,0,0,1,1,0,0,0
449,12.254683,6.268972,0,0,0,1,0,0,0
2828,12.727585,7.6399326,1,0,0,1,0,0,0
3155,-3.8303485,6.428262,1,0,0,0,0,0,0
