,UMAP_1,UMAP_2,W3IWER4_A
45,7.934631,-4.31153,1
1245,6.569422,-1.4513402,1
1936,10.451313,5.208153,1
51,12.11246,0.7617722,1
1511,15.983772,-1.4361626,1
867,12.570775,-1.8707424,1
1599,15.337892,-0.44379365,1
1004,14.81896,12.230583,1
362,7.666735,2.1057045,1
1798,6.914043,8.123908,1
348,7.5135455,8.340527,1
1643,6.2322164,15.030029,1
113,12.636218,13.038846,1
1835,6.8991175,2.407974,1
767,-2.043779,0.32194272,1
1527,15.806864,-2.120636,1
1850,10.166297,-4.917632,1
1006,7.5041714,2.7206228,1
1707,11.548882,-0.40421814,1
1168,10.745823,5.743772,1
2043,12.651668,12.972382,1
1705,10.957233,-4.955138,1
1851,3.1241505,10.152757,1
1104,10.427788,5.258871,1
1603,14.716925,11.324583,1
1213,11.696697,13.266972,1
1400,12.090594,10.585586,1
640,11.987411,2.2035537,1
1796,11.582437,13.191129,1
1555,10.507273,-4.860508,1
492,7.992775,-4.2715316,1
1839,12.565813,12.468752,1
1376,11.194187,-2.5636272,1
1683,15.598866,-1.5638573,1
364,15.107232,-1.9534124,1
241,14.849667,12.159857,1
1250,10.426481,5.645347,1
1980,6.5701194,-1.4878126,1
1780,15.396555,12.11409,1
918,1.5715319,10.731918,1
1915,11.371123,0.20770729,1
1615,11.399379,-4.6796646,1
1937,12.079567,14.531724,1
1815,7.979467,14.679874,1
1978,15.332172,-0.94952655,1
1928,11.531837,-0.8908242,1
1614,14.552491,11.350992,1
1854,15.016384,-0.6152661,1
1049,10.8266735,-4.9316583,1
1760,11.638467,13.249835,1
1257,11.6381,13.272676,1
1691,6.415382,15.261398,1
119,6.338342,15.739546,1
1941,6.572457,14.679058,1
1725,6.728087,14.667702,1
1981,11.541986,-0.8815689,1
1256,6.9598804,9.850478,1
6,7.1368756,1.547487,1
1858,1.8656812,11.129549,1
1081,2.6333454,9.857492,1
461,10.078441,-4.8623996,1
813,7.8565135,8.898718,1
374,10.11699,-4.921045,1
966,15.722032,-2.0498827,1
1087,10.88119,5.766645,1
1544,5.953921,14.829197,1
1761,14.977522,12.02517,1
193,14.928526,11.599658,1
2059,12.261036,1.3078506,1
1559,12.243996,12.396376,1
1934,7.0142684,-3.9029477,1
1876,10.862014,-2.8694153,1
1549,6.2655954,15.703317,1
792,6.684987,-1.3391843,1
825,14.98906,12.115712,1
1838,10.408251,-3.3207119,1
135,10.92909,-4.88713,1
1999,10.869739,-2.9062772,1
381,14.8118305,12.258946,1
2060,14.758262,12.305131,1
1773,10.169017,-4.7891564,1
1929,3.1378493,10.083237,1
884,11.475569,0.5260288,1
1703,11.21387,3.317711,1
793,12.129443,0.7226931,1
2006,7.6807256,2.2800343,1
1985,10.953525,5.660723,1
1618,7.9898767,-4.2736936,1
2031,15.055721,-0.86385405,1
2011,7.0756097,1.6407801,1
251,11.174438,3.9750476,1
63,16.20874,-0.95793474,1
1613,15.384127,-0.96221715,1
763,12.311906,1.3717085,1
643,6.5217133,15.486539,1
1000,15.901523,-0.7647063,1
270,15.319476,-0.41515052,1
581,6.2102003,15.083416,1
1824,10.989269,3.2132633,1
127,8.764214,14.954742,1
1197,6.9218097,8.186852,1
1387,11.954821,2.2087736,1
1397,12.108671,2.1007223,1
2074,10.261951,-3.3012464,1
1958,14.015314,10.466817,1
911,6.9176397,2.4407444,1
1933,11.84803,0.71558636,1
3,15.153662,11.2163,1
799,12.370513,13.757221,1
1448,11.288303,-0.11981591,1
1777,6.938468,1.9340575,1
1698,11.615747,-0.7446812,1
1764,14.811071,-0.39295095,1
1895,6.6868796,-1.2320312,1
1726,12.266524,1.291242,1
