,UMAP_1,UMAP_2,W3IWER4_A
793,20.331015,0.77778536,1
5747,1.9165441,18.124485,1
5774,2.5554147,16.316252,1
4280,13.400013,-6.480258,1
5520,-1.8110973,13.993304,1
4920,9.448116,8.274882,1
5815,-2.2659762,15.530848,1
1664,21.017685,-1.9629831,1
4545,21.066519,1.1652313,1
1631,13.875038,4.788944,1
5310,-1.1903455,16.159622,1
416,15.263422,8.180515,1
1983,18.558115,-2.1194732,1
4411,12.775923,9.170158,1
4777,17.64154,0.534572,1
4525,18.72856,9.902863,1
1725,10.522628,6.6359806,1
1587,9.836835,-5.504101,1
1907,15.27324,5.217569,1
5235,-1.098237,14.014568,1
4367,8.339698,5.4183474,1
5947,-1.97152,14.637978,1
4894,19.51331,-5.539922,1
5845,2.9129298,18.225103,1
633,11.203966,5.636325,1
5194,11.900378,-5.4099374,1
6207,-0.68698776,16.231901,1
1977,11.94437,-5.4620748,1
153,9.66086,3.404982,1
1758,10.4871855,-6.5625343,1
467,12.482574,-6.9261394,1
6019,-2.6315715,16.774893,1
1812,22.892998,1.8074768,1
4570,13.880171,4.8026795,1
1861,15.004288,4.926411,1
5447,-1.1045947,14.022937,1
1994,19.512375,-5.5393023,1
5672,-2.654092,17.033632,1
5972,0.15535614,16.92794,1
468,14.081426,-0.3927381,1
6213,3.3534672,16.234934,1
4368,10.204763,7.9136014,1
4640,19.256224,-2.8461254,1
4400,17.96786,-0.973641,1
4450,21.343365,10.635403,1
6086,0.62876976,15.843916,1
5775,0.14796416,14.196868,1
4265,11.629754,-6.9781227,1
1562,15.404866,8.805096,1
6011,-1.6020596,14.633819,1
1740,9.539328,4.967026,1
5366,-0.32523507,14.631452,1
6200,1.5258541,18.295424,1
4185,14.520585,0.90224504,1
4728,13.108409,8.789843,1
5294,3.433696,16.280075,1
4269,10.476162,-7.693855,1
5410,1.3606529,14.903301,1
4708,14.571497,7.484846,1
1820,14.346418,-7.3223777,1
1906,20.287607,0.8715564,1
5260,1.4568408,15.630507,1
5759,2.307299,16.9833,1
4240,11.050225,-6.161866,1
5113,9.731786,5.0844145,1
1572,22.409044,2.3477502,1
2015,21.453625,0.9517068,1
1985,14.475797,0.80335546,1
5770,1.0653087,17.282331,1
5382,-1.3166126,15.043185,1
6077,-1.1321676,16.135223,1
5809,0.962927,17.284105,1
817,16.552567,-0.41978848,1
6066,-1.2069312,16.189514,1
6075,-2.6554332,16.46696,1
5315,-0.5992232,14.120807,1
5722,2.1113486,17.395374,1
4607,14.118645,7.869507,1
1887,16.72959,1.4725145,1
5149,18.109545,-1.5781208,1
5458,3.589687,17.879555,1
4519,11.1184845,8.925158,1
5183,10.198947,5.1755266,1
202,17.004585,-1.7230997,1
5030,15.261808,5.2044,1
5425,-0.93061537,15.996072,1
6055,0.36079305,15.345185,1
1609,21.339684,10.63732,1
716,10.346692,5.830673,1
5434,1.0383989,15.314433,1
4908,8.38537,-3.3454819,1
1801,16.414608,-1.2028244,1
5251,-2.5531242,15.979817,1
5601,-0.771844,16.434528,1
5170,14.810831,-2.7953956,1
5106,18.55182,-2.089119,1
6039,1.3130519,15.0885105,1
4192,12.128554,-5.5920525,1
5624,-0.86901456,13.997888,1
5814,-0.16203561,14.129971,1
4948,12.847349,9.099957,1
4521,10.085742,3.765765,1
1854,11.585126,-6.1125937,1
4794,15.05067,-1.908012,1
6115,-1.7454131,13.953916,1
455,9.288079,-4.9831,1
4952,16.070074,8.519189,1
5576,-2.578964,15.489854,1
4662,21.70201,-1.0493174,1
1661,15.714757,7.158764,1
4837,7.803058,-2.7192624,1
5042,14.954941,4.8706203,1
6199,2.4515803,16.766289,1
5440,3.2626128,17.455765,1
5949,-1.2461784,18.185957,1
6172,-0.52007926,15.056139,1
5135,9.9146595,6.1203494,1
1780,11.50338,-6.932406,1
1915,12.049736,-3.8938212,1
5165,10.793592,4.711155,1
1842,9.457778,8.283813,1
5589,-2.1840975,15.979335,1
895,18.103626,-1.58904,1
5602,1.2475675,15.08794,1
6037,-2.7766469,15.466599,1
1430,9.753312,5.093175,1
5016,12.289208,5.9102516,1
6097,3.4346936,16.268444,1
947,22.391033,2.3438358,1
800,16.989473,-2.2925334,1
1538,14.632291,7.5563855,1
5737,-0.5509508,15.036808,1
4814,17.566835,-3.641173,1
4881,10.506679,-6.5821323,1
1230,9.841302,-5.5128617,1
782,17.172653,-3.441415,1
4808,13.252626,7.937418,1
4415,13.131636,4.0261874,1
5374,1.2491815,15.926959,1
5343,0.4459696,14.827214,1
2002,11.114852,8.379167,1
6145,3.1993906,17.208797,1
1690,21.519457,10.315648,1
5395,2.855439,17.026897,1
2069,13.295409,8.72175,1
4902,11.662336,5.6572604,1
4206,22.111916,1.7022742,1
5203,21.608397,10.364896,1
1288,7.645561,-2.562049,1
1351,11.5866375,4.1330185,1
5354,-2.6588757,16.955267,1
249,17.1158,-3.4662523,1
5962,1.405045,14.854679,1
5963,3.578851,17.875986,1
4693,14.301596,-1.6589304,1
1806,20.829943,1.1323097,1
5872,0.15984602,17.0505,1
1642,18.73969,8.70483,1
4643,22.88735,1.8121234,1
5940,-1.6503565,14.550596,1
4919,17.149752,-3.465539,1
4267,10.066767,3.479144,1
5689,1.5708266,15.322538,1
6001,0.35610554,16.453344,1
5334,0.3910535,16.806145,1
1000,19.516672,-5.5380383,1
4975,11.210886,4.051555,1
6231,-0.71755886,15.123305,1
1594,18.909292,-5.8059716,1
5435,-1.0832049,16.253593,1
6158,-1.3115107,14.407923,1
1612,13.388242,4.087066,1
5373,-2.1457326,15.349251,1
5649,-0.92978805,17.073076,1
937,20.299103,0.87937343,1
1598,13.5119505,1.8154193,1
4787,21.01361,-1.9672468,1
5883,2.0087092,15.799104,1
4378,8.554021,6.476524,1
5543,3.5991676,17.913921,1
4497,11.462311,-5.01122,1
1794,12.827497,-7.114155,1
5143,17.107378,-4.0015974,1
1800,17.419258,-1.8987232,1
2001,13.990305,-6.081977,1
229,21.228674,1.3187127,1
90,21.836205,1.1766189,1
5421,-0.097570665,15.873495,1
1547,12.533047,-6.045485,1
5007,13.992006,5.0100403,1
4922,12.517548,-8.312187,1
4445,12.160705,-5.8898063,1
1536,9.425906,-5.940542,1
2033,13.075401,-8.028081,1
1771,19.512186,-5.5426636,1
4335,16.343117,5.9955316,1
5718,0.89050514,18.184227,1
1696,10.362193,5.846215,1
4860,17.756119,-3.2355258,1
4225,19.639343,-4.822909,1
83,15.274194,5.5465293,1
4650,13.778823,8.247762,1
6007,3.4156988,16.273945,1
6040,1.9800236,18.074326,1
4567,15.353508,7.0523562,1
2035,3.0162401,-6.8021755,1
5684,2.8914583,18.376745,1
5901,-2.253111,15.494284,1
4951,8.530767,6.4524016,1
1736,9.436048,8.277991,1
4325,14.241012,-8.748899,1
6232,-2.8456643,17.520193,1
1889,10.514082,4.5624676,1
