,UMAP_1,UMAP_2,label,naive,MLP,logisticRegression,decisionTree,randomForest,xgb
575,12.884577,8.832144,1,0,0,1,1,1,1
1428,14.030419,7.954288,0,0,0,1,1,1,1
1386,7.8727336,7.0335197,0,0,0,1,0,0,1
1967,8.420687,6.3157563,0,0,0,1,1,1,1
2243,11.18009,5.8130956,1,0,0,1,1,0,0
1196,12.524167,7.1815166,0,0,0,1,1,1,0
419,7.3089266,6.019923,0,0,0,0,0,1,1
1826,13.474113,8.715709,0,0,0,1,1,1,1
1260,15.257583,5.2914205,1,0,0,1,1,1,0
3072,16.202915,7.0367665,1,0,0,1,1,1,1
1642,14.774202,6.06549,1,0,0,1,1,1,1
3189,13.981643,6.3390875,1,0,0,1,1,1,1
928,14.257379,7.574278,0,0,0,1,1,1,1
610,12.442638,6.1059117,0,0,0,1,1,1,0
1575,14.569091,5.2313395,0,0,0,1,1,1,0
185,12.66348,7.945186,0,0,0,1,1,1,1
2782,7.011454,6.9054413,0,0,0,0,0,1,1
449,8.443252,7.002407,0,0,0,1,1,1,1
1198,14.073244,9.224758,0,0,0,1,1,1,1
1356,6.741134,5.498932,0,0,0,0,0,1,1
399,12.187662,5.969751,0,0,0,1,1,1,1
3168,13.758137,6.409655,1,0,0,1,1,1,1
1781,13.180327,6.9911084,0,0,0,1,1,1,1
2995,7.999535,6.6377215,1,0,0,1,0,0,1
411,7.365825,6.769854,0,0,0,0,0,1,1
2878,12.302263,7.6934867,0,0,0,1,1,1,1
3264,13.977423,9.161131,0,0,0,1,1,1,1
2071,15.434252,6.360107,1,0,0,1,1,1,1
680,14.068438,7.1571136,0,0,0,1,1,1,1
865,16.407978,6.5602384,0,0,0,1,1,1,1
444,14.248271,6.907457,0,0,0,1,1,1,1
211,14.97835,7.287849,0,0,0,1,1,1,1
569,14.218413,8.989185,0,0,0,1,1,1,1
1243,13.643635,8.053009,0,0,0,1,1,1,1
780,12.894137,5.83276,0,0,0,1,1,1,1
779,16.382116,7.276616,0,0,0,1,1,1,1
2076,11.70605,6.331918,1,0,0,1,1,0,1
1744,14.662781,5.2907605,1,0,0,1,1,1,0
144,12.564186,8.254673,0,0,0,1,1,1,0
898,13.746665,8.099062,0,0,0,1,1,1,1
1429,7.869207,6.688676,0,0,0,1,0,0,1
2033,7.463167,5.543874,0,0,0,0,0,1,1
1150,14.600189,4.879979,1,0,0,1,1,1,1
1282,15.981324,7.7359457,0,0,0,1,1,1,1
1206,14.212307,7.6035576,1,0,0,1,1,1,1
1172,15.046522,5.6231456,1,0,0,1,1,1,1
258,11.600657,5.633831,0,0,0,1,1,0,0
393,6.905154,5.685123,1,0,0,0,0,1,1
960,15.169321,5.8461123,0,0,0,1,1,1,1
877,13.019815,8.214709,1,0,0,1,1,1,1
947,12.836294,8.403297,0,0,0,1,1,1,1
1944,15.474685,7.351828,1,0,0,1,1,1,1
1950,6.94159,6.413417,0,0,0,0,0,1,1
2501,11.314769,6.281157,0,0,0,1,1,0,0
3087,12.638893,7.3888426,0,0,0,1,1,1,0
1387,14.615372,6.9097595,0,0,0,1,1,1,1
820,7.925126,6.531529,1,0,0,1,0,0,1
1115,13.2151575,8.55532,1,0,0,1,1,1,1
1998,6.8559523,6.502404,0,0,0,0,0,1,1
1691,14.65805,5.8520236,1,0,0,1,1,1,1
1458,14.468204,5.1866903,0,0,0,1,1,1,0
2714,8.426101,6.8782434,0,0,0,1,1,1,1
1971,7.2352276,7.344678,0,0,0,0,0,1,1
920,14.47693,8.333914,1,0,0,1,1,1,1
1176,13.900014,8.056631,0,0,0,1,1,1,1
1903,13.685431,9.040119,0,0,0,1,1,1,1
1874,16.255138,7.393568,0,0,0,1,1,1,1
311,7.020794,5.5778837,1,0,0,0,0,1,1
1956,7.3727694,5.173841,0,0,0,0,0,1,1
1530,13.354876,5.7380514,0,0,0,1,1,1,1
430,8.315309,6.982481,0,0,0,1,1,1,1
1313,16.317955,6.1858535,0,0,0,1,1,1,1
281,7.3723645,6.7221127,0,0,0,0,0,1,1
2072,14.915711,5.0867324,1,0,0,1,1,1,1
586,12.618998,8.1862755,1,0,0,1,1,1,0
647,13.4368925,9.3337755,1,0,0,1,1,1,1
1876,15.03759,6.024879,1,0,0,1,1,1,1
1134,13.558348,9.157466,0,0,0,1,1,1,1
2027,7.2216616,6.3237834,1,0,0,0,0,1,1
1622,14.267286,8.905483,0,0,0,1,1,1,1
1132,15.691324,6.082309,0,0,0,1,1,1,1
2800,15.434173,5.5394797,1,0,0,1,1,1,0
1447,13.362983,8.727111,0,0,0,1,1,1,1
1604,13.286221,8.604167,1,0,0,1,1,1,1
642,13.951523,8.472433,0,0,0,1,1,1,1
2712,7.675555,5.907773,0,0,0,0,0,1,1
220,15.877015,5.756546,0,0,0,1,1,1,1
164,11.481799,5.7205873,0,0,0,1,1,0,0
1256,16.134756,7.145256,0,0,0,1,1,1,1
2059,7.5240946,6.1513596,0,0,0,0,0,1,1
1111,7.627591,5.5880632,0,0,0,0,0,1,1
1073,13.18001,6.6377172,0,0,0,1,1,1,1
1870,15.530482,6.065189,0,0,0,1,1,1,1
593,15.466944,7.8781705,1,0,0,1,1,1,1
1345,7.8540635,5.9449053,0,0,0,0,0,1,1
808,13.306091,8.08751,1,0,0,1,1,1,1
2044,6.768191,6.092271,0,0,0,0,0,1,1
1411,13.265566,5.6707344,1,0,0,1,1,1,1
1510,14.4305525,5.1092668,0,0,0,1,1,1,1
1655,12.766983,8.412247,1,0,0,1,1,1,1
160,12.528991,7.4774637,0,0,0,1,1,1,0
1275,16.128012,7.603389,0,0,0,1,1,1,1
883,13.170253,7.5023093,1,0,0,1,1,1,1
2479,14.261137,6.2141438,0,0,0,1,1,1,1
1146,15.821693,7.390094,1,0,0,1,1,1,1
1096,13.269108,6.4566116,1,0,0,1,1,1,1
874,11.831027,5.6602015,0,0,0,1,1,1,1
663,13.140238,5.842281,0,0,0,1,1,1,1
1056,15.957433,7.474194,1,0,0,1,1,1,1
2068,13.927904,9.138338,0,0,0,1,1,1,1
